"","lugar","dia","hora","concurrencia","fecha.de.busqueda"
"1","Carrefour ushuaia","lunes",6,0,2021-01-15
"2","Carrefour ushuaia","lunes",7,0,2021-01-15
"3","Carrefour ushuaia","lunes",8,0,2021-01-15
"4","Carrefour ushuaia","lunes",9,26.25,2021-01-15
"5","Carrefour ushuaia","lunes",10,39.75,2021-01-15
"6","Carrefour ushuaia","lunes",11,51,2021-01-15
"7","Carrefour ushuaia","lunes",12,57,2021-01-15
"8","Carrefour ushuaia","lunes",13,55.5,2021-01-15
"9","Carrefour ushuaia","lunes",14,48.75,2021-01-15
"10","Carrefour ushuaia","lunes",15,43.5,2021-01-15
"11","Carrefour ushuaia","lunes",16,48,2021-01-15
"12","Carrefour ushuaia","lunes",17,59.25,2021-01-15
"13","Carrefour ushuaia","lunes",18,66,2021-01-15
"14","Carrefour ushuaia","lunes",19,56.25,2021-01-15
"15","Carrefour ushuaia","lunes",20,33.75,2021-01-15
"16","Carrefour ushuaia","lunes",21,0,2021-01-15
"17","Carrefour ushuaia","lunes",22,0,2021-01-15
"18","Carrefour ushuaia","lunes",23,0,2021-01-15
"19","Carrefour ushuaia","martes",6,0,2021-01-15
"20","Carrefour ushuaia","martes",7,0,2021-01-15
"21","Carrefour ushuaia","martes",8,0,2021-01-15
"22","Carrefour ushuaia","martes",9,30.75,2021-01-15
"23","Carrefour ushuaia","martes",10,48.75,2021-01-15
"24","Carrefour ushuaia","martes",11,63,2021-01-15
"25","Carrefour ushuaia","martes",12,66.75,2021-01-15
"26","Carrefour ushuaia","martes",13,61.5,2021-01-15
"27","Carrefour ushuaia","martes",14,53.25,2021-01-15
"28","Carrefour ushuaia","martes",15,52.5,2021-01-15
"29","Carrefour ushuaia","martes",16,60.75,2021-01-15
"30","Carrefour ushuaia","martes",17,71.25,2021-01-15
"31","Carrefour ushuaia","martes",18,72.75,2021-01-15
"32","Carrefour ushuaia","martes",19,59.25,2021-01-15
"33","Carrefour ushuaia","martes",20,37.5,2021-01-15
"34","Carrefour ushuaia","martes",21,0,2021-01-15
"35","Carrefour ushuaia","martes",22,0,2021-01-15
"36","Carrefour ushuaia","martes",23,0,2021-01-15
"37","Carrefour ushuaia","miercoles",6,0,2021-01-15
"38","Carrefour ushuaia","miercoles",7,0,2021-01-15
"39","Carrefour ushuaia","miercoles",8,0,2021-01-15
"40","Carrefour ushuaia","miercoles",9,36.75,2021-01-15
"41","Carrefour ushuaia","miercoles",10,54.75,2021-01-15
"42","Carrefour ushuaia","miercoles",11,69,2021-01-15
"43","Carrefour ushuaia","miercoles",12,73.5,2021-01-15
"44","Carrefour ushuaia","miercoles",13,69,2021-01-15
