"","lugar","dia","hora","concurrencia","fecha.de.busqueda"
"1","anses villa urquiza","lunes",6,0,2021-01-14
"2","anses villa urquiza","lunes",7,0,2021-01-14
"3","anses villa urquiza","lunes",8,31.5,2021-01-14
"4","anses villa urquiza","lunes",9,49.5,2021-01-14
"5","anses villa urquiza","lunes",10,59.25,2021-01-14
"6","anses villa urquiza","lunes",11,58.5,2021-01-14
"7","anses villa urquiza","lunes",12,51.75,2021-01-14
"8","anses villa urquiza","lunes",13,40.5,2021-01-14
"9","anses villa urquiza","lunes",14,0,2021-01-14
"10","anses villa urquiza","lunes",15,0,2021-01-14
"11","anses villa urquiza","lunes",16,0,2021-01-14
"12","anses villa urquiza","lunes",17,0,2021-01-14
"13","anses villa urquiza","lunes",18,0,2021-01-14
"14","anses villa urquiza","lunes",19,0,2021-01-14
"15","anses villa urquiza","lunes",20,0,2021-01-14
"16","anses villa urquiza","lunes",21,0,2021-01-14
"17","anses villa urquiza","lunes",22,0,2021-01-14
"18","anses villa urquiza","lunes",23,0,2021-01-14
"19","anses villa urquiza","martes",6,0,2021-01-14
"20","anses villa urquiza","martes",7,0,2021-01-14
"21","anses villa urquiza","martes",8,41.25,2021-01-14
"22","anses villa urquiza","martes",9,60,2021-01-14
"23","anses villa urquiza","martes",10,67.5,2021-01-14
"24","anses villa urquiza","martes",11,63.75,2021-01-14
"25","anses villa urquiza","martes",12,53.25,2021-01-14
"26","anses villa urquiza","martes",13,43.5,2021-01-14
"27","anses villa urquiza","martes",14,0,2021-01-14
"28","anses villa urquiza","martes",15,0,2021-01-14
"29","anses villa urquiza","martes",16,0,2021-01-14
"30","anses villa urquiza","martes",17,0,2021-01-14
"31","anses villa urquiza","martes",18,0,2021-01-14
"32","anses villa urquiza","martes",19,0,2021-01-14
"33","anses villa urquiza","martes",20,0,2021-01-14
"34","anses villa urquiza","martes",21,0,2021-01-14
"35","anses villa urquiza","martes",22,0,2021-01-14
"36","anses villa urquiza","martes",23,0,2021-01-14
"37","anses villa urquiza","miercoles",6,0,2021-01-14
"38","anses villa urquiza","miercoles",7,0,2021-01-14
"39","anses villa urquiza","miercoles",8,43.5,2021-01-14
"40","anses villa urquiza","miercoles",9,65.25,2021-01-14
"41","anses villa urquiza","miercoles",10,74.25,2021-01-14
"42","anses villa urquiza","miercoles",11,75,2021-01-14
"43","anses villa urquiza","miercoles",12,72.75,2021-01-14
"44","anses villa urquiza","miercoles",13,63.75,2021-01-14
"45","anses villa urquiza","miercoles",14,0,2021-01-14
"46","anses villa urquiza","miercoles",15,0,2021-01-14
"47","anses villa urquiza","miercoles",16,0,2021-01-14
"48","anses villa urquiza","miercoles",17,0,2021-01-14
"49","anses villa urquiza","miercoles",18,0,2021-01-14
"50","anses villa urquiza","miercoles",19,0,2021-01-14
"51","anses villa urquiza","miercoles",20,0,2021-01-14
"52","anses villa urquiza","miercoles",21,0,2021-01-14
"53","anses villa urquiza","miercoles",22,0,2021-01-14
"54","anses villa urquiza","miercoles",23,0,2021-01-14
"55","anses villa urquiza","jueves",6,0,2021-01-14
"56","anses villa urquiza","jueves",7,0,2021-01-14
"57","anses villa urquiza","jueves",8,34.5,2021-01-14
"58","anses villa urquiza","jueves",9,51.75,2021-01-14
"59","anses villa urquiza","jueves",10,63,2021-01-14
"60","anses villa urquiza","jueves",11,64.5,2021-01-14
"61","anses villa urquiza","jueves",12,60.75,2021-01-14
"62","anses villa urquiza","jueves",13,52.5,2021-01-14
"63","anses villa urquiza","jueves",14,0,2021-01-14
"64","anses villa urquiza","jueves",15,0,2021-01-14
"65","anses villa urquiza","jueves",16,0,2021-01-14
"66","anses villa urquiza","jueves",17,0,2021-01-14
"67","anses villa urquiza","jueves",18,0,2021-01-14
"68","anses villa urquiza","jueves",19,0,2021-01-14
"69","anses villa urquiza","jueves",20,0,2021-01-14
"70","anses villa urquiza","jueves",21,0,2021-01-14
"71","anses villa urquiza","jueves",22,0,2021-01-14
"72","anses villa urquiza","jueves",23,0,2021-01-14
"73","anses villa urquiza","viernes",6,0,2021-01-14
"74","anses villa urquiza","viernes",7,0,2021-01-14
"75","anses villa urquiza","viernes",8,36,2021-01-14
"76","anses villa urquiza","viernes",9,54.75,2021-01-14
"77","anses villa urquiza","viernes",10,59.25,2021-01-14
"78","anses villa urquiza","viernes",11,53.25,2021-01-14
"79","anses villa urquiza","viernes",12,48,2021-01-14
"80","anses villa urquiza","viernes",13,43.5,2021-01-14
"81","anses villa urquiza","viernes",14,0,2021-01-14
"82","anses villa urquiza","viernes",15,0,2021-01-14
"83","anses villa urquiza","viernes",16,0,2021-01-14
"84","anses villa urquiza","viernes",17,0,2021-01-14
"85","anses villa urquiza","viernes",18,0,2021-01-14
"86","anses villa urquiza","viernes",19,0,2021-01-14
"87","anses villa urquiza","viernes",20,0,2021-01-14
"88","anses villa urquiza","viernes",21,0,2021-01-14
"89","anses villa urquiza","viernes",22,0,2021-01-14
"90","anses villa urquiza","viernes",23,0,2021-01-14
