"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Parque Las Heras, Ciudad de Buenos Aires","lunes",4,0.75,-34.5841026,-58.4080162,2021-03-25
"2","Parque Las Heras, Ciudad de Buenos Aires","lunes",5,0.75,-34.5841026,-58.4080162,2021-03-25
"3","Parque Las Heras, Ciudad de Buenos Aires","lunes",6,0.75,-34.5841026,-58.4080162,2021-03-25
"4","Parque Las Heras, Ciudad de Buenos Aires","lunes",7,3,-34.5841026,-58.4080162,2021-03-25
"5","Parque Las Heras, Ciudad de Buenos Aires","lunes",8,9,-34.5841026,-58.4080162,2021-03-25
"6","Parque Las Heras, Ciudad de Buenos Aires","lunes",9,15.75,-34.5841026,-58.4080162,2021-03-25
"7","Parque Las Heras, Ciudad de Buenos Aires","lunes",10,21.75,-34.5841026,-58.4080162,2021-03-25
"8","Parque Las Heras, Ciudad de Buenos Aires","lunes",11,25.5,-34.5841026,-58.4080162,2021-03-25
"9","Parque Las Heras, Ciudad de Buenos Aires","lunes",12,26.25,-34.5841026,-58.4080162,2021-03-25
"10","Parque Las Heras, Ciudad de Buenos Aires","lunes",13,24.75,-34.5841026,-58.4080162,2021-03-25
"11","Parque Las Heras, Ciudad de Buenos Aires","lunes",14,24,-34.5841026,-58.4080162,2021-03-25
"12","Parque Las Heras, Ciudad de Buenos Aires","lunes",15,27.75,-34.5841026,-58.4080162,2021-03-25
"13","Parque Las Heras, Ciudad de Buenos Aires","lunes",16,37.5,-34.5841026,-58.4080162,2021-03-25
"14","Parque Las Heras, Ciudad de Buenos Aires","lunes",17,50.25,-34.5841026,-58.4080162,2021-03-25
"15","Parque Las Heras, Ciudad de Buenos Aires","lunes",18,60,-34.5841026,-58.4080162,2021-03-25
"16","Parque Las Heras, Ciudad de Buenos Aires","lunes",19,60,-34.5841026,-58.4080162,2021-03-25
"17","Parque Las Heras, Ciudad de Buenos Aires","lunes",20,50.25,-34.5841026,-58.4080162,2021-03-25
"18","Parque Las Heras, Ciudad de Buenos Aires","lunes",21,35.25,-34.5841026,-58.4080162,2021-03-25
"19","Parque Las Heras, Ciudad de Buenos Aires","lunes",22,22.5,-34.5841026,-58.4080162,2021-03-25
"20","Parque Las Heras, Ciudad de Buenos Aires","lunes",23,13.5,-34.5841026,-58.4080162,2021-03-25
"21","Parque Las Heras, Ciudad de Buenos Aires","martes",0,9,-34.5841026,-58.4080162,2021-03-25
"22","Parque Las Heras, Ciudad de Buenos Aires","martes",1,6,-34.5841026,-58.4080162,2021-03-25
"23","Parque Las Heras, Ciudad de Buenos Aires","martes",2,3,-34.5841026,-58.4080162,2021-03-25
"24","Parque Las Heras, Ciudad de Buenos Aires","martes",3,0.75,-34.5841026,-58.4080162,2021-03-25
"25","Parque Las Heras, Ciudad de Buenos Aires","martes",4,0.75,-34.5841026,-58.4080162,2021-03-25
"26","Parque Las Heras, Ciudad de Buenos Aires","martes",5,0.75,-34.5841026,-58.4080162,2021-03-25
"27","Parque Las Heras, Ciudad de Buenos Aires","martes",6,0.75,-34.5841026,-58.4080162,2021-03-25
"28","Parque Las Heras, Ciudad de Buenos Aires","martes",7,5.25,-34.5841026,-58.4080162,2021-03-25
"29","Parque Las Heras, Ciudad de Buenos Aires","martes",8,13.5,-34.5841026,-58.4080162,2021-03-25
"30","Parque Las Heras, Ciudad de Buenos Aires","martes",9,22.5,-34.5841026,-58.4080162,2021-03-25
"31","Parque Las Heras, Ciudad de Buenos Aires","martes",10,30,-34.5841026,-58.4080162,2021-03-25
"32","Parque Las Heras, Ciudad de Buenos Aires","martes",11,33.75,-34.5841026,-58.4080162,2021-03-25
"33","Parque Las Heras, Ciudad de Buenos Aires","martes",12,33,-34.5841026,-58.4080162,2021-03-25
"34","Parque Las Heras, Ciudad de Buenos Aires","martes",13,29.25,-34.5841026,-58.4080162,2021-03-25
"35","Parque Las Heras, Ciudad de Buenos Aires","martes",14,27,-34.5841026,-58.4080162,2021-03-25
"36","Parque Las Heras, Ciudad de Buenos Aires","martes",15,30,-34.5841026,-58.4080162,2021-03-25
