"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Plaza Almagro, Ciudad de Buenos Aires","lunes",6,0,-34.6057182,-58.4193674,2021-03-25
"2","Plaza Almagro, Ciudad de Buenos Aires","lunes",7,0,-34.6057182,-58.4193674,2021-03-25
"3","Plaza Almagro, Ciudad de Buenos Aires","lunes",8,10.5,-34.6057182,-58.4193674,2021-03-25
"4","Plaza Almagro, Ciudad de Buenos Aires","lunes",9,17.25,-34.6057182,-58.4193674,2021-03-25
"5","Plaza Almagro, Ciudad de Buenos Aires","lunes",10,24,-34.6057182,-58.4193674,2021-03-25
"6","Plaza Almagro, Ciudad de Buenos Aires","lunes",11,28.5,-34.6057182,-58.4193674,2021-03-25
"7","Plaza Almagro, Ciudad de Buenos Aires","lunes",12,30,-34.6057182,-58.4193674,2021-03-25
"8","Plaza Almagro, Ciudad de Buenos Aires","lunes",13,27.75,-34.6057182,-58.4193674,2021-03-25
"9","Plaza Almagro, Ciudad de Buenos Aires","lunes",14,24.75,-34.6057182,-58.4193674,2021-03-25
"10","Plaza Almagro, Ciudad de Buenos Aires","lunes",15,26.25,-34.6057182,-58.4193674,2021-03-25
"11","Plaza Almagro, Ciudad de Buenos Aires","lunes",16,35.25,-34.6057182,-58.4193674,2021-03-25
"12","Plaza Almagro, Ciudad de Buenos Aires","lunes",17,51,-34.6057182,-58.4193674,2021-03-25
"13","Plaza Almagro, Ciudad de Buenos Aires","lunes",18,63,-34.6057182,-58.4193674,2021-03-25
"14","Plaza Almagro, Ciudad de Buenos Aires","lunes",19,62.25,-34.6057182,-58.4193674,2021-03-25
"15","Plaza Almagro, Ciudad de Buenos Aires","lunes",20,47.25,-34.6057182,-58.4193674,2021-03-25
"16","Plaza Almagro, Ciudad de Buenos Aires","lunes",21,27.75,-34.6057182,-58.4193674,2021-03-25
"17","Plaza Almagro, Ciudad de Buenos Aires","lunes",22,0,-34.6057182,-58.4193674,2021-03-25
"18","Plaza Almagro, Ciudad de Buenos Aires","lunes",23,0,-34.6057182,-58.4193674,2021-03-25
"19","Plaza Almagro, Ciudad de Buenos Aires","martes",6,0,-34.6057182,-58.4193674,2021-03-25
"20","Plaza Almagro, Ciudad de Buenos Aires","martes",7,0,-34.6057182,-58.4193674,2021-03-25
"21","Plaza Almagro, Ciudad de Buenos Aires","martes",8,13.5,-34.6057182,-58.4193674,2021-03-25
"22","Plaza Almagro, Ciudad de Buenos Aires","martes",9,23.25,-34.6057182,-58.4193674,2021-03-25
"23","Plaza Almagro, Ciudad de Buenos Aires","martes",10,33,-34.6057182,-58.4193674,2021-03-25
"24","Plaza Almagro, Ciudad de Buenos Aires","martes",11,39,-34.6057182,-58.4193674,2021-03-25
"25","Plaza Almagro, Ciudad de Buenos Aires","martes",12,39.75,-34.6057182,-58.4193674,2021-03-25
"26","Plaza Almagro, Ciudad de Buenos Aires","martes",13,36,-34.6057182,-58.4193674,2021-03-25
"27","Plaza Almagro, Ciudad de Buenos Aires","martes",14,32.25,-34.6057182,-58.4193674,2021-03-25
"28","Plaza Almagro, Ciudad de Buenos Aires","martes",15,34.5,-34.6057182,-58.4193674,2021-03-25
"29","Plaza Almagro, Ciudad de Buenos Aires","martes",16,43.5,-34.6057182,-58.4193674,2021-03-25
"30","Plaza Almagro, Ciudad de Buenos Aires","martes",17,55.5,-34.6057182,-58.4193674,2021-03-25
