"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Plaza Aristóbulo del Valle, Ciudad de Buenos Aires","lunes",4,0,-34.6055659,-58.4929327,2021-03-25
"2","Plaza Aristóbulo del Valle, Ciudad de Buenos Aires","lunes",5,0,-34.6055659,-58.4929327,2021-03-25
"3","Plaza Aristóbulo del Valle, Ciudad de Buenos Aires","lunes",6,0,-34.6055659,-58.4929327,2021-03-25
"4","Plaza Aristóbulo del Valle, Ciudad de Buenos Aires","lunes",7,2.25,-34.6055659,-58.4929327,2021-03-25
"5","Plaza Aristóbulo del Valle, Ciudad de Buenos Aires","lunes",8,6,-34.6055659,-58.4929327,2021-03-25
"6","Plaza Aristóbulo del Valle, Ciudad de Buenos Aires","lunes",9,11.25,-34.6055659,-58.4929327,2021-03-25
"7","Plaza Aristóbulo del Valle, Ciudad de Buenos Aires","lunes",10,18,-34.6055659,-58.4929327,2021-03-25
"8","Plaza Aristóbulo del Valle, Ciudad de Buenos Aires","lunes",11,22.5,-34.6055659,-58.4929327,2021-03-25
"9","Plaza Aristóbulo del Valle, Ciudad de Buenos Aires","lunes",12,24,-34.6055659,-58.4929327,2021-03-25
"10","Plaza Aristóbulo del Valle, Ciudad de Buenos Aires","lunes",13,21,-34.6055659,-58.4929327,2021-03-25
"11","Plaza Aristóbulo del Valle, Ciudad de Buenos Aires","lunes",14,17.25,-34.6055659,-58.4929327,2021-03-25
"12","Plaza Aristóbulo del Valle, Ciudad de Buenos Aires","lunes",15,18.75,-34.6055659,-58.4929327,2021-03-25
"13","Plaza Aristóbulo del Valle, Ciudad de Buenos Aires","lunes",16,30.75,-34.6055659,-58.4929327,2021-03-25
"14","Plaza Aristóbulo del Valle, Ciudad de Buenos Aires","lunes",17,50.25,-34.6055659,-58.4929327,2021-03-25
"15","Plaza Aristóbulo del Valle, Ciudad de Buenos Aires","lunes",18,66.75,-34.6055659,-58.4929327,2021-03-25
"16","Plaza Aristóbulo del Valle, Ciudad de Buenos Aires","lunes",19,66,-34.6055659,-58.4929327,2021-03-25
"17","Plaza Aristóbulo del Valle, Ciudad de Buenos Aires","lunes",20,48.75,-34.6055659,-58.4929327,2021-03-25
"18","Plaza Aristóbulo del Valle, Ciudad de Buenos Aires","lunes",21,26.25,-34.6055659,-58.4929327,2021-03-25
"19","Plaza Aristóbulo del Valle, Ciudad de Buenos Aires","lunes",22,9.75,-34.6055659,-58.4929327,2021-03-25
"20","Plaza Aristóbulo del Valle, Ciudad de Buenos Aires","lunes",23,2.25,-34.6055659,-58.4929327,2021-03-25
"21","Plaza Aristóbulo del Valle, Ciudad de Buenos Aires","martes",0,0,-34.6055659,-58.4929327,2021-03-25
"22","Plaza Aristóbulo del Valle, Ciudad de Buenos Aires","martes",1,0,-34.6055659,-58.4929327,2021-03-25
"23","Plaza Aristóbulo del Valle, Ciudad de Buenos Aires","martes",2,0,-34.6055659,-58.4929327,2021-03-25
"24","Plaza Aristóbulo del Valle, Ciudad de Buenos Aires","martes",3,0,-34.6055659,-58.4929327,2021-03-25
"25","Plaza Aristóbulo del Valle, Ciudad de Buenos Aires","martes",4,0,-34.6055659,-58.4929327,2021-03-25
