"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Plaza Benito Nazar, Ciudad de Buenos Aires","lunes",4,0.75,-34.60479,-58.445436,2021-03-25
"2","Plaza Benito Nazar, Ciudad de Buenos Aires","lunes",5,0.75,-34.60479,-58.445436,2021-03-25
"3","Plaza Benito Nazar, Ciudad de Buenos Aires","lunes",6,0.75,-34.60479,-58.445436,2021-03-25
"4","Plaza Benito Nazar, Ciudad de Buenos Aires","lunes",7,0.75,-34.60479,-58.445436,2021-03-25
"5","Plaza Benito Nazar, Ciudad de Buenos Aires","lunes",8,6.75,-34.60479,-58.445436,2021-03-25
"6","Plaza Benito Nazar, Ciudad de Buenos Aires","lunes",9,14.25,-34.60479,-58.445436,2021-03-25
"7","Plaza Benito Nazar, Ciudad de Buenos Aires","lunes",10,20.25,-34.60479,-58.445436,2021-03-25
"8","Plaza Benito Nazar, Ciudad de Buenos Aires","lunes",11,23.25,-34.60479,-58.445436,2021-03-25
"9","Plaza Benito Nazar, Ciudad de Buenos Aires","lunes",12,23.25,-34.60479,-58.445436,2021-03-25
"10","Plaza Benito Nazar, Ciudad de Buenos Aires","lunes",13,20.25,-34.60479,-58.445436,2021-03-25
"11","Plaza Benito Nazar, Ciudad de Buenos Aires","lunes",14,18,-34.60479,-58.445436,2021-03-25
"12","Plaza Benito Nazar, Ciudad de Buenos Aires","lunes",15,21.75,-34.60479,-58.445436,2021-03-25
"13","Plaza Benito Nazar, Ciudad de Buenos Aires","lunes",16,33.75,-34.60479,-58.445436,2021-03-25
"14","Plaza Benito Nazar, Ciudad de Buenos Aires","lunes",17,51,-34.60479,-58.445436,2021-03-25
"15","Plaza Benito Nazar, Ciudad de Buenos Aires","lunes",18,63,-34.60479,-58.445436,2021-03-25
"16","Plaza Benito Nazar, Ciudad de Buenos Aires","lunes",19,60,-34.60479,-58.445436,2021-03-25
"17","Plaza Benito Nazar, Ciudad de Buenos Aires","lunes",20,44.25,-34.60479,-58.445436,2021-03-25
"18","Plaza Benito Nazar, Ciudad de Buenos Aires","lunes",21,26.25,-34.60479,-58.445436,2021-03-25
"19","Plaza Benito Nazar, Ciudad de Buenos Aires","lunes",22,13.5,-34.60479,-58.445436,2021-03-25
"20","Plaza Benito Nazar, Ciudad de Buenos Aires","lunes",23,8.25,-34.60479,-58.445436,2021-03-25
"21","Plaza Benito Nazar, Ciudad de Buenos Aires","martes",0,6,-34.60479,-58.445436,2021-03-25
"22","Plaza Benito Nazar, Ciudad de Buenos Aires","martes",1,4.5,-34.60479,-58.445436,2021-03-25
