"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","lunes",4,0.75,-34.5441601,-58.4773611,2021-03-25
"2","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","lunes",5,0.75,-34.5441601,-58.4773611,2021-03-25
"3","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","lunes",6,0.75,-34.5441601,-58.4773611,2021-03-25
"4","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","lunes",7,0.75,-34.5441601,-58.4773611,2021-03-25
"5","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","lunes",8,7.5,-34.5441601,-58.4773611,2021-03-25
"6","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","lunes",9,15,-34.5441601,-58.4773611,2021-03-25
"7","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","lunes",10,20.25,-34.5441601,-58.4773611,2021-03-25
"8","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","lunes",11,21.75,-34.5441601,-58.4773611,2021-03-25
"9","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","lunes",12,18.75,-34.5441601,-58.4773611,2021-03-25
"10","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","lunes",13,13.5,-34.5441601,-58.4773611,2021-03-25
"11","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","lunes",14,11.25,-34.5441601,-58.4773611,2021-03-25
"12","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","lunes",15,13.5,-34.5441601,-58.4773611,2021-03-25
"13","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","lunes",16,22.5,-34.5441601,-58.4773611,2021-03-25
"14","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","lunes",17,32.25,-34.5441601,-58.4773611,2021-03-25
"15","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","lunes",18,36.75,-34.5441601,-58.4773611,2021-03-25
"16","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","lunes",19,33,-34.5441601,-58.4773611,2021-03-25
"17","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","lunes",20,21.75,-34.5441601,-58.4773611,2021-03-25
"18","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","lunes",21,9,-34.5441601,-58.4773611,2021-03-25
"19","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","lunes",22,0,-34.5441601,-58.4773611,2021-03-25
"20","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","lunes",23,0.75,-34.5441601,-58.4773611,2021-03-25
"21","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","martes",0,0.75,-34.5441601,-58.4773611,2021-03-25
"22","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","martes",1,0.75,-34.5441601,-58.4773611,2021-03-25
"23","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","martes",2,0.75,-34.5441601,-58.4773611,2021-03-25
"24","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","martes",3,0.75,-34.5441601,-58.4773611,2021-03-25
"25","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","martes",4,0.75,-34.5441601,-58.4773611,2021-03-25
"26","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","martes",5,0.75,-34.5441601,-58.4773611,2021-03-25
"27","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","martes",6,0.75,-34.5441601,-58.4773611,2021-03-25
"28","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","martes",7,0.75,-34.5441601,-58.4773611,2021-03-25
"29","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","martes",8,4.5,-34.5441601,-58.4773611,2021-03-25
"30","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","martes",9,15.75,-34.5441601,-58.4773611,2021-03-25
"31","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","martes",10,27,-34.5441601,-58.4773611,2021-03-25
"32","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","martes",11,33.75,-34.5441601,-58.4773611,2021-03-25
"33","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","martes",12,32.25,-34.5441601,-58.4773611,2021-03-25
"34","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","martes",13,24.75,-34.5441601,-58.4773611,2021-03-25
"35","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","martes",14,17.25,-34.5441601,-58.4773611,2021-03-25
"36","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","martes",15,17.25,-34.5441601,-58.4773611,2021-03-25
"37","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","martes",16,24.75,-34.5441601,-58.4773611,2021-03-25
"38","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","martes",17,35.25,-34.5441601,-58.4773611,2021-03-25
"39","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","martes",18,42.75,-34.5441601,-58.4773611,2021-03-25
"40","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","martes",19,40.5,-34.5441601,-58.4773611,2021-03-25
"41","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","martes",20,30.75,-34.5441601,-58.4773611,2021-03-25
"42","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","martes",21,16.5,-34.5441601,-58.4773611,2021-03-25
"43","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","martes",22,4.5,-34.5441601,-58.4773611,2021-03-25
"44","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","martes",23,0.75,-34.5441601,-58.4773611,2021-03-25
"45","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","miercoles",0,0.75,-34.5441601,-58.4773611,2021-03-25
"46","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","miercoles",1,0.75,-34.5441601,-58.4773611,2021-03-25
"47","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","miercoles",2,0.75,-34.5441601,-58.4773611,2021-03-25
"48","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","miercoles",3,0.75,-34.5441601,-58.4773611,2021-03-25
"49","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","miercoles",4,0.75,-34.5441601,-58.4773611,2021-03-25
"50","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","miercoles",5,0.75,-34.5441601,-58.4773611,2021-03-25
"51","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","miercoles",6,0.75,-34.5441601,-58.4773611,2021-03-25
"52","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","miercoles",7,0,-34.5441601,-58.4773611,2021-03-25
"53","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","miercoles",8,9.75,-34.5441601,-58.4773611,2021-03-25
"54","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","miercoles",9,20.25,-34.5441601,-58.4773611,2021-03-25
"55","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","miercoles",10,30,-34.5441601,-58.4773611,2021-03-25
"56","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","miercoles",11,34.5,-34.5441601,-58.4773611,2021-03-25
"57","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","miercoles",12,33.75,-34.5441601,-58.4773611,2021-03-25
"58","Plaza Benjamín Vicuña Mackenna, Ciudad de Buenos Aires","miercoles",13,28.5,-34.5441601,-58.4773611,2021-03-25
