"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Plaza Dorrego, Ciudad de Buenos Aires","lunes",4,0.75,-34.6204914,-58.3717481,2021-03-25
"2","Plaza Dorrego, Ciudad de Buenos Aires","lunes",5,0.75,-34.6204914,-58.3717481,2021-03-25
"3","Plaza Dorrego, Ciudad de Buenos Aires","lunes",6,0.75,-34.6204914,-58.3717481,2021-03-25
"4","Plaza Dorrego, Ciudad de Buenos Aires","lunes",7,0,-34.6204914,-58.3717481,2021-03-25
"5","Plaza Dorrego, Ciudad de Buenos Aires","lunes",8,1.5,-34.6204914,-58.3717481,2021-03-25
"6","Plaza Dorrego, Ciudad de Buenos Aires","lunes",9,3.75,-34.6204914,-58.3717481,2021-03-25
"7","Plaza Dorrego, Ciudad de Buenos Aires","lunes",10,5.25,-34.6204914,-58.3717481,2021-03-25
"8","Plaza Dorrego, Ciudad de Buenos Aires","lunes",11,7.5,-34.6204914,-58.3717481,2021-03-25
"9","Plaza Dorrego, Ciudad de Buenos Aires","lunes",12,9.75,-34.6204914,-58.3717481,2021-03-25
"10","Plaza Dorrego, Ciudad de Buenos Aires","lunes",13,12,-34.6204914,-58.3717481,2021-03-25
"11","Plaza Dorrego, Ciudad de Buenos Aires","lunes",14,13.5,-34.6204914,-58.3717481,2021-03-25
"12","Plaza Dorrego, Ciudad de Buenos Aires","lunes",15,15,-34.6204914,-58.3717481,2021-03-25
"13","Plaza Dorrego, Ciudad de Buenos Aires","lunes",16,16.5,-34.6204914,-58.3717481,2021-03-25
"14","Plaza Dorrego, Ciudad de Buenos Aires","lunes",17,18,-34.6204914,-58.3717481,2021-03-25
"15","Plaza Dorrego, Ciudad de Buenos Aires","lunes",18,18,-34.6204914,-58.3717481,2021-03-25
"16","Plaza Dorrego, Ciudad de Buenos Aires","lunes",19,17.25,-34.6204914,-58.3717481,2021-03-25
"17","Plaza Dorrego, Ciudad de Buenos Aires","lunes",20,15.75,-34.6204914,-58.3717481,2021-03-25
"18","Plaza Dorrego, Ciudad de Buenos Aires","lunes",21,13.5,-34.6204914,-58.3717481,2021-03-25
"19","Plaza Dorrego, Ciudad de Buenos Aires","lunes",22,10.5,-34.6204914,-58.3717481,2021-03-25
"20","Plaza Dorrego, Ciudad de Buenos Aires","lunes",23,6.75,-34.6204914,-58.3717481,2021-03-25
"21","Plaza Dorrego, Ciudad de Buenos Aires","martes",0,3.75,-34.6204914,-58.3717481,2021-03-25
"22","Plaza Dorrego, Ciudad de Buenos Aires","martes",1,1.5,-34.6204914,-58.3717481,2021-03-25
"23","Plaza Dorrego, Ciudad de Buenos Aires","martes",2,0.75,-34.6204914,-58.3717481,2021-03-25
"24","Plaza Dorrego, Ciudad de Buenos Aires","martes",3,0.75,-34.6204914,-58.3717481,2021-03-25
"25","Plaza Dorrego, Ciudad de Buenos Aires","martes",4,0.75,-34.6204914,-58.3717481,2021-03-25
"26","Plaza Dorrego, Ciudad de Buenos Aires","martes",5,0.75,-34.6204914,-58.3717481,2021-03-25
"27","Plaza Dorrego, Ciudad de Buenos Aires","martes",6,0.75,-34.6204914,-58.3717481,2021-03-25
