"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Plaza Hungría, Ciudad de Buenos Aires","lunes",4,0.75,-34.5505549,-58.490993,2021-03-25
"2","Plaza Hungría, Ciudad de Buenos Aires","lunes",5,0.75,-34.5505549,-58.490993,2021-03-25
"3","Plaza Hungría, Ciudad de Buenos Aires","lunes",6,0.75,-34.5505549,-58.490993,2021-03-25
"4","Plaza Hungría, Ciudad de Buenos Aires","lunes",7,0,-34.5505549,-58.490993,2021-03-25
"5","Plaza Hungría, Ciudad de Buenos Aires","lunes",8,7.5,-34.5505549,-58.490993,2021-03-25
"6","Plaza Hungría, Ciudad de Buenos Aires","lunes",9,14.25,-34.5505549,-58.490993,2021-03-25
"7","Plaza Hungría, Ciudad de Buenos Aires","lunes",10,19.5,-34.5505549,-58.490993,2021-03-25
"8","Plaza Hungría, Ciudad de Buenos Aires","lunes",11,22.5,-34.5505549,-58.490993,2021-03-25
"9","Plaza Hungría, Ciudad de Buenos Aires","lunes",12,21.75,-34.5505549,-58.490993,2021-03-25
"10","Plaza Hungría, Ciudad de Buenos Aires","lunes",13,18.75,-34.5505549,-58.490993,2021-03-25
"11","Plaza Hungría, Ciudad de Buenos Aires","lunes",14,15,-34.5505549,-58.490993,2021-03-25
"12","Plaza Hungría, Ciudad de Buenos Aires","lunes",15,12.75,-34.5505549,-58.490993,2021-03-25
"13","Plaza Hungría, Ciudad de Buenos Aires","lunes",16,19.5,-34.5505549,-58.490993,2021-03-25
"14","Plaza Hungría, Ciudad de Buenos Aires","lunes",17,37.5,-34.5505549,-58.490993,2021-03-25
"15","Plaza Hungría, Ciudad de Buenos Aires","lunes",18,60,-34.5505549,-58.490993,2021-03-25
"16","Plaza Hungría, Ciudad de Buenos Aires","lunes",19,66.75,-34.5505549,-58.490993,2021-03-25
"17","Plaza Hungría, Ciudad de Buenos Aires","lunes",20,49.5,-34.5505549,-58.490993,2021-03-25
"18","Plaza Hungría, Ciudad de Buenos Aires","lunes",21,24,-34.5505549,-58.490993,2021-03-25
"19","Plaza Hungría, Ciudad de Buenos Aires","lunes",22,6.75,-34.5505549,-58.490993,2021-03-25
"20","Plaza Hungría, Ciudad de Buenos Aires","lunes",23,0.75,-34.5505549,-58.490993,2021-03-25
