"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Plaza Inmigrantes de Armenia, Ciudad de Buenos Aires","lunes",6,0,-34.5887659,-58.4251753,2021-03-25
"2","Plaza Inmigrantes de Armenia, Ciudad de Buenos Aires","lunes",7,0,-34.5887659,-58.4251753,2021-03-25
"3","Plaza Inmigrantes de Armenia, Ciudad de Buenos Aires","lunes",8,1.5,-34.5887659,-58.4251753,2021-03-25
"4","Plaza Inmigrantes de Armenia, Ciudad de Buenos Aires","lunes",9,4.5,-34.5887659,-58.4251753,2021-03-25
"5","Plaza Inmigrantes de Armenia, Ciudad de Buenos Aires","lunes",10,7.5,-34.5887659,-58.4251753,2021-03-25
"6","Plaza Inmigrantes de Armenia, Ciudad de Buenos Aires","lunes",11,9.75,-34.5887659,-58.4251753,2021-03-25
"7","Plaza Inmigrantes de Armenia, Ciudad de Buenos Aires","lunes",12,10.5,-34.5887659,-58.4251753,2021-03-25
"8","Plaza Inmigrantes de Armenia, Ciudad de Buenos Aires","lunes",13,11.25,-34.5887659,-58.4251753,2021-03-25
"9","Plaza Inmigrantes de Armenia, Ciudad de Buenos Aires","lunes",14,13.5,-34.5887659,-58.4251753,2021-03-25
"10","Plaza Inmigrantes de Armenia, Ciudad de Buenos Aires","lunes",15,18.75,-34.5887659,-58.4251753,2021-03-25
"11","Plaza Inmigrantes de Armenia, Ciudad de Buenos Aires","lunes",16,26.25,-34.5887659,-58.4251753,2021-03-25
"12","Plaza Inmigrantes de Armenia, Ciudad de Buenos Aires","lunes",17,32.25,-34.5887659,-58.4251753,2021-03-25
"13","Plaza Inmigrantes de Armenia, Ciudad de Buenos Aires","lunes",18,36,-34.5887659,-58.4251753,2021-03-25
"14","Plaza Inmigrantes de Armenia, Ciudad de Buenos Aires","lunes",19,33.75,-34.5887659,-58.4251753,2021-03-25
"15","Plaza Inmigrantes de Armenia, Ciudad de Buenos Aires","lunes",20,28.5,-34.5887659,-58.4251753,2021-03-25
"16","Plaza Inmigrantes de Armenia, Ciudad de Buenos Aires","lunes",21,0,-34.5887659,-58.4251753,2021-03-25
"17","Plaza Inmigrantes de Armenia, Ciudad de Buenos Aires","lunes",22,0,-34.5887659,-58.4251753,2021-03-25
"18","Plaza Inmigrantes de Armenia, Ciudad de Buenos Aires","lunes",23,0,-34.5887659,-58.4251753,2021-03-25
"19","Plaza Inmigrantes de Armenia, Ciudad de Buenos Aires","martes",6,0,-34.5887659,-58.4251753,2021-03-25
"20","Plaza Inmigrantes de Armenia, Ciudad de Buenos Aires","martes",7,0,-34.5887659,-58.4251753,2021-03-25
"21","Plaza Inmigrantes de Armenia, Ciudad de Buenos Aires","martes",8,3,-34.5887659,-58.4251753,2021-03-25
"22","Plaza Inmigrantes de Armenia, Ciudad de Buenos Aires","martes",9,6.75,-34.5887659,-58.4251753,2021-03-25
"23","Plaza Inmigrantes de Armenia, Ciudad de Buenos Aires","martes",10,10.5,-34.5887659,-58.4251753,2021-03-25
"24","Plaza Inmigrantes de Armenia, Ciudad de Buenos Aires","martes",11,13.5,-34.5887659,-58.4251753,2021-03-25
"25","Plaza Inmigrantes de Armenia, Ciudad de Buenos Aires","martes",12,15,-34.5887659,-58.4251753,2021-03-25
"26","Plaza Inmigrantes de Armenia, Ciudad de Buenos Aires","martes",13,15,-34.5887659,-58.4251753,2021-03-25
"27","Plaza Inmigrantes de Armenia, Ciudad de Buenos Aires","martes",14,15.75,-34.5887659,-58.4251753,2021-03-25
"28","Plaza Inmigrantes de Armenia, Ciudad de Buenos Aires","martes",15,18.75,-34.5887659,-58.4251753,2021-03-25
"29","Plaza Inmigrantes de Armenia, Ciudad de Buenos Aires","martes",16,26.25,-34.5887659,-58.4251753,2021-03-25
