"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Plaza Miserere, Ciudad de Buenos Aires","lunes",4,0,-34.6097624,-58.4081302,2021-03-25
"2","Plaza Miserere, Ciudad de Buenos Aires","lunes",5,3.75,-34.6097624,-58.4081302,2021-03-25
"3","Plaza Miserere, Ciudad de Buenos Aires","lunes",6,7.5,-34.6097624,-58.4081302,2021-03-25
"4","Plaza Miserere, Ciudad de Buenos Aires","lunes",7,12.75,-34.6097624,-58.4081302,2021-03-25
"5","Plaza Miserere, Ciudad de Buenos Aires","lunes",8,18,-34.6097624,-58.4081302,2021-03-25
"6","Plaza Miserere, Ciudad de Buenos Aires","lunes",9,24.75,-34.6097624,-58.4081302,2021-03-25
"7","Plaza Miserere, Ciudad de Buenos Aires","lunes",10,31.5,-34.6097624,-58.4081302,2021-03-25
"8","Plaza Miserere, Ciudad de Buenos Aires","lunes",11,38.25,-34.6097624,-58.4081302,2021-03-25
"9","Plaza Miserere, Ciudad de Buenos Aires","lunes",12,45,-34.6097624,-58.4081302,2021-03-25
"10","Plaza Miserere, Ciudad de Buenos Aires","lunes",13,51,-34.6097624,-58.4081302,2021-03-25
"11","Plaza Miserere, Ciudad de Buenos Aires","lunes",14,56.25,-34.6097624,-58.4081302,2021-03-25
"12","Plaza Miserere, Ciudad de Buenos Aires","lunes",15,58.5,-34.6097624,-58.4081302,2021-03-25
"13","Plaza Miserere, Ciudad de Buenos Aires","lunes",16,58.5,-34.6097624,-58.4081302,2021-03-25
"14","Plaza Miserere, Ciudad de Buenos Aires","lunes",17,54.75,-34.6097624,-58.4081302,2021-03-25
"15","Plaza Miserere, Ciudad de Buenos Aires","lunes",18,48.75,-34.6097624,-58.4081302,2021-03-25
"16","Plaza Miserere, Ciudad de Buenos Aires","lunes",19,39.75,-34.6097624,-58.4081302,2021-03-25
"17","Plaza Miserere, Ciudad de Buenos Aires","lunes",20,30,-34.6097624,-58.4081302,2021-03-25
"18","Plaza Miserere, Ciudad de Buenos Aires","lunes",21,21,-34.6097624,-58.4081302,2021-03-25
"19","Plaza Miserere, Ciudad de Buenos Aires","lunes",22,12.75,-34.6097624,-58.4081302,2021-03-25
"20","Plaza Miserere, Ciudad de Buenos Aires","lunes",23,6,-34.6097624,-58.4081302,2021-03-25
"21","Plaza Miserere, Ciudad de Buenos Aires","martes",0,0.75,-34.6097624,-58.4081302,2021-03-25
"22","Plaza Miserere, Ciudad de Buenos Aires","martes",1,0.75,-34.6097624,-58.4081302,2021-03-25
"23","Plaza Miserere, Ciudad de Buenos Aires","martes",2,0.75,-34.6097624,-58.4081302,2021-03-25
"24","Plaza Miserere, Ciudad de Buenos Aires","martes",3,0.75,-34.6097624,-58.4081302,2021-03-25
"25","Plaza Miserere, Ciudad de Buenos Aires","martes",4,0.75,-34.6097624,-58.4081302,2021-03-25
"26","Plaza Miserere, Ciudad de Buenos Aires","martes",5,4.5,-34.6097624,-58.4081302,2021-03-25
"27","Plaza Miserere, Ciudad de Buenos Aires","martes",6,9,-34.6097624,-58.4081302,2021-03-25
"28","Plaza Miserere, Ciudad de Buenos Aires","martes",7,15,-34.6097624,-58.4081302,2021-03-25
"29","Plaza Miserere, Ciudad de Buenos Aires","martes",8,21.75,-34.6097624,-58.4081302,2021-03-25
"30","Plaza Miserere, Ciudad de Buenos Aires","martes",9,28.5,-34.6097624,-58.4081302,2021-03-25
"31","Plaza Miserere, Ciudad de Buenos Aires","martes",10,35.25,-34.6097624,-58.4081302,2021-03-25
"32","Plaza Miserere, Ciudad de Buenos Aires","martes",11,42.75,-34.6097624,-58.4081302,2021-03-25
"33","Plaza Miserere, Ciudad de Buenos Aires","martes",12,49.5,-34.6097624,-58.4081302,2021-03-25
"34","Plaza Miserere, Ciudad de Buenos Aires","martes",13,54.75,-34.6097624,-58.4081302,2021-03-25
"35","Plaza Miserere, Ciudad de Buenos Aires","martes",14,59.25,-34.6097624,-58.4081302,2021-03-25
