"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Plaza Santojanni, Ciudad de Buenos Aires","lunes",4,0.75,-34.6496601,-58.5161659,2021-03-25
"2","Plaza Santojanni, Ciudad de Buenos Aires","lunes",5,0.75,-34.6496601,-58.5161659,2021-03-25
"3","Plaza Santojanni, Ciudad de Buenos Aires","lunes",6,0.75,-34.6496601,-58.5161659,2021-03-25
"4","Plaza Santojanni, Ciudad de Buenos Aires","lunes",7,0.75,-34.6496601,-58.5161659,2021-03-25
"5","Plaza Santojanni, Ciudad de Buenos Aires","lunes",8,6,-34.6496601,-58.5161659,2021-03-25
"6","Plaza Santojanni, Ciudad de Buenos Aires","lunes",9,12,-34.6496601,-58.5161659,2021-03-25
"7","Plaza Santojanni, Ciudad de Buenos Aires","lunes",10,18,-34.6496601,-58.5161659,2021-03-25
"8","Plaza Santojanni, Ciudad de Buenos Aires","lunes",11,21.75,-34.6496601,-58.5161659,2021-03-25
"9","Plaza Santojanni, Ciudad de Buenos Aires","lunes",12,22.5,-34.6496601,-58.5161659,2021-03-25
"10","Plaza Santojanni, Ciudad de Buenos Aires","lunes",13,19.5,-34.6496601,-58.5161659,2021-03-25
"11","Plaza Santojanni, Ciudad de Buenos Aires","lunes",14,16.5,-34.6496601,-58.5161659,2021-03-25
"12","Plaza Santojanni, Ciudad de Buenos Aires","lunes",15,16.5,-34.6496601,-58.5161659,2021-03-25
"13","Plaza Santojanni, Ciudad de Buenos Aires","lunes",16,24.75,-34.6496601,-58.5161659,2021-03-25
"14","Plaza Santojanni, Ciudad de Buenos Aires","lunes",17,40.5,-34.6496601,-58.5161659,2021-03-25
"15","Plaza Santojanni, Ciudad de Buenos Aires","lunes",18,56.25,-34.6496601,-58.5161659,2021-03-25
"16","Plaza Santojanni, Ciudad de Buenos Aires","lunes",19,60,-34.6496601,-58.5161659,2021-03-25
"17","Plaza Santojanni, Ciudad de Buenos Aires","lunes",20,47.25,-34.6496601,-58.5161659,2021-03-25
"18","Plaza Santojanni, Ciudad de Buenos Aires","lunes",21,27,-34.6496601,-58.5161659,2021-03-25
"19","Plaza Santojanni, Ciudad de Buenos Aires","lunes",22,10.5,-34.6496601,-58.5161659,2021-03-25
"20","Plaza Santojanni, Ciudad de Buenos Aires","lunes",23,2.25,-34.6496601,-58.5161659,2021-03-25
"21","Plaza Santojanni, Ciudad de Buenos Aires","martes",0,0.75,-34.6496601,-58.5161659,2021-03-25
"22","Plaza Santojanni, Ciudad de Buenos Aires","martes",1,0.75,-34.6496601,-58.5161659,2021-03-25
"23","Plaza Santojanni, Ciudad de Buenos Aires","martes",2,0.75,-34.6496601,-58.5161659,2021-03-25
"24","Plaza Santojanni, Ciudad de Buenos Aires","martes",3,0.75,-34.6496601,-58.5161659,2021-03-25
"25","Plaza Santojanni, Ciudad de Buenos Aires","martes",4,0.75,-34.6496601,-58.5161659,2021-03-25
"26","Plaza Santojanni, Ciudad de Buenos Aires","martes",5,0.75,-34.6496601,-58.5161659,2021-03-25
"27","Plaza Santojanni, Ciudad de Buenos Aires","martes",6,0.75,-34.6496601,-58.5161659,2021-03-25
"28","Plaza Santojanni, Ciudad de Buenos Aires","martes",7,0.75,-34.6496601,-58.5161659,2021-03-25
"29","Plaza Santojanni, Ciudad de Buenos Aires","martes",8,5.25,-34.6496601,-58.5161659,2021-03-25
"30","Plaza Santojanni, Ciudad de Buenos Aires","martes",9,13.5,-34.6496601,-58.5161659,2021-03-25
"31","Plaza Santojanni, Ciudad de Buenos Aires","martes",10,23.25,-34.6496601,-58.5161659,2021-03-25
"32","Plaza Santojanni, Ciudad de Buenos Aires","martes",11,28.5,-34.6496601,-58.5161659,2021-03-25
"33","Plaza Santojanni, Ciudad de Buenos Aires","martes",12,27,-34.6496601,-58.5161659,2021-03-25
"34","Plaza Santojanni, Ciudad de Buenos Aires","martes",13,21,-34.6496601,-58.5161659,2021-03-25
"35","Plaza Santojanni, Ciudad de Buenos Aires","martes",14,17.25,-34.6496601,-58.5161659,2021-03-25
"36","Plaza Santojanni, Ciudad de Buenos Aires","martes",15,22.5,-34.6496601,-58.5161659,2021-03-25
"37","Plaza Santojanni, Ciudad de Buenos Aires","martes",16,37.5,-34.6496601,-58.5161659,2021-03-25
"38","Plaza Santojanni, Ciudad de Buenos Aires","martes",17,54.75,-34.6496601,-58.5161659,2021-03-25
"39","Plaza Santojanni, Ciudad de Buenos Aires","martes",18,65.25,-34.6496601,-58.5161659,2021-03-25
"40","Plaza Santojanni, Ciudad de Buenos Aires","martes",19,63,-34.6496601,-58.5161659,2021-03-25
"41","Plaza Santojanni, Ciudad de Buenos Aires","martes",20,48.75,-34.6496601,-58.5161659,2021-03-25
"42","Plaza Santojanni, Ciudad de Buenos Aires","martes",21,30,-34.6496601,-58.5161659,2021-03-25
"43","Plaza Santojanni, Ciudad de Buenos Aires","martes",22,14.25,-34.6496601,-58.5161659,2021-03-25
"44","Plaza Santojanni, Ciudad de Buenos Aires","martes",23,5.25,-34.6496601,-58.5161659,2021-03-25
"45","Plaza Santojanni, Ciudad de Buenos Aires","miercoles",0,0.75,-34.6496601,-58.5161659,2021-03-25
"46","Plaza Santojanni, Ciudad de Buenos Aires","miercoles",1,0.75,-34.6496601,-58.5161659,2021-03-25
"47","Plaza Santojanni, Ciudad de Buenos Aires","miercoles",2,0.75,-34.6496601,-58.5161659,2021-03-25
"48","Plaza Santojanni, Ciudad de Buenos Aires","miercoles",3,0.75,-34.6496601,-58.5161659,2021-03-25
"49","Plaza Santojanni, Ciudad de Buenos Aires","miercoles",4,0.75,-34.6496601,-58.5161659,2021-03-25
"50","Plaza Santojanni, Ciudad de Buenos Aires","miercoles",5,0.75,-34.6496601,-58.5161659,2021-03-25
"51","Plaza Santojanni, Ciudad de Buenos Aires","miercoles",6,0.75,-34.6496601,-58.5161659,2021-03-25
"52","Plaza Santojanni, Ciudad de Buenos Aires","miercoles",7,3,-34.6496601,-58.5161659,2021-03-25
"53","Plaza Santojanni, Ciudad de Buenos Aires","miercoles",8,9,-34.6496601,-58.5161659,2021-03-25
"54","Plaza Santojanni, Ciudad de Buenos Aires","miercoles",9,15,-34.6496601,-58.5161659,2021-03-25
"55","Plaza Santojanni, Ciudad de Buenos Aires","miercoles",10,20.25,-34.6496601,-58.5161659,2021-03-25
"56","Plaza Santojanni, Ciudad de Buenos Aires","miercoles",11,23.25,-34.6496601,-58.5161659,2021-03-25
"57","Plaza Santojanni, Ciudad de Buenos Aires","miercoles",12,23.25,-34.6496601,-58.5161659,2021-03-25
"58","Plaza Santojanni, Ciudad de Buenos Aires","miercoles",13,21,-34.6496601,-58.5161659,2021-03-25
"59","Plaza Santojanni, Ciudad de Buenos Aires","miercoles",14,17.25,-34.6496601,-58.5161659,2021-03-25
"60","Plaza Santojanni, Ciudad de Buenos Aires","miercoles",15,18,-34.6496601,-58.5161659,2021-03-25
"61","Plaza Santojanni, Ciudad de Buenos Aires","miercoles",16,27,-34.6496601,-58.5161659,2021-03-25
"62","Plaza Santojanni, Ciudad de Buenos Aires","miercoles",17,45.75,-34.6496601,-58.5161659,2021-03-25
"63","Plaza Santojanni, Ciudad de Buenos Aires","miercoles",18,65.25,-34.6496601,-58.5161659,2021-03-25
"64","Plaza Santojanni, Ciudad de Buenos Aires","miercoles",19,75,-34.6496601,-58.5161659,2021-03-25
"65","Plaza Santojanni, Ciudad de Buenos Aires","miercoles",20,66,-34.6496601,-58.5161659,2021-03-25
"66","Plaza Santojanni, Ciudad de Buenos Aires","miercoles",21,44.25,-34.6496601,-58.5161659,2021-03-25
"67","Plaza Santojanni, Ciudad de Buenos Aires","miercoles",22,24,-34.6496601,-58.5161659,2021-03-25
"68","Plaza Santojanni, Ciudad de Buenos Aires","miercoles",23,11.25,-34.6496601,-58.5161659,2021-03-25
"69","Plaza Santojanni, Ciudad de Buenos Aires","jueves",0,6,-34.6496601,-58.5161659,2021-03-25
"70","Plaza Santojanni, Ciudad de Buenos Aires","jueves",1,4.5,-34.6496601,-58.5161659,2021-03-25
"71","Plaza Santojanni, Ciudad de Buenos Aires","jueves",2,2.25,-34.6496601,-58.5161659,2021-03-25
"72","Plaza Santojanni, Ciudad de Buenos Aires","jueves",3,0,-34.6496601,-58.5161659,2021-03-25
"73","Plaza Santojanni, Ciudad de Buenos Aires","jueves",4,0.75,-34.6496601,-58.5161659,2021-03-25
"74","Plaza Santojanni, Ciudad de Buenos Aires","jueves",5,0.75,-34.6496601,-58.5161659,2021-03-25
"75","Plaza Santojanni, Ciudad de Buenos Aires","jueves",6,0.75,-34.6496601,-58.5161659,2021-03-25
"76","Plaza Santojanni, Ciudad de Buenos Aires","jueves",7,2.25,-34.6496601,-58.5161659,2021-03-25
"77","Plaza Santojanni, Ciudad de Buenos Aires","jueves",8,9.75,-34.6496601,-58.5161659,2021-03-25
"78","Plaza Santojanni, Ciudad de Buenos Aires","jueves",9,18.75,-34.6496601,-58.5161659,2021-03-25
"79","Plaza Santojanni, Ciudad de Buenos Aires","jueves",10,27,-34.6496601,-58.5161659,2021-03-25
"80","Plaza Santojanni, Ciudad de Buenos Aires","jueves",11,32.25,-34.6496601,-58.5161659,2021-03-25
"81","Plaza Santojanni, Ciudad de Buenos Aires","jueves",12,32.25,-34.6496601,-58.5161659,2021-03-25
"82","Plaza Santojanni, Ciudad de Buenos Aires","jueves",13,27.75,-34.6496601,-58.5161659,2021-03-25
"83","Plaza Santojanni, Ciudad de Buenos Aires","jueves",14,21.75,-34.6496601,-58.5161659,2021-03-25
"84","Plaza Santojanni, Ciudad de Buenos Aires","jueves",15,20.25,-34.6496601,-58.5161659,2021-03-25
"85","Plaza Santojanni, Ciudad de Buenos Aires","jueves",16,27,-34.6496601,-58.5161659,2021-03-25
"86","Plaza Santojanni, Ciudad de Buenos Aires","jueves",17,42.75,-34.6496601,-58.5161659,2021-03-25
"87","Plaza Santojanni, Ciudad de Buenos Aires","jueves",18,58.5,-34.6496601,-58.5161659,2021-03-25
"88","Plaza Santojanni, Ciudad de Buenos Aires","jueves",19,61.5,-34.6496601,-58.5161659,2021-03-25
"89","Plaza Santojanni, Ciudad de Buenos Aires","jueves",20,49.5,-34.6496601,-58.5161659,2021-03-25
"90","Plaza Santojanni, Ciudad de Buenos Aires","jueves",21,30,-34.6496601,-58.5161659,2021-03-25
"91","Plaza Santojanni, Ciudad de Buenos Aires","jueves",22,15,-34.6496601,-58.5161659,2021-03-25
"92","Plaza Santojanni, Ciudad de Buenos Aires","jueves",23,9,-34.6496601,-58.5161659,2021-03-25
"93","Plaza Santojanni, Ciudad de Buenos Aires","viernes",0,8.25,-34.6496601,-58.5161659,2021-03-25
