"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Plaza Teniente Pomar, Ciudad de Buenos Aires","lunes",6,0,-34.5881755,-58.3972371,2021-03-25
"2","Plaza Teniente Pomar, Ciudad de Buenos Aires","lunes",7,0.75,-34.5881755,-58.3972371,2021-03-25
"3","Plaza Teniente Pomar, Ciudad de Buenos Aires","lunes",8,0,-34.5881755,-58.3972371,2021-03-25
"4","Plaza Teniente Pomar, Ciudad de Buenos Aires","lunes",9,7.5,-34.5881755,-58.3972371,2021-03-25
"5","Plaza Teniente Pomar, Ciudad de Buenos Aires","lunes",10,15,-34.5881755,-58.3972371,2021-03-25
"6","Plaza Teniente Pomar, Ciudad de Buenos Aires","lunes",11,20.25,-34.5881755,-58.3972371,2021-03-25
"7","Plaza Teniente Pomar, Ciudad de Buenos Aires","lunes",12,23.25,-34.5881755,-58.3972371,2021-03-25
"8","Plaza Teniente Pomar, Ciudad de Buenos Aires","lunes",13,24,-34.5881755,-58.3972371,2021-03-25
"9","Plaza Teniente Pomar, Ciudad de Buenos Aires","lunes",14,25.5,-34.5881755,-58.3972371,2021-03-25
"10","Plaza Teniente Pomar, Ciudad de Buenos Aires","lunes",15,30,-34.5881755,-58.3972371,2021-03-25
"11","Plaza Teniente Pomar, Ciudad de Buenos Aires","lunes",16,40.5,-34.5881755,-58.3972371,2021-03-25
"12","Plaza Teniente Pomar, Ciudad de Buenos Aires","lunes",17,52.5,-34.5881755,-58.3972371,2021-03-25
"13","Plaza Teniente Pomar, Ciudad de Buenos Aires","lunes",18,59.25,-34.5881755,-58.3972371,2021-03-25
"14","Plaza Teniente Pomar, Ciudad de Buenos Aires","lunes",19,54.75,-34.5881755,-58.3972371,2021-03-25
"15","Plaza Teniente Pomar, Ciudad de Buenos Aires","lunes",20,39,-34.5881755,-58.3972371,2021-03-25
"16","Plaza Teniente Pomar, Ciudad de Buenos Aires","lunes",21,0,-34.5881755,-58.3972371,2021-03-25
"17","Plaza Teniente Pomar, Ciudad de Buenos Aires","lunes",22,0,-34.5881755,-58.3972371,2021-03-25
"18","Plaza Teniente Pomar, Ciudad de Buenos Aires","lunes",23,0,-34.5881755,-58.3972371,2021-03-25
"19","Plaza Teniente Pomar, Ciudad de Buenos Aires","martes",6,0,-34.5881755,-58.3972371,2021-03-25
"20","Plaza Teniente Pomar, Ciudad de Buenos Aires","martes",7,6,-34.5881755,-58.3972371,2021-03-25
"21","Plaza Teniente Pomar, Ciudad de Buenos Aires","martes",8,18,-34.5881755,-58.3972371,2021-03-25
"22","Plaza Teniente Pomar, Ciudad de Buenos Aires","martes",9,32.25,-34.5881755,-58.3972371,2021-03-25
"23","Plaza Teniente Pomar, Ciudad de Buenos Aires","martes",10,46.5,-34.5881755,-58.3972371,2021-03-25
"24","Plaza Teniente Pomar, Ciudad de Buenos Aires","martes",11,57,-34.5881755,-58.3972371,2021-03-25
"25","Plaza Teniente Pomar, Ciudad de Buenos Aires","martes",12,61.5,-34.5881755,-58.3972371,2021-03-25
