"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Plazoleta Quino, Ciudad de Buenos Aires","lunes",4,0,-34.5806439,-58.4456115,2021-03-25
"2","Plazoleta Quino, Ciudad de Buenos Aires","lunes",5,0.75,-34.5806439,-58.4456115,2021-03-25
"3","Plazoleta Quino, Ciudad de Buenos Aires","lunes",6,0.75,-34.5806439,-58.4456115,2021-03-25
"4","Plazoleta Quino, Ciudad de Buenos Aires","lunes",7,3.75,-34.5806439,-58.4456115,2021-03-25
"5","Plazoleta Quino, Ciudad de Buenos Aires","lunes",8,10.5,-34.5806439,-58.4456115,2021-03-25
"6","Plazoleta Quino, Ciudad de Buenos Aires","lunes",9,18,-34.5806439,-58.4456115,2021-03-25
"7","Plazoleta Quino, Ciudad de Buenos Aires","lunes",10,24.75,-34.5806439,-58.4456115,2021-03-25
"8","Plazoleta Quino, Ciudad de Buenos Aires","lunes",11,27.75,-34.5806439,-58.4456115,2021-03-25
"9","Plazoleta Quino, Ciudad de Buenos Aires","lunes",12,26.25,-34.5806439,-58.4456115,2021-03-25
"10","Plazoleta Quino, Ciudad de Buenos Aires","lunes",13,23.25,-34.5806439,-58.4456115,2021-03-25
"11","Plazoleta Quino, Ciudad de Buenos Aires","lunes",14,19.5,-34.5806439,-58.4456115,2021-03-25
"12","Plazoleta Quino, Ciudad de Buenos Aires","lunes",15,21,-34.5806439,-58.4456115,2021-03-25
"13","Plazoleta Quino, Ciudad de Buenos Aires","lunes",16,27.75,-34.5806439,-58.4456115,2021-03-25
"14","Plazoleta Quino, Ciudad de Buenos Aires","lunes",17,39.75,-34.5806439,-58.4456115,2021-03-25
"15","Plazoleta Quino, Ciudad de Buenos Aires","lunes",18,50.25,-34.5806439,-58.4456115,2021-03-25
"16","Plazoleta Quino, Ciudad de Buenos Aires","lunes",19,53.25,-34.5806439,-58.4456115,2021-03-25
"17","Plazoleta Quino, Ciudad de Buenos Aires","lunes",20,47.25,-34.5806439,-58.4456115,2021-03-25
"18","Plazoleta Quino, Ciudad de Buenos Aires","lunes",21,33.75,-34.5806439,-58.4456115,2021-03-25
"19","Plazoleta Quino, Ciudad de Buenos Aires","lunes",22,20.25,-34.5806439,-58.4456115,2021-03-25
"20","Plazoleta Quino, Ciudad de Buenos Aires","lunes",23,12,-34.5806439,-58.4456115,2021-03-25
"21","Plazoleta Quino, Ciudad de Buenos Aires","martes",0,9.75,-34.5806439,-58.4456115,2021-03-25
"22","Plazoleta Quino, Ciudad de Buenos Aires","martes",1,10.5,-34.5806439,-58.4456115,2021-03-25
"23","Plazoleta Quino, Ciudad de Buenos Aires","martes",2,9,-34.5806439,-58.4456115,2021-03-25
"24","Plazoleta Quino, Ciudad de Buenos Aires","martes",3,5.25,-34.5806439,-58.4456115,2021-03-25
"25","Plazoleta Quino, Ciudad de Buenos Aires","martes",4,0,-34.5806439,-58.4456115,2021-03-25
"26","Plazoleta Quino, Ciudad de Buenos Aires","martes",5,0.75,-34.5806439,-58.4456115,2021-03-25
"27","Plazoleta Quino, Ciudad de Buenos Aires","martes",6,0.75,-34.5806439,-58.4456115,2021-03-25
"28","Plazoleta Quino, Ciudad de Buenos Aires","martes",7,3.75,-34.5806439,-58.4456115,2021-03-25
"29","Plazoleta Quino, Ciudad de Buenos Aires","martes",8,10.5,-34.5806439,-58.4456115,2021-03-25
"30","Plazoleta Quino, Ciudad de Buenos Aires","martes",9,18,-34.5806439,-58.4456115,2021-03-25
"31","Plazoleta Quino, Ciudad de Buenos Aires","martes",10,24.75,-34.5806439,-58.4456115,2021-03-25
"32","Plazoleta Quino, Ciudad de Buenos Aires","martes",11,27.75,-34.5806439,-58.4456115,2021-03-25
"33","Plazoleta Quino, Ciudad de Buenos Aires","martes",12,26.25,-34.5806439,-58.4456115,2021-03-25
"34","Plazoleta Quino, Ciudad de Buenos Aires","martes",13,23.25,-34.5806439,-58.4456115,2021-03-25
"35","Plazoleta Quino, Ciudad de Buenos Aires","martes",14,19.5,-34.5806439,-58.4456115,2021-03-25
"36","Plazoleta Quino, Ciudad de Buenos Aires","martes",15,21,-34.5806439,-58.4456115,2021-03-25
"37","Plazoleta Quino, Ciudad de Buenos Aires","martes",16,27.75,-34.5806439,-58.4456115,2021-03-25
"38","Plazoleta Quino, Ciudad de Buenos Aires","martes",17,39.75,-34.5806439,-58.4456115,2021-03-25
"39","Plazoleta Quino, Ciudad de Buenos Aires","martes",18,50.25,-34.5806439,-58.4456115,2021-03-25
"40","Plazoleta Quino, Ciudad de Buenos Aires","martes",19,53.25,-34.5806439,-58.4456115,2021-03-25
"41","Plazoleta Quino, Ciudad de Buenos Aires","martes",20,47.25,-34.5806439,-58.4456115,2021-03-25
"42","Plazoleta Quino, Ciudad de Buenos Aires","martes",21,33.75,-34.5806439,-58.4456115,2021-03-25
"43","Plazoleta Quino, Ciudad de Buenos Aires","martes",22,20.25,-34.5806439,-58.4456115,2021-03-25
"44","Plazoleta Quino, Ciudad de Buenos Aires","martes",23,12,-34.5806439,-58.4456115,2021-03-25
"45","Plazoleta Quino, Ciudad de Buenos Aires","miercoles",0,9.75,-34.5806439,-58.4456115,2021-03-25
"46","Plazoleta Quino, Ciudad de Buenos Aires","miercoles",1,10.5,-34.5806439,-58.4456115,2021-03-25
"47","Plazoleta Quino, Ciudad de Buenos Aires","miercoles",2,9,-34.5806439,-58.4456115,2021-03-25
"48","Plazoleta Quino, Ciudad de Buenos Aires","miercoles",3,5.25,-34.5806439,-58.4456115,2021-03-25
"49","Plazoleta Quino, Ciudad de Buenos Aires","miercoles",4,0,-34.5806439,-58.4456115,2021-03-25
"50","Plazoleta Quino, Ciudad de Buenos Aires","miercoles",5,0.75,-34.5806439,-58.4456115,2021-03-25
"51","Plazoleta Quino, Ciudad de Buenos Aires","miercoles",6,0.75,-34.5806439,-58.4456115,2021-03-25
"52","Plazoleta Quino, Ciudad de Buenos Aires","miercoles",7,3.75,-34.5806439,-58.4456115,2021-03-25
"53","Plazoleta Quino, Ciudad de Buenos Aires","miercoles",8,10.5,-34.5806439,-58.4456115,2021-03-25
"54","Plazoleta Quino, Ciudad de Buenos Aires","miercoles",9,18,-34.5806439,-58.4456115,2021-03-25
"55","Plazoleta Quino, Ciudad de Buenos Aires","miercoles",10,24.75,-34.5806439,-58.4456115,2021-03-25
"56","Plazoleta Quino, Ciudad de Buenos Aires","miercoles",11,27.75,-34.5806439,-58.4456115,2021-03-25
"57","Plazoleta Quino, Ciudad de Buenos Aires","miercoles",12,26.25,-34.5806439,-58.4456115,2021-03-25
"58","Plazoleta Quino, Ciudad de Buenos Aires","miercoles",13,23.25,-34.5806439,-58.4456115,2021-03-25
"59","Plazoleta Quino, Ciudad de Buenos Aires","miercoles",14,19.5,-34.5806439,-58.4456115,2021-03-25
"60","Plazoleta Quino, Ciudad de Buenos Aires","miercoles",15,21,-34.5806439,-58.4456115,2021-03-25
"61","Plazoleta Quino, Ciudad de Buenos Aires","miercoles",16,27.75,-34.5806439,-58.4456115,2021-03-25
"62","Plazoleta Quino, Ciudad de Buenos Aires","miercoles",17,39.75,-34.5806439,-58.4456115,2021-03-25
"63","Plazoleta Quino, Ciudad de Buenos Aires","miercoles",18,50.25,-34.5806439,-58.4456115,2021-03-25
"64","Plazoleta Quino, Ciudad de Buenos Aires","miercoles",19,53.25,-34.5806439,-58.4456115,2021-03-25
"65","Plazoleta Quino, Ciudad de Buenos Aires","miercoles",20,47.25,-34.5806439,-58.4456115,2021-03-25
"66","Plazoleta Quino, Ciudad de Buenos Aires","miercoles",21,33.75,-34.5806439,-58.4456115,2021-03-25
"67","Plazoleta Quino, Ciudad de Buenos Aires","miercoles",22,20.25,-34.5806439,-58.4456115,2021-03-25
"68","Plazoleta Quino, Ciudad de Buenos Aires","miercoles",23,12,-34.5806439,-58.4456115,2021-03-25
"69","Plazoleta Quino, Ciudad de Buenos Aires","jueves",0,9.75,-34.5806439,-58.4456115,2021-03-25
"70","Plazoleta Quino, Ciudad de Buenos Aires","jueves",1,10.5,-34.5806439,-58.4456115,2021-03-25
"71","Plazoleta Quino, Ciudad de Buenos Aires","jueves",2,9,-34.5806439,-58.4456115,2021-03-25
"72","Plazoleta Quino, Ciudad de Buenos Aires","jueves",3,5.25,-34.5806439,-58.4456115,2021-03-25
"73","Plazoleta Quino, Ciudad de Buenos Aires","jueves",4,0,-34.5806439,-58.4456115,2021-03-25
"74","Plazoleta Quino, Ciudad de Buenos Aires","jueves",5,0.75,-34.5806439,-58.4456115,2021-03-25
"75","Plazoleta Quino, Ciudad de Buenos Aires","jueves",6,0.75,-34.5806439,-58.4456115,2021-03-25
"76","Plazoleta Quino, Ciudad de Buenos Aires","jueves",7,3.75,-34.5806439,-58.4456115,2021-03-25
"77","Plazoleta Quino, Ciudad de Buenos Aires","jueves",8,10.5,-34.5806439,-58.4456115,2021-03-25
"78","Plazoleta Quino, Ciudad de Buenos Aires","jueves",9,18,-34.5806439,-58.4456115,2021-03-25
"79","Plazoleta Quino, Ciudad de Buenos Aires","jueves",10,24.75,-34.5806439,-58.4456115,2021-03-25
"80","Plazoleta Quino, Ciudad de Buenos Aires","jueves",11,27.75,-34.5806439,-58.4456115,2021-03-25
"81","Plazoleta Quino, Ciudad de Buenos Aires","jueves",12,26.25,-34.5806439,-58.4456115,2021-03-25
"82","Plazoleta Quino, Ciudad de Buenos Aires","jueves",13,23.25,-34.5806439,-58.4456115,2021-03-25
"83","Plazoleta Quino, Ciudad de Buenos Aires","jueves",14,19.5,-34.5806439,-58.4456115,2021-03-25
"84","Plazoleta Quino, Ciudad de Buenos Aires","jueves",15,21,-34.5806439,-58.4456115,2021-03-25
"85","Plazoleta Quino, Ciudad de Buenos Aires","jueves",16,27.75,-34.5806439,-58.4456115,2021-03-25
"86","Plazoleta Quino, Ciudad de Buenos Aires","jueves",17,39.75,-34.5806439,-58.4456115,2021-03-25
"87","Plazoleta Quino, Ciudad de Buenos Aires","jueves",18,50.25,-34.5806439,-58.4456115,2021-03-25
"88","Plazoleta Quino, Ciudad de Buenos Aires","jueves",19,53.25,-34.5806439,-58.4456115,2021-03-25
"89","Plazoleta Quino, Ciudad de Buenos Aires","jueves",20,47.25,-34.5806439,-58.4456115,2021-03-25
"90","Plazoleta Quino, Ciudad de Buenos Aires","jueves",21,33.75,-34.5806439,-58.4456115,2021-03-25
"91","Plazoleta Quino, Ciudad de Buenos Aires","jueves",22,20.25,-34.5806439,-58.4456115,2021-03-25
"92","Plazoleta Quino, Ciudad de Buenos Aires","jueves",23,12,-34.5806439,-58.4456115,2021-03-25
"93","Plazoleta Quino, Ciudad de Buenos Aires","viernes",0,9.75,-34.5806439,-58.4456115,2021-03-25
"94","Plazoleta Quino, Ciudad de Buenos Aires","viernes",1,10.5,-34.5806439,-58.4456115,2021-03-25
"95","Plazoleta Quino, Ciudad de Buenos Aires","viernes",2,9,-34.5806439,-58.4456115,2021-03-25
"96","Plazoleta Quino, Ciudad de Buenos Aires","viernes",3,5.25,-34.5806439,-58.4456115,2021-03-25
"97","Plazoleta Quino, Ciudad de Buenos Aires","viernes",4,0,-34.5806439,-58.4456115,2021-03-25
"98","Plazoleta Quino, Ciudad de Buenos Aires","viernes",5,0.75,-34.5806439,-58.4456115,2021-03-25
"99","Plazoleta Quino, Ciudad de Buenos Aires","viernes",6,0.75,-34.5806439,-58.4456115,2021-03-25
"100","Plazoleta Quino, Ciudad de Buenos Aires","viernes",7,3.75,-34.5806439,-58.4456115,2021-03-25
"101","Plazoleta Quino, Ciudad de Buenos Aires","viernes",8,10.5,-34.5806439,-58.4456115,2021-03-25
"102","Plazoleta Quino, Ciudad de Buenos Aires","viernes",9,18,-34.5806439,-58.4456115,2021-03-25
"103","Plazoleta Quino, Ciudad de Buenos Aires","viernes",10,24.75,-34.5806439,-58.4456115,2021-03-25
"104","Plazoleta Quino, Ciudad de Buenos Aires","viernes",11,27.75,-34.5806439,-58.4456115,2021-03-25
"105","Plazoleta Quino, Ciudad de Buenos Aires","viernes",12,26.25,-34.5806439,-58.4456115,2021-03-25
"106","Plazoleta Quino, Ciudad de Buenos Aires","viernes",13,23.25,-34.5806439,-58.4456115,2021-03-25
"107","Plazoleta Quino, Ciudad de Buenos Aires","viernes",14,19.5,-34.5806439,-58.4456115,2021-03-25
"108","Plazoleta Quino, Ciudad de Buenos Aires","viernes",15,21,-34.5806439,-58.4456115,2021-03-25
