"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Plaza Ricchieri, Ciudad de Buenos Aires","lunes",6,0,-34.610684,-58.518334,2021-03-24
"2","Plaza Ricchieri, Ciudad de Buenos Aires","lunes",7,0,-34.610684,-58.518334,2021-03-24
"3","Plaza Ricchieri, Ciudad de Buenos Aires","lunes",8,3,-34.610684,-58.518334,2021-03-24
"4","Plaza Ricchieri, Ciudad de Buenos Aires","lunes",9,5.25,-34.610684,-58.518334,2021-03-24
"5","Plaza Ricchieri, Ciudad de Buenos Aires","lunes",10,9.75,-34.610684,-58.518334,2021-03-24
"6","Plaza Ricchieri, Ciudad de Buenos Aires","lunes",11,13.5,-34.610684,-58.518334,2021-03-24
"7","Plaza Ricchieri, Ciudad de Buenos Aires","lunes",12,16.5,-34.610684,-58.518334,2021-03-24
"8","Plaza Ricchieri, Ciudad de Buenos Aires","lunes",13,17.25,-34.610684,-58.518334,2021-03-24
"9","Plaza Ricchieri, Ciudad de Buenos Aires","lunes",14,16.5,-34.610684,-58.518334,2021-03-24
"10","Plaza Ricchieri, Ciudad de Buenos Aires","lunes",15,18.75,-34.610684,-58.518334,2021-03-24
"11","Plaza Ricchieri, Ciudad de Buenos Aires","lunes",16,23.25,-34.610684,-58.518334,2021-03-24
"12","Plaza Ricchieri, Ciudad de Buenos Aires","lunes",17,30.75,-34.610684,-58.518334,2021-03-24
"13","Plaza Ricchieri, Ciudad de Buenos Aires","lunes",18,36,-34.610684,-58.518334,2021-03-24
"14","Plaza Ricchieri, Ciudad de Buenos Aires","lunes",19,35.25,-34.610684,-58.518334,2021-03-24
"15","Plaza Ricchieri, Ciudad de Buenos Aires","lunes",20,0,-34.610684,-58.518334,2021-03-24
"16","Plaza Ricchieri, Ciudad de Buenos Aires","lunes",21,0,-34.610684,-58.518334,2021-03-24
"17","Plaza Ricchieri, Ciudad de Buenos Aires","lunes",22,0,-34.610684,-58.518334,2021-03-24
"18","Plaza Ricchieri, Ciudad de Buenos Aires","lunes",23,0,-34.610684,-58.518334,2021-03-24
"19","Plaza Ricchieri, Ciudad de Buenos Aires","martes",6,0,-34.610684,-58.518334,2021-03-24
"20","Plaza Ricchieri, Ciudad de Buenos Aires","martes",7,0,-34.610684,-58.518334,2021-03-24
"21","Plaza Ricchieri, Ciudad de Buenos Aires","martes",8,4.5,-34.610684,-58.518334,2021-03-24
"22","Plaza Ricchieri, Ciudad de Buenos Aires","martes",9,8.25,-34.610684,-58.518334,2021-03-24
"23","Plaza Ricchieri, Ciudad de Buenos Aires","martes",10,12.75,-34.610684,-58.518334,2021-03-24
"24","Plaza Ricchieri, Ciudad de Buenos Aires","martes",11,16.5,-34.610684,-58.518334,2021-03-24
"25","Plaza Ricchieri, Ciudad de Buenos Aires","martes",12,18.75,-34.610684,-58.518334,2021-03-24
"26","Plaza Ricchieri, Ciudad de Buenos Aires","martes",13,20.25,-34.610684,-58.518334,2021-03-24
"27","Plaza Ricchieri, Ciudad de Buenos Aires","martes",14,20.25,-34.610684,-58.518334,2021-03-24
"28","Plaza Ricchieri, Ciudad de Buenos Aires","martes",15,21.75,-34.610684,-58.518334,2021-03-24
"29","Plaza Ricchieri, Ciudad de Buenos Aires","martes",16,26.25,-34.610684,-58.518334,2021-03-24
"30","Plaza Ricchieri, Ciudad de Buenos Aires","martes",17,33,-34.610684,-58.518334,2021-03-24
"31","Plaza Ricchieri, Ciudad de Buenos Aires","martes",18,38.25,-34.610684,-58.518334,2021-03-24
"32","Plaza Ricchieri, Ciudad de Buenos Aires","martes",19,37.5,-34.610684,-58.518334,2021-03-24
"33","Plaza Ricchieri, Ciudad de Buenos Aires","martes",20,0,-34.610684,-58.518334,2021-03-24
"34","Plaza Ricchieri, Ciudad de Buenos Aires","martes",21,0,-34.610684,-58.518334,2021-03-24
"35","Plaza Ricchieri, Ciudad de Buenos Aires","martes",22,0,-34.610684,-58.518334,2021-03-24
"36","Plaza Ricchieri, Ciudad de Buenos Aires","martes",23,0,-34.610684,-58.518334,2021-03-24
"37","Plaza Ricchieri, Ciudad de Buenos Aires","miercoles",6,0,-34.610684,-58.518334,2021-03-24
"38","Plaza Ricchieri, Ciudad de Buenos Aires","miercoles",7,0,-34.610684,-58.518334,2021-03-24
"39","Plaza Ricchieri, Ciudad de Buenos Aires","miercoles",8,5.25,-34.610684,-58.518334,2021-03-24
"40","Plaza Ricchieri, Ciudad de Buenos Aires","miercoles",9,9,-34.610684,-58.518334,2021-03-24
"41","Plaza Ricchieri, Ciudad de Buenos Aires","miercoles",10,13.5,-34.610684,-58.518334,2021-03-24
"42","Plaza Ricchieri, Ciudad de Buenos Aires","miercoles",11,18,-34.610684,-58.518334,2021-03-24
"43","Plaza Ricchieri, Ciudad de Buenos Aires","miercoles",12,20.25,-34.610684,-58.518334,2021-03-24
"44","Plaza Ricchieri, Ciudad de Buenos Aires","miercoles",13,21,-34.610684,-58.518334,2021-03-24
"45","Plaza Ricchieri, Ciudad de Buenos Aires","miercoles",14,20.25,-34.610684,-58.518334,2021-03-24
"46","Plaza Ricchieri, Ciudad de Buenos Aires","miercoles",15,21.75,-34.610684,-58.518334,2021-03-24
"47","Plaza Ricchieri, Ciudad de Buenos Aires","miercoles",16,26.25,-34.610684,-58.518334,2021-03-24
"48","Plaza Ricchieri, Ciudad de Buenos Aires","miercoles",17,33,-34.610684,-58.518334,2021-03-24
"49","Plaza Ricchieri, Ciudad de Buenos Aires","miercoles",18,37.5,-34.610684,-58.518334,2021-03-24
"50","Plaza Ricchieri, Ciudad de Buenos Aires","miercoles",19,37.5,-34.610684,-58.518334,2021-03-24
"51","Plaza Ricchieri, Ciudad de Buenos Aires","miercoles",20,0,-34.610684,-58.518334,2021-03-24
"52","Plaza Ricchieri, Ciudad de Buenos Aires","miercoles",21,0,-34.610684,-58.518334,2021-03-24
"53","Plaza Ricchieri, Ciudad de Buenos Aires","miercoles",22,0,-34.610684,-58.518334,2021-03-24
"54","Plaza Ricchieri, Ciudad de Buenos Aires","miercoles",23,0,-34.610684,-58.518334,2021-03-24
"55","Plaza Ricchieri, Ciudad de Buenos Aires","jueves",6,0,-34.610684,-58.518334,2021-03-24
"56","Plaza Ricchieri, Ciudad de Buenos Aires","jueves",7,0,-34.610684,-58.518334,2021-03-24
"57","Plaza Ricchieri, Ciudad de Buenos Aires","jueves",8,5.25,-34.610684,-58.518334,2021-03-24
"58","Plaza Ricchieri, Ciudad de Buenos Aires","jueves",9,9.75,-34.610684,-58.518334,2021-03-24
"59","Plaza Ricchieri, Ciudad de Buenos Aires","jueves",10,15,-34.610684,-58.518334,2021-03-24
"60","Plaza Ricchieri, Ciudad de Buenos Aires","jueves",11,19.5,-34.610684,-58.518334,2021-03-24
"61","Plaza Ricchieri, Ciudad de Buenos Aires","jueves",12,21.75,-34.610684,-58.518334,2021-03-24
"62","Plaza Ricchieri, Ciudad de Buenos Aires","jueves",13,21.75,-34.610684,-58.518334,2021-03-24
"63","Plaza Ricchieri, Ciudad de Buenos Aires","jueves",14,20.25,-34.610684,-58.518334,2021-03-24
"64","Plaza Ricchieri, Ciudad de Buenos Aires","jueves",15,21,-34.610684,-58.518334,2021-03-24
"65","Plaza Ricchieri, Ciudad de Buenos Aires","jueves",16,24.75,-34.610684,-58.518334,2021-03-24
"66","Plaza Ricchieri, Ciudad de Buenos Aires","jueves",17,31.5,-34.610684,-58.518334,2021-03-24
"67","Plaza Ricchieri, Ciudad de Buenos Aires","jueves",18,36.75,-34.610684,-58.518334,2021-03-24
"68","Plaza Ricchieri, Ciudad de Buenos Aires","jueves",19,36,-34.610684,-58.518334,2021-03-24
"69","Plaza Ricchieri, Ciudad de Buenos Aires","jueves",20,0,-34.610684,-58.518334,2021-03-24
"70","Plaza Ricchieri, Ciudad de Buenos Aires","jueves",21,0,-34.610684,-58.518334,2021-03-24
"71","Plaza Ricchieri, Ciudad de Buenos Aires","jueves",22,0,-34.610684,-58.518334,2021-03-24
"72","Plaza Ricchieri, Ciudad de Buenos Aires","jueves",23,0,-34.610684,-58.518334,2021-03-24
"73","Plaza Ricchieri, Ciudad de Buenos Aires","viernes",6,0,-34.610684,-58.518334,2021-03-24
"74","Plaza Ricchieri, Ciudad de Buenos Aires","viernes",7,0,-34.610684,-58.518334,2021-03-24
"75","Plaza Ricchieri, Ciudad de Buenos Aires","viernes",8,4.5,-34.610684,-58.518334,2021-03-24
"76","Plaza Ricchieri, Ciudad de Buenos Aires","viernes",9,8.25,-34.610684,-58.518334,2021-03-24
"77","Plaza Ricchieri, Ciudad de Buenos Aires","viernes",10,13.5,-34.610684,-58.518334,2021-03-24
"78","Plaza Ricchieri, Ciudad de Buenos Aires","viernes",11,17.25,-34.610684,-58.518334,2021-03-24
"79","Plaza Ricchieri, Ciudad de Buenos Aires","viernes",12,20.25,-34.610684,-58.518334,2021-03-24
"80","Plaza Ricchieri, Ciudad de Buenos Aires","viernes",13,21,-34.610684,-58.518334,2021-03-24
"81","Plaza Ricchieri, Ciudad de Buenos Aires","viernes",14,21,-34.610684,-58.518334,2021-03-24
"82","Plaza Ricchieri, Ciudad de Buenos Aires","viernes",15,21,-34.610684,-58.518334,2021-03-24
"83","Plaza Ricchieri, Ciudad de Buenos Aires","viernes",16,24,-34.610684,-58.518334,2021-03-24
"84","Plaza Ricchieri, Ciudad de Buenos Aires","viernes",17,29.25,-34.610684,-58.518334,2021-03-24
"85","Plaza Ricchieri, Ciudad de Buenos Aires","viernes",18,34.5,-34.610684,-58.518334,2021-03-24
"86","Plaza Ricchieri, Ciudad de Buenos Aires","viernes",19,36,-34.610684,-58.518334,2021-03-24
"87","Plaza Ricchieri, Ciudad de Buenos Aires","viernes",20,0,-34.610684,-58.518334,2021-03-24
"88","Plaza Ricchieri, Ciudad de Buenos Aires","viernes",21,0,-34.610684,-58.518334,2021-03-24
"89","Plaza Ricchieri, Ciudad de Buenos Aires","viernes",22,0,-34.610684,-58.518334,2021-03-24
"90","Plaza Ricchieri, Ciudad de Buenos Aires","viernes",23,0,-34.610684,-58.518334,2021-03-24
"91","Plaza Ricchieri, Ciudad de Buenos Aires","sabado",6,0,-34.610684,-58.518334,2021-03-24
"92","Plaza Ricchieri, Ciudad de Buenos Aires","sabado",7,0,-34.610684,-58.518334,2021-03-24
"93","Plaza Ricchieri, Ciudad de Buenos Aires","sabado",8,6,-34.610684,-58.518334,2021-03-24
"94","Plaza Ricchieri, Ciudad de Buenos Aires","sabado",9,12.75,-34.610684,-58.518334,2021-03-24
"95","Plaza Ricchieri, Ciudad de Buenos Aires","sabado",10,21,-34.610684,-58.518334,2021-03-24
"96","Plaza Ricchieri, Ciudad de Buenos Aires","sabado",11,29.25,-34.610684,-58.518334,2021-03-24
"97","Plaza Ricchieri, Ciudad de Buenos Aires","sabado",12,34.5,-34.610684,-58.518334,2021-03-24
"98","Plaza Ricchieri, Ciudad de Buenos Aires","sabado",13,34.5,-34.610684,-58.518334,2021-03-24
"99","Plaza Ricchieri, Ciudad de Buenos Aires","sabado",14,33,-34.610684,-58.518334,2021-03-24
"100","Plaza Ricchieri, Ciudad de Buenos Aires","sabado",15,36,-34.610684,-58.518334,2021-03-24
"101","Plaza Ricchieri, Ciudad de Buenos Aires","sabado",16,45.75,-34.610684,-58.518334,2021-03-24
"102","Plaza Ricchieri, Ciudad de Buenos Aires","sabado",17,57,-34.610684,-58.518334,2021-03-24
"103","Plaza Ricchieri, Ciudad de Buenos Aires","sabado",18,61.5,-34.610684,-58.518334,2021-03-24
"104","Plaza Ricchieri, Ciudad de Buenos Aires","sabado",19,55.5,-34.610684,-58.518334,2021-03-24
"105","Plaza Ricchieri, Ciudad de Buenos Aires","sabado",20,0,-34.610684,-58.518334,2021-03-24
"106","Plaza Ricchieri, Ciudad de Buenos Aires","sabado",21,0,-34.610684,-58.518334,2021-03-24
"107","Plaza Ricchieri, Ciudad de Buenos Aires","sabado",22,0,-34.610684,-58.518334,2021-03-24
"108","Plaza Ricchieri, Ciudad de Buenos Aires","sabado",23,0,-34.610684,-58.518334,2021-03-24
"109","Plaza Ricchieri, Ciudad de Buenos Aires","domingo",6,0,-34.610684,-58.518334,2021-03-24
"110","Plaza Ricchieri, Ciudad de Buenos Aires","domingo",7,0,-34.610684,-58.518334,2021-03-24
"111","Plaza Ricchieri, Ciudad de Buenos Aires","domingo",8,3.75,-34.610684,-58.518334,2021-03-24
"112","Plaza Ricchieri, Ciudad de Buenos Aires","domingo",9,9,-34.610684,-58.518334,2021-03-24
"113","Plaza Ricchieri, Ciudad de Buenos Aires","domingo",10,16.5,-34.610684,-58.518334,2021-03-24
"114","Plaza Ricchieri, Ciudad de Buenos Aires","domingo",11,24,-34.610684,-58.518334,2021-03-24
"115","Plaza Ricchieri, Ciudad de Buenos Aires","domingo",12,28.5,-34.610684,-58.518334,2021-03-24
"116","Plaza Ricchieri, Ciudad de Buenos Aires","domingo",13,30,-34.610684,-58.518334,2021-03-24
"117","Plaza Ricchieri, Ciudad de Buenos Aires","domingo",14,30.75,-34.610684,-58.518334,2021-03-24
"118","Plaza Ricchieri, Ciudad de Buenos Aires","domingo",15,36.75,-34.610684,-58.518334,2021-03-24
"119","Plaza Ricchieri, Ciudad de Buenos Aires","domingo",16,51,-34.610684,-58.518334,2021-03-24
"120","Plaza Ricchieri, Ciudad de Buenos Aires","domingo",17,67.5,-34.610684,-58.518334,2021-03-24
"121","Plaza Ricchieri, Ciudad de Buenos Aires","domingo",18,75,-34.610684,-58.518334,2021-03-24
"122","Plaza Ricchieri, Ciudad de Buenos Aires","domingo",19,65.25,-34.610684,-58.518334,2021-03-24
"123","Plaza Ricchieri, Ciudad de Buenos Aires","domingo",20,0,-34.610684,-58.518334,2021-03-24
"124","Plaza Ricchieri, Ciudad de Buenos Aires","domingo",21,0,-34.610684,-58.518334,2021-03-24
