"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Plazoleta San Martín de Tours, Ciudad de Buenos Aires","lunes",4,0.75,-34.5865784,-58.3896179,2021-03-23
"2","Plazoleta San Martín de Tours, Ciudad de Buenos Aires","lunes",5,0.75,-34.5865784,-58.3896179,2021-03-23
"3","Plazoleta San Martín de Tours, Ciudad de Buenos Aires","lunes",6,0.75,-34.5865784,-58.3896179,2021-03-23
"4","Plazoleta San Martín de Tours, Ciudad de Buenos Aires","lunes",7,0.75,-34.5865784,-58.3896179,2021-03-23
"5","Plazoleta San Martín de Tours, Ciudad de Buenos Aires","lunes",8,3,-34.5865784,-58.3896179,2021-03-23
"6","Plazoleta San Martín de Tours, Ciudad de Buenos Aires","lunes",9,9,-34.5865784,-58.3896179,2021-03-23
"7","Plazoleta San Martín de Tours, Ciudad de Buenos Aires","lunes",10,14.25,-34.5865784,-58.3896179,2021-03-23
"8","Plazoleta San Martín de Tours, Ciudad de Buenos Aires","lunes",11,16.5,-34.5865784,-58.3896179,2021-03-23
"9","Plazoleta San Martín de Tours, Ciudad de Buenos Aires","lunes",12,17.25,-34.5865784,-58.3896179,2021-03-23
"10","Plazoleta San Martín de Tours, Ciudad de Buenos Aires","lunes",13,16.5,-34.5865784,-58.3896179,2021-03-23
"11","Plazoleta San Martín de Tours, Ciudad de Buenos Aires","lunes",14,17.25,-34.5865784,-58.3896179,2021-03-23
"12","Plazoleta San Martín de Tours, Ciudad de Buenos Aires","lunes",15,24,-34.5865784,-58.3896179,2021-03-23
"13","Plazoleta San Martín de Tours, Ciudad de Buenos Aires","lunes",16,33.75,-34.5865784,-58.3896179,2021-03-23
"14","Plazoleta San Martín de Tours, Ciudad de Buenos Aires","lunes",17,42.75,-34.5865784,-58.3896179,2021-03-23
"15","Plazoleta San Martín de Tours, Ciudad de Buenos Aires","lunes",18,45.75,-34.5865784,-58.3896179,2021-03-23
"16","Plazoleta San Martín de Tours, Ciudad de Buenos Aires","lunes",19,39,-34.5865784,-58.3896179,2021-03-23
"17","Plazoleta San Martín de Tours, Ciudad de Buenos Aires","lunes",20,27,-34.5865784,-58.3896179,2021-03-23
"18","Plazoleta San Martín de Tours, Ciudad de Buenos Aires","lunes",21,15,-34.5865784,-58.3896179,2021-03-23
"19","Plazoleta San Martín de Tours, Ciudad de Buenos Aires","lunes",22,6.75,-34.5865784,-58.3896179,2021-03-23
"20","Plazoleta San Martín de Tours, Ciudad de Buenos Aires","lunes",23,2.25,-34.5865784,-58.3896179,2021-03-23
"21","Plazoleta San Martín de Tours, Ciudad de Buenos Aires","martes",0,0.75,-34.5865784,-58.3896179,2021-03-23
"22","Plazoleta San Martín de Tours, Ciudad de Buenos Aires","martes",1,0.75,-34.5865784,-58.3896179,2021-03-23
"23","Plazoleta San Martín de Tours, Ciudad de Buenos Aires","martes",2,0.75,-34.5865784,-58.3896179,2021-03-23
"24","Plazoleta San Martín de Tours, Ciudad de Buenos Aires","martes",3,0.75,-34.5865784,-58.3896179,2021-03-23
"25","Plazoleta San Martín de Tours, Ciudad de Buenos Aires","martes",4,0.75,-34.5865784,-58.3896179,2021-03-23
"26","Plazoleta San Martín de Tours, Ciudad de Buenos Aires","martes",5,0.75,-34.5865784,-58.3896179,2021-03-23
"27","Plazoleta San Martín de Tours, Ciudad de Buenos Aires","martes",6,0.75,-34.5865784,-58.3896179,2021-03-23
"28","Plazoleta San Martín de Tours, Ciudad de Buenos Aires","martes",7,0.75,-34.5865784,-58.3896179,2021-03-23
"29","Plazoleta San Martín de Tours, Ciudad de Buenos Aires","martes",8,3,-34.5865784,-58.3896179,2021-03-23
"30","Plazoleta San Martín de Tours, Ciudad de Buenos Aires","martes",9,9,-34.5865784,-58.3896179,2021-03-23
"31","Plazoleta San Martín de Tours, Ciudad de Buenos Aires","martes",10,14.25,-34.5865784,-58.3896179,2021-03-23
"32","Plazoleta San Martín de Tours, Ciudad de Buenos Aires","martes",11,16.5,-34.5865784,-58.3896179,2021-03-23
"33","Plazoleta San Martín de Tours, Ciudad de Buenos Aires","martes",12,17.25,-34.5865784,-58.3896179,2021-03-23
"34","Plazoleta San Martín de Tours, Ciudad de Buenos Aires","martes",13,16.5,-34.5865784,-58.3896179,2021-03-23
"35","Plazoleta San Martín de Tours, Ciudad de Buenos Aires","martes",14,17.25,-34.5865784,-58.3896179,2021-03-23
"36","Plazoleta San Martín de Tours, Ciudad de Buenos Aires","martes",15,24,-34.5865784,-58.3896179,2021-03-23
"37","Plazoleta San Martín de Tours, Ciudad de Buenos Aires","martes",16,33.75,-34.5865784,-58.3896179,2021-03-23
"38","Plazoleta San Martín de Tours, Ciudad de Buenos Aires","martes",17,42.75,-34.5865784,-58.3896179,2021-03-23
"39","Plazoleta San Martín de Tours, Ciudad de Buenos Aires","martes",18,45.75,-34.5865784,-58.3896179,2021-03-23
"40","Plazoleta San Martín de Tours, Ciudad de Buenos Aires","martes",19,39,-34.5865784,-58.3896179,2021-03-23
"41","Plazoleta San Martín de Tours, Ciudad de Buenos Aires","martes",20,27,-34.5865784,-58.3896179,2021-03-23
