"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Hard Rock Cafe, San Martin 594, Ushuaia","lunes",6,0,-54.806825,-68.3062502,2021-01-20
"2","Hard Rock Cafe, San Martin 594, Ushuaia","lunes",7,0,-54.806825,-68.3062502,2021-01-20
"3","Hard Rock Cafe, San Martin 594, Ushuaia","lunes",8,0,-54.806825,-68.3062502,2021-01-20
"4","Hard Rock Cafe, San Martin 594, Ushuaia","lunes",9,0,-54.806825,-68.3062502,2021-01-20
"5","Hard Rock Cafe, San Martin 594, Ushuaia","lunes",10,0,-54.806825,-68.3062502,2021-01-20
"6","Hard Rock Cafe, San Martin 594, Ushuaia","lunes",11,18,-54.806825,-68.3062502,2021-01-20
"7","Hard Rock Cafe, San Martin 594, Ushuaia","lunes",12,23.25,-54.806825,-68.3062502,2021-01-20
"8","Hard Rock Cafe, San Martin 594, Ushuaia","lunes",13,27.75,-54.806825,-68.3062502,2021-01-20
"9","Hard Rock Cafe, San Martin 594, Ushuaia","lunes",14,32.25,-54.806825,-68.3062502,2021-01-20
"10","Hard Rock Cafe, San Martin 594, Ushuaia","lunes",15,34.5,-54.806825,-68.3062502,2021-01-20
"11","Hard Rock Cafe, San Martin 594, Ushuaia","lunes",16,36,-54.806825,-68.3062502,2021-01-20
"12","Hard Rock Cafe, San Martin 594, Ushuaia","lunes",17,36.75,-54.806825,-68.3062502,2021-01-20
"13","Hard Rock Cafe, San Martin 594, Ushuaia","lunes",18,37.5,-54.806825,-68.3062502,2021-01-20
"14","Hard Rock Cafe, San Martin 594, Ushuaia","lunes",19,38.25,-54.806825,-68.3062502,2021-01-20
"15","Hard Rock Cafe, San Martin 594, Ushuaia","lunes",20,38.25,-54.806825,-68.3062502,2021-01-20
"16","Hard Rock Cafe, San Martin 594, Ushuaia","lunes",21,35.25,-54.806825,-68.3062502,2021-01-20
"17","Hard Rock Cafe, San Martin 594, Ushuaia","lunes",22,29.25,-54.806825,-68.3062502,2021-01-20
"18","Hard Rock Cafe, San Martin 594, Ushuaia","lunes",23,21.75,-54.806825,-68.3062502,2021-01-20
"19","Hard Rock Cafe, San Martin 594, Ushuaia","martes",0,13.5,-54.806825,-68.3062502,2021-01-20
"20","Hard Rock Cafe, San Martin 594, Ushuaia","martes",6,0,-54.806825,-68.3062502,2021-01-20
"21","Hard Rock Cafe, San Martin 594, Ushuaia","martes",7,0,-54.806825,-68.3062502,2021-01-20
"22","Hard Rock Cafe, San Martin 594, Ushuaia","martes",8,0,-54.806825,-68.3062502,2021-01-20
"23","Hard Rock Cafe, San Martin 594, Ushuaia","martes",9,0,-54.806825,-68.3062502,2021-01-20
"24","Hard Rock Cafe, San Martin 594, Ushuaia","martes",10,0,-54.806825,-68.3062502,2021-01-20
"25","Hard Rock Cafe, San Martin 594, Ushuaia","martes",11,30,-54.806825,-68.3062502,2021-01-20
"26","Hard Rock Cafe, San Martin 594, Ushuaia","martes",12,36,-54.806825,-68.3062502,2021-01-20
"27","Hard Rock Cafe, San Martin 594, Ushuaia","martes",13,39.75,-54.806825,-68.3062502,2021-01-20
"28","Hard Rock Cafe, San Martin 594, Ushuaia","martes",14,40.5,-54.806825,-68.3062502,2021-01-20
"29","Hard Rock Cafe, San Martin 594, Ushuaia","martes",15,41.25,-54.806825,-68.3062502,2021-01-20
"30","Hard Rock Cafe, San Martin 594, Ushuaia","martes",16,42,-54.806825,-68.3062502,2021-01-20
"31","Hard Rock Cafe, San Martin 594, Ushuaia","martes",17,44.25,-54.806825,-68.3062502,2021-01-20
"32","Hard Rock Cafe, San Martin 594, Ushuaia","martes",18,45,-54.806825,-68.3062502,2021-01-20
"33","Hard Rock Cafe, San Martin 594, Ushuaia","martes",19,45,-54.806825,-68.3062502,2021-01-20
"34","Hard Rock Cafe, San Martin 594, Ushuaia","martes",20,42.75,-54.806825,-68.3062502,2021-01-20
"35","Hard Rock Cafe, San Martin 594, Ushuaia","martes",21,37.5,-54.806825,-68.3062502,2021-01-20
"36","Hard Rock Cafe, San Martin 594, Ushuaia","martes",22,30,-54.806825,-68.3062502,2021-01-20
"37","Hard Rock Cafe, San Martin 594, Ushuaia","martes",23,22.5,-54.806825,-68.3062502,2021-01-20
"38","Hard Rock Cafe, San Martin 594, Ushuaia","miercoles",0,15.75,-54.806825,-68.3062502,2021-01-20
"39","Hard Rock Cafe, San Martin 594, Ushuaia","miercoles",6,0,-54.806825,-68.3062502,2021-01-20
"40","Hard Rock Cafe, San Martin 594, Ushuaia","miercoles",7,0,-54.806825,-68.3062502,2021-01-20
"41","Hard Rock Cafe, San Martin 594, Ushuaia","miercoles",8,0,-54.806825,-68.3062502,2021-01-20
"42","Hard Rock Cafe, San Martin 594, Ushuaia","miercoles",9,0,-54.806825,-68.3062502,2021-01-20
"43","Hard Rock Cafe, San Martin 594, Ushuaia","miercoles",10,0,-54.806825,-68.3062502,2021-01-20
"44","Hard Rock Cafe, San Martin 594, Ushuaia","miercoles",11,36,-54.806825,-68.3062502,2021-01-20
"45","Hard Rock Cafe, San Martin 594, Ushuaia","miercoles",12,49.5,-54.806825,-68.3062502,2021-01-20
"46","Hard Rock Cafe, San Martin 594, Ushuaia","miercoles",13,48.75,-54.806825,-68.3062502,2021-01-20
"47","Hard Rock Cafe, San Martin 594, Ushuaia","miercoles",14,39.75,-54.806825,-68.3062502,2021-01-20
"48","Hard Rock Cafe, San Martin 594, Ushuaia","miercoles",15,36.75,-54.806825,-68.3062502,2021-01-20
"49","Hard Rock Cafe, San Martin 594, Ushuaia","miercoles",16,43.5,-54.806825,-68.3062502,2021-01-20
"50","Hard Rock Cafe, San Martin 594, Ushuaia","miercoles",17,54,-54.806825,-68.3062502,2021-01-20
"51","Hard Rock Cafe, San Martin 594, Ushuaia","miercoles",18,60.75,-54.806825,-68.3062502,2021-01-20
"52","Hard Rock Cafe, San Martin 594, Ushuaia","miercoles",19,59.25,-54.806825,-68.3062502,2021-01-20
"53","Hard Rock Cafe, San Martin 594, Ushuaia","miercoles",20,50.25,-54.806825,-68.3062502,2021-01-20
"54","Hard Rock Cafe, San Martin 594, Ushuaia","miercoles",21,37.5,-54.806825,-68.3062502,2021-01-20
"55","Hard Rock Cafe, San Martin 594, Ushuaia","miercoles",22,24,-54.806825,-68.3062502,2021-01-20
"56","Hard Rock Cafe, San Martin 594, Ushuaia","miercoles",23,13.5,-54.806825,-68.3062502,2021-01-20
"57","Hard Rock Cafe, San Martin 594, Ushuaia","jueves",0,6,-54.806825,-68.3062502,2021-01-20
"58","Hard Rock Cafe, San Martin 594, Ushuaia","jueves",6,0,-54.806825,-68.3062502,2021-01-20
"59","Hard Rock Cafe, San Martin 594, Ushuaia","jueves",7,0,-54.806825,-68.3062502,2021-01-20
"60","Hard Rock Cafe, San Martin 594, Ushuaia","jueves",8,0,-54.806825,-68.3062502,2021-01-20
"61","Hard Rock Cafe, San Martin 594, Ushuaia","jueves",9,0,-54.806825,-68.3062502,2021-01-20
"62","Hard Rock Cafe, San Martin 594, Ushuaia","jueves",10,0,-54.806825,-68.3062502,2021-01-20
"63","Hard Rock Cafe, San Martin 594, Ushuaia","jueves",11,30.75,-54.806825,-68.3062502,2021-01-20
"64","Hard Rock Cafe, San Martin 594, Ushuaia","jueves",12,37.5,-54.806825,-68.3062502,2021-01-20
"65","Hard Rock Cafe, San Martin 594, Ushuaia","jueves",13,41.25,-54.806825,-68.3062502,2021-01-20
"66","Hard Rock Cafe, San Martin 594, Ushuaia","jueves",14,43.5,-54.806825,-68.3062502,2021-01-20
"67","Hard Rock Cafe, San Martin 594, Ushuaia","jueves",15,44.25,-54.806825,-68.3062502,2021-01-20
"68","Hard Rock Cafe, San Martin 594, Ushuaia","jueves",16,46.5,-54.806825,-68.3062502,2021-01-20
"69","Hard Rock Cafe, San Martin 594, Ushuaia","jueves",17,48,-54.806825,-68.3062502,2021-01-20
"70","Hard Rock Cafe, San Martin 594, Ushuaia","jueves",18,47.25,-54.806825,-68.3062502,2021-01-20
"71","Hard Rock Cafe, San Martin 594, Ushuaia","jueves",19,43.5,-54.806825,-68.3062502,2021-01-20
"72","Hard Rock Cafe, San Martin 594, Ushuaia","jueves",20,37.5,-54.806825,-68.3062502,2021-01-20
"73","Hard Rock Cafe, San Martin 594, Ushuaia","jueves",21,29.25,-54.806825,-68.3062502,2021-01-20
"74","Hard Rock Cafe, San Martin 594, Ushuaia","jueves",22,21,-54.806825,-68.3062502,2021-01-20
"75","Hard Rock Cafe, San Martin 594, Ushuaia","jueves",23,13.5,-54.806825,-68.3062502,2021-01-20
"76","Hard Rock Cafe, San Martin 594, Ushuaia","viernes",0,7.5,-54.806825,-68.3062502,2021-01-20
"77","Hard Rock Cafe, San Martin 594, Ushuaia","viernes",6,0,-54.806825,-68.3062502,2021-01-20
"78","Hard Rock Cafe, San Martin 594, Ushuaia","viernes",7,0,-54.806825,-68.3062502,2021-01-20
"79","Hard Rock Cafe, San Martin 594, Ushuaia","viernes",8,0,-54.806825,-68.3062502,2021-01-20
"80","Hard Rock Cafe, San Martin 594, Ushuaia","viernes",9,0,-54.806825,-68.3062502,2021-01-20
"81","Hard Rock Cafe, San Martin 594, Ushuaia","viernes",10,0,-54.806825,-68.3062502,2021-01-20
"82","Hard Rock Cafe, San Martin 594, Ushuaia","viernes",11,32.25,-54.806825,-68.3062502,2021-01-20
"83","Hard Rock Cafe, San Martin 594, Ushuaia","viernes",12,39,-54.806825,-68.3062502,2021-01-20
"84","Hard Rock Cafe, San Martin 594, Ushuaia","viernes",13,39.75,-54.806825,-68.3062502,2021-01-20
"85","Hard Rock Cafe, San Martin 594, Ushuaia","viernes",14,36,-54.806825,-68.3062502,2021-01-20
"86","Hard Rock Cafe, San Martin 594, Ushuaia","viernes",15,30.75,-54.806825,-68.3062502,2021-01-20
"87","Hard Rock Cafe, San Martin 594, Ushuaia","viernes",16,30,-54.806825,-68.3062502,2021-01-20
"88","Hard Rock Cafe, San Martin 594, Ushuaia","viernes",17,36,-54.806825,-68.3062502,2021-01-20
"89","Hard Rock Cafe, San Martin 594, Ushuaia","viernes",18,45,-54.806825,-68.3062502,2021-01-20
"90","Hard Rock Cafe, San Martin 594, Ushuaia","viernes",19,51,-54.806825,-68.3062502,2021-01-20
"91","Hard Rock Cafe, San Martin 594, Ushuaia","viernes",20,51,-54.806825,-68.3062502,2021-01-20
"92","Hard Rock Cafe, San Martin 594, Ushuaia","viernes",21,47.25,-54.806825,-68.3062502,2021-01-20
"93","Hard Rock Cafe, San Martin 594, Ushuaia","viernes",22,43.5,-54.806825,-68.3062502,2021-01-20
"94","Hard Rock Cafe, San Martin 594, Ushuaia","viernes",23,36,-54.806825,-68.3062502,2021-01-20
"95","Hard Rock Cafe, San Martin 594, Ushuaia","sabado",0,24,-54.806825,-68.3062502,2021-01-20
"96","Hard Rock Cafe, San Martin 594, Ushuaia","sabado",6,0,-54.806825,-68.3062502,2021-01-20
"97","Hard Rock Cafe, San Martin 594, Ushuaia","sabado",7,0,-54.806825,-68.3062502,2021-01-20
"98","Hard Rock Cafe, San Martin 594, Ushuaia","sabado",8,0,-54.806825,-68.3062502,2021-01-20
"99","Hard Rock Cafe, San Martin 594, Ushuaia","sabado",9,0,-54.806825,-68.3062502,2021-01-20
"100","Hard Rock Cafe, San Martin 594, Ushuaia","sabado",10,0,-54.806825,-68.3062502,2021-01-20
"101","Hard Rock Cafe, San Martin 594, Ushuaia","sabado",11,19.5,-54.806825,-68.3062502,2021-01-20
"102","Hard Rock Cafe, San Martin 594, Ushuaia","sabado",12,26.25,-54.806825,-68.3062502,2021-01-20
"103","Hard Rock Cafe, San Martin 594, Ushuaia","sabado",13,31.5,-54.806825,-68.3062502,2021-01-20
"104","Hard Rock Cafe, San Martin 594, Ushuaia","sabado",14,35.25,-54.806825,-68.3062502,2021-01-20
"105","Hard Rock Cafe, San Martin 594, Ushuaia","sabado",15,39,-54.806825,-68.3062502,2021-01-20
"106","Hard Rock Cafe, San Martin 594, Ushuaia","sabado",16,47.25,-54.806825,-68.3062502,2021-01-20
"107","Hard Rock Cafe, San Martin 594, Ushuaia","sabado",17,57.75,-54.806825,-68.3062502,2021-01-20
"108","Hard Rock Cafe, San Martin 594, Ushuaia","sabado",18,65.25,-54.806825,-68.3062502,2021-01-20
"109","Hard Rock Cafe, San Martin 594, Ushuaia","sabado",19,67.5,-54.806825,-68.3062502,2021-01-20
"110","Hard Rock Cafe, San Martin 594, Ushuaia","sabado",20,69,-54.806825,-68.3062502,2021-01-20
"111","Hard Rock Cafe, San Martin 594, Ushuaia","sabado",21,75,-54.806825,-68.3062502,2021-01-20
"112","Hard Rock Cafe, San Martin 594, Ushuaia","sabado",22,72.75,-54.806825,-68.3062502,2021-01-20
"113","Hard Rock Cafe, San Martin 594, Ushuaia","sabado",23,53.25,-54.806825,-68.3062502,2021-01-20
"114","Hard Rock Cafe, San Martin 594, Ushuaia","domingo",0,26.25,-54.806825,-68.3062502,2021-01-20
"115","Hard Rock Cafe, San Martin 594, Ushuaia","domingo",6,0,-54.806825,-68.3062502,2021-01-20
"116","Hard Rock Cafe, San Martin 594, Ushuaia","domingo",7,0,-54.806825,-68.3062502,2021-01-20
"117","Hard Rock Cafe, San Martin 594, Ushuaia","domingo",8,0,-54.806825,-68.3062502,2021-01-20
"118","Hard Rock Cafe, San Martin 594, Ushuaia","domingo",9,0,-54.806825,-68.3062502,2021-01-20
"119","Hard Rock Cafe, San Martin 594, Ushuaia","domingo",10,0,-54.806825,-68.3062502,2021-01-20
"120","Hard Rock Cafe, San Martin 594, Ushuaia","domingo",11,2.25,-54.806825,-68.3062502,2021-01-20
"121","Hard Rock Cafe, San Martin 594, Ushuaia","domingo",12,3,-54.806825,-68.3062502,2021-01-20
"122","Hard Rock Cafe, San Martin 594, Ushuaia","domingo",13,4.5,-54.806825,-68.3062502,2021-01-20
"123","Hard Rock Cafe, San Martin 594, Ushuaia","domingo",14,6.75,-54.806825,-68.3062502,2021-01-20
"124","Hard Rock Cafe, San Martin 594, Ushuaia","domingo",15,13.5,-54.806825,-68.3062502,2021-01-20
"125","Hard Rock Cafe, San Martin 594, Ushuaia","domingo",16,24,-54.806825,-68.3062502,2021-01-20
"126","Hard Rock Cafe, San Martin 594, Ushuaia","domingo",17,33.75,-54.806825,-68.3062502,2021-01-20
"127","Hard Rock Cafe, San Martin 594, Ushuaia","domingo",18,37.5,-54.806825,-68.3062502,2021-01-20
"128","Hard Rock Cafe, San Martin 594, Ushuaia","domingo",19,33.75,-54.806825,-68.3062502,2021-01-20
"129","Hard Rock Cafe, San Martin 594, Ushuaia","domingo",20,26.25,-54.806825,-68.3062502,2021-01-20
"130","Hard Rock Cafe, San Martin 594, Ushuaia","domingo",21,24,-54.806825,-68.3062502,2021-01-20
"131","Hard Rock Cafe, San Martin 594, Ushuaia","domingo",22,26.25,-54.806825,-68.3062502,2021-01-20
"132","Hard Rock Cafe, San Martin 594, Ushuaia","domingo",23,21.75,-54.806825,-68.3062502,2021-01-20
"133","Hard Rock Cafe, San Martin 594, Ushuaia","lunes",0,11.25,-54.806825,-68.3062502,2021-01-20
