"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Manjares del Beagle, Belgrano 43, Ushuaia","lunes",6,0,-54.809196,-68.3141325,2021-01-21
"2","Manjares del Beagle, Belgrano 43, Ushuaia","lunes",7,0,-54.809196,-68.3141325,2021-01-21
"3","Manjares del Beagle, Belgrano 43, Ushuaia","lunes",8,0,-54.809196,-68.3141325,2021-01-21
"4","Manjares del Beagle, Belgrano 43, Ushuaia","lunes",9,0,-54.809196,-68.3141325,2021-01-21
"5","Manjares del Beagle, Belgrano 43, Ushuaia","lunes",10,17.25,-54.809196,-68.3141325,2021-01-21
"6","Manjares del Beagle, Belgrano 43, Ushuaia","lunes",11,30.75,-54.809196,-68.3141325,2021-01-21
"7","Manjares del Beagle, Belgrano 43, Ushuaia","lunes",12,41.25,-54.809196,-68.3141325,2021-01-21
"8","Manjares del Beagle, Belgrano 43, Ushuaia","lunes",13,42.75,-54.809196,-68.3141325,2021-01-21
"9","Manjares del Beagle, Belgrano 43, Ushuaia","lunes",14,34.5,-54.809196,-68.3141325,2021-01-21
"10","Manjares del Beagle, Belgrano 43, Ushuaia","lunes",15,0,-54.809196,-68.3141325,2021-01-21
"11","Manjares del Beagle, Belgrano 43, Ushuaia","lunes",16,0,-54.809196,-68.3141325,2021-01-21
"12","Manjares del Beagle, Belgrano 43, Ushuaia","lunes",17,0,-54.809196,-68.3141325,2021-01-21
"13","Manjares del Beagle, Belgrano 43, Ushuaia","lunes",18,0,-54.809196,-68.3141325,2021-01-21
"14","Manjares del Beagle, Belgrano 43, Ushuaia","lunes",19,22.5,-54.809196,-68.3141325,2021-01-21
"15","Manjares del Beagle, Belgrano 43, Ushuaia","lunes",20,38.25,-54.809196,-68.3141325,2021-01-21
"16","Manjares del Beagle, Belgrano 43, Ushuaia","lunes",21,42.75,-54.809196,-68.3141325,2021-01-21
"17","Manjares del Beagle, Belgrano 43, Ushuaia","lunes",22,33,-54.809196,-68.3141325,2021-01-21
"18","Manjares del Beagle, Belgrano 43, Ushuaia","lunes",23,0,-54.809196,-68.3141325,2021-01-21
"19","Manjares del Beagle, Belgrano 43, Ushuaia","martes",6,0,-54.809196,-68.3141325,2021-01-21
"20","Manjares del Beagle, Belgrano 43, Ushuaia","martes",7,0,-54.809196,-68.3141325,2021-01-21
"21","Manjares del Beagle, Belgrano 43, Ushuaia","martes",8,0,-54.809196,-68.3141325,2021-01-21
"22","Manjares del Beagle, Belgrano 43, Ushuaia","martes",9,0,-54.809196,-68.3141325,2021-01-21
"23","Manjares del Beagle, Belgrano 43, Ushuaia","martes",10,19.5,-54.809196,-68.3141325,2021-01-21
"24","Manjares del Beagle, Belgrano 43, Ushuaia","martes",11,37.5,-54.809196,-68.3141325,2021-01-21
"25","Manjares del Beagle, Belgrano 43, Ushuaia","martes",12,55.5,-54.809196,-68.3141325,2021-01-21
"26","Manjares del Beagle, Belgrano 43, Ushuaia","martes",13,61.5,-54.809196,-68.3141325,2021-01-21
"27","Manjares del Beagle, Belgrano 43, Ushuaia","martes",14,51,-54.809196,-68.3141325,2021-01-21
"28","Manjares del Beagle, Belgrano 43, Ushuaia","martes",15,0,-54.809196,-68.3141325,2021-01-21
"29","Manjares del Beagle, Belgrano 43, Ushuaia","martes",16,0,-54.809196,-68.3141325,2021-01-21
"30","Manjares del Beagle, Belgrano 43, Ushuaia","martes",17,0,-54.809196,-68.3141325,2021-01-21
"31","Manjares del Beagle, Belgrano 43, Ushuaia","martes",18,0,-54.809196,-68.3141325,2021-01-21
"32","Manjares del Beagle, Belgrano 43, Ushuaia","martes",19,30.75,-54.809196,-68.3141325,2021-01-21
"33","Manjares del Beagle, Belgrano 43, Ushuaia","martes",20,39.75,-54.809196,-68.3141325,2021-01-21
"34","Manjares del Beagle, Belgrano 43, Ushuaia","martes",21,42,-54.809196,-68.3141325,2021-01-21
"35","Manjares del Beagle, Belgrano 43, Ushuaia","martes",22,35.25,-54.809196,-68.3141325,2021-01-21
"36","Manjares del Beagle, Belgrano 43, Ushuaia","martes",23,0,-54.809196,-68.3141325,2021-01-21
"37","Manjares del Beagle, Belgrano 43, Ushuaia","miercoles",6,0,-54.809196,-68.3141325,2021-01-21
"38","Manjares del Beagle, Belgrano 43, Ushuaia","miercoles",7,0,-54.809196,-68.3141325,2021-01-21
"39","Manjares del Beagle, Belgrano 43, Ushuaia","miercoles",8,0,-54.809196,-68.3141325,2021-01-21
"40","Manjares del Beagle, Belgrano 43, Ushuaia","miercoles",9,0,-54.809196,-68.3141325,2021-01-21
"41","Manjares del Beagle, Belgrano 43, Ushuaia","miercoles",10,21,-54.809196,-68.3141325,2021-01-21
"42","Manjares del Beagle, Belgrano 43, Ushuaia","miercoles",11,41.25,-54.809196,-68.3141325,2021-01-21
"43","Manjares del Beagle, Belgrano 43, Ushuaia","miercoles",12,61.5,-54.809196,-68.3141325,2021-01-21
"44","Manjares del Beagle, Belgrano 43, Ushuaia","miercoles",13,66,-54.809196,-68.3141325,2021-01-21
"45","Manjares del Beagle, Belgrano 43, Ushuaia","miercoles",14,52.5,-54.809196,-68.3141325,2021-01-21
"46","Manjares del Beagle, Belgrano 43, Ushuaia","miercoles",15,0,-54.809196,-68.3141325,2021-01-21
"47","Manjares del Beagle, Belgrano 43, Ushuaia","miercoles",16,0,-54.809196,-68.3141325,2021-01-21
"48","Manjares del Beagle, Belgrano 43, Ushuaia","miercoles",17,0,-54.809196,-68.3141325,2021-01-21
"49","Manjares del Beagle, Belgrano 43, Ushuaia","miercoles",18,0,-54.809196,-68.3141325,2021-01-21
"50","Manjares del Beagle, Belgrano 43, Ushuaia","miercoles",19,32.25,-54.809196,-68.3141325,2021-01-21
"51","Manjares del Beagle, Belgrano 43, Ushuaia","miercoles",20,46.5,-54.809196,-68.3141325,2021-01-21
"52","Manjares del Beagle, Belgrano 43, Ushuaia","miercoles",21,48.75,-54.809196,-68.3141325,2021-01-21
"53","Manjares del Beagle, Belgrano 43, Ushuaia","miercoles",22,37.5,-54.809196,-68.3141325,2021-01-21
"54","Manjares del Beagle, Belgrano 43, Ushuaia","miercoles",23,0,-54.809196,-68.3141325,2021-01-21
"55","Manjares del Beagle, Belgrano 43, Ushuaia","jueves",6,0,-54.809196,-68.3141325,2021-01-21
"56","Manjares del Beagle, Belgrano 43, Ushuaia","jueves",7,0,-54.809196,-68.3141325,2021-01-21
"57","Manjares del Beagle, Belgrano 43, Ushuaia","jueves",8,0,-54.809196,-68.3141325,2021-01-21
"58","Manjares del Beagle, Belgrano 43, Ushuaia","jueves",9,0,-54.809196,-68.3141325,2021-01-21
"59","Manjares del Beagle, Belgrano 43, Ushuaia","jueves",10,43.5,-54.809196,-68.3141325,2021-01-21
"60","Manjares del Beagle, Belgrano 43, Ushuaia","jueves",11,57.75,-54.809196,-68.3141325,2021-01-21
"61","Manjares del Beagle, Belgrano 43, Ushuaia","jueves",12,54,-54.809196,-68.3141325,2021-01-21
"62","Manjares del Beagle, Belgrano 43, Ushuaia","jueves",13,52.5,-54.809196,-68.3141325,2021-01-21
"63","Manjares del Beagle, Belgrano 43, Ushuaia","jueves",14,57,-54.809196,-68.3141325,2021-01-21
"64","Manjares del Beagle, Belgrano 43, Ushuaia","jueves",15,0,-54.809196,-68.3141325,2021-01-21
"65","Manjares del Beagle, Belgrano 43, Ushuaia","jueves",16,0,-54.809196,-68.3141325,2021-01-21
"66","Manjares del Beagle, Belgrano 43, Ushuaia","jueves",17,0,-54.809196,-68.3141325,2021-01-21
"67","Manjares del Beagle, Belgrano 43, Ushuaia","jueves",18,0,-54.809196,-68.3141325,2021-01-21
"68","Manjares del Beagle, Belgrano 43, Ushuaia","jueves",19,33,-54.809196,-68.3141325,2021-01-21
"69","Manjares del Beagle, Belgrano 43, Ushuaia","jueves",20,42.75,-54.809196,-68.3141325,2021-01-21
"70","Manjares del Beagle, Belgrano 43, Ushuaia","jueves",21,45.75,-54.809196,-68.3141325,2021-01-21
"71","Manjares del Beagle, Belgrano 43, Ushuaia","jueves",22,39,-54.809196,-68.3141325,2021-01-21
"72","Manjares del Beagle, Belgrano 43, Ushuaia","jueves",23,0,-54.809196,-68.3141325,2021-01-21
"73","Manjares del Beagle, Belgrano 43, Ushuaia","viernes",6,0,-54.809196,-68.3141325,2021-01-21
"74","Manjares del Beagle, Belgrano 43, Ushuaia","viernes",7,0,-54.809196,-68.3141325,2021-01-21
"75","Manjares del Beagle, Belgrano 43, Ushuaia","viernes",8,0,-54.809196,-68.3141325,2021-01-21
"76","Manjares del Beagle, Belgrano 43, Ushuaia","viernes",9,0,-54.809196,-68.3141325,2021-01-21
"77","Manjares del Beagle, Belgrano 43, Ushuaia","viernes",10,25.5,-54.809196,-68.3141325,2021-01-21
"78","Manjares del Beagle, Belgrano 43, Ushuaia","viernes",11,42,-54.809196,-68.3141325,2021-01-21
"79","Manjares del Beagle, Belgrano 43, Ushuaia","viernes",12,56.25,-54.809196,-68.3141325,2021-01-21
"80","Manjares del Beagle, Belgrano 43, Ushuaia","viernes",13,62.25,-54.809196,-68.3141325,2021-01-21
"81","Manjares del Beagle, Belgrano 43, Ushuaia","viernes",14,54.75,-54.809196,-68.3141325,2021-01-21
"82","Manjares del Beagle, Belgrano 43, Ushuaia","viernes",15,0,-54.809196,-68.3141325,2021-01-21
"83","Manjares del Beagle, Belgrano 43, Ushuaia","viernes",16,0,-54.809196,-68.3141325,2021-01-21
"84","Manjares del Beagle, Belgrano 43, Ushuaia","viernes",17,0,-54.809196,-68.3141325,2021-01-21
"85","Manjares del Beagle, Belgrano 43, Ushuaia","viernes",18,0,-54.809196,-68.3141325,2021-01-21
"86","Manjares del Beagle, Belgrano 43, Ushuaia","viernes",19,42,-54.809196,-68.3141325,2021-01-21
"87","Manjares del Beagle, Belgrano 43, Ushuaia","viernes",20,67.5,-54.809196,-68.3141325,2021-01-21
"88","Manjares del Beagle, Belgrano 43, Ushuaia","viernes",21,72,-54.809196,-68.3141325,2021-01-21
"89","Manjares del Beagle, Belgrano 43, Ushuaia","viernes",22,51,-54.809196,-68.3141325,2021-01-21
"90","Manjares del Beagle, Belgrano 43, Ushuaia","viernes",23,0,-54.809196,-68.3141325,2021-01-21
"91","Manjares del Beagle, Belgrano 43, Ushuaia","sabado",6,0,-54.809196,-68.3141325,2021-01-21
"92","Manjares del Beagle, Belgrano 43, Ushuaia","sabado",7,0,-54.809196,-68.3141325,2021-01-21
"93","Manjares del Beagle, Belgrano 43, Ushuaia","sabado",8,0,-54.809196,-68.3141325,2021-01-21
"94","Manjares del Beagle, Belgrano 43, Ushuaia","sabado",9,0,-54.809196,-68.3141325,2021-01-21
"95","Manjares del Beagle, Belgrano 43, Ushuaia","sabado",10,23.25,-54.809196,-68.3141325,2021-01-21
"96","Manjares del Beagle, Belgrano 43, Ushuaia","sabado",11,54,-54.809196,-68.3141325,2021-01-21
"97","Manjares del Beagle, Belgrano 43, Ushuaia","sabado",12,75,-54.809196,-68.3141325,2021-01-21
"98","Manjares del Beagle, Belgrano 43, Ushuaia","sabado",13,62.25,-54.809196,-68.3141325,2021-01-21
"99","Manjares del Beagle, Belgrano 43, Ushuaia","sabado",14,30.75,-54.809196,-68.3141325,2021-01-21
"100","Manjares del Beagle, Belgrano 43, Ushuaia","sabado",15,0,-54.809196,-68.3141325,2021-01-21
"101","Manjares del Beagle, Belgrano 43, Ushuaia","sabado",16,0,-54.809196,-68.3141325,2021-01-21
"102","Manjares del Beagle, Belgrano 43, Ushuaia","sabado",17,0,-54.809196,-68.3141325,2021-01-21
"103","Manjares del Beagle, Belgrano 43, Ushuaia","sabado",18,0,-54.809196,-68.3141325,2021-01-21
"104","Manjares del Beagle, Belgrano 43, Ushuaia","sabado",19,55.5,-54.809196,-68.3141325,2021-01-21
"105","Manjares del Beagle, Belgrano 43, Ushuaia","sabado",20,57,-54.809196,-68.3141325,2021-01-21
"106","Manjares del Beagle, Belgrano 43, Ushuaia","sabado",21,39.75,-54.809196,-68.3141325,2021-01-21
"107","Manjares del Beagle, Belgrano 43, Ushuaia","sabado",22,57.75,-54.809196,-68.3141325,2021-01-21
"108","Manjares del Beagle, Belgrano 43, Ushuaia","sabado",23,0,-54.809196,-68.3141325,2021-01-21
