"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Stadium, San Martin 788, Ushuaia","lunes",6,0,-54.8075415,-68.308808,2021-01-21
"2","Stadium, San Martin 788, Ushuaia","lunes",7,0,-54.8075415,-68.308808,2021-01-21
"3","Stadium, San Martin 788, Ushuaia","lunes",8,0,-54.8075415,-68.308808,2021-01-21
"4","Stadium, San Martin 788, Ushuaia","lunes",9,7.5,-54.8075415,-68.308808,2021-01-21
"5","Stadium, San Martin 788, Ushuaia","lunes",10,15.75,-54.8075415,-68.308808,2021-01-21
"6","Stadium, San Martin 788, Ushuaia","lunes",11,24.75,-54.8075415,-68.308808,2021-01-21
"7","Stadium, San Martin 788, Ushuaia","lunes",12,33,-54.8075415,-68.308808,2021-01-21
"8","Stadium, San Martin 788, Ushuaia","lunes",13,36.75,-54.8075415,-68.308808,2021-01-21
"9","Stadium, San Martin 788, Ushuaia","lunes",14,35.25,-54.8075415,-68.308808,2021-01-21
"10","Stadium, San Martin 788, Ushuaia","lunes",15,33,-54.8075415,-68.308808,2021-01-21
"11","Stadium, San Martin 788, Ushuaia","lunes",16,36.75,-54.8075415,-68.308808,2021-01-21
"12","Stadium, San Martin 788, Ushuaia","lunes",17,48,-54.8075415,-68.308808,2021-01-21
"13","Stadium, San Martin 788, Ushuaia","lunes",18,58.5,-54.8075415,-68.308808,2021-01-21
"14","Stadium, San Martin 788, Ushuaia","lunes",19,58.5,-54.8075415,-68.308808,2021-01-21
"15","Stadium, San Martin 788, Ushuaia","lunes",20,45.75,-54.8075415,-68.308808,2021-01-21
"16","Stadium, San Martin 788, Ushuaia","lunes",21,27,-54.8075415,-68.308808,2021-01-21
"17","Stadium, San Martin 788, Ushuaia","lunes",22,12,-54.8075415,-68.308808,2021-01-21
"18","Stadium, San Martin 788, Ushuaia","lunes",23,3.75,-54.8075415,-68.308808,2021-01-21
"19","Stadium, San Martin 788, Ushuaia","martes",6,0,-54.8075415,-68.308808,2021-01-21
"20","Stadium, San Martin 788, Ushuaia","martes",7,0,-54.8075415,-68.308808,2021-01-21
"21","Stadium, San Martin 788, Ushuaia","martes",8,0,-54.8075415,-68.308808,2021-01-21
"22","Stadium, San Martin 788, Ushuaia","martes",9,3.75,-54.8075415,-68.308808,2021-01-21
"23","Stadium, San Martin 788, Ushuaia","martes",10,15,-54.8075415,-68.308808,2021-01-21
"24","Stadium, San Martin 788, Ushuaia","martes",11,34.5,-54.8075415,-68.308808,2021-01-21
"25","Stadium, San Martin 788, Ushuaia","martes",12,52.5,-54.8075415,-68.308808,2021-01-21
"26","Stadium, San Martin 788, Ushuaia","martes",13,54.75,-54.8075415,-68.308808,2021-01-21
"27","Stadium, San Martin 788, Ushuaia","martes",14,42.75,-54.8075415,-68.308808,2021-01-21
"28","Stadium, San Martin 788, Ushuaia","martes",15,33.75,-54.8075415,-68.308808,2021-01-21
"29","Stadium, San Martin 788, Ushuaia","martes",16,36.75,-54.8075415,-68.308808,2021-01-21
"30","Stadium, San Martin 788, Ushuaia","martes",17,46.5,-54.8075415,-68.308808,2021-01-21
"31","Stadium, San Martin 788, Ushuaia","martes",18,54,-54.8075415,-68.308808,2021-01-21
