"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","1908 Pizza y Birra, Ciudad de Buenos Aires","martes",6,0,-34.6132431,-58.5091338,2021-03-27
"2","1908 Pizza y Birra, Ciudad de Buenos Aires","martes",7,0,-34.6132431,-58.5091338,2021-03-27
"3","1908 Pizza y Birra, Ciudad de Buenos Aires","martes",8,0,-34.6132431,-58.5091338,2021-03-27
"4","1908 Pizza y Birra, Ciudad de Buenos Aires","martes",9,0,-34.6132431,-58.5091338,2021-03-27
"5","1908 Pizza y Birra, Ciudad de Buenos Aires","martes",10,0,-34.6132431,-58.5091338,2021-03-27
"6","1908 Pizza y Birra, Ciudad de Buenos Aires","martes",11,0,-34.6132431,-58.5091338,2021-03-27
"7","1908 Pizza y Birra, Ciudad de Buenos Aires","martes",12,0,-34.6132431,-58.5091338,2021-03-27
"8","1908 Pizza y Birra, Ciudad de Buenos Aires","martes",13,0,-34.6132431,-58.5091338,2021-03-27
"9","1908 Pizza y Birra, Ciudad de Buenos Aires","martes",14,0,-34.6132431,-58.5091338,2021-03-27
"10","1908 Pizza y Birra, Ciudad de Buenos Aires","martes",15,0,-34.6132431,-58.5091338,2021-03-27
"11","1908 Pizza y Birra, Ciudad de Buenos Aires","martes",16,0,-34.6132431,-58.5091338,2021-03-27
"12","1908 Pizza y Birra, Ciudad de Buenos Aires","martes",17,3,-34.6132431,-58.5091338,2021-03-27
"13","1908 Pizza y Birra, Ciudad de Buenos Aires","martes",18,5.25,-34.6132431,-58.5091338,2021-03-27
"14","1908 Pizza y Birra, Ciudad de Buenos Aires","martes",19,13.5,-34.6132431,-58.5091338,2021-03-27
"15","1908 Pizza y Birra, Ciudad de Buenos Aires","martes",20,28.5,-34.6132431,-58.5091338,2021-03-27
"16","1908 Pizza y Birra, Ciudad de Buenos Aires","martes",21,40.5,-34.6132431,-58.5091338,2021-03-27
"17","1908 Pizza y Birra, Ciudad de Buenos Aires","martes",22,36.75,-34.6132431,-58.5091338,2021-03-27
"18","1908 Pizza y Birra, Ciudad de Buenos Aires","martes",23,21,-34.6132431,-58.5091338,2021-03-27
"19","1908 Pizza y Birra, Ciudad de Buenos Aires","miercoles",6,0,-34.6132431,-58.5091338,2021-03-27
"20","1908 Pizza y Birra, Ciudad de Buenos Aires","miercoles",7,0,-34.6132431,-58.5091338,2021-03-27
"21","1908 Pizza y Birra, Ciudad de Buenos Aires","miercoles",8,0,-34.6132431,-58.5091338,2021-03-27
"22","1908 Pizza y Birra, Ciudad de Buenos Aires","miercoles",9,0,-34.6132431,-58.5091338,2021-03-27
"23","1908 Pizza y Birra, Ciudad de Buenos Aires","miercoles",10,0,-34.6132431,-58.5091338,2021-03-27
"24","1908 Pizza y Birra, Ciudad de Buenos Aires","miercoles",11,0,-34.6132431,-58.5091338,2021-03-27
"25","1908 Pizza y Birra, Ciudad de Buenos Aires","miercoles",12,0,-34.6132431,-58.5091338,2021-03-27
"26","1908 Pizza y Birra, Ciudad de Buenos Aires","miercoles",13,0,-34.6132431,-58.5091338,2021-03-27
"27","1908 Pizza y Birra, Ciudad de Buenos Aires","miercoles",14,0,-34.6132431,-58.5091338,2021-03-27
"28","1908 Pizza y Birra, Ciudad de Buenos Aires","miercoles",15,0,-34.6132431,-58.5091338,2021-03-27
"29","1908 Pizza y Birra, Ciudad de Buenos Aires","miercoles",16,0,-34.6132431,-58.5091338,2021-03-27
"30","1908 Pizza y Birra, Ciudad de Buenos Aires","miercoles",17,9.75,-34.6132431,-58.5091338,2021-03-27
"31","1908 Pizza y Birra, Ciudad de Buenos Aires","miercoles",18,6,-34.6132431,-58.5091338,2021-03-27
"32","1908 Pizza y Birra, Ciudad de Buenos Aires","miercoles",19,9,-34.6132431,-58.5091338,2021-03-27
"33","1908 Pizza y Birra, Ciudad de Buenos Aires","miercoles",20,22.5,-34.6132431,-58.5091338,2021-03-27
"34","1908 Pizza y Birra, Ciudad de Buenos Aires","miercoles",21,34.5,-34.6132431,-58.5091338,2021-03-27
"35","1908 Pizza y Birra, Ciudad de Buenos Aires","miercoles",22,31.5,-34.6132431,-58.5091338,2021-03-27
"36","1908 Pizza y Birra, Ciudad de Buenos Aires","miercoles",23,17.25,-34.6132431,-58.5091338,2021-03-27
"37","1908 Pizza y Birra, Ciudad de Buenos Aires","jueves",6,0,-34.6132431,-58.5091338,2021-03-27
"38","1908 Pizza y Birra, Ciudad de Buenos Aires","jueves",7,0,-34.6132431,-58.5091338,2021-03-27
"39","1908 Pizza y Birra, Ciudad de Buenos Aires","jueves",8,0,-34.6132431,-58.5091338,2021-03-27
"40","1908 Pizza y Birra, Ciudad de Buenos Aires","jueves",9,0,-34.6132431,-58.5091338,2021-03-27
"41","1908 Pizza y Birra, Ciudad de Buenos Aires","jueves",10,0,-34.6132431,-58.5091338,2021-03-27
"42","1908 Pizza y Birra, Ciudad de Buenos Aires","jueves",11,0,-34.6132431,-58.5091338,2021-03-27
"43","1908 Pizza y Birra, Ciudad de Buenos Aires","jueves",12,0,-34.6132431,-58.5091338,2021-03-27
"44","1908 Pizza y Birra, Ciudad de Buenos Aires","jueves",13,0,-34.6132431,-58.5091338,2021-03-27
"45","1908 Pizza y Birra, Ciudad de Buenos Aires","jueves",14,0,-34.6132431,-58.5091338,2021-03-27
"46","1908 Pizza y Birra, Ciudad de Buenos Aires","jueves",15,0,-34.6132431,-58.5091338,2021-03-27
"47","1908 Pizza y Birra, Ciudad de Buenos Aires","jueves",16,0,-34.6132431,-58.5091338,2021-03-27
"48","1908 Pizza y Birra, Ciudad de Buenos Aires","jueves",17,3.75,-34.6132431,-58.5091338,2021-03-27
"49","1908 Pizza y Birra, Ciudad de Buenos Aires","jueves",18,6.75,-34.6132431,-58.5091338,2021-03-27
"50","1908 Pizza y Birra, Ciudad de Buenos Aires","jueves",19,15,-34.6132431,-58.5091338,2021-03-27
"51","1908 Pizza y Birra, Ciudad de Buenos Aires","jueves",20,31.5,-34.6132431,-58.5091338,2021-03-27
"52","1908 Pizza y Birra, Ciudad de Buenos Aires","jueves",21,48,-34.6132431,-58.5091338,2021-03-27
"53","1908 Pizza y Birra, Ciudad de Buenos Aires","jueves",22,47.25,-34.6132431,-58.5091338,2021-03-27
"54","1908 Pizza y Birra, Ciudad de Buenos Aires","jueves",23,30.75,-34.6132431,-58.5091338,2021-03-27
"55","1908 Pizza y Birra, Ciudad de Buenos Aires","viernes",6,0,-34.6132431,-58.5091338,2021-03-27
"56","1908 Pizza y Birra, Ciudad de Buenos Aires","viernes",7,0,-34.6132431,-58.5091338,2021-03-27
"57","1908 Pizza y Birra, Ciudad de Buenos Aires","viernes",8,0,-34.6132431,-58.5091338,2021-03-27
"58","1908 Pizza y Birra, Ciudad de Buenos Aires","viernes",9,0,-34.6132431,-58.5091338,2021-03-27
"59","1908 Pizza y Birra, Ciudad de Buenos Aires","viernes",10,0,-34.6132431,-58.5091338,2021-03-27
"60","1908 Pizza y Birra, Ciudad de Buenos Aires","viernes",11,0,-34.6132431,-58.5091338,2021-03-27
"61","1908 Pizza y Birra, Ciudad de Buenos Aires","viernes",12,0,-34.6132431,-58.5091338,2021-03-27
"62","1908 Pizza y Birra, Ciudad de Buenos Aires","viernes",13,0,-34.6132431,-58.5091338,2021-03-27
"63","1908 Pizza y Birra, Ciudad de Buenos Aires","viernes",14,0,-34.6132431,-58.5091338,2021-03-27
"64","1908 Pizza y Birra, Ciudad de Buenos Aires","viernes",15,0,-34.6132431,-58.5091338,2021-03-27
"65","1908 Pizza y Birra, Ciudad de Buenos Aires","viernes",16,0,-34.6132431,-58.5091338,2021-03-27
"66","1908 Pizza y Birra, Ciudad de Buenos Aires","viernes",17,3.75,-34.6132431,-58.5091338,2021-03-27
"67","1908 Pizza y Birra, Ciudad de Buenos Aires","viernes",18,9,-34.6132431,-58.5091338,2021-03-27
"68","1908 Pizza y Birra, Ciudad de Buenos Aires","viernes",19,22.5,-34.6132431,-58.5091338,2021-03-27
"69","1908 Pizza y Birra, Ciudad de Buenos Aires","viernes",20,42.75,-34.6132431,-58.5091338,2021-03-27
"70","1908 Pizza y Birra, Ciudad de Buenos Aires","viernes",21,59.25,-34.6132431,-58.5091338,2021-03-27
"71","1908 Pizza y Birra, Ciudad de Buenos Aires","viernes",22,60,-34.6132431,-58.5091338,2021-03-27
