"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","lunes",6,0,-34.5780362,-58.4374807,2021-03-27
"2","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","lunes",7,0,-34.5780362,-58.4374807,2021-03-27
"3","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","lunes",8,0,-34.5780362,-58.4374807,2021-03-27
"4","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","lunes",9,0,-34.5780362,-58.4374807,2021-03-27
"5","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","lunes",10,0,-34.5780362,-58.4374807,2021-03-27
"6","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","lunes",11,0,-34.5780362,-58.4374807,2021-03-27
"7","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","lunes",12,0,-34.5780362,-58.4374807,2021-03-27
"8","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","lunes",13,0,-34.5780362,-58.4374807,2021-03-27
"9","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","lunes",14,0,-34.5780362,-58.4374807,2021-03-27
"10","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","lunes",15,0,-34.5780362,-58.4374807,2021-03-27
"11","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","lunes",16,0,-34.5780362,-58.4374807,2021-03-27
"12","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","lunes",17,0,-34.5780362,-58.4374807,2021-03-27
"13","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","lunes",18,9,-34.5780362,-58.4374807,2021-03-27
"14","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","lunes",19,12.75,-34.5780362,-58.4374807,2021-03-27
"15","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","lunes",20,20.25,-34.5780362,-58.4374807,2021-03-27
"16","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","lunes",21,27.75,-34.5780362,-58.4374807,2021-03-27
"17","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","lunes",22,28.5,-34.5780362,-58.4374807,2021-03-27
"18","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","lunes",23,21.75,-34.5780362,-58.4374807,2021-03-27
"19","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","martes",6,0,-34.5780362,-58.4374807,2021-03-27
"20","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","martes",7,0,-34.5780362,-58.4374807,2021-03-27
"21","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","martes",8,0,-34.5780362,-58.4374807,2021-03-27
"22","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","martes",9,0,-34.5780362,-58.4374807,2021-03-27
"23","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","martes",10,0,-34.5780362,-58.4374807,2021-03-27
"24","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","martes",11,0,-34.5780362,-58.4374807,2021-03-27
"25","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","martes",12,9.75,-34.5780362,-58.4374807,2021-03-27
"26","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","martes",13,12.75,-34.5780362,-58.4374807,2021-03-27
"27","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","martes",14,15.75,-34.5780362,-58.4374807,2021-03-27
"28","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","martes",15,16.5,-34.5780362,-58.4374807,2021-03-27
"29","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","martes",16,15.75,-34.5780362,-58.4374807,2021-03-27
"30","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","martes",17,14.25,-34.5780362,-58.4374807,2021-03-27
"31","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","martes",18,12.75,-34.5780362,-58.4374807,2021-03-27
"32","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","martes",19,16.5,-34.5780362,-58.4374807,2021-03-27
"33","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","martes",20,25.5,-34.5780362,-58.4374807,2021-03-27
"34","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","martes",21,36.75,-34.5780362,-58.4374807,2021-03-27
"35","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","martes",22,39.75,-34.5780362,-58.4374807,2021-03-27
"36","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","martes",23,32.25,-34.5780362,-58.4374807,2021-03-27
"37","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","miercoles",6,0,-34.5780362,-58.4374807,2021-03-27
"38","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","miercoles",7,0,-34.5780362,-58.4374807,2021-03-27
"39","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","miercoles",8,0,-34.5780362,-58.4374807,2021-03-27
"40","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","miercoles",9,0,-34.5780362,-58.4374807,2021-03-27
"41","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","miercoles",10,0,-34.5780362,-58.4374807,2021-03-27
"42","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","miercoles",11,0,-34.5780362,-58.4374807,2021-03-27
"43","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","miercoles",12,6.75,-34.5780362,-58.4374807,2021-03-27
"44","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","miercoles",13,9.75,-34.5780362,-58.4374807,2021-03-27
"45","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","miercoles",14,11.25,-34.5780362,-58.4374807,2021-03-27
"46","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","miercoles",15,11.25,-34.5780362,-58.4374807,2021-03-27
"47","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","miercoles",16,9.75,-34.5780362,-58.4374807,2021-03-27
"48","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","miercoles",17,8.25,-34.5780362,-58.4374807,2021-03-27
"49","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","miercoles",18,6,-34.5780362,-58.4374807,2021-03-27
"50","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","miercoles",19,6.75,-34.5780362,-58.4374807,2021-03-27
"51","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","miercoles",20,12,-34.5780362,-58.4374807,2021-03-27
"52","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","miercoles",21,24,-34.5780362,-58.4374807,2021-03-27
"53","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","miercoles",22,33.75,-34.5780362,-58.4374807,2021-03-27
"54","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","miercoles",23,28.5,-34.5780362,-58.4374807,2021-03-27
"55","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","jueves",6,0,-34.5780362,-58.4374807,2021-03-27
"56","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","jueves",7,0,-34.5780362,-58.4374807,2021-03-27
"57","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","jueves",8,0,-34.5780362,-58.4374807,2021-03-27
"58","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","jueves",9,0,-34.5780362,-58.4374807,2021-03-27
"59","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","jueves",10,0,-34.5780362,-58.4374807,2021-03-27
"60","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","jueves",11,0,-34.5780362,-58.4374807,2021-03-27
"61","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","jueves",12,7.5,-34.5780362,-58.4374807,2021-03-27
"62","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","jueves",13,9.75,-34.5780362,-58.4374807,2021-03-27
"63","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","jueves",14,11.25,-34.5780362,-58.4374807,2021-03-27
"64","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","jueves",15,12,-34.5780362,-58.4374807,2021-03-27
"65","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","jueves",16,12.75,-34.5780362,-58.4374807,2021-03-27
"66","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","jueves",17,17.25,-34.5780362,-58.4374807,2021-03-27
"67","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires","jueves",18,29.25,-34.5780362,-58.4374807,2021-03-27
