"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Al-Zein, Ciudad de Buenos Aires","lunes",6,0,-34.5702389,-58.4323128,2021-03-26
"2","Al-Zein, Ciudad de Buenos Aires","lunes",7,0,-34.5702389,-58.4323128,2021-03-26
"3","Al-Zein, Ciudad de Buenos Aires","lunes",8,0,-34.5702389,-58.4323128,2021-03-26
"4","Al-Zein, Ciudad de Buenos Aires","lunes",9,0,-34.5702389,-58.4323128,2021-03-26
"5","Al-Zein, Ciudad de Buenos Aires","lunes",10,0,-34.5702389,-58.4323128,2021-03-26
"6","Al-Zein, Ciudad de Buenos Aires","lunes",11,0,-34.5702389,-58.4323128,2021-03-26
"7","Al-Zein, Ciudad de Buenos Aires","lunes",12,0,-34.5702389,-58.4323128,2021-03-26
"8","Al-Zein, Ciudad de Buenos Aires","lunes",13,0,-34.5702389,-58.4323128,2021-03-26
"9","Al-Zein, Ciudad de Buenos Aires","lunes",14,0,-34.5702389,-58.4323128,2021-03-26
"10","Al-Zein, Ciudad de Buenos Aires","lunes",15,0,-34.5702389,-58.4323128,2021-03-26
"11","Al-Zein, Ciudad de Buenos Aires","lunes",16,0,-34.5702389,-58.4323128,2021-03-26
"12","Al-Zein, Ciudad de Buenos Aires","lunes",17,0,-34.5702389,-58.4323128,2021-03-26
"13","Al-Zein, Ciudad de Buenos Aires","lunes",18,0,-34.5702389,-58.4323128,2021-03-26
"14","Al-Zein, Ciudad de Buenos Aires","lunes",19,7.5,-34.5702389,-58.4323128,2021-03-26
"15","Al-Zein, Ciudad de Buenos Aires","lunes",20,15,-34.5702389,-58.4323128,2021-03-26
"16","Al-Zein, Ciudad de Buenos Aires","lunes",21,18,-34.5702389,-58.4323128,2021-03-26
"17","Al-Zein, Ciudad de Buenos Aires","lunes",22,12.75,-34.5702389,-58.4323128,2021-03-26
"18","Al-Zein, Ciudad de Buenos Aires","lunes",23,5.25,-34.5702389,-58.4323128,2021-03-26
"19","Al-Zein, Ciudad de Buenos Aires","martes",6,0,-34.5702389,-58.4323128,2021-03-26
"20","Al-Zein, Ciudad de Buenos Aires","martes",7,0,-34.5702389,-58.4323128,2021-03-26
"21","Al-Zein, Ciudad de Buenos Aires","martes",8,0,-34.5702389,-58.4323128,2021-03-26
"22","Al-Zein, Ciudad de Buenos Aires","martes",9,0,-34.5702389,-58.4323128,2021-03-26
"23","Al-Zein, Ciudad de Buenos Aires","martes",10,0,-34.5702389,-58.4323128,2021-03-26
"24","Al-Zein, Ciudad de Buenos Aires","martes",11,0,-34.5702389,-58.4323128,2021-03-26
"25","Al-Zein, Ciudad de Buenos Aires","martes",12,5.25,-34.5702389,-58.4323128,2021-03-26
"26","Al-Zein, Ciudad de Buenos Aires","martes",13,15.75,-34.5702389,-58.4323128,2021-03-26
"27","Al-Zein, Ciudad de Buenos Aires","martes",14,21.75,-34.5702389,-58.4323128,2021-03-26
"28","Al-Zein, Ciudad de Buenos Aires","martes",15,14.25,-34.5702389,-58.4323128,2021-03-26
"29","Al-Zein, Ciudad de Buenos Aires","martes",16,0,-34.5702389,-58.4323128,2021-03-26
"30","Al-Zein, Ciudad de Buenos Aires","martes",17,0,-34.5702389,-58.4323128,2021-03-26
"31","Al-Zein, Ciudad de Buenos Aires","martes",18,0,-34.5702389,-58.4323128,2021-03-26
"32","Al-Zein, Ciudad de Buenos Aires","martes",19,7.5,-34.5702389,-58.4323128,2021-03-26
"33","Al-Zein, Ciudad de Buenos Aires","martes",20,27,-34.5702389,-58.4323128,2021-03-26
"34","Al-Zein, Ciudad de Buenos Aires","martes",21,45.75,-34.5702389,-58.4323128,2021-03-26
"35","Al-Zein, Ciudad de Buenos Aires","martes",22,41.25,-34.5702389,-58.4323128,2021-03-26
"36","Al-Zein, Ciudad de Buenos Aires","martes",23,20.25,-34.5702389,-58.4323128,2021-03-26
"37","Al-Zein, Ciudad de Buenos Aires","miercoles",6,0,-34.5702389,-58.4323128,2021-03-26
"38","Al-Zein, Ciudad de Buenos Aires","miercoles",7,0,-34.5702389,-58.4323128,2021-03-26
"39","Al-Zein, Ciudad de Buenos Aires","miercoles",8,0,-34.5702389,-58.4323128,2021-03-26
"40","Al-Zein, Ciudad de Buenos Aires","miercoles",9,0,-34.5702389,-58.4323128,2021-03-26
"41","Al-Zein, Ciudad de Buenos Aires","miercoles",10,0,-34.5702389,-58.4323128,2021-03-26
"42","Al-Zein, Ciudad de Buenos Aires","miercoles",11,0,-34.5702389,-58.4323128,2021-03-26
"43","Al-Zein, Ciudad de Buenos Aires","miercoles",12,8.25,-34.5702389,-58.4323128,2021-03-26
"44","Al-Zein, Ciudad de Buenos Aires","miercoles",13,16.5,-34.5702389,-58.4323128,2021-03-26
"45","Al-Zein, Ciudad de Buenos Aires","miercoles",14,18,-34.5702389,-58.4323128,2021-03-26
"46","Al-Zein, Ciudad de Buenos Aires","miercoles",15,12,-34.5702389,-58.4323128,2021-03-26
"47","Al-Zein, Ciudad de Buenos Aires","miercoles",16,0,-34.5702389,-58.4323128,2021-03-26
"48","Al-Zein, Ciudad de Buenos Aires","miercoles",17,0,-34.5702389,-58.4323128,2021-03-26
"49","Al-Zein, Ciudad de Buenos Aires","miercoles",18,0,-34.5702389,-58.4323128,2021-03-26
"50","Al-Zein, Ciudad de Buenos Aires","miercoles",19,3.75,-34.5702389,-58.4323128,2021-03-26
"51","Al-Zein, Ciudad de Buenos Aires","miercoles",20,15.75,-34.5702389,-58.4323128,2021-03-26
"52","Al-Zein, Ciudad de Buenos Aires","miercoles",21,40.5,-34.5702389,-58.4323128,2021-03-26
"53","Al-Zein, Ciudad de Buenos Aires","miercoles",22,48,-34.5702389,-58.4323128,2021-03-26
"54","Al-Zein, Ciudad de Buenos Aires","miercoles",23,26.25,-34.5702389,-58.4323128,2021-03-26
"55","Al-Zein, Ciudad de Buenos Aires","jueves",6,0,-34.5702389,-58.4323128,2021-03-26
"56","Al-Zein, Ciudad de Buenos Aires","jueves",7,0,-34.5702389,-58.4323128,2021-03-26
"57","Al-Zein, Ciudad de Buenos Aires","jueves",8,0,-34.5702389,-58.4323128,2021-03-26
"58","Al-Zein, Ciudad de Buenos Aires","jueves",9,0,-34.5702389,-58.4323128,2021-03-26
"59","Al-Zein, Ciudad de Buenos Aires","jueves",10,0,-34.5702389,-58.4323128,2021-03-26
"60","Al-Zein, Ciudad de Buenos Aires","jueves",11,0,-34.5702389,-58.4323128,2021-03-26
"61","Al-Zein, Ciudad de Buenos Aires","jueves",12,6,-34.5702389,-58.4323128,2021-03-26
"62","Al-Zein, Ciudad de Buenos Aires","jueves",13,12.75,-34.5702389,-58.4323128,2021-03-26
"63","Al-Zein, Ciudad de Buenos Aires","jueves",14,17.25,-34.5702389,-58.4323128,2021-03-26
"64","Al-Zein, Ciudad de Buenos Aires","jueves",15,15.75,-34.5702389,-58.4323128,2021-03-26
"65","Al-Zein, Ciudad de Buenos Aires","jueves",16,0,-34.5702389,-58.4323128,2021-03-26
"66","Al-Zein, Ciudad de Buenos Aires","jueves",17,0,-34.5702389,-58.4323128,2021-03-26
"67","Al-Zein, Ciudad de Buenos Aires","jueves",18,0,-34.5702389,-58.4323128,2021-03-26
"68","Al-Zein, Ciudad de Buenos Aires","jueves",19,5.25,-34.5702389,-58.4323128,2021-03-26
"69","Al-Zein, Ciudad de Buenos Aires","jueves",20,20.25,-34.5702389,-58.4323128,2021-03-26
"70","Al-Zein, Ciudad de Buenos Aires","jueves",21,39.75,-34.5702389,-58.4323128,2021-03-26
"71","Al-Zein, Ciudad de Buenos Aires","jueves",22,44.25,-34.5702389,-58.4323128,2021-03-26
"72","Al-Zein, Ciudad de Buenos Aires","jueves",23,28.5,-34.5702389,-58.4323128,2021-03-26
"73","Al-Zein, Ciudad de Buenos Aires","viernes",6,0,-34.5702389,-58.4323128,2021-03-26
"74","Al-Zein, Ciudad de Buenos Aires","viernes",7,0,-34.5702389,-58.4323128,2021-03-26
"75","Al-Zein, Ciudad de Buenos Aires","viernes",8,0,-34.5702389,-58.4323128,2021-03-26
"76","Al-Zein, Ciudad de Buenos Aires","viernes",9,0,-34.5702389,-58.4323128,2021-03-26
"77","Al-Zein, Ciudad de Buenos Aires","viernes",10,0,-34.5702389,-58.4323128,2021-03-26
"78","Al-Zein, Ciudad de Buenos Aires","viernes",11,0,-34.5702389,-58.4323128,2021-03-26
"79","Al-Zein, Ciudad de Buenos Aires","viernes",12,6.75,-34.5702389,-58.4323128,2021-03-26
"80","Al-Zein, Ciudad de Buenos Aires","viernes",13,15.75,-34.5702389,-58.4323128,2021-03-26
"81","Al-Zein, Ciudad de Buenos Aires","viernes",14,21,-34.5702389,-58.4323128,2021-03-26
"82","Al-Zein, Ciudad de Buenos Aires","viernes",15,15,-34.5702389,-58.4323128,2021-03-26
"83","Al-Zein, Ciudad de Buenos Aires","viernes",16,0,-34.5702389,-58.4323128,2021-03-26
"84","Al-Zein, Ciudad de Buenos Aires","viernes",17,0,-34.5702389,-58.4323128,2021-03-26
"85","Al-Zein, Ciudad de Buenos Aires","viernes",18,0,-34.5702389,-58.4323128,2021-03-26
"86","Al-Zein, Ciudad de Buenos Aires","viernes",19,14.25,-34.5702389,-58.4323128,2021-03-26
"87","Al-Zein, Ciudad de Buenos Aires","viernes",20,33,-34.5702389,-58.4323128,2021-03-26
"88","Al-Zein, Ciudad de Buenos Aires","viernes",21,53.25,-34.5702389,-58.4323128,2021-03-26
"89","Al-Zein, Ciudad de Buenos Aires","viernes",22,59.25,-34.5702389,-58.4323128,2021-03-26
"90","Al-Zein, Ciudad de Buenos Aires","viernes",23,45.75,-34.5702389,-58.4323128,2021-03-26
"91","Al-Zein, Ciudad de Buenos Aires","sabado",6,0,-34.5702389,-58.4323128,2021-03-26
"92","Al-Zein, Ciudad de Buenos Aires","sabado",7,0,-34.5702389,-58.4323128,2021-03-26
"93","Al-Zein, Ciudad de Buenos Aires","sabado",8,0,-34.5702389,-58.4323128,2021-03-26
"94","Al-Zein, Ciudad de Buenos Aires","sabado",9,0,-34.5702389,-58.4323128,2021-03-26
"95","Al-Zein, Ciudad de Buenos Aires","sabado",10,0,-34.5702389,-58.4323128,2021-03-26
"96","Al-Zein, Ciudad de Buenos Aires","sabado",11,0,-34.5702389,-58.4323128,2021-03-26
"97","Al-Zein, Ciudad de Buenos Aires","sabado",12,13.5,-34.5702389,-58.4323128,2021-03-26
"98","Al-Zein, Ciudad de Buenos Aires","sabado",13,24.75,-34.5702389,-58.4323128,2021-03-26
"99","Al-Zein, Ciudad de Buenos Aires","sabado",14,29.25,-34.5702389,-58.4323128,2021-03-26
"100","Al-Zein, Ciudad de Buenos Aires","sabado",15,24,-34.5702389,-58.4323128,2021-03-26
"101","Al-Zein, Ciudad de Buenos Aires","sabado",16,0,-34.5702389,-58.4323128,2021-03-26
"102","Al-Zein, Ciudad de Buenos Aires","sabado",17,0,-34.5702389,-58.4323128,2021-03-26
"103","Al-Zein, Ciudad de Buenos Aires","sabado",18,0,-34.5702389,-58.4323128,2021-03-26
"104","Al-Zein, Ciudad de Buenos Aires","sabado",19,6,-34.5702389,-58.4323128,2021-03-26
"105","Al-Zein, Ciudad de Buenos Aires","sabado",20,27,-34.5702389,-58.4323128,2021-03-26
"106","Al-Zein, Ciudad de Buenos Aires","sabado",21,58.5,-34.5702389,-58.4323128,2021-03-26
"107","Al-Zein, Ciudad de Buenos Aires","sabado",22,75,-34.5702389,-58.4323128,2021-03-26
"108","Al-Zein, Ciudad de Buenos Aires","sabado",23,57,-34.5702389,-58.4323128,2021-03-26
"109","Al-Zein, Ciudad de Buenos Aires","domingo",6,0,-34.5702389,-58.4323128,2021-03-26
"110","Al-Zein, Ciudad de Buenos Aires","domingo",7,0,-34.5702389,-58.4323128,2021-03-26
"111","Al-Zein, Ciudad de Buenos Aires","domingo",8,0,-34.5702389,-58.4323128,2021-03-26
"112","Al-Zein, Ciudad de Buenos Aires","domingo",9,0,-34.5702389,-58.4323128,2021-03-26
"113","Al-Zein, Ciudad de Buenos Aires","domingo",10,0,-34.5702389,-58.4323128,2021-03-26
"114","Al-Zein, Ciudad de Buenos Aires","domingo",11,0,-34.5702389,-58.4323128,2021-03-26
"115","Al-Zein, Ciudad de Buenos Aires","domingo",12,7.5,-34.5702389,-58.4323128,2021-03-26
"116","Al-Zein, Ciudad de Buenos Aires","domingo",13,22.5,-34.5702389,-58.4323128,2021-03-26
"117","Al-Zein, Ciudad de Buenos Aires","domingo",14,33.75,-34.5702389,-58.4323128,2021-03-26
"118","Al-Zein, Ciudad de Buenos Aires","domingo",15,27,-34.5702389,-58.4323128,2021-03-26
"119","Al-Zein, Ciudad de Buenos Aires","domingo",16,0,-34.5702389,-58.4323128,2021-03-26
"120","Al-Zein, Ciudad de Buenos Aires","domingo",17,0,-34.5702389,-58.4323128,2021-03-26
