"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Albamonte Ristorante, Ciudad de Buenos Aires","lunes",6,0,-34.587572,-58.453137,2021-03-26
"2","Albamonte Ristorante, Ciudad de Buenos Aires","lunes",7,0,-34.587572,-58.453137,2021-03-26
"3","Albamonte Ristorante, Ciudad de Buenos Aires","lunes",8,0,-34.587572,-58.453137,2021-03-26
"4","Albamonte Ristorante, Ciudad de Buenos Aires","lunes",9,0,-34.587572,-58.453137,2021-03-26
"5","Albamonte Ristorante, Ciudad de Buenos Aires","lunes",10,0,-34.587572,-58.453137,2021-03-26
"6","Albamonte Ristorante, Ciudad de Buenos Aires","lunes",11,0,-34.587572,-58.453137,2021-03-26
"7","Albamonte Ristorante, Ciudad de Buenos Aires","lunes",12,0,-34.587572,-58.453137,2021-03-26
"8","Albamonte Ristorante, Ciudad de Buenos Aires","lunes",13,0,-34.587572,-58.453137,2021-03-26
"9","Albamonte Ristorante, Ciudad de Buenos Aires","lunes",14,0,-34.587572,-58.453137,2021-03-26
"10","Albamonte Ristorante, Ciudad de Buenos Aires","lunes",15,0,-34.587572,-58.453137,2021-03-26
"11","Albamonte Ristorante, Ciudad de Buenos Aires","lunes",16,0,-34.587572,-58.453137,2021-03-26
"12","Albamonte Ristorante, Ciudad de Buenos Aires","lunes",17,0,-34.587572,-58.453137,2021-03-26
"13","Albamonte Ristorante, Ciudad de Buenos Aires","lunes",18,0,-34.587572,-58.453137,2021-03-26
"14","Albamonte Ristorante, Ciudad de Buenos Aires","lunes",19,0,-34.587572,-58.453137,2021-03-26
"15","Albamonte Ristorante, Ciudad de Buenos Aires","lunes",20,19.5,-34.587572,-58.453137,2021-03-26
"16","Albamonte Ristorante, Ciudad de Buenos Aires","lunes",21,31.5,-34.587572,-58.453137,2021-03-26
"17","Albamonte Ristorante, Ciudad de Buenos Aires","lunes",22,27.75,-34.587572,-58.453137,2021-03-26
"18","Albamonte Ristorante, Ciudad de Buenos Aires","lunes",23,0,-34.587572,-58.453137,2021-03-26
"19","Albamonte Ristorante, Ciudad de Buenos Aires","martes",6,0,-34.587572,-58.453137,2021-03-26
"20","Albamonte Ristorante, Ciudad de Buenos Aires","martes",7,0,-34.587572,-58.453137,2021-03-26
"21","Albamonte Ristorante, Ciudad de Buenos Aires","martes",8,0,-34.587572,-58.453137,2021-03-26
"22","Albamonte Ristorante, Ciudad de Buenos Aires","martes",9,0,-34.587572,-58.453137,2021-03-26
"23","Albamonte Ristorante, Ciudad de Buenos Aires","martes",10,0,-34.587572,-58.453137,2021-03-26
"24","Albamonte Ristorante, Ciudad de Buenos Aires","martes",11,0,-34.587572,-58.453137,2021-03-26
"25","Albamonte Ristorante, Ciudad de Buenos Aires","martes",12,0,-34.587572,-58.453137,2021-03-26
"26","Albamonte Ristorante, Ciudad de Buenos Aires","martes",13,0,-34.587572,-58.453137,2021-03-26
"27","Albamonte Ristorante, Ciudad de Buenos Aires","martes",14,0,-34.587572,-58.453137,2021-03-26
"28","Albamonte Ristorante, Ciudad de Buenos Aires","martes",15,0,-34.587572,-58.453137,2021-03-26
"29","Albamonte Ristorante, Ciudad de Buenos Aires","martes",16,0,-34.587572,-58.453137,2021-03-26
"30","Albamonte Ristorante, Ciudad de Buenos Aires","martes",17,0,-34.587572,-58.453137,2021-03-26
"31","Albamonte Ristorante, Ciudad de Buenos Aires","martes",18,0,-34.587572,-58.453137,2021-03-26
"32","Albamonte Ristorante, Ciudad de Buenos Aires","martes",19,0,-34.587572,-58.453137,2021-03-26
"33","Albamonte Ristorante, Ciudad de Buenos Aires","martes",20,34.5,-34.587572,-58.453137,2021-03-26
"34","Albamonte Ristorante, Ciudad de Buenos Aires","martes",21,51,-34.587572,-58.453137,2021-03-26
"35","Albamonte Ristorante, Ciudad de Buenos Aires","martes",22,43.5,-34.587572,-58.453137,2021-03-26
"36","Albamonte Ristorante, Ciudad de Buenos Aires","martes",23,0,-34.587572,-58.453137,2021-03-26
"37","Albamonte Ristorante, Ciudad de Buenos Aires","miercoles",6,0,-34.587572,-58.453137,2021-03-26
"38","Albamonte Ristorante, Ciudad de Buenos Aires","miercoles",7,0,-34.587572,-58.453137,2021-03-26
"39","Albamonte Ristorante, Ciudad de Buenos Aires","miercoles",8,0,-34.587572,-58.453137,2021-03-26
"40","Albamonte Ristorante, Ciudad de Buenos Aires","miercoles",9,0,-34.587572,-58.453137,2021-03-26
"41","Albamonte Ristorante, Ciudad de Buenos Aires","miercoles",10,0,-34.587572,-58.453137,2021-03-26
"42","Albamonte Ristorante, Ciudad de Buenos Aires","miercoles",11,0,-34.587572,-58.453137,2021-03-26
"43","Albamonte Ristorante, Ciudad de Buenos Aires","miercoles",12,0,-34.587572,-58.453137,2021-03-26
"44","Albamonte Ristorante, Ciudad de Buenos Aires","miercoles",13,0,-34.587572,-58.453137,2021-03-26
"45","Albamonte Ristorante, Ciudad de Buenos Aires","miercoles",14,0,-34.587572,-58.453137,2021-03-26
"46","Albamonte Ristorante, Ciudad de Buenos Aires","miercoles",15,0,-34.587572,-58.453137,2021-03-26
"47","Albamonte Ristorante, Ciudad de Buenos Aires","miercoles",16,0,-34.587572,-58.453137,2021-03-26
"48","Albamonte Ristorante, Ciudad de Buenos Aires","miercoles",17,0,-34.587572,-58.453137,2021-03-26
"49","Albamonte Ristorante, Ciudad de Buenos Aires","miercoles",18,0,-34.587572,-58.453137,2021-03-26
