"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Almacen de Antojos, Ciudad de Buenos Aires","lunes",6,0,-34.573436,-58.4533934,2021-03-27
"2","Almacen de Antojos, Ciudad de Buenos Aires","lunes",7,0,-34.573436,-58.4533934,2021-03-27
"3","Almacen de Antojos, Ciudad de Buenos Aires","lunes",8,19.5,-34.573436,-58.4533934,2021-03-27
"4","Almacen de Antojos, Ciudad de Buenos Aires","lunes",9,37.5,-34.573436,-58.4533934,2021-03-27
"5","Almacen de Antojos, Ciudad de Buenos Aires","lunes",10,52.5,-34.573436,-58.4533934,2021-03-27
"6","Almacen de Antojos, Ciudad de Buenos Aires","lunes",11,57,-34.573436,-58.4533934,2021-03-27
"7","Almacen de Antojos, Ciudad de Buenos Aires","lunes",12,54,-34.573436,-58.4533934,2021-03-27
"8","Almacen de Antojos, Ciudad de Buenos Aires","lunes",13,51.75,-34.573436,-58.4533934,2021-03-27
"9","Almacen de Antojos, Ciudad de Buenos Aires","lunes",14,51.75,-34.573436,-58.4533934,2021-03-27
"10","Almacen de Antojos, Ciudad de Buenos Aires","lunes",15,46.5,-34.573436,-58.4533934,2021-03-27
"11","Almacen de Antojos, Ciudad de Buenos Aires","lunes",16,33.75,-34.573436,-58.4533934,2021-03-27
"12","Almacen de Antojos, Ciudad de Buenos Aires","lunes",17,0,-34.573436,-58.4533934,2021-03-27
"13","Almacen de Antojos, Ciudad de Buenos Aires","lunes",18,0,-34.573436,-58.4533934,2021-03-27
"14","Almacen de Antojos, Ciudad de Buenos Aires","lunes",19,0,-34.573436,-58.4533934,2021-03-27
"15","Almacen de Antojos, Ciudad de Buenos Aires","lunes",20,0,-34.573436,-58.4533934,2021-03-27
"16","Almacen de Antojos, Ciudad de Buenos Aires","lunes",21,0,-34.573436,-58.4533934,2021-03-27
"17","Almacen de Antojos, Ciudad de Buenos Aires","lunes",22,0,-34.573436,-58.4533934,2021-03-27
"18","Almacen de Antojos, Ciudad de Buenos Aires","lunes",23,0,-34.573436,-58.4533934,2021-03-27
"19","Almacen de Antojos, Ciudad de Buenos Aires","martes",6,0,-34.573436,-58.4533934,2021-03-27
"20","Almacen de Antojos, Ciudad de Buenos Aires","martes",7,0,-34.573436,-58.4533934,2021-03-27
"21","Almacen de Antojos, Ciudad de Buenos Aires","martes",8,14.25,-34.573436,-58.4533934,2021-03-27
"22","Almacen de Antojos, Ciudad de Buenos Aires","martes",9,33.75,-34.573436,-58.4533934,2021-03-27
"23","Almacen de Antojos, Ciudad de Buenos Aires","martes",10,51.75,-34.573436,-58.4533934,2021-03-27
"24","Almacen de Antojos, Ciudad de Buenos Aires","martes",11,58.5,-34.573436,-58.4533934,2021-03-27
"25","Almacen de Antojos, Ciudad de Buenos Aires","martes",12,60,-34.573436,-58.4533934,2021-03-27
"26","Almacen de Antojos, Ciudad de Buenos Aires","martes",13,61.5,-34.573436,-58.4533934,2021-03-27
"27","Almacen de Antojos, Ciudad de Buenos Aires","martes",14,57.75,-34.573436,-58.4533934,2021-03-27
"28","Almacen de Antojos, Ciudad de Buenos Aires","martes",15,45,-34.573436,-58.4533934,2021-03-27
"29","Almacen de Antojos, Ciudad de Buenos Aires","martes",16,30.75,-34.573436,-58.4533934,2021-03-27
"30","Almacen de Antojos, Ciudad de Buenos Aires","martes",17,0,-34.573436,-58.4533934,2021-03-27
"31","Almacen de Antojos, Ciudad de Buenos Aires","martes",18,0,-34.573436,-58.4533934,2021-03-27
"32","Almacen de Antojos, Ciudad de Buenos Aires","martes",19,0,-34.573436,-58.4533934,2021-03-27
"33","Almacen de Antojos, Ciudad de Buenos Aires","martes",20,0,-34.573436,-58.4533934,2021-03-27
"34","Almacen de Antojos, Ciudad de Buenos Aires","martes",21,0,-34.573436,-58.4533934,2021-03-27
"35","Almacen de Antojos, Ciudad de Buenos Aires","martes",22,0,-34.573436,-58.4533934,2021-03-27
"36","Almacen de Antojos, Ciudad de Buenos Aires","martes",23,0,-34.573436,-58.4533934,2021-03-27
"37","Almacen de Antojos, Ciudad de Buenos Aires","miercoles",6,0,-34.573436,-58.4533934,2021-03-27
"38","Almacen de Antojos, Ciudad de Buenos Aires","miercoles",7,0,-34.573436,-58.4533934,2021-03-27
"39","Almacen de Antojos, Ciudad de Buenos Aires","miercoles",8,27,-34.573436,-58.4533934,2021-03-27
"40","Almacen de Antojos, Ciudad de Buenos Aires","miercoles",9,53.25,-34.573436,-58.4533934,2021-03-27
"41","Almacen de Antojos, Ciudad de Buenos Aires","miercoles",10,60.75,-34.573436,-58.4533934,2021-03-27
"42","Almacen de Antojos, Ciudad de Buenos Aires","miercoles",11,57.75,-34.573436,-58.4533934,2021-03-27
