"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","lunes",6,0,-34.603305,-58.379438,2021-03-26
"2","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","lunes",7,0,-34.603305,-58.379438,2021-03-26
"3","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","lunes",8,0,-34.603305,-58.379438,2021-03-26
"4","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","lunes",9,0,-34.603305,-58.379438,2021-03-26
"5","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","lunes",10,0,-34.603305,-58.379438,2021-03-26
"6","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","lunes",11,7.5,-34.603305,-58.379438,2021-03-26
"7","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","lunes",12,18.75,-34.603305,-58.379438,2021-03-26
"8","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","lunes",13,28.5,-34.603305,-58.379438,2021-03-26
"9","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","lunes",14,33,-34.603305,-58.379438,2021-03-26
"10","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","lunes",15,30,-34.603305,-58.379438,2021-03-26
"11","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","lunes",16,21.75,-34.603305,-58.379438,2021-03-26
"12","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","lunes",17,12,-34.603305,-58.379438,2021-03-26
"13","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","lunes",18,6,-34.603305,-58.379438,2021-03-26
"14","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","lunes",19,8.25,-34.603305,-58.379438,2021-03-26
"15","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","lunes",20,20.25,-34.603305,-58.379438,2021-03-26
"16","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","lunes",21,33.75,-34.603305,-58.379438,2021-03-26
"17","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","lunes",22,38.25,-34.603305,-58.379438,2021-03-26
"18","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","lunes",23,28.5,-34.603305,-58.379438,2021-03-26
"19","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","martes",6,0,-34.603305,-58.379438,2021-03-26
"20","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","martes",7,0,-34.603305,-58.379438,2021-03-26
"21","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","martes",8,0,-34.603305,-58.379438,2021-03-26
"22","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","martes",9,0,-34.603305,-58.379438,2021-03-26
"23","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","martes",10,0,-34.603305,-58.379438,2021-03-26
"24","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","martes",11,6,-34.603305,-58.379438,2021-03-26
"25","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","martes",12,19.5,-34.603305,-58.379438,2021-03-26
"26","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","martes",13,33.75,-34.603305,-58.379438,2021-03-26
"27","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","martes",14,39,-34.603305,-58.379438,2021-03-26
"28","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","martes",15,29.25,-34.603305,-58.379438,2021-03-26
"29","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","martes",16,12.75,-34.603305,-58.379438,2021-03-26
"30","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","martes",17,0.75,-34.603305,-58.379438,2021-03-26
"31","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","martes",18,0.75,-34.603305,-58.379438,2021-03-26
"32","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","martes",19,2.25,-34.603305,-58.379438,2021-03-26
"33","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","martes",20,8.25,-34.603305,-58.379438,2021-03-26
"34","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","martes",21,15,-34.603305,-58.379438,2021-03-26
"35","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","martes",22,17.25,-34.603305,-58.379438,2021-03-26
"36","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","martes",23,15.75,-34.603305,-58.379438,2021-03-26
"37","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","miercoles",6,0,-34.603305,-58.379438,2021-03-26
"38","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","miercoles",7,0,-34.603305,-58.379438,2021-03-26
"39","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","miercoles",8,0,-34.603305,-58.379438,2021-03-26
"40","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","miercoles",9,0,-34.603305,-58.379438,2021-03-26
"41","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","miercoles",10,0,-34.603305,-58.379438,2021-03-26
"42","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","miercoles",11,11.25,-34.603305,-58.379438,2021-03-26
"43","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","miercoles",12,19.5,-34.603305,-58.379438,2021-03-26
"44","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","miercoles",13,25.5,-34.603305,-58.379438,2021-03-26
"45","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","miercoles",14,28.5,-34.603305,-58.379438,2021-03-26
"46","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","miercoles",15,27,-34.603305,-58.379438,2021-03-26
"47","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","miercoles",16,21.75,-34.603305,-58.379438,2021-03-26
"48","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","miercoles",17,15,-34.603305,-58.379438,2021-03-26
"49","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","miercoles",18,8.25,-34.603305,-58.379438,2021-03-26
"50","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","miercoles",19,8.25,-34.603305,-58.379438,2021-03-26
"51","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","miercoles",20,18.75,-34.603305,-58.379438,2021-03-26
"52","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","miercoles",21,32.25,-34.603305,-58.379438,2021-03-26
"53","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","miercoles",22,34.5,-34.603305,-58.379438,2021-03-26
"54","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","miercoles",23,20.25,-34.603305,-58.379438,2021-03-26
"55","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","jueves",6,0,-34.603305,-58.379438,2021-03-26
"56","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","jueves",7,0,-34.603305,-58.379438,2021-03-26
"57","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","jueves",8,0,-34.603305,-58.379438,2021-03-26
"58","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","jueves",9,0,-34.603305,-58.379438,2021-03-26
"59","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","jueves",10,0,-34.603305,-58.379438,2021-03-26
"60","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","jueves",11,0.75,-34.603305,-58.379438,2021-03-26
"61","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","jueves",12,16.5,-34.603305,-58.379438,2021-03-26
"62","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","jueves",13,39,-34.603305,-58.379438,2021-03-26
"63","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","jueves",14,45.75,-34.603305,-58.379438,2021-03-26
"64","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","jueves",15,30.75,-34.603305,-58.379438,2021-03-26
"65","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","jueves",16,9,-34.603305,-58.379438,2021-03-26
"66","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","jueves",17,0.75,-34.603305,-58.379438,2021-03-26
"67","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","jueves",18,0.75,-34.603305,-58.379438,2021-03-26
"68","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","jueves",19,10.5,-34.603305,-58.379438,2021-03-26
"69","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","jueves",20,21.75,-34.603305,-58.379438,2021-03-26
"70","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","jueves",21,28.5,-34.603305,-58.379438,2021-03-26
"71","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","jueves",22,26.25,-34.603305,-58.379438,2021-03-26
"72","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","jueves",23,17.25,-34.603305,-58.379438,2021-03-26
"73","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","viernes",6,0,-34.603305,-58.379438,2021-03-26
"74","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","viernes",7,0,-34.603305,-58.379438,2021-03-26
"75","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","viernes",8,0,-34.603305,-58.379438,2021-03-26
"76","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","viernes",9,0,-34.603305,-58.379438,2021-03-26
"77","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","viernes",10,0,-34.603305,-58.379438,2021-03-26
"78","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","viernes",11,5.25,-34.603305,-58.379438,2021-03-26
"79","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","viernes",12,12.75,-34.603305,-58.379438,2021-03-26
"80","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","viernes",13,20.25,-34.603305,-58.379438,2021-03-26
"81","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","viernes",14,23.25,-34.603305,-58.379438,2021-03-26
"82","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","viernes",15,18.75,-34.603305,-58.379438,2021-03-26
"83","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","viernes",16,10.5,-34.603305,-58.379438,2021-03-26
"84","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","viernes",17,4.5,-34.603305,-58.379438,2021-03-26
"85","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","viernes",18,6,-34.603305,-58.379438,2021-03-26
"86","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","viernes",19,15,-34.603305,-58.379438,2021-03-26
"87","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","viernes",20,26.25,-34.603305,-58.379438,2021-03-26
"88","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","viernes",21,34.5,-34.603305,-58.379438,2021-03-26
"89","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","viernes",22,33.75,-34.603305,-58.379438,2021-03-26
"90","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","viernes",23,24.75,-34.603305,-58.379438,2021-03-26
"91","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","sabado",0,12,-34.603305,-58.379438,2021-03-26
"92","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","sabado",1,0.75,-34.603305,-58.379438,2021-03-26
"93","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","sabado",6,0,-34.603305,-58.379438,2021-03-26
"94","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","sabado",7,0,-34.603305,-58.379438,2021-03-26
"95","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","sabado",8,0,-34.603305,-58.379438,2021-03-26
"96","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","sabado",9,0,-34.603305,-58.379438,2021-03-26
"97","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","sabado",10,0,-34.603305,-58.379438,2021-03-26
"98","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","sabado",11,12,-34.603305,-58.379438,2021-03-26
"99","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","sabado",12,21,-34.603305,-58.379438,2021-03-26
"100","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","sabado",13,28.5,-34.603305,-58.379438,2021-03-26
"101","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","sabado",14,30,-34.603305,-58.379438,2021-03-26
"102","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","sabado",15,27,-34.603305,-58.379438,2021-03-26
"103","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","sabado",16,20.25,-34.603305,-58.379438,2021-03-26
"104","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","sabado",17,12,-34.603305,-58.379438,2021-03-26
"105","Almacen y Restaurante Suipacha, Ciudad de Buenos Aires","sabado",18,8.25,-34.603305,-58.379438,2021-03-26
