"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Angelito, Ciudad de Buenos Aires","lunes",6,0,-34.6096279,-58.3961329,2021-03-27
"2","Angelito, Ciudad de Buenos Aires","lunes",7,0,-34.6096279,-58.3961329,2021-03-27
"3","Angelito, Ciudad de Buenos Aires","lunes",8,0,-34.6096279,-58.3961329,2021-03-27
"4","Angelito, Ciudad de Buenos Aires","lunes",9,22.5,-34.6096279,-58.3961329,2021-03-27
"5","Angelito, Ciudad de Buenos Aires","lunes",10,32.25,-34.6096279,-58.3961329,2021-03-27
"6","Angelito, Ciudad de Buenos Aires","lunes",11,38.25,-34.6096279,-58.3961329,2021-03-27
"7","Angelito, Ciudad de Buenos Aires","lunes",12,42,-34.6096279,-58.3961329,2021-03-27
"8","Angelito, Ciudad de Buenos Aires","lunes",13,45,-34.6096279,-58.3961329,2021-03-27
"9","Angelito, Ciudad de Buenos Aires","lunes",14,51,-34.6096279,-58.3961329,2021-03-27
"10","Angelito, Ciudad de Buenos Aires","lunes",15,58.5,-34.6096279,-58.3961329,2021-03-27
"11","Angelito, Ciudad de Buenos Aires","lunes",16,65.25,-34.6096279,-58.3961329,2021-03-27
"12","Angelito, Ciudad de Buenos Aires","lunes",17,66.75,-34.6096279,-58.3961329,2021-03-27
"13","Angelito, Ciudad de Buenos Aires","lunes",18,62.25,-34.6096279,-58.3961329,2021-03-27
"14","Angelito, Ciudad de Buenos Aires","lunes",19,52.5,-34.6096279,-58.3961329,2021-03-27
"15","Angelito, Ciudad de Buenos Aires","lunes",20,42,-34.6096279,-58.3961329,2021-03-27
"16","Angelito, Ciudad de Buenos Aires","lunes",21,30.75,-34.6096279,-58.3961329,2021-03-27
"17","Angelito, Ciudad de Buenos Aires","lunes",22,21,-34.6096279,-58.3961329,2021-03-27
"18","Angelito, Ciudad de Buenos Aires","lunes",23,12.75,-34.6096279,-58.3961329,2021-03-27
"19","Angelito, Ciudad de Buenos Aires","martes",6,0,-34.6096279,-58.3961329,2021-03-27
"20","Angelito, Ciudad de Buenos Aires","martes",7,0,-34.6096279,-58.3961329,2021-03-27
"21","Angelito, Ciudad de Buenos Aires","martes",8,0,-34.6096279,-58.3961329,2021-03-27
"22","Angelito, Ciudad de Buenos Aires","martes",9,27,-34.6096279,-58.3961329,2021-03-27
"23","Angelito, Ciudad de Buenos Aires","martes",10,45,-34.6096279,-58.3961329,2021-03-27
"24","Angelito, Ciudad de Buenos Aires","martes",11,57,-34.6096279,-58.3961329,2021-03-27
"25","Angelito, Ciudad de Buenos Aires","martes",12,58.5,-34.6096279,-58.3961329,2021-03-27
"26","Angelito, Ciudad de Buenos Aires","martes",13,56.25,-34.6096279,-58.3961329,2021-03-27
"27","Angelito, Ciudad de Buenos Aires","martes",14,56.25,-34.6096279,-58.3961329,2021-03-27
"28","Angelito, Ciudad de Buenos Aires","martes",15,62.25,-34.6096279,-58.3961329,2021-03-27
"29","Angelito, Ciudad de Buenos Aires","martes",16,69.75,-34.6096279,-58.3961329,2021-03-27
"30","Angelito, Ciudad de Buenos Aires","martes",17,75,-34.6096279,-58.3961329,2021-03-27
"31","Angelito, Ciudad de Buenos Aires","martes",18,73.5,-34.6096279,-58.3961329,2021-03-27
"32","Angelito, Ciudad de Buenos Aires","martes",19,65.25,-34.6096279,-58.3961329,2021-03-27
"33","Angelito, Ciudad de Buenos Aires","martes",20,53.25,-34.6096279,-58.3961329,2021-03-27
"34","Angelito, Ciudad de Buenos Aires","martes",21,38.25,-34.6096279,-58.3961329,2021-03-27
"35","Angelito, Ciudad de Buenos Aires","martes",22,24.75,-34.6096279,-58.3961329,2021-03-27
"36","Angelito, Ciudad de Buenos Aires","martes",23,13.5,-34.6096279,-58.3961329,2021-03-27
"37","Angelito, Ciudad de Buenos Aires","miercoles",6,0,-34.6096279,-58.3961329,2021-03-27
"38","Angelito, Ciudad de Buenos Aires","miercoles",7,0,-34.6096279,-58.3961329,2021-03-27
"39","Angelito, Ciudad de Buenos Aires","miercoles",8,0,-34.6096279,-58.3961329,2021-03-27
"40","Angelito, Ciudad de Buenos Aires","miercoles",9,31.5,-34.6096279,-58.3961329,2021-03-27
"41","Angelito, Ciudad de Buenos Aires","miercoles",10,49.5,-34.6096279,-58.3961329,2021-03-27
"42","Angelito, Ciudad de Buenos Aires","miercoles",11,63,-34.6096279,-58.3961329,2021-03-27
"43","Angelito, Ciudad de Buenos Aires","miercoles",12,67.5,-34.6096279,-58.3961329,2021-03-27
"44","Angelito, Ciudad de Buenos Aires","miercoles",13,66,-34.6096279,-58.3961329,2021-03-27
"45","Angelito, Ciudad de Buenos Aires","miercoles",14,63.75,-34.6096279,-58.3961329,2021-03-27
"46","Angelito, Ciudad de Buenos Aires","miercoles",15,63,-34.6096279,-58.3961329,2021-03-27
"47","Angelito, Ciudad de Buenos Aires","miercoles",16,63.75,-34.6096279,-58.3961329,2021-03-27
"48","Angelito, Ciudad de Buenos Aires","miercoles",17,63.75,-34.6096279,-58.3961329,2021-03-27
"49","Angelito, Ciudad de Buenos Aires","miercoles",18,60.75,-34.6096279,-58.3961329,2021-03-27
"50","Angelito, Ciudad de Buenos Aires","miercoles",19,54,-34.6096279,-58.3961329,2021-03-27
"51","Angelito, Ciudad de Buenos Aires","miercoles",20,45,-34.6096279,-58.3961329,2021-03-27
"52","Angelito, Ciudad de Buenos Aires","miercoles",21,35.25,-34.6096279,-58.3961329,2021-03-27
"53","Angelito, Ciudad de Buenos Aires","miercoles",22,24.75,-34.6096279,-58.3961329,2021-03-27
"54","Angelito, Ciudad de Buenos Aires","miercoles",23,15.75,-34.6096279,-58.3961329,2021-03-27
"55","Angelito, Ciudad de Buenos Aires","jueves",6,0,-34.6096279,-58.3961329,2021-03-27
"56","Angelito, Ciudad de Buenos Aires","jueves",7,0,-34.6096279,-58.3961329,2021-03-27
"57","Angelito, Ciudad de Buenos Aires","jueves",8,0,-34.6096279,-58.3961329,2021-03-27
"58","Angelito, Ciudad de Buenos Aires","jueves",9,22.5,-34.6096279,-58.3961329,2021-03-27
"59","Angelito, Ciudad de Buenos Aires","jueves",10,38.25,-34.6096279,-58.3961329,2021-03-27
"60","Angelito, Ciudad de Buenos Aires","jueves",11,53.25,-34.6096279,-58.3961329,2021-03-27
"61","Angelito, Ciudad de Buenos Aires","jueves",12,63,-34.6096279,-58.3961329,2021-03-27
"62","Angelito, Ciudad de Buenos Aires","jueves",13,66.75,-34.6096279,-58.3961329,2021-03-27
"63","Angelito, Ciudad de Buenos Aires","jueves",14,66,-34.6096279,-58.3961329,2021-03-27
"64","Angelito, Ciudad de Buenos Aires","jueves",15,66,-34.6096279,-58.3961329,2021-03-27
"65","Angelito, Ciudad de Buenos Aires","jueves",16,68.25,-34.6096279,-58.3961329,2021-03-27
"66","Angelito, Ciudad de Buenos Aires","jueves",17,72,-34.6096279,-58.3961329,2021-03-27
"67","Angelito, Ciudad de Buenos Aires","jueves",18,72.75,-34.6096279,-58.3961329,2021-03-27
"68","Angelito, Ciudad de Buenos Aires","jueves",19,68.25,-34.6096279,-58.3961329,2021-03-27
"69","Angelito, Ciudad de Buenos Aires","jueves",20,57.75,-34.6096279,-58.3961329,2021-03-27
"70","Angelito, Ciudad de Buenos Aires","jueves",21,43.5,-34.6096279,-58.3961329,2021-03-27
"71","Angelito, Ciudad de Buenos Aires","jueves",22,28.5,-34.6096279,-58.3961329,2021-03-27
"72","Angelito, Ciudad de Buenos Aires","jueves",23,15.75,-34.6096279,-58.3961329,2021-03-27
"73","Angelito, Ciudad de Buenos Aires","viernes",6,0,-34.6096279,-58.3961329,2021-03-27
"74","Angelito, Ciudad de Buenos Aires","viernes",7,0,-34.6096279,-58.3961329,2021-03-27
"75","Angelito, Ciudad de Buenos Aires","viernes",8,0,-34.6096279,-58.3961329,2021-03-27
"76","Angelito, Ciudad de Buenos Aires","viernes",9,36,-34.6096279,-58.3961329,2021-03-27
"77","Angelito, Ciudad de Buenos Aires","viernes",10,52.5,-34.6096279,-58.3961329,2021-03-27
"78","Angelito, Ciudad de Buenos Aires","viernes",11,60.75,-34.6096279,-58.3961329,2021-03-27
"79","Angelito, Ciudad de Buenos Aires","viernes",12,59.25,-34.6096279,-58.3961329,2021-03-27
"80","Angelito, Ciudad de Buenos Aires","viernes",13,52.5,-34.6096279,-58.3961329,2021-03-27
"81","Angelito, Ciudad de Buenos Aires","viernes",14,48,-34.6096279,-58.3961329,2021-03-27
"82","Angelito, Ciudad de Buenos Aires","viernes",15,49.5,-34.6096279,-58.3961329,2021-03-27
"83","Angelito, Ciudad de Buenos Aires","viernes",16,57,-34.6096279,-58.3961329,2021-03-27
"84","Angelito, Ciudad de Buenos Aires","viernes",17,65.25,-34.6096279,-58.3961329,2021-03-27
"85","Angelito, Ciudad de Buenos Aires","viernes",18,69.75,-34.6096279,-58.3961329,2021-03-27
"86","Angelito, Ciudad de Buenos Aires","viernes",19,69.75,-34.6096279,-58.3961329,2021-03-27
"87","Angelito, Ciudad de Buenos Aires","viernes",20,63.75,-34.6096279,-58.3961329,2021-03-27
"88","Angelito, Ciudad de Buenos Aires","viernes",21,53.25,-34.6096279,-58.3961329,2021-03-27
"89","Angelito, Ciudad de Buenos Aires","viernes",22,40.5,-34.6096279,-58.3961329,2021-03-27
"90","Angelito, Ciudad de Buenos Aires","viernes",23,27.75,-34.6096279,-58.3961329,2021-03-27
"91","Angelito, Ciudad de Buenos Aires","sabado",6,0,-34.6096279,-58.3961329,2021-03-27
"92","Angelito, Ciudad de Buenos Aires","sabado",7,0,-34.6096279,-58.3961329,2021-03-27
"93","Angelito, Ciudad de Buenos Aires","sabado",8,0,-34.6096279,-58.3961329,2021-03-27
"94","Angelito, Ciudad de Buenos Aires","sabado",9,33.75,-34.6096279,-58.3961329,2021-03-27
"95","Angelito, Ciudad de Buenos Aires","sabado",10,50.25,-34.6096279,-58.3961329,2021-03-27
"96","Angelito, Ciudad de Buenos Aires","sabado",11,63.75,-34.6096279,-58.3961329,2021-03-27
"97","Angelito, Ciudad de Buenos Aires","sabado",12,68.25,-34.6096279,-58.3961329,2021-03-27
"98","Angelito, Ciudad de Buenos Aires","sabado",13,65.25,-34.6096279,-58.3961329,2021-03-27
"99","Angelito, Ciudad de Buenos Aires","sabado",14,57,-34.6096279,-58.3961329,2021-03-27
"100","Angelito, Ciudad de Buenos Aires","sabado",15,51,-34.6096279,-58.3961329,2021-03-27
"101","Angelito, Ciudad de Buenos Aires","sabado",16,51,-34.6096279,-58.3961329,2021-03-27
"102","Angelito, Ciudad de Buenos Aires","sabado",17,56.25,-34.6096279,-58.3961329,2021-03-27
"103","Angelito, Ciudad de Buenos Aires","sabado",18,64.5,-34.6096279,-58.3961329,2021-03-27
"104","Angelito, Ciudad de Buenos Aires","sabado",19,70.5,-34.6096279,-58.3961329,2021-03-27
"105","Angelito, Ciudad de Buenos Aires","sabado",20,70.5,-34.6096279,-58.3961329,2021-03-27
"106","Angelito, Ciudad de Buenos Aires","sabado",21,63.75,-34.6096279,-58.3961329,2021-03-27
"107","Angelito, Ciudad de Buenos Aires","sabado",22,51,-34.6096279,-58.3961329,2021-03-27
"108","Angelito, Ciudad de Buenos Aires","sabado",23,36.75,-34.6096279,-58.3961329,2021-03-27
"109","Angelito, Ciudad de Buenos Aires","domingo",6,0,-34.6096279,-58.3961329,2021-03-27
"110","Angelito, Ciudad de Buenos Aires","domingo",7,0,-34.6096279,-58.3961329,2021-03-27
"111","Angelito, Ciudad de Buenos Aires","domingo",8,0,-34.6096279,-58.3961329,2021-03-27
"112","Angelito, Ciudad de Buenos Aires","domingo",9,13.5,-34.6096279,-58.3961329,2021-03-27
"113","Angelito, Ciudad de Buenos Aires","domingo",10,26.25,-34.6096279,-58.3961329,2021-03-27
"114","Angelito, Ciudad de Buenos Aires","domingo",11,38.25,-34.6096279,-58.3961329,2021-03-27
"115","Angelito, Ciudad de Buenos Aires","domingo",12,45,-34.6096279,-58.3961329,2021-03-27
"116","Angelito, Ciudad de Buenos Aires","domingo",13,45.75,-34.6096279,-58.3961329,2021-03-27
