"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Anticucheria Puro Corazón, Ciudad de Buenos Aires","martes",6,0,-34.6040075,-58.3954048,2021-03-28
"2","Anticucheria Puro Corazón, Ciudad de Buenos Aires","martes",7,0,-34.6040075,-58.3954048,2021-03-28
"3","Anticucheria Puro Corazón, Ciudad de Buenos Aires","martes",8,0,-34.6040075,-58.3954048,2021-03-28
"4","Anticucheria Puro Corazón, Ciudad de Buenos Aires","martes",9,0,-34.6040075,-58.3954048,2021-03-28
"5","Anticucheria Puro Corazón, Ciudad de Buenos Aires","martes",10,0,-34.6040075,-58.3954048,2021-03-28
"6","Anticucheria Puro Corazón, Ciudad de Buenos Aires","martes",11,0,-34.6040075,-58.3954048,2021-03-28
"7","Anticucheria Puro Corazón, Ciudad de Buenos Aires","martes",12,6,-34.6040075,-58.3954048,2021-03-28
"8","Anticucheria Puro Corazón, Ciudad de Buenos Aires","martes",13,16.5,-34.6040075,-58.3954048,2021-03-28
"9","Anticucheria Puro Corazón, Ciudad de Buenos Aires","martes",14,23.25,-34.6040075,-58.3954048,2021-03-28
"10","Anticucheria Puro Corazón, Ciudad de Buenos Aires","martes",15,18.75,-34.6040075,-58.3954048,2021-03-28
"11","Anticucheria Puro Corazón, Ciudad de Buenos Aires","martes",16,0,-34.6040075,-58.3954048,2021-03-28
"12","Anticucheria Puro Corazón, Ciudad de Buenos Aires","martes",17,0,-34.6040075,-58.3954048,2021-03-28
"13","Anticucheria Puro Corazón, Ciudad de Buenos Aires","martes",18,0,-34.6040075,-58.3954048,2021-03-28
"14","Anticucheria Puro Corazón, Ciudad de Buenos Aires","martes",19,0,-34.6040075,-58.3954048,2021-03-28
"15","Anticucheria Puro Corazón, Ciudad de Buenos Aires","martes",20,24.75,-34.6040075,-58.3954048,2021-03-28
"16","Anticucheria Puro Corazón, Ciudad de Buenos Aires","martes",21,43.5,-34.6040075,-58.3954048,2021-03-28
"17","Anticucheria Puro Corazón, Ciudad de Buenos Aires","martes",22,50.25,-34.6040075,-58.3954048,2021-03-28
"18","Anticucheria Puro Corazón, Ciudad de Buenos Aires","martes",23,37.5,-34.6040075,-58.3954048,2021-03-28
"19","Anticucheria Puro Corazón, Ciudad de Buenos Aires","miercoles",6,0,-34.6040075,-58.3954048,2021-03-28
"20","Anticucheria Puro Corazón, Ciudad de Buenos Aires","miercoles",7,0,-34.6040075,-58.3954048,2021-03-28
"21","Anticucheria Puro Corazón, Ciudad de Buenos Aires","miercoles",8,0,-34.6040075,-58.3954048,2021-03-28
