"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Army Cafe, Ciudad de Buenos Aires","lunes",6,0,-34.6183333,-58.4361111,2021-03-27
"2","Army Cafe, Ciudad de Buenos Aires","lunes",7,3.75,-34.6183333,-58.4361111,2021-03-27
"3","Army Cafe, Ciudad de Buenos Aires","lunes",8,7.5,-34.6183333,-58.4361111,2021-03-27
"4","Army Cafe, Ciudad de Buenos Aires","lunes",9,12.75,-34.6183333,-58.4361111,2021-03-27
"5","Army Cafe, Ciudad de Buenos Aires","lunes",10,17.25,-34.6183333,-58.4361111,2021-03-27
"6","Army Cafe, Ciudad de Buenos Aires","lunes",11,21,-34.6183333,-58.4361111,2021-03-27
"7","Army Cafe, Ciudad de Buenos Aires","lunes",12,22.5,-34.6183333,-58.4361111,2021-03-27
"8","Army Cafe, Ciudad de Buenos Aires","lunes",13,23.25,-34.6183333,-58.4361111,2021-03-27
"9","Army Cafe, Ciudad de Buenos Aires","lunes",14,23.25,-34.6183333,-58.4361111,2021-03-27
"10","Army Cafe, Ciudad de Buenos Aires","lunes",15,22.5,-34.6183333,-58.4361111,2021-03-27
"11","Army Cafe, Ciudad de Buenos Aires","lunes",16,23.25,-34.6183333,-58.4361111,2021-03-27
"12","Army Cafe, Ciudad de Buenos Aires","lunes",17,25.5,-34.6183333,-58.4361111,2021-03-27
"13","Army Cafe, Ciudad de Buenos Aires","lunes",18,27.75,-34.6183333,-58.4361111,2021-03-27
"14","Army Cafe, Ciudad de Buenos Aires","lunes",19,30,-34.6183333,-58.4361111,2021-03-27
"15","Army Cafe, Ciudad de Buenos Aires","lunes",20,33,-34.6183333,-58.4361111,2021-03-27
"16","Army Cafe, Ciudad de Buenos Aires","lunes",21,35.25,-34.6183333,-58.4361111,2021-03-27
"17","Army Cafe, Ciudad de Buenos Aires","lunes",22,33.75,-34.6183333,-58.4361111,2021-03-27
"18","Army Cafe, Ciudad de Buenos Aires","lunes",23,25.5,-34.6183333,-58.4361111,2021-03-27
"19","Army Cafe, Ciudad de Buenos Aires","martes",0,14.25,-34.6183333,-58.4361111,2021-03-27
"20","Army Cafe, Ciudad de Buenos Aires","martes",1,3.75,-34.6183333,-58.4361111,2021-03-27
"21","Army Cafe, Ciudad de Buenos Aires","martes",6,0,-34.6183333,-58.4361111,2021-03-27
"22","Army Cafe, Ciudad de Buenos Aires","martes",7,2.25,-34.6183333,-58.4361111,2021-03-27
"23","Army Cafe, Ciudad de Buenos Aires","martes",8,6.75,-34.6183333,-58.4361111,2021-03-27
"24","Army Cafe, Ciudad de Buenos Aires","martes",9,12,-34.6183333,-58.4361111,2021-03-27
"25","Army Cafe, Ciudad de Buenos Aires","martes",10,18,-34.6183333,-58.4361111,2021-03-27
"26","Army Cafe, Ciudad de Buenos Aires","martes",11,24,-34.6183333,-58.4361111,2021-03-27
"27","Army Cafe, Ciudad de Buenos Aires","martes",12,27.75,-34.6183333,-58.4361111,2021-03-27
"28","Army Cafe, Ciudad de Buenos Aires","martes",13,30,-34.6183333,-58.4361111,2021-03-27
"29","Army Cafe, Ciudad de Buenos Aires","martes",14,30,-34.6183333,-58.4361111,2021-03-27
"30","Army Cafe, Ciudad de Buenos Aires","martes",15,28.5,-34.6183333,-58.4361111,2021-03-27
"31","Army Cafe, Ciudad de Buenos Aires","martes",16,26.25,-34.6183333,-58.4361111,2021-03-27
"32","Army Cafe, Ciudad de Buenos Aires","martes",17,25.5,-34.6183333,-58.4361111,2021-03-27
"33","Army Cafe, Ciudad de Buenos Aires","martes",18,28.5,-34.6183333,-58.4361111,2021-03-27
"34","Army Cafe, Ciudad de Buenos Aires","martes",19,33.75,-34.6183333,-58.4361111,2021-03-27
"35","Army Cafe, Ciudad de Buenos Aires","martes",20,39,-34.6183333,-58.4361111,2021-03-27
"36","Army Cafe, Ciudad de Buenos Aires","martes",21,39.75,-34.6183333,-58.4361111,2021-03-27
"37","Army Cafe, Ciudad de Buenos Aires","martes",22,35.25,-34.6183333,-58.4361111,2021-03-27
"38","Army Cafe, Ciudad de Buenos Aires","martes",23,25.5,-34.6183333,-58.4361111,2021-03-27
"39","Army Cafe, Ciudad de Buenos Aires","miercoles",0,14.25,-34.6183333,-58.4361111,2021-03-27
"40","Army Cafe, Ciudad de Buenos Aires","miercoles",1,5.25,-34.6183333,-58.4361111,2021-03-27
"41","Army Cafe, Ciudad de Buenos Aires","miercoles",6,0,-34.6183333,-58.4361111,2021-03-27
