"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Asia Fusión, Ciudad de Buenos Aires","lunes",6,0,-34.5750762,-58.4727206,2021-03-28
"2","Asia Fusión, Ciudad de Buenos Aires","lunes",7,0,-34.5750762,-58.4727206,2021-03-28
"3","Asia Fusión, Ciudad de Buenos Aires","lunes",8,0,-34.5750762,-58.4727206,2021-03-28
"4","Asia Fusión, Ciudad de Buenos Aires","lunes",9,0,-34.5750762,-58.4727206,2021-03-28
"5","Asia Fusión, Ciudad de Buenos Aires","lunes",10,0,-34.5750762,-58.4727206,2021-03-28
"6","Asia Fusión, Ciudad de Buenos Aires","lunes",11,0,-34.5750762,-58.4727206,2021-03-28
"7","Asia Fusión, Ciudad de Buenos Aires","lunes",12,0,-34.5750762,-58.4727206,2021-03-28
"8","Asia Fusión, Ciudad de Buenos Aires","lunes",13,0,-34.5750762,-58.4727206,2021-03-28
"9","Asia Fusión, Ciudad de Buenos Aires","lunes",14,0,-34.5750762,-58.4727206,2021-03-28
"10","Asia Fusión, Ciudad de Buenos Aires","lunes",15,0,-34.5750762,-58.4727206,2021-03-28
"11","Asia Fusión, Ciudad de Buenos Aires","lunes",16,0,-34.5750762,-58.4727206,2021-03-28
"12","Asia Fusión, Ciudad de Buenos Aires","lunes",17,0,-34.5750762,-58.4727206,2021-03-28
"13","Asia Fusión, Ciudad de Buenos Aires","lunes",18,16.5,-34.5750762,-58.4727206,2021-03-28
"14","Asia Fusión, Ciudad de Buenos Aires","lunes",19,19.5,-34.5750762,-58.4727206,2021-03-28
"15","Asia Fusión, Ciudad de Buenos Aires","lunes",20,24.75,-34.5750762,-58.4727206,2021-03-28
"16","Asia Fusión, Ciudad de Buenos Aires","lunes",21,33.75,-34.5750762,-58.4727206,2021-03-28
"17","Asia Fusión, Ciudad de Buenos Aires","lunes",22,39.75,-34.5750762,-58.4727206,2021-03-28
"18","Asia Fusión, Ciudad de Buenos Aires","lunes",23,36,-34.5750762,-58.4727206,2021-03-28
"19","Asia Fusión, Ciudad de Buenos Aires","martes",6,0,-34.5750762,-58.4727206,2021-03-28
"20","Asia Fusión, Ciudad de Buenos Aires","martes",7,0,-34.5750762,-58.4727206,2021-03-28
"21","Asia Fusión, Ciudad de Buenos Aires","martes",8,0,-34.5750762,-58.4727206,2021-03-28
"22","Asia Fusión, Ciudad de Buenos Aires","martes",9,0,-34.5750762,-58.4727206,2021-03-28
"23","Asia Fusión, Ciudad de Buenos Aires","martes",10,0,-34.5750762,-58.4727206,2021-03-28
"24","Asia Fusión, Ciudad de Buenos Aires","martes",11,0,-34.5750762,-58.4727206,2021-03-28
"25","Asia Fusión, Ciudad de Buenos Aires","martes",12,0,-34.5750762,-58.4727206,2021-03-28
"26","Asia Fusión, Ciudad de Buenos Aires","martes",13,0,-34.5750762,-58.4727206,2021-03-28
"27","Asia Fusión, Ciudad de Buenos Aires","martes",14,0,-34.5750762,-58.4727206,2021-03-28
"28","Asia Fusión, Ciudad de Buenos Aires","martes",15,0,-34.5750762,-58.4727206,2021-03-28
"29","Asia Fusión, Ciudad de Buenos Aires","martes",16,0,-34.5750762,-58.4727206,2021-03-28
"30","Asia Fusión, Ciudad de Buenos Aires","martes",17,0,-34.5750762,-58.4727206,2021-03-28
"31","Asia Fusión, Ciudad de Buenos Aires","martes",18,14.25,-34.5750762,-58.4727206,2021-03-28
"32","Asia Fusión, Ciudad de Buenos Aires","martes",19,19.5,-34.5750762,-58.4727206,2021-03-28
"33","Asia Fusión, Ciudad de Buenos Aires","martes",20,25.5,-34.5750762,-58.4727206,2021-03-28
"34","Asia Fusión, Ciudad de Buenos Aires","martes",21,32.25,-34.5750762,-58.4727206,2021-03-28
"35","Asia Fusión, Ciudad de Buenos Aires","martes",22,37.5,-34.5750762,-58.4727206,2021-03-28
"36","Asia Fusión, Ciudad de Buenos Aires","martes",23,33.75,-34.5750762,-58.4727206,2021-03-28
"37","Asia Fusión, Ciudad de Buenos Aires","miercoles",6,0,-34.5750762,-58.4727206,2021-03-28
"38","Asia Fusión, Ciudad de Buenos Aires","miercoles",7,0,-34.5750762,-58.4727206,2021-03-28
"39","Asia Fusión, Ciudad de Buenos Aires","miercoles",8,0,-34.5750762,-58.4727206,2021-03-28
"40","Asia Fusión, Ciudad de Buenos Aires","miercoles",9,0,-34.5750762,-58.4727206,2021-03-28
"41","Asia Fusión, Ciudad de Buenos Aires","miercoles",10,0,-34.5750762,-58.4727206,2021-03-28
"42","Asia Fusión, Ciudad de Buenos Aires","miercoles",11,0,-34.5750762,-58.4727206,2021-03-28
"43","Asia Fusión, Ciudad de Buenos Aires","miercoles",12,0,-34.5750762,-58.4727206,2021-03-28
"44","Asia Fusión, Ciudad de Buenos Aires","miercoles",13,0,-34.5750762,-58.4727206,2021-03-28
"45","Asia Fusión, Ciudad de Buenos Aires","miercoles",14,0,-34.5750762,-58.4727206,2021-03-28
"46","Asia Fusión, Ciudad de Buenos Aires","miercoles",15,0,-34.5750762,-58.4727206,2021-03-28
"47","Asia Fusión, Ciudad de Buenos Aires","miercoles",16,0,-34.5750762,-58.4727206,2021-03-28
"48","Asia Fusión, Ciudad de Buenos Aires","miercoles",17,0,-34.5750762,-58.4727206,2021-03-28
"49","Asia Fusión, Ciudad de Buenos Aires","miercoles",18,9.75,-34.5750762,-58.4727206,2021-03-28
"50","Asia Fusión, Ciudad de Buenos Aires","miercoles",19,15.75,-34.5750762,-58.4727206,2021-03-28
"51","Asia Fusión, Ciudad de Buenos Aires","miercoles",20,30.75,-34.5750762,-58.4727206,2021-03-28
"52","Asia Fusión, Ciudad de Buenos Aires","miercoles",21,48.75,-34.5750762,-58.4727206,2021-03-28
"53","Asia Fusión, Ciudad de Buenos Aires","miercoles",22,57,-34.5750762,-58.4727206,2021-03-28
"54","Asia Fusión, Ciudad de Buenos Aires","miercoles",23,47.25,-34.5750762,-58.4727206,2021-03-28
"55","Asia Fusión, Ciudad de Buenos Aires","jueves",6,0,-34.5750762,-58.4727206,2021-03-28
"56","Asia Fusión, Ciudad de Buenos Aires","jueves",7,0,-34.5750762,-58.4727206,2021-03-28
"57","Asia Fusión, Ciudad de Buenos Aires","jueves",8,0,-34.5750762,-58.4727206,2021-03-28
"58","Asia Fusión, Ciudad de Buenos Aires","jueves",9,0,-34.5750762,-58.4727206,2021-03-28
"59","Asia Fusión, Ciudad de Buenos Aires","jueves",10,0,-34.5750762,-58.4727206,2021-03-28
"60","Asia Fusión, Ciudad de Buenos Aires","jueves",11,0,-34.5750762,-58.4727206,2021-03-28
"61","Asia Fusión, Ciudad de Buenos Aires","jueves",12,0,-34.5750762,-58.4727206,2021-03-28
"62","Asia Fusión, Ciudad de Buenos Aires","jueves",13,0,-34.5750762,-58.4727206,2021-03-28
"63","Asia Fusión, Ciudad de Buenos Aires","jueves",14,0,-34.5750762,-58.4727206,2021-03-28
"64","Asia Fusión, Ciudad de Buenos Aires","jueves",15,0,-34.5750762,-58.4727206,2021-03-28
"65","Asia Fusión, Ciudad de Buenos Aires","jueves",16,0,-34.5750762,-58.4727206,2021-03-28
"66","Asia Fusión, Ciudad de Buenos Aires","jueves",17,0,-34.5750762,-58.4727206,2021-03-28
"67","Asia Fusión, Ciudad de Buenos Aires","jueves",18,19.5,-34.5750762,-58.4727206,2021-03-28
"68","Asia Fusión, Ciudad de Buenos Aires","jueves",19,26.25,-34.5750762,-58.4727206,2021-03-28
"69","Asia Fusión, Ciudad de Buenos Aires","jueves",20,34.5,-34.5750762,-58.4727206,2021-03-28
"70","Asia Fusión, Ciudad de Buenos Aires","jueves",21,43.5,-34.5750762,-58.4727206,2021-03-28
"71","Asia Fusión, Ciudad de Buenos Aires","jueves",22,49.5,-34.5750762,-58.4727206,2021-03-28
"72","Asia Fusión, Ciudad de Buenos Aires","jueves",23,45,-34.5750762,-58.4727206,2021-03-28
"73","Asia Fusión, Ciudad de Buenos Aires","viernes",6,0,-34.5750762,-58.4727206,2021-03-28
"74","Asia Fusión, Ciudad de Buenos Aires","viernes",7,0,-34.5750762,-58.4727206,2021-03-28
"75","Asia Fusión, Ciudad de Buenos Aires","viernes",8,0,-34.5750762,-58.4727206,2021-03-28
"76","Asia Fusión, Ciudad de Buenos Aires","viernes",9,0,-34.5750762,-58.4727206,2021-03-28
"77","Asia Fusión, Ciudad de Buenos Aires","viernes",10,0,-34.5750762,-58.4727206,2021-03-28
"78","Asia Fusión, Ciudad de Buenos Aires","viernes",11,0,-34.5750762,-58.4727206,2021-03-28
"79","Asia Fusión, Ciudad de Buenos Aires","viernes",12,11.25,-34.5750762,-58.4727206,2021-03-28
"80","Asia Fusión, Ciudad de Buenos Aires","viernes",13,13.5,-34.5750762,-58.4727206,2021-03-28
"81","Asia Fusión, Ciudad de Buenos Aires","viernes",14,15.75,-34.5750762,-58.4727206,2021-03-28
"82","Asia Fusión, Ciudad de Buenos Aires","viernes",15,17.25,-34.5750762,-58.4727206,2021-03-28
