"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Asia Nikkei, Ciudad de Buenos Aires","lunes",6,0,-34.5550443,-58.4525399,2021-03-27
"2","Asia Nikkei, Ciudad de Buenos Aires","lunes",7,0,-34.5550443,-58.4525399,2021-03-27
"3","Asia Nikkei, Ciudad de Buenos Aires","lunes",8,0,-34.5550443,-58.4525399,2021-03-27
"4","Asia Nikkei, Ciudad de Buenos Aires","lunes",9,0,-34.5550443,-58.4525399,2021-03-27
"5","Asia Nikkei, Ciudad de Buenos Aires","lunes",10,23.25,-34.5550443,-58.4525399,2021-03-27
"6","Asia Nikkei, Ciudad de Buenos Aires","lunes",11,45,-34.5550443,-58.4525399,2021-03-27
"7","Asia Nikkei, Ciudad de Buenos Aires","lunes",12,66.75,-34.5550443,-58.4525399,2021-03-27
"8","Asia Nikkei, Ciudad de Buenos Aires","lunes",13,75,-34.5550443,-58.4525399,2021-03-27
"9","Asia Nikkei, Ciudad de Buenos Aires","lunes",14,63.75,-34.5550443,-58.4525399,2021-03-27
"10","Asia Nikkei, Ciudad de Buenos Aires","lunes",15,44.25,-34.5550443,-58.4525399,2021-03-27
"11","Asia Nikkei, Ciudad de Buenos Aires","lunes",16,31.5,-34.5550443,-58.4525399,2021-03-27
"12","Asia Nikkei, Ciudad de Buenos Aires","lunes",17,28.5,-34.5550443,-58.4525399,2021-03-27
"13","Asia Nikkei, Ciudad de Buenos Aires","lunes",18,30.75,-34.5550443,-58.4525399,2021-03-27
"14","Asia Nikkei, Ciudad de Buenos Aires","lunes",19,33,-34.5550443,-58.4525399,2021-03-27
"15","Asia Nikkei, Ciudad de Buenos Aires","lunes",20,32.25,-34.5550443,-58.4525399,2021-03-27
"16","Asia Nikkei, Ciudad de Buenos Aires","lunes",21,28.5,-34.5550443,-58.4525399,2021-03-27
"17","Asia Nikkei, Ciudad de Buenos Aires","lunes",22,22.5,-34.5550443,-58.4525399,2021-03-27
"18","Asia Nikkei, Ciudad de Buenos Aires","lunes",23,15.75,-34.5550443,-58.4525399,2021-03-27
"19","Asia Nikkei, Ciudad de Buenos Aires","martes",6,0,-34.5550443,-58.4525399,2021-03-27
"20","Asia Nikkei, Ciudad de Buenos Aires","martes",7,0,-34.5550443,-58.4525399,2021-03-27
"21","Asia Nikkei, Ciudad de Buenos Aires","martes",8,0,-34.5550443,-58.4525399,2021-03-27
"22","Asia Nikkei, Ciudad de Buenos Aires","martes",9,0,-34.5550443,-58.4525399,2021-03-27
"23","Asia Nikkei, Ciudad de Buenos Aires","martes",10,18,-34.5550443,-58.4525399,2021-03-27
"24","Asia Nikkei, Ciudad de Buenos Aires","martes",11,30,-34.5550443,-58.4525399,2021-03-27
"25","Asia Nikkei, Ciudad de Buenos Aires","martes",12,45.75,-34.5550443,-58.4525399,2021-03-27
"26","Asia Nikkei, Ciudad de Buenos Aires","martes",13,54.75,-34.5550443,-58.4525399,2021-03-27
"27","Asia Nikkei, Ciudad de Buenos Aires","martes",14,51.75,-34.5550443,-58.4525399,2021-03-27
"28","Asia Nikkei, Ciudad de Buenos Aires","martes",15,38.25,-34.5550443,-58.4525399,2021-03-27
"29","Asia Nikkei, Ciudad de Buenos Aires","martes",16,25.5,-34.5550443,-58.4525399,2021-03-27
"30","Asia Nikkei, Ciudad de Buenos Aires","martes",17,21,-34.5550443,-58.4525399,2021-03-27
"31","Asia Nikkei, Ciudad de Buenos Aires","martes",18,24.75,-34.5550443,-58.4525399,2021-03-27
"32","Asia Nikkei, Ciudad de Buenos Aires","martes",19,30.75,-34.5550443,-58.4525399,2021-03-27
"33","Asia Nikkei, Ciudad de Buenos Aires","martes",20,30.75,-34.5550443,-58.4525399,2021-03-27
"34","Asia Nikkei, Ciudad de Buenos Aires","martes",21,24,-34.5550443,-58.4525399,2021-03-27
"35","Asia Nikkei, Ciudad de Buenos Aires","martes",22,15,-34.5550443,-58.4525399,2021-03-27
"36","Asia Nikkei, Ciudad de Buenos Aires","martes",23,7.5,-34.5550443,-58.4525399,2021-03-27
"37","Asia Nikkei, Ciudad de Buenos Aires","miercoles",6,0,-34.5550443,-58.4525399,2021-03-27
"38","Asia Nikkei, Ciudad de Buenos Aires","miercoles",7,0,-34.5550443,-58.4525399,2021-03-27
"39","Asia Nikkei, Ciudad de Buenos Aires","miercoles",8,0,-34.5550443,-58.4525399,2021-03-27
"40","Asia Nikkei, Ciudad de Buenos Aires","miercoles",9,0,-34.5550443,-58.4525399,2021-03-27
"41","Asia Nikkei, Ciudad de Buenos Aires","miercoles",10,24.75,-34.5550443,-58.4525399,2021-03-27
"42","Asia Nikkei, Ciudad de Buenos Aires","miercoles",11,39,-34.5550443,-58.4525399,2021-03-27
"43","Asia Nikkei, Ciudad de Buenos Aires","miercoles",12,51,-34.5550443,-58.4525399,2021-03-27
"44","Asia Nikkei, Ciudad de Buenos Aires","miercoles",13,57,-34.5550443,-58.4525399,2021-03-27
"45","Asia Nikkei, Ciudad de Buenos Aires","miercoles",14,53.25,-34.5550443,-58.4525399,2021-03-27
"46","Asia Nikkei, Ciudad de Buenos Aires","miercoles",15,41.25,-34.5550443,-58.4525399,2021-03-27
"47","Asia Nikkei, Ciudad de Buenos Aires","miercoles",16,28.5,-34.5550443,-58.4525399,2021-03-27
"48","Asia Nikkei, Ciudad de Buenos Aires","miercoles",17,20.25,-34.5550443,-58.4525399,2021-03-27
"49","Asia Nikkei, Ciudad de Buenos Aires","miercoles",18,18.75,-34.5550443,-58.4525399,2021-03-27
"50","Asia Nikkei, Ciudad de Buenos Aires","miercoles",19,22.5,-34.5550443,-58.4525399,2021-03-27
"51","Asia Nikkei, Ciudad de Buenos Aires","miercoles",20,27,-34.5550443,-58.4525399,2021-03-27
"52","Asia Nikkei, Ciudad de Buenos Aires","miercoles",21,26.25,-34.5550443,-58.4525399,2021-03-27
"53","Asia Nikkei, Ciudad de Buenos Aires","miercoles",22,20.25,-34.5550443,-58.4525399,2021-03-27
"54","Asia Nikkei, Ciudad de Buenos Aires","miercoles",23,12.75,-34.5550443,-58.4525399,2021-03-27
"55","Asia Nikkei, Ciudad de Buenos Aires","jueves",6,0,-34.5550443,-58.4525399,2021-03-27
"56","Asia Nikkei, Ciudad de Buenos Aires","jueves",7,0,-34.5550443,-58.4525399,2021-03-27
"57","Asia Nikkei, Ciudad de Buenos Aires","jueves",8,0,-34.5550443,-58.4525399,2021-03-27
"58","Asia Nikkei, Ciudad de Buenos Aires","jueves",9,0,-34.5550443,-58.4525399,2021-03-27
"59","Asia Nikkei, Ciudad de Buenos Aires","jueves",10,19.5,-34.5550443,-58.4525399,2021-03-27
"60","Asia Nikkei, Ciudad de Buenos Aires","jueves",11,30.75,-34.5550443,-58.4525399,2021-03-27
"61","Asia Nikkei, Ciudad de Buenos Aires","jueves",12,52.5,-34.5550443,-58.4525399,2021-03-27
"62","Asia Nikkei, Ciudad de Buenos Aires","jueves",13,69.75,-34.5550443,-58.4525399,2021-03-27
"63","Asia Nikkei, Ciudad de Buenos Aires","jueves",14,61.5,-34.5550443,-58.4525399,2021-03-27
"64","Asia Nikkei, Ciudad de Buenos Aires","jueves",15,38.25,-34.5550443,-58.4525399,2021-03-27
"65","Asia Nikkei, Ciudad de Buenos Aires","jueves",16,24,-34.5550443,-58.4525399,2021-03-27
"66","Asia Nikkei, Ciudad de Buenos Aires","jueves",17,22.5,-34.5550443,-58.4525399,2021-03-27
"67","Asia Nikkei, Ciudad de Buenos Aires","jueves",18,27,-34.5550443,-58.4525399,2021-03-27
"68","Asia Nikkei, Ciudad de Buenos Aires","jueves",19,31.5,-34.5550443,-58.4525399,2021-03-27
"69","Asia Nikkei, Ciudad de Buenos Aires","jueves",20,33,-34.5550443,-58.4525399,2021-03-27
"70","Asia Nikkei, Ciudad de Buenos Aires","jueves",21,31.5,-34.5550443,-58.4525399,2021-03-27
"71","Asia Nikkei, Ciudad de Buenos Aires","jueves",22,27.75,-34.5550443,-58.4525399,2021-03-27
"72","Asia Nikkei, Ciudad de Buenos Aires","jueves",23,21.75,-34.5550443,-58.4525399,2021-03-27
"73","Asia Nikkei, Ciudad de Buenos Aires","viernes",6,0,-34.5550443,-58.4525399,2021-03-27
"74","Asia Nikkei, Ciudad de Buenos Aires","viernes",7,0,-34.5550443,-58.4525399,2021-03-27
"75","Asia Nikkei, Ciudad de Buenos Aires","viernes",8,0,-34.5550443,-58.4525399,2021-03-27
"76","Asia Nikkei, Ciudad de Buenos Aires","viernes",9,0,-34.5550443,-58.4525399,2021-03-27
"77","Asia Nikkei, Ciudad de Buenos Aires","viernes",10,24,-34.5550443,-58.4525399,2021-03-27
"78","Asia Nikkei, Ciudad de Buenos Aires","viernes",11,36,-34.5550443,-58.4525399,2021-03-27
"79","Asia Nikkei, Ciudad de Buenos Aires","viernes",12,48.75,-34.5550443,-58.4525399,2021-03-27
"80","Asia Nikkei, Ciudad de Buenos Aires","viernes",13,55.5,-34.5550443,-58.4525399,2021-03-27
"81","Asia Nikkei, Ciudad de Buenos Aires","viernes",14,51.75,-34.5550443,-58.4525399,2021-03-27
"82","Asia Nikkei, Ciudad de Buenos Aires","viernes",15,39.75,-34.5550443,-58.4525399,2021-03-27
"83","Asia Nikkei, Ciudad de Buenos Aires","viernes",16,28.5,-34.5550443,-58.4525399,2021-03-27
"84","Asia Nikkei, Ciudad de Buenos Aires","viernes",17,23.25,-34.5550443,-58.4525399,2021-03-27
