"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Ayerza Resto, Ciudad de Buenos Aires","lunes",6,0,-34.6454926,-58.641132,2021-03-26
"2","Ayerza Resto, Ciudad de Buenos Aires","lunes",7,0,-34.6454926,-58.641132,2021-03-26
"3","Ayerza Resto, Ciudad de Buenos Aires","lunes",8,0,-34.6454926,-58.641132,2021-03-26
"4","Ayerza Resto, Ciudad de Buenos Aires","lunes",9,0,-34.6454926,-58.641132,2021-03-26
"5","Ayerza Resto, Ciudad de Buenos Aires","lunes",10,0,-34.6454926,-58.641132,2021-03-26
"6","Ayerza Resto, Ciudad de Buenos Aires","lunes",11,5.25,-34.6454926,-58.641132,2021-03-26
"7","Ayerza Resto, Ciudad de Buenos Aires","lunes",12,18.75,-34.6454926,-58.641132,2021-03-26
"8","Ayerza Resto, Ciudad de Buenos Aires","lunes",13,26.25,-34.6454926,-58.641132,2021-03-26
"9","Ayerza Resto, Ciudad de Buenos Aires","lunes",14,17.25,-34.6454926,-58.641132,2021-03-26
"10","Ayerza Resto, Ciudad de Buenos Aires","lunes",15,4.5,-34.6454926,-58.641132,2021-03-26
"11","Ayerza Resto, Ciudad de Buenos Aires","lunes",16,0,-34.6454926,-58.641132,2021-03-26
"12","Ayerza Resto, Ciudad de Buenos Aires","lunes",17,0,-34.6454926,-58.641132,2021-03-26
"13","Ayerza Resto, Ciudad de Buenos Aires","lunes",18,0,-34.6454926,-58.641132,2021-03-26
"14","Ayerza Resto, Ciudad de Buenos Aires","lunes",19,0,-34.6454926,-58.641132,2021-03-26
"15","Ayerza Resto, Ciudad de Buenos Aires","lunes",20,14.25,-34.6454926,-58.641132,2021-03-26
"16","Ayerza Resto, Ciudad de Buenos Aires","lunes",21,36,-34.6454926,-58.641132,2021-03-26
"17","Ayerza Resto, Ciudad de Buenos Aires","lunes",22,42.75,-34.6454926,-58.641132,2021-03-26
"18","Ayerza Resto, Ciudad de Buenos Aires","lunes",23,23.25,-34.6454926,-58.641132,2021-03-26
"19","Ayerza Resto, Ciudad de Buenos Aires","martes",6,0,-34.6454926,-58.641132,2021-03-26
"20","Ayerza Resto, Ciudad de Buenos Aires","martes",7,0,-34.6454926,-58.641132,2021-03-26
"21","Ayerza Resto, Ciudad de Buenos Aires","martes",8,0,-34.6454926,-58.641132,2021-03-26
"22","Ayerza Resto, Ciudad de Buenos Aires","martes",9,0,-34.6454926,-58.641132,2021-03-26
"23","Ayerza Resto, Ciudad de Buenos Aires","martes",10,0,-34.6454926,-58.641132,2021-03-26
"24","Ayerza Resto, Ciudad de Buenos Aires","martes",11,4.5,-34.6454926,-58.641132,2021-03-26
"25","Ayerza Resto, Ciudad de Buenos Aires","martes",12,13.5,-34.6454926,-58.641132,2021-03-26
