"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","BUENOSAIRESUSHI, Ciudad de Buenos Aires","lunes",6,0,-34.7189214,-58.2552522,2021-03-26
"2","BUENOSAIRESUSHI, Ciudad de Buenos Aires","lunes",7,0,-34.7189214,-58.2552522,2021-03-26
"3","BUENOSAIRESUSHI, Ciudad de Buenos Aires","lunes",8,0,-34.7189214,-58.2552522,2021-03-26
"4","BUENOSAIRESUSHI, Ciudad de Buenos Aires","lunes",9,0,-34.7189214,-58.2552522,2021-03-26
"5","BUENOSAIRESUSHI, Ciudad de Buenos Aires","lunes",10,0,-34.7189214,-58.2552522,2021-03-26
"6","BUENOSAIRESUSHI, Ciudad de Buenos Aires","lunes",11,0,-34.7189214,-58.2552522,2021-03-26
"7","BUENOSAIRESUSHI, Ciudad de Buenos Aires","lunes",12,0,-34.7189214,-58.2552522,2021-03-26
"8","BUENOSAIRESUSHI, Ciudad de Buenos Aires","lunes",13,0,-34.7189214,-58.2552522,2021-03-26
"9","BUENOSAIRESUSHI, Ciudad de Buenos Aires","lunes",14,0,-34.7189214,-58.2552522,2021-03-26
"10","BUENOSAIRESUSHI, Ciudad de Buenos Aires","lunes",15,0,-34.7189214,-58.2552522,2021-03-26
"11","BUENOSAIRESUSHI, Ciudad de Buenos Aires","lunes",16,0,-34.7189214,-58.2552522,2021-03-26
"12","BUENOSAIRESUSHI, Ciudad de Buenos Aires","lunes",17,0,-34.7189214,-58.2552522,2021-03-26
"13","BUENOSAIRESUSHI, Ciudad de Buenos Aires","lunes",18,0,-34.7189214,-58.2552522,2021-03-26
"14","BUENOSAIRESUSHI, Ciudad de Buenos Aires","lunes",19,0,-34.7189214,-58.2552522,2021-03-26
"15","BUENOSAIRESUSHI, Ciudad de Buenos Aires","lunes",20,18,-34.7189214,-58.2552522,2021-03-26
"16","BUENOSAIRESUSHI, Ciudad de Buenos Aires","lunes",21,30,-34.7189214,-58.2552522,2021-03-26
"17","BUENOSAIRESUSHI, Ciudad de Buenos Aires","lunes",22,30,-34.7189214,-58.2552522,2021-03-26
"18","BUENOSAIRESUSHI, Ciudad de Buenos Aires","lunes",23,16.5,-34.7189214,-58.2552522,2021-03-26
"19","BUENOSAIRESUSHI, Ciudad de Buenos Aires","martes",6,0,-34.7189214,-58.2552522,2021-03-26
"20","BUENOSAIRESUSHI, Ciudad de Buenos Aires","martes",7,0,-34.7189214,-58.2552522,2021-03-26
"21","BUENOSAIRESUSHI, Ciudad de Buenos Aires","martes",8,0,-34.7189214,-58.2552522,2021-03-26
"22","BUENOSAIRESUSHI, Ciudad de Buenos Aires","martes",9,0,-34.7189214,-58.2552522,2021-03-26
"23","BUENOSAIRESUSHI, Ciudad de Buenos Aires","martes",10,0,-34.7189214,-58.2552522,2021-03-26
"24","BUENOSAIRESUSHI, Ciudad de Buenos Aires","martes",11,0,-34.7189214,-58.2552522,2021-03-26
"25","BUENOSAIRESUSHI, Ciudad de Buenos Aires","martes",12,10.5,-34.7189214,-58.2552522,2021-03-26
"26","BUENOSAIRESUSHI, Ciudad de Buenos Aires","martes",13,11.25,-34.7189214,-58.2552522,2021-03-26
"27","BUENOSAIRESUSHI, Ciudad de Buenos Aires","martes",14,8.25,-34.7189214,-58.2552522,2021-03-26
"28","BUENOSAIRESUSHI, Ciudad de Buenos Aires","martes",15,0,-34.7189214,-58.2552522,2021-03-26
"29","BUENOSAIRESUSHI, Ciudad de Buenos Aires","martes",16,0,-34.7189214,-58.2552522,2021-03-26
"30","BUENOSAIRESUSHI, Ciudad de Buenos Aires","martes",17,0,-34.7189214,-58.2552522,2021-03-26
"31","BUENOSAIRESUSHI, Ciudad de Buenos Aires","martes",18,0,-34.7189214,-58.2552522,2021-03-26
