"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Bahia Madero, Ciudad de Buenos Aires","lunes",6,0,-34.6031605,-58.3667035,2021-03-26
"2","Bahia Madero, Ciudad de Buenos Aires","lunes",7,0,-34.6031605,-58.3667035,2021-03-26
"3","Bahia Madero, Ciudad de Buenos Aires","lunes",8,0,-34.6031605,-58.3667035,2021-03-26
"4","Bahia Madero, Ciudad de Buenos Aires","lunes",9,0,-34.6031605,-58.3667035,2021-03-26
"5","Bahia Madero, Ciudad de Buenos Aires","lunes",10,0,-34.6031605,-58.3667035,2021-03-26
"6","Bahia Madero, Ciudad de Buenos Aires","lunes",11,0,-34.6031605,-58.3667035,2021-03-26
"7","Bahia Madero, Ciudad de Buenos Aires","lunes",12,6.75,-34.6031605,-58.3667035,2021-03-26
"8","Bahia Madero, Ciudad de Buenos Aires","lunes",13,10.5,-34.6031605,-58.3667035,2021-03-26
"9","Bahia Madero, Ciudad de Buenos Aires","lunes",14,12,-34.6031605,-58.3667035,2021-03-26
"10","Bahia Madero, Ciudad de Buenos Aires","lunes",15,9,-34.6031605,-58.3667035,2021-03-26
"11","Bahia Madero, Ciudad de Buenos Aires","lunes",16,6.75,-34.6031605,-58.3667035,2021-03-26
"12","Bahia Madero, Ciudad de Buenos Aires","lunes",17,3.75,-34.6031605,-58.3667035,2021-03-26
"13","Bahia Madero, Ciudad de Buenos Aires","lunes",18,2.25,-34.6031605,-58.3667035,2021-03-26
"14","Bahia Madero, Ciudad de Buenos Aires","lunes",19,3.75,-34.6031605,-58.3667035,2021-03-26
"15","Bahia Madero, Ciudad de Buenos Aires","lunes",20,8.25,-34.6031605,-58.3667035,2021-03-26
"16","Bahia Madero, Ciudad de Buenos Aires","lunes",21,16.5,-34.6031605,-58.3667035,2021-03-26
"17","Bahia Madero, Ciudad de Buenos Aires","lunes",22,21.75,-34.6031605,-58.3667035,2021-03-26
"18","Bahia Madero, Ciudad de Buenos Aires","lunes",23,16.5,-34.6031605,-58.3667035,2021-03-26
"19","Bahia Madero, Ciudad de Buenos Aires","martes",0,6.75,-34.6031605,-58.3667035,2021-03-26
"20","Bahia Madero, Ciudad de Buenos Aires","martes",6,0,-34.6031605,-58.3667035,2021-03-26
"21","Bahia Madero, Ciudad de Buenos Aires","martes",7,0,-34.6031605,-58.3667035,2021-03-26
"22","Bahia Madero, Ciudad de Buenos Aires","martes",8,0,-34.6031605,-58.3667035,2021-03-26
