"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Bao Kitchen, Ciudad de Buenos Aires","lunes",6,0,-34.5903092,-58.4006025,2021-03-26
"2","Bao Kitchen, Ciudad de Buenos Aires","lunes",7,0,-34.5903092,-58.4006025,2021-03-26
"3","Bao Kitchen, Ciudad de Buenos Aires","lunes",8,0,-34.5903092,-58.4006025,2021-03-26
"4","Bao Kitchen, Ciudad de Buenos Aires","lunes",9,0,-34.5903092,-58.4006025,2021-03-26
"5","Bao Kitchen, Ciudad de Buenos Aires","lunes",10,0,-34.5903092,-58.4006025,2021-03-26
"6","Bao Kitchen, Ciudad de Buenos Aires","lunes",11,0,-34.5903092,-58.4006025,2021-03-26
"7","Bao Kitchen, Ciudad de Buenos Aires","lunes",12,8.25,-34.5903092,-58.4006025,2021-03-26
"8","Bao Kitchen, Ciudad de Buenos Aires","lunes",13,9.75,-34.5903092,-58.4006025,2021-03-26
"9","Bao Kitchen, Ciudad de Buenos Aires","lunes",14,10.5,-34.5903092,-58.4006025,2021-03-26
"10","Bao Kitchen, Ciudad de Buenos Aires","lunes",15,10.5,-34.5903092,-58.4006025,2021-03-26
"11","Bao Kitchen, Ciudad de Buenos Aires","lunes",16,9,-34.5903092,-58.4006025,2021-03-26
"12","Bao Kitchen, Ciudad de Buenos Aires","lunes",17,8.25,-34.5903092,-58.4006025,2021-03-26
"13","Bao Kitchen, Ciudad de Buenos Aires","lunes",18,6,-34.5903092,-58.4006025,2021-03-26
"14","Bao Kitchen, Ciudad de Buenos Aires","lunes",19,6,-34.5903092,-58.4006025,2021-03-26
"15","Bao Kitchen, Ciudad de Buenos Aires","lunes",20,15,-34.5903092,-58.4006025,2021-03-26
"16","Bao Kitchen, Ciudad de Buenos Aires","lunes",21,30.75,-34.5903092,-58.4006025,2021-03-26
"17","Bao Kitchen, Ciudad de Buenos Aires","lunes",22,19.5,-34.5903092,-58.4006025,2021-03-26
"18","Bao Kitchen, Ciudad de Buenos Aires","lunes",23,0,-34.5903092,-58.4006025,2021-03-26
"19","Bao Kitchen, Ciudad de Buenos Aires","martes",6,0,-34.5903092,-58.4006025,2021-03-26
"20","Bao Kitchen, Ciudad de Buenos Aires","martes",7,0,-34.5903092,-58.4006025,2021-03-26
"21","Bao Kitchen, Ciudad de Buenos Aires","martes",8,0,-34.5903092,-58.4006025,2021-03-26
"22","Bao Kitchen, Ciudad de Buenos Aires","martes",9,0,-34.5903092,-58.4006025,2021-03-26
"23","Bao Kitchen, Ciudad de Buenos Aires","martes",10,0,-34.5903092,-58.4006025,2021-03-26
"24","Bao Kitchen, Ciudad de Buenos Aires","martes",11,0,-34.5903092,-58.4006025,2021-03-26
"25","Bao Kitchen, Ciudad de Buenos Aires","martes",12,12.75,-34.5903092,-58.4006025,2021-03-26
"26","Bao Kitchen, Ciudad de Buenos Aires","martes",13,21,-34.5903092,-58.4006025,2021-03-26
"27","Bao Kitchen, Ciudad de Buenos Aires","martes",14,23.25,-34.5903092,-58.4006025,2021-03-26
"28","Bao Kitchen, Ciudad de Buenos Aires","martes",15,17.25,-34.5903092,-58.4006025,2021-03-26
"29","Bao Kitchen, Ciudad de Buenos Aires","martes",16,8.25,-34.5903092,-58.4006025,2021-03-26
"30","Bao Kitchen, Ciudad de Buenos Aires","martes",17,3,-34.5903092,-58.4006025,2021-03-26
"31","Bao Kitchen, Ciudad de Buenos Aires","martes",18,6,-34.5903092,-58.4006025,2021-03-26
"32","Bao Kitchen, Ciudad de Buenos Aires","martes",19,19.5,-34.5903092,-58.4006025,2021-03-26
"33","Bao Kitchen, Ciudad de Buenos Aires","martes",20,33,-34.5903092,-58.4006025,2021-03-26
"34","Bao Kitchen, Ciudad de Buenos Aires","martes",21,35.25,-34.5903092,-58.4006025,2021-03-26
"35","Bao Kitchen, Ciudad de Buenos Aires","martes",22,21.75,-34.5903092,-58.4006025,2021-03-26
"36","Bao Kitchen, Ciudad de Buenos Aires","martes",23,0,-34.5903092,-58.4006025,2021-03-26
"37","Bao Kitchen, Ciudad de Buenos Aires","miercoles",6,0,-34.5903092,-58.4006025,2021-03-26
"38","Bao Kitchen, Ciudad de Buenos Aires","miercoles",7,0,-34.5903092,-58.4006025,2021-03-26
"39","Bao Kitchen, Ciudad de Buenos Aires","miercoles",8,0,-34.5903092,-58.4006025,2021-03-26
"40","Bao Kitchen, Ciudad de Buenos Aires","miercoles",9,0,-34.5903092,-58.4006025,2021-03-26
"41","Bao Kitchen, Ciudad de Buenos Aires","miercoles",10,0,-34.5903092,-58.4006025,2021-03-26
"42","Bao Kitchen, Ciudad de Buenos Aires","miercoles",11,0,-34.5903092,-58.4006025,2021-03-26
"43","Bao Kitchen, Ciudad de Buenos Aires","miercoles",12,17.25,-34.5903092,-58.4006025,2021-03-26
"44","Bao Kitchen, Ciudad de Buenos Aires","miercoles",13,32.25,-34.5903092,-58.4006025,2021-03-26
"45","Bao Kitchen, Ciudad de Buenos Aires","miercoles",14,35.25,-34.5903092,-58.4006025,2021-03-26
"46","Bao Kitchen, Ciudad de Buenos Aires","miercoles",15,23.25,-34.5903092,-58.4006025,2021-03-26
"47","Bao Kitchen, Ciudad de Buenos Aires","miercoles",16,10.5,-34.5903092,-58.4006025,2021-03-26
"48","Bao Kitchen, Ciudad de Buenos Aires","miercoles",17,8.25,-34.5903092,-58.4006025,2021-03-26
"49","Bao Kitchen, Ciudad de Buenos Aires","miercoles",18,15,-34.5903092,-58.4006025,2021-03-26
"50","Bao Kitchen, Ciudad de Buenos Aires","miercoles",19,26.25,-34.5903092,-58.4006025,2021-03-26
"51","Bao Kitchen, Ciudad de Buenos Aires","miercoles",20,34.5,-34.5903092,-58.4006025,2021-03-26
"52","Bao Kitchen, Ciudad de Buenos Aires","miercoles",21,34.5,-34.5903092,-58.4006025,2021-03-26
"53","Bao Kitchen, Ciudad de Buenos Aires","miercoles",22,25.5,-34.5903092,-58.4006025,2021-03-26
"54","Bao Kitchen, Ciudad de Buenos Aires","miercoles",23,0,-34.5903092,-58.4006025,2021-03-26
"55","Bao Kitchen, Ciudad de Buenos Aires","jueves",6,0,-34.5903092,-58.4006025,2021-03-26
"56","Bao Kitchen, Ciudad de Buenos Aires","jueves",7,0,-34.5903092,-58.4006025,2021-03-26
"57","Bao Kitchen, Ciudad de Buenos Aires","jueves",8,0,-34.5903092,-58.4006025,2021-03-26
"58","Bao Kitchen, Ciudad de Buenos Aires","jueves",9,0,-34.5903092,-58.4006025,2021-03-26
"59","Bao Kitchen, Ciudad de Buenos Aires","jueves",10,0,-34.5903092,-58.4006025,2021-03-26
"60","Bao Kitchen, Ciudad de Buenos Aires","jueves",11,0,-34.5903092,-58.4006025,2021-03-26
"61","Bao Kitchen, Ciudad de Buenos Aires","jueves",12,12.75,-34.5903092,-58.4006025,2021-03-26
"62","Bao Kitchen, Ciudad de Buenos Aires","jueves",13,34.5,-34.5903092,-58.4006025,2021-03-26
"63","Bao Kitchen, Ciudad de Buenos Aires","jueves",14,45,-34.5903092,-58.4006025,2021-03-26
"64","Bao Kitchen, Ciudad de Buenos Aires","jueves",15,29.25,-34.5903092,-58.4006025,2021-03-26
"65","Bao Kitchen, Ciudad de Buenos Aires","jueves",16,12.75,-34.5903092,-58.4006025,2021-03-26
"66","Bao Kitchen, Ciudad de Buenos Aires","jueves",17,10.5,-34.5903092,-58.4006025,2021-03-26
"67","Bao Kitchen, Ciudad de Buenos Aires","jueves",18,15,-34.5903092,-58.4006025,2021-03-26
"68","Bao Kitchen, Ciudad de Buenos Aires","jueves",19,19.5,-34.5903092,-58.4006025,2021-03-26
"69","Bao Kitchen, Ciudad de Buenos Aires","jueves",20,21.75,-34.5903092,-58.4006025,2021-03-26
