"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","lunes",6,0,-34.5919878,-58.3895072,2021-03-27
"2","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","lunes",7,0.75,-34.5919878,-58.3895072,2021-03-27
"3","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","lunes",8,0,-34.5919878,-58.3895072,2021-03-27
"4","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","lunes",9,12,-34.5919878,-58.3895072,2021-03-27
"5","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","lunes",10,24.75,-34.5919878,-58.3895072,2021-03-27
"6","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","lunes",11,37.5,-34.5919878,-58.3895072,2021-03-27
"7","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","lunes",12,47.25,-34.5919878,-58.3895072,2021-03-27
"8","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","lunes",13,51.75,-34.5919878,-58.3895072,2021-03-27
"9","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","lunes",14,50.25,-34.5919878,-58.3895072,2021-03-27
"10","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","lunes",15,43.5,-34.5919878,-58.3895072,2021-03-27
"11","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","lunes",16,33.75,-34.5919878,-58.3895072,2021-03-27
"12","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","lunes",17,24,-34.5919878,-58.3895072,2021-03-27
"13","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","lunes",18,19.5,-34.5919878,-58.3895072,2021-03-27
"14","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","lunes",19,25.5,-34.5919878,-58.3895072,2021-03-27
"15","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","lunes",20,39,-34.5919878,-58.3895072,2021-03-27
