"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Bar Aleman, Ciudad de Buenos Aires","lunes",6,0,-34.5956909,-58.5008016,2021-03-26
"2","Bar Aleman, Ciudad de Buenos Aires","lunes",7,0,-34.5956909,-58.5008016,2021-03-26
"3","Bar Aleman, Ciudad de Buenos Aires","lunes",8,0,-34.5956909,-58.5008016,2021-03-26
"4","Bar Aleman, Ciudad de Buenos Aires","lunes",9,0,-34.5956909,-58.5008016,2021-03-26
"5","Bar Aleman, Ciudad de Buenos Aires","lunes",10,0,-34.5956909,-58.5008016,2021-03-26
"6","Bar Aleman, Ciudad de Buenos Aires","lunes",11,0,-34.5956909,-58.5008016,2021-03-26
"7","Bar Aleman, Ciudad de Buenos Aires","lunes",12,4.5,-34.5956909,-58.5008016,2021-03-26
"8","Bar Aleman, Ciudad de Buenos Aires","lunes",13,6,-34.5956909,-58.5008016,2021-03-26
"9","Bar Aleman, Ciudad de Buenos Aires","lunes",14,5.25,-34.5956909,-58.5008016,2021-03-26
"10","Bar Aleman, Ciudad de Buenos Aires","lunes",15,3.75,-34.5956909,-58.5008016,2021-03-26
"11","Bar Aleman, Ciudad de Buenos Aires","lunes",16,0,-34.5956909,-58.5008016,2021-03-26
"12","Bar Aleman, Ciudad de Buenos Aires","lunes",17,0,-34.5956909,-58.5008016,2021-03-26
"13","Bar Aleman, Ciudad de Buenos Aires","lunes",18,0,-34.5956909,-58.5008016,2021-03-26
"14","Bar Aleman, Ciudad de Buenos Aires","lunes",19,0,-34.5956909,-58.5008016,2021-03-26
"15","Bar Aleman, Ciudad de Buenos Aires","lunes",20,0,-34.5956909,-58.5008016,2021-03-26
"16","Bar Aleman, Ciudad de Buenos Aires","lunes",21,0,-34.5956909,-58.5008016,2021-03-26
"17","Bar Aleman, Ciudad de Buenos Aires","lunes",22,0,-34.5956909,-58.5008016,2021-03-26
"18","Bar Aleman, Ciudad de Buenos Aires","lunes",23,0,-34.5956909,-58.5008016,2021-03-26
"19","Bar Aleman, Ciudad de Buenos Aires","martes",6,0,-34.5956909,-58.5008016,2021-03-26
"20","Bar Aleman, Ciudad de Buenos Aires","martes",7,0,-34.5956909,-58.5008016,2021-03-26
"21","Bar Aleman, Ciudad de Buenos Aires","martes",8,0,-34.5956909,-58.5008016,2021-03-26
"22","Bar Aleman, Ciudad de Buenos Aires","martes",9,0,-34.5956909,-58.5008016,2021-03-26
"23","Bar Aleman, Ciudad de Buenos Aires","martes",10,0,-34.5956909,-58.5008016,2021-03-26
"24","Bar Aleman, Ciudad de Buenos Aires","martes",11,0,-34.5956909,-58.5008016,2021-03-26
"25","Bar Aleman, Ciudad de Buenos Aires","martes",12,16.5,-34.5956909,-58.5008016,2021-03-26
"26","Bar Aleman, Ciudad de Buenos Aires","martes",13,24,-34.5956909,-58.5008016,2021-03-26
"27","Bar Aleman, Ciudad de Buenos Aires","martes",14,24.75,-34.5956909,-58.5008016,2021-03-26
"28","Bar Aleman, Ciudad de Buenos Aires","martes",15,19.5,-34.5956909,-58.5008016,2021-03-26
"29","Bar Aleman, Ciudad de Buenos Aires","martes",16,11.25,-34.5956909,-58.5008016,2021-03-26
"30","Bar Aleman, Ciudad de Buenos Aires","martes",17,4.5,-34.5956909,-58.5008016,2021-03-26
"31","Bar Aleman, Ciudad de Buenos Aires","martes",18,3,-34.5956909,-58.5008016,2021-03-26
"32","Bar Aleman, Ciudad de Buenos Aires","martes",19,9.75,-34.5956909,-58.5008016,2021-03-26
"33","Bar Aleman, Ciudad de Buenos Aires","martes",20,24,-34.5956909,-58.5008016,2021-03-26
"34","Bar Aleman, Ciudad de Buenos Aires","martes",21,38.25,-34.5956909,-58.5008016,2021-03-26
"35","Bar Aleman, Ciudad de Buenos Aires","martes",22,41.25,-34.5956909,-58.5008016,2021-03-26
"36","Bar Aleman, Ciudad de Buenos Aires","martes",23,30,-34.5956909,-58.5008016,2021-03-26
"37","Bar Aleman, Ciudad de Buenos Aires","miercoles",6,0,-34.5956909,-58.5008016,2021-03-26
"38","Bar Aleman, Ciudad de Buenos Aires","miercoles",7,0,-34.5956909,-58.5008016,2021-03-26
"39","Bar Aleman, Ciudad de Buenos Aires","miercoles",8,0,-34.5956909,-58.5008016,2021-03-26
"40","Bar Aleman, Ciudad de Buenos Aires","miercoles",9,0,-34.5956909,-58.5008016,2021-03-26
"41","Bar Aleman, Ciudad de Buenos Aires","miercoles",10,0,-34.5956909,-58.5008016,2021-03-26
"42","Bar Aleman, Ciudad de Buenos Aires","miercoles",11,0,-34.5956909,-58.5008016,2021-03-26
"43","Bar Aleman, Ciudad de Buenos Aires","miercoles",12,14.25,-34.5956909,-58.5008016,2021-03-26
"44","Bar Aleman, Ciudad de Buenos Aires","miercoles",13,20.25,-34.5956909,-58.5008016,2021-03-26
"45","Bar Aleman, Ciudad de Buenos Aires","miercoles",14,21.75,-34.5956909,-58.5008016,2021-03-26
"46","Bar Aleman, Ciudad de Buenos Aires","miercoles",15,18.75,-34.5956909,-58.5008016,2021-03-26
"47","Bar Aleman, Ciudad de Buenos Aires","miercoles",16,12.75,-34.5956909,-58.5008016,2021-03-26
"48","Bar Aleman, Ciudad de Buenos Aires","miercoles",17,6.75,-34.5956909,-58.5008016,2021-03-26
"49","Bar Aleman, Ciudad de Buenos Aires","miercoles",18,5.25,-34.5956909,-58.5008016,2021-03-26
"50","Bar Aleman, Ciudad de Buenos Aires","miercoles",19,12,-34.5956909,-58.5008016,2021-03-26
"51","Bar Aleman, Ciudad de Buenos Aires","miercoles",20,25.5,-34.5956909,-58.5008016,2021-03-26
"52","Bar Aleman, Ciudad de Buenos Aires","miercoles",21,38.25,-34.5956909,-58.5008016,2021-03-26
"53","Bar Aleman, Ciudad de Buenos Aires","miercoles",22,38.25,-34.5956909,-58.5008016,2021-03-26
"54","Bar Aleman, Ciudad de Buenos Aires","miercoles",23,26.25,-34.5956909,-58.5008016,2021-03-26
"55","Bar Aleman, Ciudad de Buenos Aires","jueves",6,0,-34.5956909,-58.5008016,2021-03-26
"56","Bar Aleman, Ciudad de Buenos Aires","jueves",7,0,-34.5956909,-58.5008016,2021-03-26
"57","Bar Aleman, Ciudad de Buenos Aires","jueves",8,0,-34.5956909,-58.5008016,2021-03-26
"58","Bar Aleman, Ciudad de Buenos Aires","jueves",9,0,-34.5956909,-58.5008016,2021-03-26
"59","Bar Aleman, Ciudad de Buenos Aires","jueves",10,0,-34.5956909,-58.5008016,2021-03-26
"60","Bar Aleman, Ciudad de Buenos Aires","jueves",11,0,-34.5956909,-58.5008016,2021-03-26
"61","Bar Aleman, Ciudad de Buenos Aires","jueves",12,16.5,-34.5956909,-58.5008016,2021-03-26
"62","Bar Aleman, Ciudad de Buenos Aires","jueves",13,21,-34.5956909,-58.5008016,2021-03-26
"63","Bar Aleman, Ciudad de Buenos Aires","jueves",14,21,-34.5956909,-58.5008016,2021-03-26
"64","Bar Aleman, Ciudad de Buenos Aires","jueves",15,16.5,-34.5956909,-58.5008016,2021-03-26
"65","Bar Aleman, Ciudad de Buenos Aires","jueves",16,9.75,-34.5956909,-58.5008016,2021-03-26
"66","Bar Aleman, Ciudad de Buenos Aires","jueves",17,4.5,-34.5956909,-58.5008016,2021-03-26
"67","Bar Aleman, Ciudad de Buenos Aires","jueves",18,3.75,-34.5956909,-58.5008016,2021-03-26
"68","Bar Aleman, Ciudad de Buenos Aires","jueves",19,12,-34.5956909,-58.5008016,2021-03-26
"69","Bar Aleman, Ciudad de Buenos Aires","jueves",20,27.75,-34.5956909,-58.5008016,2021-03-26
"70","Bar Aleman, Ciudad de Buenos Aires","jueves",21,41.25,-34.5956909,-58.5008016,2021-03-26
"71","Bar Aleman, Ciudad de Buenos Aires","jueves",22,39.75,-34.5956909,-58.5008016,2021-03-26
"72","Bar Aleman, Ciudad de Buenos Aires","jueves",23,24.75,-34.5956909,-58.5008016,2021-03-26
"73","Bar Aleman, Ciudad de Buenos Aires","viernes",6,0,-34.5956909,-58.5008016,2021-03-26
"74","Bar Aleman, Ciudad de Buenos Aires","viernes",7,0,-34.5956909,-58.5008016,2021-03-26
"75","Bar Aleman, Ciudad de Buenos Aires","viernes",8,0,-34.5956909,-58.5008016,2021-03-26
"76","Bar Aleman, Ciudad de Buenos Aires","viernes",9,0,-34.5956909,-58.5008016,2021-03-26
"77","Bar Aleman, Ciudad de Buenos Aires","viernes",10,0,-34.5956909,-58.5008016,2021-03-26
"78","Bar Aleman, Ciudad de Buenos Aires","viernes",11,0,-34.5956909,-58.5008016,2021-03-26
"79","Bar Aleman, Ciudad de Buenos Aires","viernes",12,13.5,-34.5956909,-58.5008016,2021-03-26
"80","Bar Aleman, Ciudad de Buenos Aires","viernes",13,18.75,-34.5956909,-58.5008016,2021-03-26
"81","Bar Aleman, Ciudad de Buenos Aires","viernes",14,21,-34.5956909,-58.5008016,2021-03-26
"82","Bar Aleman, Ciudad de Buenos Aires","viernes",15,18.75,-34.5956909,-58.5008016,2021-03-26
"83","Bar Aleman, Ciudad de Buenos Aires","viernes",16,12.75,-34.5956909,-58.5008016,2021-03-26
"84","Bar Aleman, Ciudad de Buenos Aires","viernes",17,8.25,-34.5956909,-58.5008016,2021-03-26
"85","Bar Aleman, Ciudad de Buenos Aires","viernes",18,9,-34.5956909,-58.5008016,2021-03-26
"86","Bar Aleman, Ciudad de Buenos Aires","viernes",19,18,-34.5956909,-58.5008016,2021-03-26
"87","Bar Aleman, Ciudad de Buenos Aires","viernes",20,36,-34.5956909,-58.5008016,2021-03-26
"88","Bar Aleman, Ciudad de Buenos Aires","viernes",21,52.5,-34.5956909,-58.5008016,2021-03-26
"89","Bar Aleman, Ciudad de Buenos Aires","viernes",22,56.25,-34.5956909,-58.5008016,2021-03-26
"90","Bar Aleman, Ciudad de Buenos Aires","viernes",23,44.25,-34.5956909,-58.5008016,2021-03-26
"91","Bar Aleman, Ciudad de Buenos Aires","sabado",6,0,-34.5956909,-58.5008016,2021-03-26
"92","Bar Aleman, Ciudad de Buenos Aires","sabado",7,0,-34.5956909,-58.5008016,2021-03-26
"93","Bar Aleman, Ciudad de Buenos Aires","sabado",8,0,-34.5956909,-58.5008016,2021-03-26
"94","Bar Aleman, Ciudad de Buenos Aires","sabado",9,0,-34.5956909,-58.5008016,2021-03-26
"95","Bar Aleman, Ciudad de Buenos Aires","sabado",10,0,-34.5956909,-58.5008016,2021-03-26
"96","Bar Aleman, Ciudad de Buenos Aires","sabado",11,0,-34.5956909,-58.5008016,2021-03-26
"97","Bar Aleman, Ciudad de Buenos Aires","sabado",12,18.75,-34.5956909,-58.5008016,2021-03-26
"98","Bar Aleman, Ciudad de Buenos Aires","sabado",13,30,-34.5956909,-58.5008016,2021-03-26
"99","Bar Aleman, Ciudad de Buenos Aires","sabado",14,33.75,-34.5956909,-58.5008016,2021-03-26
"100","Bar Aleman, Ciudad de Buenos Aires","sabado",15,26.25,-34.5956909,-58.5008016,2021-03-26
"101","Bar Aleman, Ciudad de Buenos Aires","sabado",16,13.5,-34.5956909,-58.5008016,2021-03-26
"102","Bar Aleman, Ciudad de Buenos Aires","sabado",17,4.5,-34.5956909,-58.5008016,2021-03-26
"103","Bar Aleman, Ciudad de Buenos Aires","sabado",18,3.75,-34.5956909,-58.5008016,2021-03-26
"104","Bar Aleman, Ciudad de Buenos Aires","sabado",19,15,-34.5956909,-58.5008016,2021-03-26
"105","Bar Aleman, Ciudad de Buenos Aires","sabado",20,39.75,-34.5956909,-58.5008016,2021-03-26
"106","Bar Aleman, Ciudad de Buenos Aires","sabado",21,66,-34.5956909,-58.5008016,2021-03-26
"107","Bar Aleman, Ciudad de Buenos Aires","sabado",22,75,-34.5956909,-58.5008016,2021-03-26
"108","Bar Aleman, Ciudad de Buenos Aires","sabado",23,57.75,-34.5956909,-58.5008016,2021-03-26
"109","Bar Aleman, Ciudad de Buenos Aires","domingo",6,0,-34.5956909,-58.5008016,2021-03-26
"110","Bar Aleman, Ciudad de Buenos Aires","domingo",7,0,-34.5956909,-58.5008016,2021-03-26
"111","Bar Aleman, Ciudad de Buenos Aires","domingo",8,0,-34.5956909,-58.5008016,2021-03-26
"112","Bar Aleman, Ciudad de Buenos Aires","domingo",9,0,-34.5956909,-58.5008016,2021-03-26
"113","Bar Aleman, Ciudad de Buenos Aires","domingo",10,0,-34.5956909,-58.5008016,2021-03-26
"114","Bar Aleman, Ciudad de Buenos Aires","domingo",11,0,-34.5956909,-58.5008016,2021-03-26
"115","Bar Aleman, Ciudad de Buenos Aires","domingo",12,35.25,-34.5956909,-58.5008016,2021-03-26
"116","Bar Aleman, Ciudad de Buenos Aires","domingo",13,54.75,-34.5956909,-58.5008016,2021-03-26
"117","Bar Aleman, Ciudad de Buenos Aires","domingo",14,59.25,-34.5956909,-58.5008016,2021-03-26
"118","Bar Aleman, Ciudad de Buenos Aires","domingo",15,45,-34.5956909,-58.5008016,2021-03-26
"119","Bar Aleman, Ciudad de Buenos Aires","domingo",16,22.5,-34.5956909,-58.5008016,2021-03-26
"120","Bar Aleman, Ciudad de Buenos Aires","domingo",17,6.75,-34.5956909,-58.5008016,2021-03-26
"121","Bar Aleman, Ciudad de Buenos Aires","domingo",18,1.5,-34.5956909,-58.5008016,2021-03-26
"122","Bar Aleman, Ciudad de Buenos Aires","domingo",19,8.25,-34.5956909,-58.5008016,2021-03-26
"123","Bar Aleman, Ciudad de Buenos Aires","domingo",20,26.25,-34.5956909,-58.5008016,2021-03-26
"124","Bar Aleman, Ciudad de Buenos Aires","domingo",21,48,-34.5956909,-58.5008016,2021-03-26
"125","Bar Aleman, Ciudad de Buenos Aires","domingo",22,53.25,-34.5956909,-58.5008016,2021-03-26
"126","Bar Aleman, Ciudad de Buenos Aires","domingo",23,36.75,-34.5956909,-58.5008016,2021-03-26
