"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Bar La Academia, Ciudad de Buenos Aires","lunes",0,31.5,-34.6048698,-58.3924044,2021-03-27
"2","Bar La Academia, Ciudad de Buenos Aires","lunes",1,18.75,-34.6048698,-58.3924044,2021-03-27
"3","Bar La Academia, Ciudad de Buenos Aires","lunes",2,10.5,-34.6048698,-58.3924044,2021-03-27
"4","Bar La Academia, Ciudad de Buenos Aires","lunes",3,8.25,-34.6048698,-58.3924044,2021-03-27
"5","Bar La Academia, Ciudad de Buenos Aires","lunes",4,3,-34.6048698,-58.3924044,2021-03-27
"6","Bar La Academia, Ciudad de Buenos Aires","lunes",5,3,-34.6048698,-58.3924044,2021-03-27
"7","Bar La Academia, Ciudad de Buenos Aires","lunes",6,3.75,-34.6048698,-58.3924044,2021-03-27
"8","Bar La Academia, Ciudad de Buenos Aires","lunes",7,4.5,-34.6048698,-58.3924044,2021-03-27
"9","Bar La Academia, Ciudad de Buenos Aires","lunes",8,6.75,-34.6048698,-58.3924044,2021-03-27
"10","Bar La Academia, Ciudad de Buenos Aires","lunes",9,8.25,-34.6048698,-58.3924044,2021-03-27
"11","Bar La Academia, Ciudad de Buenos Aires","lunes",10,10.5,-34.6048698,-58.3924044,2021-03-27
"12","Bar La Academia, Ciudad de Buenos Aires","lunes",11,12,-34.6048698,-58.3924044,2021-03-27
"13","Bar La Academia, Ciudad de Buenos Aires","lunes",12,14.25,-34.6048698,-58.3924044,2021-03-27
"14","Bar La Academia, Ciudad de Buenos Aires","lunes",13,15.75,-34.6048698,-58.3924044,2021-03-27
"15","Bar La Academia, Ciudad de Buenos Aires","lunes",14,17.25,-34.6048698,-58.3924044,2021-03-27
"16","Bar La Academia, Ciudad de Buenos Aires","lunes",15,18,-34.6048698,-58.3924044,2021-03-27
"17","Bar La Academia, Ciudad de Buenos Aires","lunes",16,18,-34.6048698,-58.3924044,2021-03-27
"18","Bar La Academia, Ciudad de Buenos Aires","lunes",17,18,-34.6048698,-58.3924044,2021-03-27
"19","Bar La Academia, Ciudad de Buenos Aires","lunes",18,20.25,-34.6048698,-58.3924044,2021-03-27
"20","Bar La Academia, Ciudad de Buenos Aires","lunes",19,27,-34.6048698,-58.3924044,2021-03-27
"21","Bar La Academia, Ciudad de Buenos Aires","lunes",20,34.5,-34.6048698,-58.3924044,2021-03-27
"22","Bar La Academia, Ciudad de Buenos Aires","lunes",21,38.25,-34.6048698,-58.3924044,2021-03-27
"23","Bar La Academia, Ciudad de Buenos Aires","lunes",22,40.5,-34.6048698,-58.3924044,2021-03-27
"24","Bar La Academia, Ciudad de Buenos Aires","lunes",23,43.5,-34.6048698,-58.3924044,2021-03-27
"25","Bar La Academia, Ciudad de Buenos Aires","martes",0,37.5,-34.6048698,-58.3924044,2021-03-27
"26","Bar La Academia, Ciudad de Buenos Aires","martes",1,22.5,-34.6048698,-58.3924044,2021-03-27
"27","Bar La Academia, Ciudad de Buenos Aires","martes",2,9.75,-34.6048698,-58.3924044,2021-03-27
"28","Bar La Academia, Ciudad de Buenos Aires","martes",3,4.5,-34.6048698,-58.3924044,2021-03-27
"29","Bar La Academia, Ciudad de Buenos Aires","martes",4,7.5,-34.6048698,-58.3924044,2021-03-27
"30","Bar La Academia, Ciudad de Buenos Aires","martes",5,3.75,-34.6048698,-58.3924044,2021-03-27
"31","Bar La Academia, Ciudad de Buenos Aires","martes",6,3.75,-34.6048698,-58.3924044,2021-03-27
"32","Bar La Academia, Ciudad de Buenos Aires","martes",7,4.5,-34.6048698,-58.3924044,2021-03-27
"33","Bar La Academia, Ciudad de Buenos Aires","martes",8,6,-34.6048698,-58.3924044,2021-03-27
"34","Bar La Academia, Ciudad de Buenos Aires","martes",9,7.5,-34.6048698,-58.3924044,2021-03-27
"35","Bar La Academia, Ciudad de Buenos Aires","martes",10,9,-34.6048698,-58.3924044,2021-03-27
