"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Bar Via 71, Ciudad de Buenos Aires","lunes",5,0,-34.6007172,-58.3923452,2021-03-27
"2","Bar Via 71, Ciudad de Buenos Aires","lunes",6,32.25,-34.6007172,-58.3923452,2021-03-27
"3","Bar Via 71, Ciudad de Buenos Aires","lunes",7,54,-34.6007172,-58.3923452,2021-03-27
"4","Bar Via 71, Ciudad de Buenos Aires","lunes",8,45.75,-34.6007172,-58.3923452,2021-03-27
"5","Bar Via 71, Ciudad de Buenos Aires","lunes",9,39,-34.6007172,-58.3923452,2021-03-27
"6","Bar Via 71, Ciudad de Buenos Aires","lunes",10,47.25,-34.6007172,-58.3923452,2021-03-27
"7","Bar Via 71, Ciudad de Buenos Aires","lunes",11,56.25,-34.6007172,-58.3923452,2021-03-27
"8","Bar Via 71, Ciudad de Buenos Aires","lunes",12,62.25,-34.6007172,-58.3923452,2021-03-27
"9","Bar Via 71, Ciudad de Buenos Aires","lunes",13,61.5,-34.6007172,-58.3923452,2021-03-27
"10","Bar Via 71, Ciudad de Buenos Aires","lunes",14,56.25,-34.6007172,-58.3923452,2021-03-27
"11","Bar Via 71, Ciudad de Buenos Aires","lunes",15,46.5,-34.6007172,-58.3923452,2021-03-27
"12","Bar Via 71, Ciudad de Buenos Aires","lunes",16,36,-34.6007172,-58.3923452,2021-03-27
"13","Bar Via 71, Ciudad de Buenos Aires","lunes",17,26.25,-34.6007172,-58.3923452,2021-03-27
"14","Bar Via 71, Ciudad de Buenos Aires","lunes",18,18.75,-34.6007172,-58.3923452,2021-03-27
"15","Bar Via 71, Ciudad de Buenos Aires","lunes",19,0,-34.6007172,-58.3923452,2021-03-27
"16","Bar Via 71, Ciudad de Buenos Aires","lunes",20,0,-34.6007172,-58.3923452,2021-03-27
"17","Bar Via 71, Ciudad de Buenos Aires","lunes",21,0,-34.6007172,-58.3923452,2021-03-27
"18","Bar Via 71, Ciudad de Buenos Aires","lunes",22,0,-34.6007172,-58.3923452,2021-03-27
"19","Bar Via 71, Ciudad de Buenos Aires","martes",5,0,-34.6007172,-58.3923452,2021-03-27
"20","Bar Via 71, Ciudad de Buenos Aires","martes",6,36.75,-34.6007172,-58.3923452,2021-03-27
"21","Bar Via 71, Ciudad de Buenos Aires","martes",7,66.75,-34.6007172,-58.3923452,2021-03-27
"22","Bar Via 71, Ciudad de Buenos Aires","martes",8,72.75,-34.6007172,-58.3923452,2021-03-27
"23","Bar Via 71, Ciudad de Buenos Aires","martes",9,57,-34.6007172,-58.3923452,2021-03-27
"24","Bar Via 71, Ciudad de Buenos Aires","martes",10,49.5,-34.6007172,-58.3923452,2021-03-27
"25","Bar Via 71, Ciudad de Buenos Aires","martes",11,55.5,-34.6007172,-58.3923452,2021-03-27
"26","Bar Via 71, Ciudad de Buenos Aires","martes",12,62.25,-34.6007172,-58.3923452,2021-03-27
"27","Bar Via 71, Ciudad de Buenos Aires","martes",13,66,-34.6007172,-58.3923452,2021-03-27
"28","Bar Via 71, Ciudad de Buenos Aires","martes",14,64.5,-34.6007172,-58.3923452,2021-03-27
"29","Bar Via 71, Ciudad de Buenos Aires","martes",15,57.75,-34.6007172,-58.3923452,2021-03-27
"30","Bar Via 71, Ciudad de Buenos Aires","martes",16,48,-34.6007172,-58.3923452,2021-03-27
