"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Bidou de Lavalle, Ciudad de Buenos Aires","lunes",6,0,-34.6020644,-58.3712619,2021-03-27
"2","Bidou de Lavalle, Ciudad de Buenos Aires","lunes",7,4.5,-34.6020644,-58.3712619,2021-03-27
"3","Bidou de Lavalle, Ciudad de Buenos Aires","lunes",8,15,-34.6020644,-58.3712619,2021-03-27
"4","Bidou de Lavalle, Ciudad de Buenos Aires","lunes",9,24,-34.6020644,-58.3712619,2021-03-27
"5","Bidou de Lavalle, Ciudad de Buenos Aires","lunes",10,21,-34.6020644,-58.3712619,2021-03-27
"6","Bidou de Lavalle, Ciudad de Buenos Aires","lunes",11,18,-34.6020644,-58.3712619,2021-03-27
"7","Bidou de Lavalle, Ciudad de Buenos Aires","lunes",12,29.25,-34.6020644,-58.3712619,2021-03-27
"8","Bidou de Lavalle, Ciudad de Buenos Aires","lunes",13,45.75,-34.6020644,-58.3712619,2021-03-27
"9","Bidou de Lavalle, Ciudad de Buenos Aires","lunes",14,48,-34.6020644,-58.3712619,2021-03-27
"10","Bidou de Lavalle, Ciudad de Buenos Aires","lunes",15,33,-34.6020644,-58.3712619,2021-03-27
"11","Bidou de Lavalle, Ciudad de Buenos Aires","lunes",16,14.25,-34.6020644,-58.3712619,2021-03-27
"12","Bidou de Lavalle, Ciudad de Buenos Aires","lunes",17,3.75,-34.6020644,-58.3712619,2021-03-27
"13","Bidou de Lavalle, Ciudad de Buenos Aires","lunes",18,0,-34.6020644,-58.3712619,2021-03-27
"14","Bidou de Lavalle, Ciudad de Buenos Aires","lunes",19,0,-34.6020644,-58.3712619,2021-03-27
"15","Bidou de Lavalle, Ciudad de Buenos Aires","lunes",20,0,-34.6020644,-58.3712619,2021-03-27
"16","Bidou de Lavalle, Ciudad de Buenos Aires","lunes",21,0,-34.6020644,-58.3712619,2021-03-27
"17","Bidou de Lavalle, Ciudad de Buenos Aires","lunes",22,0,-34.6020644,-58.3712619,2021-03-27
"18","Bidou de Lavalle, Ciudad de Buenos Aires","lunes",23,0,-34.6020644,-58.3712619,2021-03-27
"19","Bidou de Lavalle, Ciudad de Buenos Aires","martes",6,0,-34.6020644,-58.3712619,2021-03-27
"20","Bidou de Lavalle, Ciudad de Buenos Aires","martes",7,7.5,-34.6020644,-58.3712619,2021-03-27
"21","Bidou de Lavalle, Ciudad de Buenos Aires","martes",8,14.25,-34.6020644,-58.3712619,2021-03-27
"22","Bidou de Lavalle, Ciudad de Buenos Aires","martes",9,20.25,-34.6020644,-58.3712619,2021-03-27
"23","Bidou de Lavalle, Ciudad de Buenos Aires","martes",10,24,-34.6020644,-58.3712619,2021-03-27
"24","Bidou de Lavalle, Ciudad de Buenos Aires","martes",11,22.5,-34.6020644,-58.3712619,2021-03-27
"25","Bidou de Lavalle, Ciudad de Buenos Aires","martes",12,26.25,-34.6020644,-58.3712619,2021-03-27
"26","Bidou de Lavalle, Ciudad de Buenos Aires","martes",13,58.5,-34.6020644,-58.3712619,2021-03-27
"27","Bidou de Lavalle, Ciudad de Buenos Aires","martes",14,49.5,-34.6020644,-58.3712619,2021-03-27
"28","Bidou de Lavalle, Ciudad de Buenos Aires","martes",15,24.75,-34.6020644,-58.3712619,2021-03-27
"29","Bidou de Lavalle, Ciudad de Buenos Aires","martes",16,21.75,-34.6020644,-58.3712619,2021-03-27
"30","Bidou de Lavalle, Ciudad de Buenos Aires","martes",17,1.5,-34.6020644,-58.3712619,2021-03-27
"31","Bidou de Lavalle, Ciudad de Buenos Aires","martes",18,0,-34.6020644,-58.3712619,2021-03-27
"32","Bidou de Lavalle, Ciudad de Buenos Aires","martes",19,0,-34.6020644,-58.3712619,2021-03-27
"33","Bidou de Lavalle, Ciudad de Buenos Aires","martes",20,0,-34.6020644,-58.3712619,2021-03-27
"34","Bidou de Lavalle, Ciudad de Buenos Aires","martes",21,0,-34.6020644,-58.3712619,2021-03-27
"35","Bidou de Lavalle, Ciudad de Buenos Aires","martes",22,0,-34.6020644,-58.3712619,2021-03-27
"36","Bidou de Lavalle, Ciudad de Buenos Aires","martes",23,0,-34.6020644,-58.3712619,2021-03-27
"37","Bidou de Lavalle, Ciudad de Buenos Aires","miercoles",6,0,-34.6020644,-58.3712619,2021-03-27
"38","Bidou de Lavalle, Ciudad de Buenos Aires","miercoles",7,10.5,-34.6020644,-58.3712619,2021-03-27
"39","Bidou de Lavalle, Ciudad de Buenos Aires","miercoles",8,16.5,-34.6020644,-58.3712619,2021-03-27
