"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Birkin Coffee Bar, Ciudad de Buenos Aires","martes",6,0,-34.580433,-58.413213,2021-03-27
"2","Birkin Coffee Bar, Ciudad de Buenos Aires","martes",7,0,-34.580433,-58.413213,2021-03-27
"3","Birkin Coffee Bar, Ciudad de Buenos Aires","martes",8,0,-34.580433,-58.413213,2021-03-27
"4","Birkin Coffee Bar, Ciudad de Buenos Aires","martes",9,22.5,-34.580433,-58.413213,2021-03-27
"5","Birkin Coffee Bar, Ciudad de Buenos Aires","martes",10,36.75,-34.580433,-58.413213,2021-03-27
"6","Birkin Coffee Bar, Ciudad de Buenos Aires","martes",11,48,-34.580433,-58.413213,2021-03-27
"7","Birkin Coffee Bar, Ciudad de Buenos Aires","martes",12,51.75,-34.580433,-58.413213,2021-03-27
"8","Birkin Coffee Bar, Ciudad de Buenos Aires","martes",13,46.5,-34.580433,-58.413213,2021-03-27
"9","Birkin Coffee Bar, Ciudad de Buenos Aires","martes",14,37.5,-34.580433,-58.413213,2021-03-27
"10","Birkin Coffee Bar, Ciudad de Buenos Aires","martes",15,34.5,-34.580433,-58.413213,2021-03-27
"11","Birkin Coffee Bar, Ciudad de Buenos Aires","martes",16,42.75,-34.580433,-58.413213,2021-03-27
"12","Birkin Coffee Bar, Ciudad de Buenos Aires","martes",17,57.75,-34.580433,-58.413213,2021-03-27
"13","Birkin Coffee Bar, Ciudad de Buenos Aires","martes",18,65.25,-34.580433,-58.413213,2021-03-27
"14","Birkin Coffee Bar, Ciudad de Buenos Aires","martes",19,56.25,-34.580433,-58.413213,2021-03-27
"15","Birkin Coffee Bar, Ciudad de Buenos Aires","martes",20,36,-34.580433,-58.413213,2021-03-27
"16","Birkin Coffee Bar, Ciudad de Buenos Aires","martes",21,0,-34.580433,-58.413213,2021-03-27
"17","Birkin Coffee Bar, Ciudad de Buenos Aires","martes",22,0,-34.580433,-58.413213,2021-03-27
"18","Birkin Coffee Bar, Ciudad de Buenos Aires","martes",23,0,-34.580433,-58.413213,2021-03-27
"19","Birkin Coffee Bar, Ciudad de Buenos Aires","miercoles",6,0,-34.580433,-58.413213,2021-03-27
"20","Birkin Coffee Bar, Ciudad de Buenos Aires","miercoles",7,0,-34.580433,-58.413213,2021-03-27
"21","Birkin Coffee Bar, Ciudad de Buenos Aires","miercoles",8,0,-34.580433,-58.413213,2021-03-27
"22","Birkin Coffee Bar, Ciudad de Buenos Aires","miercoles",9,17.25,-34.580433,-58.413213,2021-03-27
"23","Birkin Coffee Bar, Ciudad de Buenos Aires","miercoles",10,30,-34.580433,-58.413213,2021-03-27
"24","Birkin Coffee Bar, Ciudad de Buenos Aires","miercoles",11,42,-34.580433,-58.413213,2021-03-27
"25","Birkin Coffee Bar, Ciudad de Buenos Aires","miercoles",12,47.25,-34.580433,-58.413213,2021-03-27
"26","Birkin Coffee Bar, Ciudad de Buenos Aires","miercoles",13,45,-34.580433,-58.413213,2021-03-27
"27","Birkin Coffee Bar, Ciudad de Buenos Aires","miercoles",14,39.75,-34.580433,-58.413213,2021-03-27
"28","Birkin Coffee Bar, Ciudad de Buenos Aires","miercoles",15,37.5,-34.580433,-58.413213,2021-03-27
"29","Birkin Coffee Bar, Ciudad de Buenos Aires","miercoles",16,43.5,-34.580433,-58.413213,2021-03-27
