"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Bracia, Ciudad de Buenos Aires","lunes",6,0,-34.5580375,-58.4521566,2021-03-26
"2","Bracia, Ciudad de Buenos Aires","lunes",7,5.25,-34.5580375,-58.4521566,2021-03-26
"3","Bracia, Ciudad de Buenos Aires","lunes",8,9,-34.5580375,-58.4521566,2021-03-26
"4","Bracia, Ciudad de Buenos Aires","lunes",9,15,-34.5580375,-58.4521566,2021-03-26
"5","Bracia, Ciudad de Buenos Aires","lunes",10,24,-34.5580375,-58.4521566,2021-03-26
"6","Bracia, Ciudad de Buenos Aires","lunes",11,32.25,-34.5580375,-58.4521566,2021-03-26
"7","Bracia, Ciudad de Buenos Aires","lunes",12,37.5,-34.5580375,-58.4521566,2021-03-26
"8","Bracia, Ciudad de Buenos Aires","lunes",13,37.5,-34.5580375,-58.4521566,2021-03-26
"9","Bracia, Ciudad de Buenos Aires","lunes",14,34.5,-34.5580375,-58.4521566,2021-03-26
"10","Bracia, Ciudad de Buenos Aires","lunes",15,33,-34.5580375,-58.4521566,2021-03-26
"11","Bracia, Ciudad de Buenos Aires","lunes",16,36,-34.5580375,-58.4521566,2021-03-26
"12","Bracia, Ciudad de Buenos Aires","lunes",17,39.75,-34.5580375,-58.4521566,2021-03-26
"13","Bracia, Ciudad de Buenos Aires","lunes",18,41.25,-34.5580375,-58.4521566,2021-03-26
"14","Bracia, Ciudad de Buenos Aires","lunes",19,36.75,-34.5580375,-58.4521566,2021-03-26
"15","Bracia, Ciudad de Buenos Aires","lunes",20,27,-34.5580375,-58.4521566,2021-03-26
"16","Bracia, Ciudad de Buenos Aires","lunes",21,16.5,-34.5580375,-58.4521566,2021-03-26
"17","Bracia, Ciudad de Buenos Aires","lunes",22,9,-34.5580375,-58.4521566,2021-03-26
"18","Bracia, Ciudad de Buenos Aires","lunes",23,0,-34.5580375,-58.4521566,2021-03-26
"19","Bracia, Ciudad de Buenos Aires","martes",6,0,-34.5580375,-58.4521566,2021-03-26
"20","Bracia, Ciudad de Buenos Aires","martes",7,10.5,-34.5580375,-58.4521566,2021-03-26
"21","Bracia, Ciudad de Buenos Aires","martes",8,18,-34.5580375,-58.4521566,2021-03-26
"22","Bracia, Ciudad de Buenos Aires","martes",9,27,-34.5580375,-58.4521566,2021-03-26
"23","Bracia, Ciudad de Buenos Aires","martes",10,33,-34.5580375,-58.4521566,2021-03-26
"24","Bracia, Ciudad de Buenos Aires","martes",11,34.5,-34.5580375,-58.4521566,2021-03-26
"25","Bracia, Ciudad de Buenos Aires","martes",12,33,-34.5580375,-58.4521566,2021-03-26
"26","Bracia, Ciudad de Buenos Aires","martes",13,37.5,-34.5580375,-58.4521566,2021-03-26
"27","Bracia, Ciudad de Buenos Aires","martes",14,51,-34.5580375,-58.4521566,2021-03-26
"28","Bracia, Ciudad de Buenos Aires","martes",15,41.25,-34.5580375,-58.4521566,2021-03-26
"29","Bracia, Ciudad de Buenos Aires","martes",16,28.5,-34.5580375,-58.4521566,2021-03-26
"30","Bracia, Ciudad de Buenos Aires","martes",17,29.25,-34.5580375,-58.4521566,2021-03-26
"31","Bracia, Ciudad de Buenos Aires","martes",18,32.25,-34.5580375,-58.4521566,2021-03-26
"32","Bracia, Ciudad de Buenos Aires","martes",19,30,-34.5580375,-58.4521566,2021-03-26
"33","Bracia, Ciudad de Buenos Aires","martes",20,24.75,-34.5580375,-58.4521566,2021-03-26
"34","Bracia, Ciudad de Buenos Aires","martes",21,18,-34.5580375,-58.4521566,2021-03-26
"35","Bracia, Ciudad de Buenos Aires","martes",22,10.5,-34.5580375,-58.4521566,2021-03-26
"36","Bracia, Ciudad de Buenos Aires","martes",23,0,-34.5580375,-58.4521566,2021-03-26
"37","Bracia, Ciudad de Buenos Aires","miercoles",6,0,-34.5580375,-58.4521566,2021-03-26
"38","Bracia, Ciudad de Buenos Aires","miercoles",7,2.25,-34.5580375,-58.4521566,2021-03-26
"39","Bracia, Ciudad de Buenos Aires","miercoles",8,5.25,-34.5580375,-58.4521566,2021-03-26
"40","Bracia, Ciudad de Buenos Aires","miercoles",9,15.75,-34.5580375,-58.4521566,2021-03-26
"41","Bracia, Ciudad de Buenos Aires","miercoles",10,42.75,-34.5580375,-58.4521566,2021-03-26
"42","Bracia, Ciudad de Buenos Aires","miercoles",11,49.5,-34.5580375,-58.4521566,2021-03-26
"43","Bracia, Ciudad de Buenos Aires","miercoles",12,36,-34.5580375,-58.4521566,2021-03-26
"44","Bracia, Ciudad de Buenos Aires","miercoles",13,36.75,-34.5580375,-58.4521566,2021-03-26
"45","Bracia, Ciudad de Buenos Aires","miercoles",14,42.75,-34.5580375,-58.4521566,2021-03-26
"46","Bracia, Ciudad de Buenos Aires","miercoles",15,48.75,-34.5580375,-58.4521566,2021-03-26
"47","Bracia, Ciudad de Buenos Aires","miercoles",16,51,-34.5580375,-58.4521566,2021-03-26
"48","Bracia, Ciudad de Buenos Aires","miercoles",17,50.25,-34.5580375,-58.4521566,2021-03-26
"49","Bracia, Ciudad de Buenos Aires","miercoles",18,45.75,-34.5580375,-58.4521566,2021-03-26
"50","Bracia, Ciudad de Buenos Aires","miercoles",19,39.75,-34.5580375,-58.4521566,2021-03-26
"51","Bracia, Ciudad de Buenos Aires","miercoles",20,31.5,-34.5580375,-58.4521566,2021-03-26
"52","Bracia, Ciudad de Buenos Aires","miercoles",21,24,-34.5580375,-58.4521566,2021-03-26
"53","Bracia, Ciudad de Buenos Aires","miercoles",22,16.5,-34.5580375,-58.4521566,2021-03-26
"54","Bracia, Ciudad de Buenos Aires","miercoles",23,0,-34.5580375,-58.4521566,2021-03-26
"55","Bracia, Ciudad de Buenos Aires","jueves",6,0,-34.5580375,-58.4521566,2021-03-26
"56","Bracia, Ciudad de Buenos Aires","jueves",7,11.25,-34.5580375,-58.4521566,2021-03-26
"57","Bracia, Ciudad de Buenos Aires","jueves",8,20.25,-34.5580375,-58.4521566,2021-03-26
"58","Bracia, Ciudad de Buenos Aires","jueves",9,32.25,-34.5580375,-58.4521566,2021-03-26
"59","Bracia, Ciudad de Buenos Aires","jueves",10,42,-34.5580375,-58.4521566,2021-03-26
"60","Bracia, Ciudad de Buenos Aires","jueves",11,47.25,-34.5580375,-58.4521566,2021-03-26
"61","Bracia, Ciudad de Buenos Aires","jueves",12,46.5,-34.5580375,-58.4521566,2021-03-26
"62","Bracia, Ciudad de Buenos Aires","jueves",13,41.25,-34.5580375,-58.4521566,2021-03-26
"63","Bracia, Ciudad de Buenos Aires","jueves",14,34.5,-34.5580375,-58.4521566,2021-03-26
"64","Bracia, Ciudad de Buenos Aires","jueves",15,31.5,-34.5580375,-58.4521566,2021-03-26
"65","Bracia, Ciudad de Buenos Aires","jueves",16,30,-34.5580375,-58.4521566,2021-03-26
"66","Bracia, Ciudad de Buenos Aires","jueves",17,32.25,-34.5580375,-58.4521566,2021-03-26
"67","Bracia, Ciudad de Buenos Aires","jueves",18,33.75,-34.5580375,-58.4521566,2021-03-26
"68","Bracia, Ciudad de Buenos Aires","jueves",19,33,-34.5580375,-58.4521566,2021-03-26
"69","Bracia, Ciudad de Buenos Aires","jueves",20,29.25,-34.5580375,-58.4521566,2021-03-26
"70","Bracia, Ciudad de Buenos Aires","jueves",21,24,-34.5580375,-58.4521566,2021-03-26
"71","Bracia, Ciudad de Buenos Aires","jueves",22,18,-34.5580375,-58.4521566,2021-03-26
"72","Bracia, Ciudad de Buenos Aires","jueves",23,0,-34.5580375,-58.4521566,2021-03-26
"73","Bracia, Ciudad de Buenos Aires","viernes",6,0,-34.5580375,-58.4521566,2021-03-26
"74","Bracia, Ciudad de Buenos Aires","viernes",7,11.25,-34.5580375,-58.4521566,2021-03-26
"75","Bracia, Ciudad de Buenos Aires","viernes",8,19.5,-34.5580375,-58.4521566,2021-03-26
"76","Bracia, Ciudad de Buenos Aires","viernes",9,31.5,-34.5580375,-58.4521566,2021-03-26
"77","Bracia, Ciudad de Buenos Aires","viernes",10,42.75,-34.5580375,-58.4521566,2021-03-26
"78","Bracia, Ciudad de Buenos Aires","viernes",11,51.75,-34.5580375,-58.4521566,2021-03-26
"79","Bracia, Ciudad de Buenos Aires","viernes",12,56.25,-34.5580375,-58.4521566,2021-03-26
"80","Bracia, Ciudad de Buenos Aires","viernes",13,54.75,-34.5580375,-58.4521566,2021-03-26
"81","Bracia, Ciudad de Buenos Aires","viernes",14,49.5,-34.5580375,-58.4521566,2021-03-26
"82","Bracia, Ciudad de Buenos Aires","viernes",15,44.25,-34.5580375,-58.4521566,2021-03-26
"83","Bracia, Ciudad de Buenos Aires","viernes",16,39.75,-34.5580375,-58.4521566,2021-03-26
"84","Bracia, Ciudad de Buenos Aires","viernes",17,38.25,-34.5580375,-58.4521566,2021-03-26
"85","Bracia, Ciudad de Buenos Aires","viernes",18,38.25,-34.5580375,-58.4521566,2021-03-26
"86","Bracia, Ciudad de Buenos Aires","viernes",19,36.75,-34.5580375,-58.4521566,2021-03-26
"87","Bracia, Ciudad de Buenos Aires","viernes",20,33,-34.5580375,-58.4521566,2021-03-26
"88","Bracia, Ciudad de Buenos Aires","viernes",21,27,-34.5580375,-58.4521566,2021-03-26
"89","Bracia, Ciudad de Buenos Aires","viernes",22,19.5,-34.5580375,-58.4521566,2021-03-26
"90","Bracia, Ciudad de Buenos Aires","viernes",23,0,-34.5580375,-58.4521566,2021-03-26
"91","Bracia, Ciudad de Buenos Aires","sabado",6,0,-34.5580375,-58.4521566,2021-03-26
