"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Buller Pub, Ciudad de Buenos Aires","lunes",6,0,-34.5889169,-58.3923822,2021-03-26
"2","Buller Pub, Ciudad de Buenos Aires","lunes",7,0,-34.5889169,-58.3923822,2021-03-26
"3","Buller Pub, Ciudad de Buenos Aires","lunes",8,0,-34.5889169,-58.3923822,2021-03-26
"4","Buller Pub, Ciudad de Buenos Aires","lunes",9,0,-34.5889169,-58.3923822,2021-03-26
"5","Buller Pub, Ciudad de Buenos Aires","lunes",10,0,-34.5889169,-58.3923822,2021-03-26
"6","Buller Pub, Ciudad de Buenos Aires","lunes",11,0,-34.5889169,-58.3923822,2021-03-26
"7","Buller Pub, Ciudad de Buenos Aires","lunes",12,3,-34.5889169,-58.3923822,2021-03-26
"8","Buller Pub, Ciudad de Buenos Aires","lunes",13,3,-34.5889169,-58.3923822,2021-03-26
"9","Buller Pub, Ciudad de Buenos Aires","lunes",14,3.75,-34.5889169,-58.3923822,2021-03-26
"10","Buller Pub, Ciudad de Buenos Aires","lunes",15,4.5,-34.5889169,-58.3923822,2021-03-26
"11","Buller Pub, Ciudad de Buenos Aires","lunes",16,6.75,-34.5889169,-58.3923822,2021-03-26
"12","Buller Pub, Ciudad de Buenos Aires","lunes",17,11.25,-34.5889169,-58.3923822,2021-03-26
"13","Buller Pub, Ciudad de Buenos Aires","lunes",18,18.75,-34.5889169,-58.3923822,2021-03-26
"14","Buller Pub, Ciudad de Buenos Aires","lunes",19,26.25,-34.5889169,-58.3923822,2021-03-26
"15","Buller Pub, Ciudad de Buenos Aires","lunes",20,32.25,-34.5889169,-58.3923822,2021-03-26
"16","Buller Pub, Ciudad de Buenos Aires","lunes",21,36.75,-34.5889169,-58.3923822,2021-03-26
"17","Buller Pub, Ciudad de Buenos Aires","lunes",22,39,-34.5889169,-58.3923822,2021-03-26
"18","Buller Pub, Ciudad de Buenos Aires","lunes",23,35.25,-34.5889169,-58.3923822,2021-03-26
"19","Buller Pub, Ciudad de Buenos Aires","martes",0,24,-34.5889169,-58.3923822,2021-03-26
"20","Buller Pub, Ciudad de Buenos Aires","martes",6,0,-34.5889169,-58.3923822,2021-03-26
