"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","BullerVC, Ciudad de Buenos Aires","lunes",6,0,-34.5889169,-58.3923822,2021-03-26
"2","BullerVC, Ciudad de Buenos Aires","lunes",7,0,-34.5889169,-58.3923822,2021-03-26
"3","BullerVC, Ciudad de Buenos Aires","lunes",8,0,-34.5889169,-58.3923822,2021-03-26
"4","BullerVC, Ciudad de Buenos Aires","lunes",9,0,-34.5889169,-58.3923822,2021-03-26
"5","BullerVC, Ciudad de Buenos Aires","lunes",10,0,-34.5889169,-58.3923822,2021-03-26
"6","BullerVC, Ciudad de Buenos Aires","lunes",11,0,-34.5889169,-58.3923822,2021-03-26
"7","BullerVC, Ciudad de Buenos Aires","lunes",12,2.25,-34.5889169,-58.3923822,2021-03-26
"8","BullerVC, Ciudad de Buenos Aires","lunes",13,2.25,-34.5889169,-58.3923822,2021-03-26
"9","BullerVC, Ciudad de Buenos Aires","lunes",14,3,-34.5889169,-58.3923822,2021-03-26
"10","BullerVC, Ciudad de Buenos Aires","lunes",15,3.75,-34.5889169,-58.3923822,2021-03-26
"11","BullerVC, Ciudad de Buenos Aires","lunes",16,5.25,-34.5889169,-58.3923822,2021-03-26
"12","BullerVC, Ciudad de Buenos Aires","lunes",17,9,-34.5889169,-58.3923822,2021-03-26
"13","BullerVC, Ciudad de Buenos Aires","lunes",18,15.75,-34.5889169,-58.3923822,2021-03-26
"14","BullerVC, Ciudad de Buenos Aires","lunes",19,24,-34.5889169,-58.3923822,2021-03-26
"15","BullerVC, Ciudad de Buenos Aires","lunes",20,30.75,-34.5889169,-58.3923822,2021-03-26
"16","BullerVC, Ciudad de Buenos Aires","lunes",21,35.25,-34.5889169,-58.3923822,2021-03-26
"17","BullerVC, Ciudad de Buenos Aires","lunes",22,36,-34.5889169,-58.3923822,2021-03-26
"18","BullerVC, Ciudad de Buenos Aires","lunes",23,31.5,-34.5889169,-58.3923822,2021-03-26
"19","BullerVC, Ciudad de Buenos Aires","martes",0,21,-34.5889169,-58.3923822,2021-03-26
"20","BullerVC, Ciudad de Buenos Aires","martes",6,0,-34.5889169,-58.3923822,2021-03-26
"21","BullerVC, Ciudad de Buenos Aires","martes",7,0,-34.5889169,-58.3923822,2021-03-26
"22","BullerVC, Ciudad de Buenos Aires","martes",8,0,-34.5889169,-58.3923822,2021-03-26
"23","BullerVC, Ciudad de Buenos Aires","martes",9,0,-34.5889169,-58.3923822,2021-03-26
"24","BullerVC, Ciudad de Buenos Aires","martes",10,0,-34.5889169,-58.3923822,2021-03-26
"25","BullerVC, Ciudad de Buenos Aires","martes",11,0,-34.5889169,-58.3923822,2021-03-26
"26","BullerVC, Ciudad de Buenos Aires","martes",12,2.25,-34.5889169,-58.3923822,2021-03-26
"27","BullerVC, Ciudad de Buenos Aires","martes",13,3,-34.5889169,-58.3923822,2021-03-26
"28","BullerVC, Ciudad de Buenos Aires","martes",14,3.75,-34.5889169,-58.3923822,2021-03-26
"29","BullerVC, Ciudad de Buenos Aires","martes",15,4.5,-34.5889169,-58.3923822,2021-03-26
"30","BullerVC, Ciudad de Buenos Aires","martes",16,6,-34.5889169,-58.3923822,2021-03-26
"31","BullerVC, Ciudad de Buenos Aires","martes",17,8.25,-34.5889169,-58.3923822,2021-03-26
"32","BullerVC, Ciudad de Buenos Aires","martes",18,12.75,-34.5889169,-58.3923822,2021-03-26
"33","BullerVC, Ciudad de Buenos Aires","martes",19,21,-34.5889169,-58.3923822,2021-03-26
