"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Burkina Bar, Ciudad de Buenos Aires","lunes",6,0,-34.587023,-58.43283,2021-03-30
"2","Burkina Bar, Ciudad de Buenos Aires","lunes",7,0,-34.587023,-58.43283,2021-03-30
"3","Burkina Bar, Ciudad de Buenos Aires","lunes",8,0,-34.587023,-58.43283,2021-03-30
"4","Burkina Bar, Ciudad de Buenos Aires","lunes",9,0,-34.587023,-58.43283,2021-03-30
"5","Burkina Bar, Ciudad de Buenos Aires","lunes",10,0,-34.587023,-58.43283,2021-03-30
"6","Burkina Bar, Ciudad de Buenos Aires","lunes",11,0,-34.587023,-58.43283,2021-03-30
"7","Burkina Bar, Ciudad de Buenos Aires","lunes",12,0,-34.587023,-58.43283,2021-03-30
"8","Burkina Bar, Ciudad de Buenos Aires","lunes",13,0,-34.587023,-58.43283,2021-03-30
"9","Burkina Bar, Ciudad de Buenos Aires","lunes",14,0.75,-34.587023,-58.43283,2021-03-30
"10","Burkina Bar, Ciudad de Buenos Aires","lunes",15,0.75,-34.587023,-58.43283,2021-03-30
"11","Burkina Bar, Ciudad de Buenos Aires","lunes",16,1.5,-34.587023,-58.43283,2021-03-30
"12","Burkina Bar, Ciudad de Buenos Aires","lunes",17,2.25,-34.587023,-58.43283,2021-03-30
"13","Burkina Bar, Ciudad de Buenos Aires","lunes",18,2.25,-34.587023,-58.43283,2021-03-30
"14","Burkina Bar, Ciudad de Buenos Aires","lunes",19,2.25,-34.587023,-58.43283,2021-03-30
"15","Burkina Bar, Ciudad de Buenos Aires","lunes",20,2.25,-34.587023,-58.43283,2021-03-30
"16","Burkina Bar, Ciudad de Buenos Aires","lunes",21,2.25,-34.587023,-58.43283,2021-03-30
"17","Burkina Bar, Ciudad de Buenos Aires","lunes",22,0,-34.587023,-58.43283,2021-03-30
"18","Burkina Bar, Ciudad de Buenos Aires","lunes",23,0,-34.587023,-58.43283,2021-03-30
"19","Burkina Bar, Ciudad de Buenos Aires","martes",6,0,-34.587023,-58.43283,2021-03-30
"20","Burkina Bar, Ciudad de Buenos Aires","martes",7,0,-34.587023,-58.43283,2021-03-30
"21","Burkina Bar, Ciudad de Buenos Aires","martes",8,0,-34.587023,-58.43283,2021-03-30
"22","Burkina Bar, Ciudad de Buenos Aires","martes",9,0,-34.587023,-58.43283,2021-03-30
"23","Burkina Bar, Ciudad de Buenos Aires","martes",10,0,-34.587023,-58.43283,2021-03-30
"24","Burkina Bar, Ciudad de Buenos Aires","martes",11,0,-34.587023,-58.43283,2021-03-30
"25","Burkina Bar, Ciudad de Buenos Aires","martes",12,0,-34.587023,-58.43283,2021-03-30
"26","Burkina Bar, Ciudad de Buenos Aires","martes",13,0,-34.587023,-58.43283,2021-03-30
"27","Burkina Bar, Ciudad de Buenos Aires","martes",14,0,-34.587023,-58.43283,2021-03-30
"28","Burkina Bar, Ciudad de Buenos Aires","martes",15,0,-34.587023,-58.43283,2021-03-30
"29","Burkina Bar, Ciudad de Buenos Aires","martes",16,0.75,-34.587023,-58.43283,2021-03-30
"30","Burkina Bar, Ciudad de Buenos Aires","martes",17,2.25,-34.587023,-58.43283,2021-03-30
