"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","C'est Cool, Ciudad de Buenos Aires","lunes",6,0,-34.592521,-58.387034,2021-03-27
"2","C'est Cool, Ciudad de Buenos Aires","lunes",7,0,-34.592521,-58.387034,2021-03-27
"3","C'est Cool, Ciudad de Buenos Aires","lunes",8,20.25,-34.592521,-58.387034,2021-03-27
"4","C'est Cool, Ciudad de Buenos Aires","lunes",9,33.75,-34.592521,-58.387034,2021-03-27
"5","C'est Cool, Ciudad de Buenos Aires","lunes",10,48.75,-34.592521,-58.387034,2021-03-27
"6","C'est Cool, Ciudad de Buenos Aires","lunes",11,59.25,-34.592521,-58.387034,2021-03-27
"7","C'est Cool, Ciudad de Buenos Aires","lunes",12,60.75,-34.592521,-58.387034,2021-03-27
"8","C'est Cool, Ciudad de Buenos Aires","lunes",13,54,-34.592521,-58.387034,2021-03-27
"9","C'est Cool, Ciudad de Buenos Aires","lunes",14,45.75,-34.592521,-58.387034,2021-03-27
"10","C'est Cool, Ciudad de Buenos Aires","lunes",15,40.5,-34.592521,-58.387034,2021-03-27
"11","C'est Cool, Ciudad de Buenos Aires","lunes",16,39,-34.592521,-58.387034,2021-03-27
"12","C'est Cool, Ciudad de Buenos Aires","lunes",17,39,-34.592521,-58.387034,2021-03-27
"13","C'est Cool, Ciudad de Buenos Aires","lunes",18,37.5,-34.592521,-58.387034,2021-03-27
"14","C'est Cool, Ciudad de Buenos Aires","lunes",19,35.25,-34.592521,-58.387034,2021-03-27
"15","C'est Cool, Ciudad de Buenos Aires","lunes",20,32.25,-34.592521,-58.387034,2021-03-27
"16","C'est Cool, Ciudad de Buenos Aires","lunes",21,28.5,-34.592521,-58.387034,2021-03-27
"17","C'est Cool, Ciudad de Buenos Aires","lunes",22,0,-34.592521,-58.387034,2021-03-27
"18","C'est Cool, Ciudad de Buenos Aires","lunes",23,0,-34.592521,-58.387034,2021-03-27
"19","C'est Cool, Ciudad de Buenos Aires","martes",6,0,-34.592521,-58.387034,2021-03-27
"20","C'est Cool, Ciudad de Buenos Aires","martes",7,0,-34.592521,-58.387034,2021-03-27
"21","C'est Cool, Ciudad de Buenos Aires","martes",8,30,-34.592521,-58.387034,2021-03-27
"22","C'est Cool, Ciudad de Buenos Aires","martes",9,35.25,-34.592521,-58.387034,2021-03-27
"23","C'est Cool, Ciudad de Buenos Aires","martes",10,44.25,-34.592521,-58.387034,2021-03-27
"24","C'est Cool, Ciudad de Buenos Aires","martes",11,57.75,-34.592521,-58.387034,2021-03-27
"25","C'est Cool, Ciudad de Buenos Aires","martes",12,71.25,-34.592521,-58.387034,2021-03-27
"26","C'est Cool, Ciudad de Buenos Aires","martes",13,69.75,-34.592521,-58.387034,2021-03-27
"27","C'est Cool, Ciudad de Buenos Aires","martes",14,59.25,-34.592521,-58.387034,2021-03-27
"28","C'est Cool, Ciudad de Buenos Aires","martes",15,54,-34.592521,-58.387034,2021-03-27
"29","C'est Cool, Ciudad de Buenos Aires","martes",16,52.5,-34.592521,-58.387034,2021-03-27
"30","C'est Cool, Ciudad de Buenos Aires","martes",17,51,-34.592521,-58.387034,2021-03-27
"31","C'est Cool, Ciudad de Buenos Aires","martes",18,47.25,-34.592521,-58.387034,2021-03-27
"32","C'est Cool, Ciudad de Buenos Aires","martes",19,40.5,-34.592521,-58.387034,2021-03-27
"33","C'est Cool, Ciudad de Buenos Aires","martes",20,32.25,-34.592521,-58.387034,2021-03-27
"34","C'est Cool, Ciudad de Buenos Aires","martes",21,23.25,-34.592521,-58.387034,2021-03-27
"35","C'est Cool, Ciudad de Buenos Aires","martes",22,0,-34.592521,-58.387034,2021-03-27
"36","C'est Cool, Ciudad de Buenos Aires","martes",23,0,-34.592521,-58.387034,2021-03-27
"37","C'est Cool, Ciudad de Buenos Aires","miercoles",6,0,-34.592521,-58.387034,2021-03-27
"38","C'est Cool, Ciudad de Buenos Aires","miercoles",7,0,-34.592521,-58.387034,2021-03-27
"39","C'est Cool, Ciudad de Buenos Aires","miercoles",8,32.25,-34.592521,-58.387034,2021-03-27
"40","C'est Cool, Ciudad de Buenos Aires","miercoles",9,42,-34.592521,-58.387034,2021-03-27
"41","C'est Cool, Ciudad de Buenos Aires","miercoles",10,51,-34.592521,-58.387034,2021-03-27
