"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","CONFITERIA LAS ESCLAVAS, Ciudad de Buenos Aires","lunes",6,0,-34.5943317,-58.3903609,2021-03-27
"2","CONFITERIA LAS ESCLAVAS, Ciudad de Buenos Aires","lunes",7,32.25,-34.5943317,-58.3903609,2021-03-27
"3","CONFITERIA LAS ESCLAVAS, Ciudad de Buenos Aires","lunes",8,42.75,-34.5943317,-58.3903609,2021-03-27
"4","CONFITERIA LAS ESCLAVAS, Ciudad de Buenos Aires","lunes",9,42,-34.5943317,-58.3903609,2021-03-27
"5","CONFITERIA LAS ESCLAVAS, Ciudad de Buenos Aires","lunes",10,34.5,-34.5943317,-58.3903609,2021-03-27
"6","CONFITERIA LAS ESCLAVAS, Ciudad de Buenos Aires","lunes",11,30,-34.5943317,-58.3903609,2021-03-27
"7","CONFITERIA LAS ESCLAVAS, Ciudad de Buenos Aires","lunes",12,33.75,-34.5943317,-58.3903609,2021-03-27
"8","CONFITERIA LAS ESCLAVAS, Ciudad de Buenos Aires","lunes",13,35.25,-34.5943317,-58.3903609,2021-03-27
"9","CONFITERIA LAS ESCLAVAS, Ciudad de Buenos Aires","lunes",14,30.75,-34.5943317,-58.3903609,2021-03-27
"10","CONFITERIA LAS ESCLAVAS, Ciudad de Buenos Aires","lunes",15,28.5,-34.5943317,-58.3903609,2021-03-27
"11","CONFITERIA LAS ESCLAVAS, Ciudad de Buenos Aires","lunes",16,36.75,-34.5943317,-58.3903609,2021-03-27
"12","CONFITERIA LAS ESCLAVAS, Ciudad de Buenos Aires","lunes",17,40.5,-34.5943317,-58.3903609,2021-03-27
"13","CONFITERIA LAS ESCLAVAS, Ciudad de Buenos Aires","lunes",18,30.75,-34.5943317,-58.3903609,2021-03-27
"14","CONFITERIA LAS ESCLAVAS, Ciudad de Buenos Aires","lunes",19,0,-34.5943317,-58.3903609,2021-03-27
"15","CONFITERIA LAS ESCLAVAS, Ciudad de Buenos Aires","lunes",20,0,-34.5943317,-58.3903609,2021-03-27
"16","CONFITERIA LAS ESCLAVAS, Ciudad de Buenos Aires","lunes",21,0,-34.5943317,-58.3903609,2021-03-27
"17","CONFITERIA LAS ESCLAVAS, Ciudad de Buenos Aires","lunes",22,0,-34.5943317,-58.3903609,2021-03-27
"18","CONFITERIA LAS ESCLAVAS, Ciudad de Buenos Aires","lunes",23,0,-34.5943317,-58.3903609,2021-03-27
"19","CONFITERIA LAS ESCLAVAS, Ciudad de Buenos Aires","martes",6,0,-34.5943317,-58.3903609,2021-03-27
"20","CONFITERIA LAS ESCLAVAS, Ciudad de Buenos Aires","martes",7,10.5,-34.5943317,-58.3903609,2021-03-27
"21","CONFITERIA LAS ESCLAVAS, Ciudad de Buenos Aires","martes",8,21.75,-34.5943317,-58.3903609,2021-03-27
"22","CONFITERIA LAS ESCLAVAS, Ciudad de Buenos Aires","martes",9,30,-34.5943317,-58.3903609,2021-03-27
"23","CONFITERIA LAS ESCLAVAS, Ciudad de Buenos Aires","martes",10,30.75,-34.5943317,-58.3903609,2021-03-27
"24","CONFITERIA LAS ESCLAVAS, Ciudad de Buenos Aires","martes",11,34.5,-34.5943317,-58.3903609,2021-03-27
