"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Cafe Bar Mar Azul, Ciudad de Buenos Aires","lunes",6,0,-34.6018492,-58.3913971,2021-03-28
"2","Cafe Bar Mar Azul, Ciudad de Buenos Aires","lunes",7,0,-34.6018492,-58.3913971,2021-03-28
"3","Cafe Bar Mar Azul, Ciudad de Buenos Aires","lunes",8,16.5,-34.6018492,-58.3913971,2021-03-28
"4","Cafe Bar Mar Azul, Ciudad de Buenos Aires","lunes",9,39.75,-34.6018492,-58.3913971,2021-03-28
"5","Cafe Bar Mar Azul, Ciudad de Buenos Aires","lunes",10,28.5,-34.6018492,-58.3913971,2021-03-28
"6","Cafe Bar Mar Azul, Ciudad de Buenos Aires","lunes",11,33.75,-34.6018492,-58.3913971,2021-03-28
"7","Cafe Bar Mar Azul, Ciudad de Buenos Aires","lunes",12,45.75,-34.6018492,-58.3913971,2021-03-28
"8","Cafe Bar Mar Azul, Ciudad de Buenos Aires","lunes",13,48.75,-34.6018492,-58.3913971,2021-03-28
"9","Cafe Bar Mar Azul, Ciudad de Buenos Aires","lunes",14,45,-34.6018492,-58.3913971,2021-03-28
"10","Cafe Bar Mar Azul, Ciudad de Buenos Aires","lunes",15,40.5,-34.6018492,-58.3913971,2021-03-28
"11","Cafe Bar Mar Azul, Ciudad de Buenos Aires","lunes",16,38.25,-34.6018492,-58.3913971,2021-03-28
"12","Cafe Bar Mar Azul, Ciudad de Buenos Aires","lunes",17,36.75,-34.6018492,-58.3913971,2021-03-28
"13","Cafe Bar Mar Azul, Ciudad de Buenos Aires","lunes",18,33,-34.6018492,-58.3913971,2021-03-28
"14","Cafe Bar Mar Azul, Ciudad de Buenos Aires","lunes",19,27.75,-34.6018492,-58.3913971,2021-03-28
"15","Cafe Bar Mar Azul, Ciudad de Buenos Aires","lunes",20,0,-34.6018492,-58.3913971,2021-03-28
"16","Cafe Bar Mar Azul, Ciudad de Buenos Aires","lunes",21,0,-34.6018492,-58.3913971,2021-03-28
"17","Cafe Bar Mar Azul, Ciudad de Buenos Aires","lunes",22,0,-34.6018492,-58.3913971,2021-03-28
"18","Cafe Bar Mar Azul, Ciudad de Buenos Aires","lunes",23,0,-34.6018492,-58.3913971,2021-03-28
"19","Cafe Bar Mar Azul, Ciudad de Buenos Aires","martes",6,0,-34.6018492,-58.3913971,2021-03-28
"20","Cafe Bar Mar Azul, Ciudad de Buenos Aires","martes",7,0,-34.6018492,-58.3913971,2021-03-28
"21","Cafe Bar Mar Azul, Ciudad de Buenos Aires","martes",8,23.25,-34.6018492,-58.3913971,2021-03-28
"22","Cafe Bar Mar Azul, Ciudad de Buenos Aires","martes",9,34.5,-34.6018492,-58.3913971,2021-03-28
"23","Cafe Bar Mar Azul, Ciudad de Buenos Aires","martes",10,39.75,-34.6018492,-58.3913971,2021-03-28
"24","Cafe Bar Mar Azul, Ciudad de Buenos Aires","martes",11,40.5,-34.6018492,-58.3913971,2021-03-28
"25","Cafe Bar Mar Azul, Ciudad de Buenos Aires","martes",12,42.75,-34.6018492,-58.3913971,2021-03-28
"26","Cafe Bar Mar Azul, Ciudad de Buenos Aires","martes",13,48,-34.6018492,-58.3913971,2021-03-28
"27","Cafe Bar Mar Azul, Ciudad de Buenos Aires","martes",14,51.75,-34.6018492,-58.3913971,2021-03-28
"28","Cafe Bar Mar Azul, Ciudad de Buenos Aires","martes",15,51,-34.6018492,-58.3913971,2021-03-28
"29","Cafe Bar Mar Azul, Ciudad de Buenos Aires","martes",16,47.25,-34.6018492,-58.3913971,2021-03-28
