"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Cafe Cortazar, Ciudad de Buenos Aires","lunes",6,0,-34.5964414,-58.4198701,2021-03-26
"2","Cafe Cortazar, Ciudad de Buenos Aires","lunes",7,0,-34.5964414,-58.4198701,2021-03-26
"3","Cafe Cortazar, Ciudad de Buenos Aires","lunes",8,6.75,-34.5964414,-58.4198701,2021-03-26
"4","Cafe Cortazar, Ciudad de Buenos Aires","lunes",9,11.25,-34.5964414,-58.4198701,2021-03-26
"5","Cafe Cortazar, Ciudad de Buenos Aires","lunes",10,15.75,-34.5964414,-58.4198701,2021-03-26
"6","Cafe Cortazar, Ciudad de Buenos Aires","lunes",11,20.25,-34.5964414,-58.4198701,2021-03-26
"7","Cafe Cortazar, Ciudad de Buenos Aires","lunes",12,24,-34.5964414,-58.4198701,2021-03-26
"8","Cafe Cortazar, Ciudad de Buenos Aires","lunes",13,27,-34.5964414,-58.4198701,2021-03-26
"9","Cafe Cortazar, Ciudad de Buenos Aires","lunes",14,29.25,-34.5964414,-58.4198701,2021-03-26
"10","Cafe Cortazar, Ciudad de Buenos Aires","lunes",15,30,-34.5964414,-58.4198701,2021-03-26
"11","Cafe Cortazar, Ciudad de Buenos Aires","lunes",16,30.75,-34.5964414,-58.4198701,2021-03-26
"12","Cafe Cortazar, Ciudad de Buenos Aires","lunes",17,31.5,-34.5964414,-58.4198701,2021-03-26
"13","Cafe Cortazar, Ciudad de Buenos Aires","lunes",18,34.5,-34.5964414,-58.4198701,2021-03-26
"14","Cafe Cortazar, Ciudad de Buenos Aires","lunes",19,39,-34.5964414,-58.4198701,2021-03-26
"15","Cafe Cortazar, Ciudad de Buenos Aires","lunes",20,42.75,-34.5964414,-58.4198701,2021-03-26
"16","Cafe Cortazar, Ciudad de Buenos Aires","lunes",21,42.75,-34.5964414,-58.4198701,2021-03-26
"17","Cafe Cortazar, Ciudad de Buenos Aires","lunes",22,36,-34.5964414,-58.4198701,2021-03-26
"18","Cafe Cortazar, Ciudad de Buenos Aires","lunes",23,25.5,-34.5964414,-58.4198701,2021-03-26
"19","Cafe Cortazar, Ciudad de Buenos Aires","martes",6,0,-34.5964414,-58.4198701,2021-03-26
"20","Cafe Cortazar, Ciudad de Buenos Aires","martes",7,0,-34.5964414,-58.4198701,2021-03-26
