"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Cafe Ditali, Ciudad de Buenos Aires","lunes",6,0,-34.5975069,-58.3769937,2021-03-26
"2","Cafe Ditali, Ciudad de Buenos Aires","lunes",7,4.5,-34.5975069,-58.3769937,2021-03-26
"3","Cafe Ditali, Ciudad de Buenos Aires","lunes",8,8.25,-34.5975069,-58.3769937,2021-03-26
"4","Cafe Ditali, Ciudad de Buenos Aires","lunes",9,14.25,-34.5975069,-58.3769937,2021-03-26
"5","Cafe Ditali, Ciudad de Buenos Aires","lunes",10,21.75,-34.5975069,-58.3769937,2021-03-26
"6","Cafe Ditali, Ciudad de Buenos Aires","lunes",11,31.5,-34.5975069,-58.3769937,2021-03-26
"7","Cafe Ditali, Ciudad de Buenos Aires","lunes",12,39.75,-34.5975069,-58.3769937,2021-03-26
"8","Cafe Ditali, Ciudad de Buenos Aires","lunes",13,46.5,-34.5975069,-58.3769937,2021-03-26
"9","Cafe Ditali, Ciudad de Buenos Aires","lunes",14,48,-34.5975069,-58.3769937,2021-03-26
"10","Cafe Ditali, Ciudad de Buenos Aires","lunes",15,45,-34.5975069,-58.3769937,2021-03-26
"11","Cafe Ditali, Ciudad de Buenos Aires","lunes",16,38.25,-34.5975069,-58.3769937,2021-03-26
"12","Cafe Ditali, Ciudad de Buenos Aires","lunes",17,29.25,-34.5975069,-58.3769937,2021-03-26
"13","Cafe Ditali, Ciudad de Buenos Aires","lunes",18,21.75,-34.5975069,-58.3769937,2021-03-26
"14","Cafe Ditali, Ciudad de Buenos Aires","lunes",19,20.25,-34.5975069,-58.3769937,2021-03-26
"15","Cafe Ditali, Ciudad de Buenos Aires","lunes",20,28.5,-34.5975069,-58.3769937,2021-03-26
"16","Cafe Ditali, Ciudad de Buenos Aires","lunes",21,40.5,-34.5975069,-58.3769937,2021-03-26
"17","Cafe Ditali, Ciudad de Buenos Aires","lunes",22,41.25,-34.5975069,-58.3769937,2021-03-26
"18","Cafe Ditali, Ciudad de Buenos Aires","lunes",23,28.5,-34.5975069,-58.3769937,2021-03-26
"19","Cafe Ditali, Ciudad de Buenos Aires","martes",0,12.75,-34.5975069,-58.3769937,2021-03-26
"20","Cafe Ditali, Ciudad de Buenos Aires","martes",6,0,-34.5975069,-58.3769937,2021-03-26
"21","Cafe Ditali, Ciudad de Buenos Aires","martes",7,5.25,-34.5975069,-58.3769937,2021-03-26
"22","Cafe Ditali, Ciudad de Buenos Aires","martes",8,9.75,-34.5975069,-58.3769937,2021-03-26
"23","Cafe Ditali, Ciudad de Buenos Aires","martes",9,16.5,-34.5975069,-58.3769937,2021-03-26
"24","Cafe Ditali, Ciudad de Buenos Aires","martes",10,25.5,-34.5975069,-58.3769937,2021-03-26
"25","Cafe Ditali, Ciudad de Buenos Aires","martes",11,36,-34.5975069,-58.3769937,2021-03-26
"26","Cafe Ditali, Ciudad de Buenos Aires","martes",12,46.5,-34.5975069,-58.3769937,2021-03-26
"27","Cafe Ditali, Ciudad de Buenos Aires","martes",13,52.5,-34.5975069,-58.3769937,2021-03-26
"28","Cafe Ditali, Ciudad de Buenos Aires","martes",14,54,-34.5975069,-58.3769937,2021-03-26
"29","Cafe Ditali, Ciudad de Buenos Aires","martes",15,49.5,-34.5975069,-58.3769937,2021-03-26
