"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Cafe Josephina's, Ciudad de Buenos Aires","lunes",6,0,-34.5925787,-58.3870386,2021-03-26
"2","Cafe Josephina's, Ciudad de Buenos Aires","lunes",7,0,-34.5925787,-58.3870386,2021-03-26
"3","Cafe Josephina's, Ciudad de Buenos Aires","lunes",8,9,-34.5925787,-58.3870386,2021-03-26
"4","Cafe Josephina's, Ciudad de Buenos Aires","lunes",9,20.25,-34.5925787,-58.3870386,2021-03-26
"5","Cafe Josephina's, Ciudad de Buenos Aires","lunes",10,30.75,-34.5925787,-58.3870386,2021-03-26
"6","Cafe Josephina's, Ciudad de Buenos Aires","lunes",11,38.25,-34.5925787,-58.3870386,2021-03-26
"7","Cafe Josephina's, Ciudad de Buenos Aires","lunes",12,40.5,-34.5925787,-58.3870386,2021-03-26
"8","Cafe Josephina's, Ciudad de Buenos Aires","lunes",13,39.75,-34.5925787,-58.3870386,2021-03-26
"9","Cafe Josephina's, Ciudad de Buenos Aires","lunes",14,39.75,-34.5925787,-58.3870386,2021-03-26
"10","Cafe Josephina's, Ciudad de Buenos Aires","lunes",15,45.75,-34.5925787,-58.3870386,2021-03-26
"11","Cafe Josephina's, Ciudad de Buenos Aires","lunes",16,56.25,-34.5925787,-58.3870386,2021-03-26
"12","Cafe Josephina's, Ciudad de Buenos Aires","lunes",17,65.25,-34.5925787,-58.3870386,2021-03-26
"13","Cafe Josephina's, Ciudad de Buenos Aires","lunes",18,67.5,-34.5925787,-58.3870386,2021-03-26
"14","Cafe Josephina's, Ciudad de Buenos Aires","lunes",19,62.25,-34.5925787,-58.3870386,2021-03-26
"15","Cafe Josephina's, Ciudad de Buenos Aires","lunes",20,52.5,-34.5925787,-58.3870386,2021-03-26
"16","Cafe Josephina's, Ciudad de Buenos Aires","lunes",21,41.25,-34.5925787,-58.3870386,2021-03-26
"17","Cafe Josephina's, Ciudad de Buenos Aires","lunes",22,30.75,-34.5925787,-58.3870386,2021-03-26
"18","Cafe Josephina's, Ciudad de Buenos Aires","lunes",23,20.25,-34.5925787,-58.3870386,2021-03-26
"19","Cafe Josephina's, Ciudad de Buenos Aires","martes",6,0,-34.5925787,-58.3870386,2021-03-26
