"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Cafe La Humedad, Ciudad de Buenos Aires","lunes",6,0,-34.6211052,-58.4011764,2021-03-28
"2","Cafe La Humedad, Ciudad de Buenos Aires","lunes",7,0,-34.6211052,-58.4011764,2021-03-28
"3","Cafe La Humedad, Ciudad de Buenos Aires","lunes",8,0,-34.6211052,-58.4011764,2021-03-28
"4","Cafe La Humedad, Ciudad de Buenos Aires","lunes",9,0,-34.6211052,-58.4011764,2021-03-28
"5","Cafe La Humedad, Ciudad de Buenos Aires","lunes",10,3,-34.6211052,-58.4011764,2021-03-28
"6","Cafe La Humedad, Ciudad de Buenos Aires","lunes",11,10.5,-34.6211052,-58.4011764,2021-03-28
"7","Cafe La Humedad, Ciudad de Buenos Aires","lunes",12,17.25,-34.6211052,-58.4011764,2021-03-28
"8","Cafe La Humedad, Ciudad de Buenos Aires","lunes",13,28.5,-34.6211052,-58.4011764,2021-03-28
"9","Cafe La Humedad, Ciudad de Buenos Aires","lunes",14,39,-34.6211052,-58.4011764,2021-03-28
"10","Cafe La Humedad, Ciudad de Buenos Aires","lunes",15,45.75,-34.6211052,-58.4011764,2021-03-28
"11","Cafe La Humedad, Ciudad de Buenos Aires","lunes",16,45.75,-34.6211052,-58.4011764,2021-03-28
"12","Cafe La Humedad, Ciudad de Buenos Aires","lunes",17,42.75,-34.6211052,-58.4011764,2021-03-28
"13","Cafe La Humedad, Ciudad de Buenos Aires","lunes",18,31.5,-34.6211052,-58.4011764,2021-03-28
"14","Cafe La Humedad, Ciudad de Buenos Aires","lunes",19,21,-34.6211052,-58.4011764,2021-03-28
"15","Cafe La Humedad, Ciudad de Buenos Aires","lunes",20,0,-34.6211052,-58.4011764,2021-03-28
"16","Cafe La Humedad, Ciudad de Buenos Aires","lunes",21,0,-34.6211052,-58.4011764,2021-03-28
"17","Cafe La Humedad, Ciudad de Buenos Aires","lunes",22,0,-34.6211052,-58.4011764,2021-03-28
"18","Cafe La Humedad, Ciudad de Buenos Aires","lunes",23,0,-34.6211052,-58.4011764,2021-03-28
"19","Cafe La Humedad, Ciudad de Buenos Aires","martes",6,0,-34.6211052,-58.4011764,2021-03-28
"20","Cafe La Humedad, Ciudad de Buenos Aires","martes",7,0,-34.6211052,-58.4011764,2021-03-28
"21","Cafe La Humedad, Ciudad de Buenos Aires","martes",8,0,-34.6211052,-58.4011764,2021-03-28
"22","Cafe La Humedad, Ciudad de Buenos Aires","martes",9,0,-34.6211052,-58.4011764,2021-03-28
"23","Cafe La Humedad, Ciudad de Buenos Aires","martes",10,14.25,-34.6211052,-58.4011764,2021-03-28
"24","Cafe La Humedad, Ciudad de Buenos Aires","martes",11,28.5,-34.6211052,-58.4011764,2021-03-28
"25","Cafe La Humedad, Ciudad de Buenos Aires","martes",12,31.5,-34.6211052,-58.4011764,2021-03-28
"26","Cafe La Humedad, Ciudad de Buenos Aires","martes",13,17.25,-34.6211052,-58.4011764,2021-03-28
"27","Cafe La Humedad, Ciudad de Buenos Aires","martes",14,6.75,-34.6211052,-58.4011764,2021-03-28
"28","Cafe La Humedad, Ciudad de Buenos Aires","martes",15,6.75,-34.6211052,-58.4011764,2021-03-28
"29","Cafe La Humedad, Ciudad de Buenos Aires","martes",16,21,-34.6211052,-58.4011764,2021-03-28
"30","Cafe La Humedad, Ciudad de Buenos Aires","martes",17,39,-34.6211052,-58.4011764,2021-03-28
"31","Cafe La Humedad, Ciudad de Buenos Aires","martes",18,49.5,-34.6211052,-58.4011764,2021-03-28
"32","Cafe La Humedad, Ciudad de Buenos Aires","martes",19,45.75,-34.6211052,-58.4011764,2021-03-28
"33","Cafe La Humedad, Ciudad de Buenos Aires","martes",20,0,-34.6211052,-58.4011764,2021-03-28
"34","Cafe La Humedad, Ciudad de Buenos Aires","martes",21,0,-34.6211052,-58.4011764,2021-03-28
"35","Cafe La Humedad, Ciudad de Buenos Aires","martes",22,0,-34.6211052,-58.4011764,2021-03-28
"36","Cafe La Humedad, Ciudad de Buenos Aires","martes",23,0,-34.6211052,-58.4011764,2021-03-28
"37","Cafe La Humedad, Ciudad de Buenos Aires","miercoles",6,0,-34.6211052,-58.4011764,2021-03-28
"38","Cafe La Humedad, Ciudad de Buenos Aires","miercoles",7,0,-34.6211052,-58.4011764,2021-03-28
"39","Cafe La Humedad, Ciudad de Buenos Aires","miercoles",8,0,-34.6211052,-58.4011764,2021-03-28
"40","Cafe La Humedad, Ciudad de Buenos Aires","miercoles",9,0,-34.6211052,-58.4011764,2021-03-28
"41","Cafe La Humedad, Ciudad de Buenos Aires","miercoles",10,6.75,-34.6211052,-58.4011764,2021-03-28
"42","Cafe La Humedad, Ciudad de Buenos Aires","miercoles",11,17.25,-34.6211052,-58.4011764,2021-03-28
"43","Cafe La Humedad, Ciudad de Buenos Aires","miercoles",12,35.25,-34.6211052,-58.4011764,2021-03-28
"44","Cafe La Humedad, Ciudad de Buenos Aires","miercoles",13,49.5,-34.6211052,-58.4011764,2021-03-28
"45","Cafe La Humedad, Ciudad de Buenos Aires","miercoles",14,63.75,-34.6211052,-58.4011764,2021-03-28
"46","Cafe La Humedad, Ciudad de Buenos Aires","miercoles",15,75,-34.6211052,-58.4011764,2021-03-28
"47","Cafe La Humedad, Ciudad de Buenos Aires","miercoles",16,75,-34.6211052,-58.4011764,2021-03-28
"48","Cafe La Humedad, Ciudad de Buenos Aires","miercoles",17,67.5,-34.6211052,-58.4011764,2021-03-28
"49","Cafe La Humedad, Ciudad de Buenos Aires","miercoles",18,53.25,-34.6211052,-58.4011764,2021-03-28
"50","Cafe La Humedad, Ciudad de Buenos Aires","miercoles",19,39,-34.6211052,-58.4011764,2021-03-28
"51","Cafe La Humedad, Ciudad de Buenos Aires","miercoles",20,0,-34.6211052,-58.4011764,2021-03-28
"52","Cafe La Humedad, Ciudad de Buenos Aires","miercoles",21,0,-34.6211052,-58.4011764,2021-03-28
"53","Cafe La Humedad, Ciudad de Buenos Aires","miercoles",22,0,-34.6211052,-58.4011764,2021-03-28
"54","Cafe La Humedad, Ciudad de Buenos Aires","miercoles",23,0,-34.6211052,-58.4011764,2021-03-28
"55","Cafe La Humedad, Ciudad de Buenos Aires","jueves",6,0,-34.6211052,-58.4011764,2021-03-28
"56","Cafe La Humedad, Ciudad de Buenos Aires","jueves",7,0,-34.6211052,-58.4011764,2021-03-28
"57","Cafe La Humedad, Ciudad de Buenos Aires","jueves",8,0,-34.6211052,-58.4011764,2021-03-28
"58","Cafe La Humedad, Ciudad de Buenos Aires","jueves",9,0,-34.6211052,-58.4011764,2021-03-28
"59","Cafe La Humedad, Ciudad de Buenos Aires","jueves",10,0,-34.6211052,-58.4011764,2021-03-28
"60","Cafe La Humedad, Ciudad de Buenos Aires","jueves",11,0,-34.6211052,-58.4011764,2021-03-28
"61","Cafe La Humedad, Ciudad de Buenos Aires","jueves",12,0,-34.6211052,-58.4011764,2021-03-28
"62","Cafe La Humedad, Ciudad de Buenos Aires","jueves",13,0,-34.6211052,-58.4011764,2021-03-28
"63","Cafe La Humedad, Ciudad de Buenos Aires","jueves",14,0,-34.6211052,-58.4011764,2021-03-28
"64","Cafe La Humedad, Ciudad de Buenos Aires","jueves",15,0,-34.6211052,-58.4011764,2021-03-28
"65","Cafe La Humedad, Ciudad de Buenos Aires","jueves",16,0,-34.6211052,-58.4011764,2021-03-28
"66","Cafe La Humedad, Ciudad de Buenos Aires","jueves",17,0,-34.6211052,-58.4011764,2021-03-28
"67","Cafe La Humedad, Ciudad de Buenos Aires","jueves",18,0,-34.6211052,-58.4011764,2021-03-28
"68","Cafe La Humedad, Ciudad de Buenos Aires","jueves",19,0,-34.6211052,-58.4011764,2021-03-28
"69","Cafe La Humedad, Ciudad de Buenos Aires","jueves",20,0,-34.6211052,-58.4011764,2021-03-28
"70","Cafe La Humedad, Ciudad de Buenos Aires","jueves",21,3,-34.6211052,-58.4011764,2021-03-28
"71","Cafe La Humedad, Ciudad de Buenos Aires","jueves",22,3,-34.6211052,-58.4011764,2021-03-28
"72","Cafe La Humedad, Ciudad de Buenos Aires","jueves",23,10.5,-34.6211052,-58.4011764,2021-03-28
"73","Cafe La Humedad, Ciudad de Buenos Aires","viernes",6,0,-34.6211052,-58.4011764,2021-03-28
"74","Cafe La Humedad, Ciudad de Buenos Aires","viernes",7,0,-34.6211052,-58.4011764,2021-03-28
"75","Cafe La Humedad, Ciudad de Buenos Aires","viernes",8,0,-34.6211052,-58.4011764,2021-03-28
"76","Cafe La Humedad, Ciudad de Buenos Aires","viernes",9,0,-34.6211052,-58.4011764,2021-03-28
"77","Cafe La Humedad, Ciudad de Buenos Aires","viernes",10,0,-34.6211052,-58.4011764,2021-03-28
"78","Cafe La Humedad, Ciudad de Buenos Aires","viernes",11,0,-34.6211052,-58.4011764,2021-03-28
"79","Cafe La Humedad, Ciudad de Buenos Aires","viernes",12,0,-34.6211052,-58.4011764,2021-03-28
"80","Cafe La Humedad, Ciudad de Buenos Aires","viernes",13,0,-34.6211052,-58.4011764,2021-03-28
"81","Cafe La Humedad, Ciudad de Buenos Aires","viernes",14,0,-34.6211052,-58.4011764,2021-03-28
"82","Cafe La Humedad, Ciudad de Buenos Aires","viernes",15,0,-34.6211052,-58.4011764,2021-03-28
"83","Cafe La Humedad, Ciudad de Buenos Aires","viernes",16,0,-34.6211052,-58.4011764,2021-03-28
"84","Cafe La Humedad, Ciudad de Buenos Aires","viernes",17,0,-34.6211052,-58.4011764,2021-03-28
"85","Cafe La Humedad, Ciudad de Buenos Aires","viernes",18,0,-34.6211052,-58.4011764,2021-03-28
"86","Cafe La Humedad, Ciudad de Buenos Aires","viernes",19,0,-34.6211052,-58.4011764,2021-03-28
"87","Cafe La Humedad, Ciudad de Buenos Aires","viernes",20,0,-34.6211052,-58.4011764,2021-03-28
"88","Cafe La Humedad, Ciudad de Buenos Aires","viernes",21,35.25,-34.6211052,-58.4011764,2021-03-28
"89","Cafe La Humedad, Ciudad de Buenos Aires","viernes",22,39,-34.6211052,-58.4011764,2021-03-28
"90","Cafe La Humedad, Ciudad de Buenos Aires","viernes",23,35.25,-34.6211052,-58.4011764,2021-03-28
"91","Cafe La Humedad, Ciudad de Buenos Aires","sabado",0,31.5,-34.6211052,-58.4011764,2021-03-28
"92","Cafe La Humedad, Ciudad de Buenos Aires","sabado",1,17.25,-34.6211052,-58.4011764,2021-03-28
"93","Cafe La Humedad, Ciudad de Buenos Aires","sabado",6,0,-34.6211052,-58.4011764,2021-03-28
"94","Cafe La Humedad, Ciudad de Buenos Aires","sabado",7,0,-34.6211052,-58.4011764,2021-03-28
"95","Cafe La Humedad, Ciudad de Buenos Aires","sabado",8,0,-34.6211052,-58.4011764,2021-03-28
"96","Cafe La Humedad, Ciudad de Buenos Aires","sabado",9,0,-34.6211052,-58.4011764,2021-03-28
"97","Cafe La Humedad, Ciudad de Buenos Aires","sabado",10,0,-34.6211052,-58.4011764,2021-03-28
"98","Cafe La Humedad, Ciudad de Buenos Aires","sabado",11,0,-34.6211052,-58.4011764,2021-03-28
"99","Cafe La Humedad, Ciudad de Buenos Aires","sabado",12,0,-34.6211052,-58.4011764,2021-03-28
"100","Cafe La Humedad, Ciudad de Buenos Aires","sabado",13,0,-34.6211052,-58.4011764,2021-03-28
"101","Cafe La Humedad, Ciudad de Buenos Aires","sabado",14,0,-34.6211052,-58.4011764,2021-03-28
"102","Cafe La Humedad, Ciudad de Buenos Aires","sabado",15,0,-34.6211052,-58.4011764,2021-03-28
"103","Cafe La Humedad, Ciudad de Buenos Aires","sabado",16,0,-34.6211052,-58.4011764,2021-03-28
"104","Cafe La Humedad, Ciudad de Buenos Aires","sabado",17,0,-34.6211052,-58.4011764,2021-03-28
"105","Cafe La Humedad, Ciudad de Buenos Aires","sabado",18,0,-34.6211052,-58.4011764,2021-03-28
"106","Cafe La Humedad, Ciudad de Buenos Aires","sabado",19,0,-34.6211052,-58.4011764,2021-03-28
"107","Cafe La Humedad, Ciudad de Buenos Aires","sabado",20,0,-34.6211052,-58.4011764,2021-03-28
"108","Cafe La Humedad, Ciudad de Buenos Aires","sabado",21,31.5,-34.6211052,-58.4011764,2021-03-28
"109","Cafe La Humedad, Ciudad de Buenos Aires","sabado",22,53.25,-34.6211052,-58.4011764,2021-03-28
"110","Cafe La Humedad, Ciudad de Buenos Aires","sabado",23,63.75,-34.6211052,-58.4011764,2021-03-28
"111","Cafe La Humedad, Ciudad de Buenos Aires","domingo",0,63.75,-34.6211052,-58.4011764,2021-03-28
"112","Cafe La Humedad, Ciudad de Buenos Aires","domingo",1,53.25,-34.6211052,-58.4011764,2021-03-28
