"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Cafe Metro Bar, Ciudad de Buenos Aires","lunes",6,0,-34.6022368,-58.3825282,2021-03-26
"2","Cafe Metro Bar, Ciudad de Buenos Aires","lunes",7,39,-34.6022368,-58.3825282,2021-03-26
"3","Cafe Metro Bar, Ciudad de Buenos Aires","lunes",8,49.5,-34.6022368,-58.3825282,2021-03-26
"4","Cafe Metro Bar, Ciudad de Buenos Aires","lunes",9,60,-34.6022368,-58.3825282,2021-03-26
"5","Cafe Metro Bar, Ciudad de Buenos Aires","lunes",10,71.25,-34.6022368,-58.3825282,2021-03-26
"6","Cafe Metro Bar, Ciudad de Buenos Aires","lunes",11,75,-34.6022368,-58.3825282,2021-03-26
"7","Cafe Metro Bar, Ciudad de Buenos Aires","lunes",12,75,-34.6022368,-58.3825282,2021-03-26
"8","Cafe Metro Bar, Ciudad de Buenos Aires","lunes",13,67.5,-34.6022368,-58.3825282,2021-03-26
"9","Cafe Metro Bar, Ciudad de Buenos Aires","lunes",14,60,-34.6022368,-58.3825282,2021-03-26
"10","Cafe Metro Bar, Ciudad de Buenos Aires","lunes",15,45.75,-34.6022368,-58.3825282,2021-03-26
"11","Cafe Metro Bar, Ciudad de Buenos Aires","lunes",16,35.25,-34.6022368,-58.3825282,2021-03-26
"12","Cafe Metro Bar, Ciudad de Buenos Aires","lunes",17,24.75,-34.6022368,-58.3825282,2021-03-26
"13","Cafe Metro Bar, Ciudad de Buenos Aires","lunes",18,17.25,-34.6022368,-58.3825282,2021-03-26
"14","Cafe Metro Bar, Ciudad de Buenos Aires","lunes",19,10.5,-34.6022368,-58.3825282,2021-03-26
"15","Cafe Metro Bar, Ciudad de Buenos Aires","lunes",20,6.75,-34.6022368,-58.3825282,2021-03-26
"16","Cafe Metro Bar, Ciudad de Buenos Aires","lunes",21,0,-34.6022368,-58.3825282,2021-03-26
"17","Cafe Metro Bar, Ciudad de Buenos Aires","lunes",22,0,-34.6022368,-58.3825282,2021-03-26
"18","Cafe Metro Bar, Ciudad de Buenos Aires","lunes",23,0,-34.6022368,-58.3825282,2021-03-26
"19","Cafe Metro Bar, Ciudad de Buenos Aires","martes",6,0,-34.6022368,-58.3825282,2021-03-26
"20","Cafe Metro Bar, Ciudad de Buenos Aires","martes",7,31.5,-34.6022368,-58.3825282,2021-03-26
"21","Cafe Metro Bar, Ciudad de Buenos Aires","martes",8,45.75,-34.6022368,-58.3825282,2021-03-26
"22","Cafe Metro Bar, Ciudad de Buenos Aires","martes",9,28.5,-34.6022368,-58.3825282,2021-03-26
"23","Cafe Metro Bar, Ciudad de Buenos Aires","martes",10,24.75,-34.6022368,-58.3825282,2021-03-26
"24","Cafe Metro Bar, Ciudad de Buenos Aires","martes",11,39,-34.6022368,-58.3825282,2021-03-26
"25","Cafe Metro Bar, Ciudad de Buenos Aires","martes",12,53.25,-34.6022368,-58.3825282,2021-03-26
"26","Cafe Metro Bar, Ciudad de Buenos Aires","martes",13,60,-34.6022368,-58.3825282,2021-03-26
"27","Cafe Metro Bar, Ciudad de Buenos Aires","martes",14,49.5,-34.6022368,-58.3825282,2021-03-26
"28","Cafe Metro Bar, Ciudad de Buenos Aires","martes",15,35.25,-34.6022368,-58.3825282,2021-03-26
"29","Cafe Metro Bar, Ciudad de Buenos Aires","martes",16,24.75,-34.6022368,-58.3825282,2021-03-26
"30","Cafe Metro Bar, Ciudad de Buenos Aires","martes",17,17.25,-34.6022368,-58.3825282,2021-03-26
"31","Cafe Metro Bar, Ciudad de Buenos Aires","martes",18,14.25,-34.6022368,-58.3825282,2021-03-26
"32","Cafe Metro Bar, Ciudad de Buenos Aires","martes",19,14.25,-34.6022368,-58.3825282,2021-03-26
"33","Cafe Metro Bar, Ciudad de Buenos Aires","martes",20,14.25,-34.6022368,-58.3825282,2021-03-26
"34","Cafe Metro Bar, Ciudad de Buenos Aires","martes",21,10.5,-34.6022368,-58.3825282,2021-03-26
"35","Cafe Metro Bar, Ciudad de Buenos Aires","martes",22,10.5,-34.6022368,-58.3825282,2021-03-26
"36","Cafe Metro Bar, Ciudad de Buenos Aires","martes",23,6.75,-34.6022368,-58.3825282,2021-03-26
"37","Cafe Metro Bar, Ciudad de Buenos Aires","miercoles",6,0,-34.6022368,-58.3825282,2021-03-26
"38","Cafe Metro Bar, Ciudad de Buenos Aires","miercoles",7,35.25,-34.6022368,-58.3825282,2021-03-26
"39","Cafe Metro Bar, Ciudad de Buenos Aires","miercoles",8,49.5,-34.6022368,-58.3825282,2021-03-26
"40","Cafe Metro Bar, Ciudad de Buenos Aires","miercoles",9,49.5,-34.6022368,-58.3825282,2021-03-26
"41","Cafe Metro Bar, Ciudad de Buenos Aires","miercoles",10,35.25,-34.6022368,-58.3825282,2021-03-26
"42","Cafe Metro Bar, Ciudad de Buenos Aires","miercoles",11,24.75,-34.6022368,-58.3825282,2021-03-26
"43","Cafe Metro Bar, Ciudad de Buenos Aires","miercoles",12,28.5,-34.6022368,-58.3825282,2021-03-26
"44","Cafe Metro Bar, Ciudad de Buenos Aires","miercoles",13,39,-34.6022368,-58.3825282,2021-03-26
"45","Cafe Metro Bar, Ciudad de Buenos Aires","miercoles",14,45.75,-34.6022368,-58.3825282,2021-03-26
"46","Cafe Metro Bar, Ciudad de Buenos Aires","miercoles",15,42.75,-34.6022368,-58.3825282,2021-03-26
"47","Cafe Metro Bar, Ciudad de Buenos Aires","miercoles",16,31.5,-34.6022368,-58.3825282,2021-03-26
"48","Cafe Metro Bar, Ciudad de Buenos Aires","miercoles",17,21,-34.6022368,-58.3825282,2021-03-26
"49","Cafe Metro Bar, Ciudad de Buenos Aires","miercoles",18,17.25,-34.6022368,-58.3825282,2021-03-26
"50","Cafe Metro Bar, Ciudad de Buenos Aires","miercoles",19,14.25,-34.6022368,-58.3825282,2021-03-26
"51","Cafe Metro Bar, Ciudad de Buenos Aires","miercoles",20,14.25,-34.6022368,-58.3825282,2021-03-26
"52","Cafe Metro Bar, Ciudad de Buenos Aires","miercoles",21,10.5,-34.6022368,-58.3825282,2021-03-26
"53","Cafe Metro Bar, Ciudad de Buenos Aires","miercoles",22,10.5,-34.6022368,-58.3825282,2021-03-26
"54","Cafe Metro Bar, Ciudad de Buenos Aires","miercoles",23,10.5,-34.6022368,-58.3825282,2021-03-26
"55","Cafe Metro Bar, Ciudad de Buenos Aires","jueves",6,0,-34.6022368,-58.3825282,2021-03-26
"56","Cafe Metro Bar, Ciudad de Buenos Aires","jueves",7,28.5,-34.6022368,-58.3825282,2021-03-26
"57","Cafe Metro Bar, Ciudad de Buenos Aires","jueves",8,39,-34.6022368,-58.3825282,2021-03-26
"58","Cafe Metro Bar, Ciudad de Buenos Aires","jueves",9,42.75,-34.6022368,-58.3825282,2021-03-26
"59","Cafe Metro Bar, Ciudad de Buenos Aires","jueves",10,39,-34.6022368,-58.3825282,2021-03-26
"60","Cafe Metro Bar, Ciudad de Buenos Aires","jueves",11,35.25,-34.6022368,-58.3825282,2021-03-26
"61","Cafe Metro Bar, Ciudad de Buenos Aires","jueves",12,28.5,-34.6022368,-58.3825282,2021-03-26
"62","Cafe Metro Bar, Ciudad de Buenos Aires","jueves",13,35.25,-34.6022368,-58.3825282,2021-03-26
"63","Cafe Metro Bar, Ciudad de Buenos Aires","jueves",14,53.25,-34.6022368,-58.3825282,2021-03-26
"64","Cafe Metro Bar, Ciudad de Buenos Aires","jueves",15,49.5,-34.6022368,-58.3825282,2021-03-26
"65","Cafe Metro Bar, Ciudad de Buenos Aires","jueves",16,24.75,-34.6022368,-58.3825282,2021-03-26
"66","Cafe Metro Bar, Ciudad de Buenos Aires","jueves",17,6.75,-34.6022368,-58.3825282,2021-03-26
"67","Cafe Metro Bar, Ciudad de Buenos Aires","jueves",18,3,-34.6022368,-58.3825282,2021-03-26
"68","Cafe Metro Bar, Ciudad de Buenos Aires","jueves",19,6.75,-34.6022368,-58.3825282,2021-03-26
"69","Cafe Metro Bar, Ciudad de Buenos Aires","jueves",20,6.75,-34.6022368,-58.3825282,2021-03-26
"70","Cafe Metro Bar, Ciudad de Buenos Aires","jueves",21,10.5,-34.6022368,-58.3825282,2021-03-26
"71","Cafe Metro Bar, Ciudad de Buenos Aires","jueves",22,10.5,-34.6022368,-58.3825282,2021-03-26
"72","Cafe Metro Bar, Ciudad de Buenos Aires","jueves",23,10.5,-34.6022368,-58.3825282,2021-03-26
"73","Cafe Metro Bar, Ciudad de Buenos Aires","viernes",6,0,-34.6022368,-58.3825282,2021-03-26
"74","Cafe Metro Bar, Ciudad de Buenos Aires","viernes",7,14.25,-34.6022368,-58.3825282,2021-03-26
"75","Cafe Metro Bar, Ciudad de Buenos Aires","viernes",8,17.25,-34.6022368,-58.3825282,2021-03-26
"76","Cafe Metro Bar, Ciudad de Buenos Aires","viernes",9,21,-34.6022368,-58.3825282,2021-03-26
"77","Cafe Metro Bar, Ciudad de Buenos Aires","viernes",10,21,-34.6022368,-58.3825282,2021-03-26
