"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Cafe Terranova, Ciudad de Buenos Aires","lunes",6,0,-34.6006507,-58.4358802,2021-03-30
"2","Cafe Terranova, Ciudad de Buenos Aires","lunes",7,11.25,-34.6006507,-58.4358802,2021-03-30
"3","Cafe Terranova, Ciudad de Buenos Aires","lunes",8,20.25,-34.6006507,-58.4358802,2021-03-30
"4","Cafe Terranova, Ciudad de Buenos Aires","lunes",9,30.75,-34.6006507,-58.4358802,2021-03-30
"5","Cafe Terranova, Ciudad de Buenos Aires","lunes",10,38.25,-34.6006507,-58.4358802,2021-03-30
"6","Cafe Terranova, Ciudad de Buenos Aires","lunes",11,40.5,-34.6006507,-58.4358802,2021-03-30
"7","Cafe Terranova, Ciudad de Buenos Aires","lunes",12,39,-34.6006507,-58.4358802,2021-03-30
"8","Cafe Terranova, Ciudad de Buenos Aires","lunes",13,35.25,-34.6006507,-58.4358802,2021-03-30
"9","Cafe Terranova, Ciudad de Buenos Aires","lunes",14,32.25,-34.6006507,-58.4358802,2021-03-30
"10","Cafe Terranova, Ciudad de Buenos Aires","lunes",15,32.25,-34.6006507,-58.4358802,2021-03-30
"11","Cafe Terranova, Ciudad de Buenos Aires","lunes",16,35.25,-34.6006507,-58.4358802,2021-03-30
"12","Cafe Terranova, Ciudad de Buenos Aires","lunes",17,37.5,-34.6006507,-58.4358802,2021-03-30
"13","Cafe Terranova, Ciudad de Buenos Aires","lunes",18,34.5,-34.6006507,-58.4358802,2021-03-30
"14","Cafe Terranova, Ciudad de Buenos Aires","lunes",19,26.25,-34.6006507,-58.4358802,2021-03-30
"15","Cafe Terranova, Ciudad de Buenos Aires","lunes",20,15,-34.6006507,-58.4358802,2021-03-30
"16","Cafe Terranova, Ciudad de Buenos Aires","lunes",21,0,-34.6006507,-58.4358802,2021-03-30
"17","Cafe Terranova, Ciudad de Buenos Aires","lunes",22,0,-34.6006507,-58.4358802,2021-03-30
"18","Cafe Terranova, Ciudad de Buenos Aires","lunes",23,0,-34.6006507,-58.4358802,2021-03-30
"19","Cafe Terranova, Ciudad de Buenos Aires","martes",6,0,-34.6006507,-58.4358802,2021-03-30
"20","Cafe Terranova, Ciudad de Buenos Aires","martes",7,12,-34.6006507,-58.4358802,2021-03-30
"21","Cafe Terranova, Ciudad de Buenos Aires","martes",8,23.25,-34.6006507,-58.4358802,2021-03-30
"22","Cafe Terranova, Ciudad de Buenos Aires","martes",9,39,-34.6006507,-58.4358802,2021-03-30
"23","Cafe Terranova, Ciudad de Buenos Aires","martes",10,51.75,-34.6006507,-58.4358802,2021-03-30
"24","Cafe Terranova, Ciudad de Buenos Aires","martes",11,54.75,-34.6006507,-58.4358802,2021-03-30
"25","Cafe Terranova, Ciudad de Buenos Aires","martes",12,46.5,-34.6006507,-58.4358802,2021-03-30
"26","Cafe Terranova, Ciudad de Buenos Aires","martes",13,33,-34.6006507,-58.4358802,2021-03-30
"27","Cafe Terranova, Ciudad de Buenos Aires","martes",14,19.5,-34.6006507,-58.4358802,2021-03-30
"28","Cafe Terranova, Ciudad de Buenos Aires","martes",15,15.75,-34.6006507,-58.4358802,2021-03-30
"29","Cafe Terranova, Ciudad de Buenos Aires","martes",16,28.5,-34.6006507,-58.4358802,2021-03-30
"30","Cafe Terranova, Ciudad de Buenos Aires","martes",17,51,-34.6006507,-58.4358802,2021-03-30
"31","Cafe Terranova, Ciudad de Buenos Aires","martes",18,61.5,-34.6006507,-58.4358802,2021-03-30
"32","Cafe Terranova, Ciudad de Buenos Aires","martes",19,45.75,-34.6006507,-58.4358802,2021-03-30
"33","Cafe Terranova, Ciudad de Buenos Aires","martes",20,21,-34.6006507,-58.4358802,2021-03-30
"34","Cafe Terranova, Ciudad de Buenos Aires","martes",21,0,-34.6006507,-58.4358802,2021-03-30
"35","Cafe Terranova, Ciudad de Buenos Aires","martes",22,0,-34.6006507,-58.4358802,2021-03-30
"36","Cafe Terranova, Ciudad de Buenos Aires","martes",23,0,-34.6006507,-58.4358802,2021-03-30
"37","Cafe Terranova, Ciudad de Buenos Aires","miercoles",6,0,-34.6006507,-58.4358802,2021-03-30
