"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Café Olimpo, Ciudad de Buenos Aires","lunes",6,0,-34.626854,-58.5182752,2021-03-29
"2","Café Olimpo, Ciudad de Buenos Aires","lunes",7,5.25,-34.626854,-58.5182752,2021-03-29
"3","Café Olimpo, Ciudad de Buenos Aires","lunes",8,22.5,-34.626854,-58.5182752,2021-03-29
"4","Café Olimpo, Ciudad de Buenos Aires","lunes",9,11.25,-34.626854,-58.5182752,2021-03-29
"5","Café Olimpo, Ciudad de Buenos Aires","lunes",10,25.5,-34.626854,-58.5182752,2021-03-29
"6","Café Olimpo, Ciudad de Buenos Aires","lunes",11,63,-34.626854,-58.5182752,2021-03-29
"7","Café Olimpo, Ciudad de Buenos Aires","lunes",12,60,-34.626854,-58.5182752,2021-03-29
"8","Café Olimpo, Ciudad de Buenos Aires","lunes",13,19.5,-34.626854,-58.5182752,2021-03-29
"9","Café Olimpo, Ciudad de Buenos Aires","lunes",14,8.25,-34.626854,-58.5182752,2021-03-29
"10","Café Olimpo, Ciudad de Buenos Aires","lunes",15,11.25,-34.626854,-58.5182752,2021-03-29
"11","Café Olimpo, Ciudad de Buenos Aires","lunes",16,14.25,-34.626854,-58.5182752,2021-03-29
"12","Café Olimpo, Ciudad de Buenos Aires","lunes",17,19.5,-34.626854,-58.5182752,2021-03-29
"13","Café Olimpo, Ciudad de Buenos Aires","lunes",18,25.5,-34.626854,-58.5182752,2021-03-29
"14","Café Olimpo, Ciudad de Buenos Aires","lunes",19,31.5,-34.626854,-58.5182752,2021-03-29
"15","Café Olimpo, Ciudad de Buenos Aires","lunes",20,0,-34.626854,-58.5182752,2021-03-29
"16","Café Olimpo, Ciudad de Buenos Aires","lunes",21,0,-34.626854,-58.5182752,2021-03-29
"17","Café Olimpo, Ciudad de Buenos Aires","lunes",22,0,-34.626854,-58.5182752,2021-03-29
"18","Café Olimpo, Ciudad de Buenos Aires","lunes",23,0,-34.626854,-58.5182752,2021-03-29
"19","Café Olimpo, Ciudad de Buenos Aires","martes",6,0,-34.626854,-58.5182752,2021-03-29
"20","Café Olimpo, Ciudad de Buenos Aires","martes",7,8.25,-34.626854,-58.5182752,2021-03-29
"21","Café Olimpo, Ciudad de Buenos Aires","martes",8,19.5,-34.626854,-58.5182752,2021-03-29
"22","Café Olimpo, Ciudad de Buenos Aires","martes",9,34.5,-34.626854,-58.5182752,2021-03-29
"23","Café Olimpo, Ciudad de Buenos Aires","martes",10,45.75,-34.626854,-58.5182752,2021-03-29
"24","Café Olimpo, Ciudad de Buenos Aires","martes",11,51.75,-34.626854,-58.5182752,2021-03-29
"25","Café Olimpo, Ciudad de Buenos Aires","martes",12,45.75,-34.626854,-58.5182752,2021-03-29
"26","Café Olimpo, Ciudad de Buenos Aires","martes",13,31.5,-34.626854,-58.5182752,2021-03-29
"27","Café Olimpo, Ciudad de Buenos Aires","martes",14,17.25,-34.626854,-58.5182752,2021-03-29
"28","Café Olimpo, Ciudad de Buenos Aires","martes",15,11.25,-34.626854,-58.5182752,2021-03-29
"29","Café Olimpo, Ciudad de Buenos Aires","martes",16,14.25,-34.626854,-58.5182752,2021-03-29
"30","Café Olimpo, Ciudad de Buenos Aires","martes",17,22.5,-34.626854,-58.5182752,2021-03-29
"31","Café Olimpo, Ciudad de Buenos Aires","martes",18,28.5,-34.626854,-58.5182752,2021-03-29
"32","Café Olimpo, Ciudad de Buenos Aires","martes",19,28.5,-34.626854,-58.5182752,2021-03-29
"33","Café Olimpo, Ciudad de Buenos Aires","martes",20,0,-34.626854,-58.5182752,2021-03-29
"34","Café Olimpo, Ciudad de Buenos Aires","martes",21,0,-34.626854,-58.5182752,2021-03-29
"35","Café Olimpo, Ciudad de Buenos Aires","martes",22,0,-34.626854,-58.5182752,2021-03-29
"36","Café Olimpo, Ciudad de Buenos Aires","martes",23,0,-34.626854,-58.5182752,2021-03-29
"37","Café Olimpo, Ciudad de Buenos Aires","miercoles",6,0,-34.626854,-58.5182752,2021-03-29
"38","Café Olimpo, Ciudad de Buenos Aires","miercoles",7,8.25,-34.626854,-58.5182752,2021-03-29
"39","Café Olimpo, Ciudad de Buenos Aires","miercoles",8,17.25,-34.626854,-58.5182752,2021-03-29
"40","Café Olimpo, Ciudad de Buenos Aires","miercoles",9,28.5,-34.626854,-58.5182752,2021-03-29
"41","Café Olimpo, Ciudad de Buenos Aires","miercoles",10,42.75,-34.626854,-58.5182752,2021-03-29
"42","Café Olimpo, Ciudad de Buenos Aires","miercoles",11,57,-34.626854,-58.5182752,2021-03-29
"43","Café Olimpo, Ciudad de Buenos Aires","miercoles",12,63,-34.626854,-58.5182752,2021-03-29
"44","Café Olimpo, Ciudad de Buenos Aires","miercoles",13,63,-34.626854,-58.5182752,2021-03-29
"45","Café Olimpo, Ciudad de Buenos Aires","miercoles",14,51.75,-34.626854,-58.5182752,2021-03-29
"46","Café Olimpo, Ciudad de Buenos Aires","miercoles",15,37.5,-34.626854,-58.5182752,2021-03-29
"47","Café Olimpo, Ciudad de Buenos Aires","miercoles",16,34.5,-34.626854,-58.5182752,2021-03-29
"48","Café Olimpo, Ciudad de Buenos Aires","miercoles",17,72,-34.626854,-58.5182752,2021-03-29
"49","Café Olimpo, Ciudad de Buenos Aires","miercoles",18,66,-34.626854,-58.5182752,2021-03-29
"50","Café Olimpo, Ciudad de Buenos Aires","miercoles",19,17.25,-34.626854,-58.5182752,2021-03-29
"51","Café Olimpo, Ciudad de Buenos Aires","miercoles",20,0,-34.626854,-58.5182752,2021-03-29
"52","Café Olimpo, Ciudad de Buenos Aires","miercoles",21,0,-34.626854,-58.5182752,2021-03-29
"53","Café Olimpo, Ciudad de Buenos Aires","miercoles",22,0,-34.626854,-58.5182752,2021-03-29
"54","Café Olimpo, Ciudad de Buenos Aires","miercoles",23,0,-34.626854,-58.5182752,2021-03-29
"55","Café Olimpo, Ciudad de Buenos Aires","jueves",6,0,-34.626854,-58.5182752,2021-03-29
"56","Café Olimpo, Ciudad de Buenos Aires","jueves",7,17.25,-34.626854,-58.5182752,2021-03-29
"57","Café Olimpo, Ciudad de Buenos Aires","jueves",8,34.5,-34.626854,-58.5182752,2021-03-29
"58","Café Olimpo, Ciudad de Buenos Aires","jueves",9,48.75,-34.626854,-58.5182752,2021-03-29
"59","Café Olimpo, Ciudad de Buenos Aires","jueves",10,48.75,-34.626854,-58.5182752,2021-03-29
"60","Café Olimpo, Ciudad de Buenos Aires","jueves",11,45.75,-34.626854,-58.5182752,2021-03-29
"61","Café Olimpo, Ciudad de Buenos Aires","jueves",12,45.75,-34.626854,-58.5182752,2021-03-29
"62","Café Olimpo, Ciudad de Buenos Aires","jueves",13,48.75,-34.626854,-58.5182752,2021-03-29
"63","Café Olimpo, Ciudad de Buenos Aires","jueves",14,45.75,-34.626854,-58.5182752,2021-03-29
"64","Café Olimpo, Ciudad de Buenos Aires","jueves",15,34.5,-34.626854,-58.5182752,2021-03-29
"65","Café Olimpo, Ciudad de Buenos Aires","jueves",16,28.5,-34.626854,-58.5182752,2021-03-29
"66","Café Olimpo, Ciudad de Buenos Aires","jueves",17,31.5,-34.626854,-58.5182752,2021-03-29
"67","Café Olimpo, Ciudad de Buenos Aires","jueves",18,31.5,-34.626854,-58.5182752,2021-03-29
"68","Café Olimpo, Ciudad de Buenos Aires","jueves",19,28.5,-34.626854,-58.5182752,2021-03-29
"69","Café Olimpo, Ciudad de Buenos Aires","jueves",20,0,-34.626854,-58.5182752,2021-03-29
"70","Café Olimpo, Ciudad de Buenos Aires","jueves",21,0,-34.626854,-58.5182752,2021-03-29
"71","Café Olimpo, Ciudad de Buenos Aires","jueves",22,0,-34.626854,-58.5182752,2021-03-29
"72","Café Olimpo, Ciudad de Buenos Aires","jueves",23,0,-34.626854,-58.5182752,2021-03-29
"73","Café Olimpo, Ciudad de Buenos Aires","viernes",6,0,-34.626854,-58.5182752,2021-03-29
"74","Café Olimpo, Ciudad de Buenos Aires","viernes",7,5.25,-34.626854,-58.5182752,2021-03-29
"75","Café Olimpo, Ciudad de Buenos Aires","viernes",8,14.25,-34.626854,-58.5182752,2021-03-29
"76","Café Olimpo, Ciudad de Buenos Aires","viernes",9,25.5,-34.626854,-58.5182752,2021-03-29
"77","Café Olimpo, Ciudad de Buenos Aires","viernes",10,37.5,-34.626854,-58.5182752,2021-03-29
"78","Café Olimpo, Ciudad de Buenos Aires","viernes",11,45.75,-34.626854,-58.5182752,2021-03-29
"79","Café Olimpo, Ciudad de Buenos Aires","viernes",12,51.75,-34.626854,-58.5182752,2021-03-29
"80","Café Olimpo, Ciudad de Buenos Aires","viernes",13,57,-34.626854,-58.5182752,2021-03-29
"81","Café Olimpo, Ciudad de Buenos Aires","viernes",14,66,-34.626854,-58.5182752,2021-03-29
"82","Café Olimpo, Ciudad de Buenos Aires","viernes",15,75,-34.626854,-58.5182752,2021-03-29
"83","Café Olimpo, Ciudad de Buenos Aires","viernes",16,75,-34.626854,-58.5182752,2021-03-29
"84","Café Olimpo, Ciudad de Buenos Aires","viernes",17,66,-34.626854,-58.5182752,2021-03-29
"85","Café Olimpo, Ciudad de Buenos Aires","viernes",18,51.75,-34.626854,-58.5182752,2021-03-29
"86","Café Olimpo, Ciudad de Buenos Aires","viernes",19,37.5,-34.626854,-58.5182752,2021-03-29
"87","Café Olimpo, Ciudad de Buenos Aires","viernes",20,0,-34.626854,-58.5182752,2021-03-29
"88","Café Olimpo, Ciudad de Buenos Aires","viernes",21,0,-34.626854,-58.5182752,2021-03-29
"89","Café Olimpo, Ciudad de Buenos Aires","viernes",22,0,-34.626854,-58.5182752,2021-03-29
"90","Café Olimpo, Ciudad de Buenos Aires","viernes",23,0,-34.626854,-58.5182752,2021-03-29
"91","Café Olimpo, Ciudad de Buenos Aires","sabado",6,0,-34.626854,-58.5182752,2021-03-29
"92","Café Olimpo, Ciudad de Buenos Aires","sabado",7,22.5,-34.626854,-58.5182752,2021-03-29
"93","Café Olimpo, Ciudad de Buenos Aires","sabado",8,37.5,-34.626854,-58.5182752,2021-03-29
"94","Café Olimpo, Ciudad de Buenos Aires","sabado",9,51.75,-34.626854,-58.5182752,2021-03-29
"95","Café Olimpo, Ciudad de Buenos Aires","sabado",10,66,-34.626854,-58.5182752,2021-03-29
"96","Café Olimpo, Ciudad de Buenos Aires","sabado",11,72,-34.626854,-58.5182752,2021-03-29
"97","Café Olimpo, Ciudad de Buenos Aires","sabado",12,66,-34.626854,-58.5182752,2021-03-29
"98","Café Olimpo, Ciudad de Buenos Aires","sabado",13,57,-34.626854,-58.5182752,2021-03-29
