"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Café San Bernardo, Ciudad de Buenos Aires","lunes",6,0,-34.5978666,-58.4411558,2021-03-26
"2","Café San Bernardo, Ciudad de Buenos Aires","lunes",7,0,-34.5978666,-58.4411558,2021-03-26
"3","Café San Bernardo, Ciudad de Buenos Aires","lunes",8,9,-34.5978666,-58.4411558,2021-03-26
"4","Café San Bernardo, Ciudad de Buenos Aires","lunes",9,10.5,-34.5978666,-58.4411558,2021-03-26
"5","Café San Bernardo, Ciudad de Buenos Aires","lunes",10,12,-34.5978666,-58.4411558,2021-03-26
"6","Café San Bernardo, Ciudad de Buenos Aires","lunes",11,12.75,-34.5978666,-58.4411558,2021-03-26
"7","Café San Bernardo, Ciudad de Buenos Aires","lunes",12,14.25,-34.5978666,-58.4411558,2021-03-26
"8","Café San Bernardo, Ciudad de Buenos Aires","lunes",13,15.75,-34.5978666,-58.4411558,2021-03-26
"9","Café San Bernardo, Ciudad de Buenos Aires","lunes",14,17.25,-34.5978666,-58.4411558,2021-03-26
"10","Café San Bernardo, Ciudad de Buenos Aires","lunes",15,19.5,-34.5978666,-58.4411558,2021-03-26
"11","Café San Bernardo, Ciudad de Buenos Aires","lunes",16,22.5,-34.5978666,-58.4411558,2021-03-26
"12","Café San Bernardo, Ciudad de Buenos Aires","lunes",17,25.5,-34.5978666,-58.4411558,2021-03-26
"13","Café San Bernardo, Ciudad de Buenos Aires","lunes",18,27.75,-34.5978666,-58.4411558,2021-03-26
"14","Café San Bernardo, Ciudad de Buenos Aires","lunes",19,30.75,-34.5978666,-58.4411558,2021-03-26
"15","Café San Bernardo, Ciudad de Buenos Aires","lunes",20,33.75,-34.5978666,-58.4411558,2021-03-26
"16","Café San Bernardo, Ciudad de Buenos Aires","lunes",21,38.25,-34.5978666,-58.4411558,2021-03-26
"17","Café San Bernardo, Ciudad de Buenos Aires","lunes",22,42.75,-34.5978666,-58.4411558,2021-03-26
"18","Café San Bernardo, Ciudad de Buenos Aires","lunes",23,43.5,-34.5978666,-58.4411558,2021-03-26
"19","Café San Bernardo, Ciudad de Buenos Aires","martes",0,38.25,-34.5978666,-58.4411558,2021-03-26
"20","Café San Bernardo, Ciudad de Buenos Aires","martes",1,27.75,-34.5978666,-58.4411558,2021-03-26
"21","Café San Bernardo, Ciudad de Buenos Aires","martes",6,0,-34.5978666,-58.4411558,2021-03-26
"22","Café San Bernardo, Ciudad de Buenos Aires","martes",7,0,-34.5978666,-58.4411558,2021-03-26
"23","Café San Bernardo, Ciudad de Buenos Aires","martes",8,9.75,-34.5978666,-58.4411558,2021-03-26
"24","Café San Bernardo, Ciudad de Buenos Aires","martes",9,11.25,-34.5978666,-58.4411558,2021-03-26
"25","Café San Bernardo, Ciudad de Buenos Aires","martes",10,12.75,-34.5978666,-58.4411558,2021-03-26
"26","Café San Bernardo, Ciudad de Buenos Aires","martes",11,13.5,-34.5978666,-58.4411558,2021-03-26
"27","Café San Bernardo, Ciudad de Buenos Aires","martes",12,15,-34.5978666,-58.4411558,2021-03-26
"28","Café San Bernardo, Ciudad de Buenos Aires","martes",13,15.75,-34.5978666,-58.4411558,2021-03-26
"29","Café San Bernardo, Ciudad de Buenos Aires","martes",14,17.25,-34.5978666,-58.4411558,2021-03-26
"30","Café San Bernardo, Ciudad de Buenos Aires","martes",15,18.75,-34.5978666,-58.4411558,2021-03-26
"31","Café San Bernardo, Ciudad de Buenos Aires","martes",16,21,-34.5978666,-58.4411558,2021-03-26
"32","Café San Bernardo, Ciudad de Buenos Aires","martes",17,24,-34.5978666,-58.4411558,2021-03-26
"33","Café San Bernardo, Ciudad de Buenos Aires","martes",18,28.5,-34.5978666,-58.4411558,2021-03-26
"34","Café San Bernardo, Ciudad de Buenos Aires","martes",19,35.25,-34.5978666,-58.4411558,2021-03-26
"35","Café San Bernardo, Ciudad de Buenos Aires","martes",20,44.25,-34.5978666,-58.4411558,2021-03-26
"36","Café San Bernardo, Ciudad de Buenos Aires","martes",21,54.75,-34.5978666,-58.4411558,2021-03-26
"37","Café San Bernardo, Ciudad de Buenos Aires","martes",22,60.75,-34.5978666,-58.4411558,2021-03-26
"38","Café San Bernardo, Ciudad de Buenos Aires","martes",23,57,-34.5978666,-58.4411558,2021-03-26
"39","Café San Bernardo, Ciudad de Buenos Aires","miercoles",0,44.25,-34.5978666,-58.4411558,2021-03-26
"40","Café San Bernardo, Ciudad de Buenos Aires","miercoles",1,29.25,-34.5978666,-58.4411558,2021-03-26
"41","Café San Bernardo, Ciudad de Buenos Aires","miercoles",6,0,-34.5978666,-58.4411558,2021-03-26
"42","Café San Bernardo, Ciudad de Buenos Aires","miercoles",7,0,-34.5978666,-58.4411558,2021-03-26
"43","Café San Bernardo, Ciudad de Buenos Aires","miercoles",8,9.75,-34.5978666,-58.4411558,2021-03-26
"44","Café San Bernardo, Ciudad de Buenos Aires","miercoles",9,11.25,-34.5978666,-58.4411558,2021-03-26
"45","Café San Bernardo, Ciudad de Buenos Aires","miercoles",10,12,-34.5978666,-58.4411558,2021-03-26
"46","Café San Bernardo, Ciudad de Buenos Aires","miercoles",11,13.5,-34.5978666,-58.4411558,2021-03-26
"47","Café San Bernardo, Ciudad de Buenos Aires","miercoles",12,14.25,-34.5978666,-58.4411558,2021-03-26
"48","Café San Bernardo, Ciudad de Buenos Aires","miercoles",13,15,-34.5978666,-58.4411558,2021-03-26
"49","Café San Bernardo, Ciudad de Buenos Aires","miercoles",14,16.5,-34.5978666,-58.4411558,2021-03-26
"50","Café San Bernardo, Ciudad de Buenos Aires","miercoles",15,19.5,-34.5978666,-58.4411558,2021-03-26
"51","Café San Bernardo, Ciudad de Buenos Aires","miercoles",16,24,-34.5978666,-58.4411558,2021-03-26
"52","Café San Bernardo, Ciudad de Buenos Aires","miercoles",17,29.25,-34.5978666,-58.4411558,2021-03-26
"53","Café San Bernardo, Ciudad de Buenos Aires","miercoles",18,33.75,-34.5978666,-58.4411558,2021-03-26
"54","Café San Bernardo, Ciudad de Buenos Aires","miercoles",19,37.5,-34.5978666,-58.4411558,2021-03-26
"55","Café San Bernardo, Ciudad de Buenos Aires","miercoles",20,41.25,-34.5978666,-58.4411558,2021-03-26
"56","Café San Bernardo, Ciudad de Buenos Aires","miercoles",21,44.25,-34.5978666,-58.4411558,2021-03-26
"57","Café San Bernardo, Ciudad de Buenos Aires","miercoles",22,47.25,-34.5978666,-58.4411558,2021-03-26
"58","Café San Bernardo, Ciudad de Buenos Aires","miercoles",23,48,-34.5978666,-58.4411558,2021-03-26
"59","Café San Bernardo, Ciudad de Buenos Aires","jueves",0,43.5,-34.5978666,-58.4411558,2021-03-26
"60","Café San Bernardo, Ciudad de Buenos Aires","jueves",1,33.75,-34.5978666,-58.4411558,2021-03-26
"61","Café San Bernardo, Ciudad de Buenos Aires","jueves",6,0,-34.5978666,-58.4411558,2021-03-26
"62","Café San Bernardo, Ciudad de Buenos Aires","jueves",7,0,-34.5978666,-58.4411558,2021-03-26
"63","Café San Bernardo, Ciudad de Buenos Aires","jueves",8,12.75,-34.5978666,-58.4411558,2021-03-26
"64","Café San Bernardo, Ciudad de Buenos Aires","jueves",9,14.25,-34.5978666,-58.4411558,2021-03-26
"65","Café San Bernardo, Ciudad de Buenos Aires","jueves",10,15,-34.5978666,-58.4411558,2021-03-26
"66","Café San Bernardo, Ciudad de Buenos Aires","jueves",11,15,-34.5978666,-58.4411558,2021-03-26
"67","Café San Bernardo, Ciudad de Buenos Aires","jueves",12,15,-34.5978666,-58.4411558,2021-03-26
"68","Café San Bernardo, Ciudad de Buenos Aires","jueves",13,15,-34.5978666,-58.4411558,2021-03-26
"69","Café San Bernardo, Ciudad de Buenos Aires","jueves",14,16.5,-34.5978666,-58.4411558,2021-03-26
"70","Café San Bernardo, Ciudad de Buenos Aires","jueves",15,20.25,-34.5978666,-58.4411558,2021-03-26
"71","Café San Bernardo, Ciudad de Buenos Aires","jueves",16,24,-34.5978666,-58.4411558,2021-03-26
"72","Café San Bernardo, Ciudad de Buenos Aires","jueves",17,28.5,-34.5978666,-58.4411558,2021-03-26
"73","Café San Bernardo, Ciudad de Buenos Aires","jueves",18,33,-34.5978666,-58.4411558,2021-03-26
"74","Café San Bernardo, Ciudad de Buenos Aires","jueves",19,36.75,-34.5978666,-58.4411558,2021-03-26
"75","Café San Bernardo, Ciudad de Buenos Aires","jueves",20,41.25,-34.5978666,-58.4411558,2021-03-26
"76","Café San Bernardo, Ciudad de Buenos Aires","jueves",21,46.5,-34.5978666,-58.4411558,2021-03-26
"77","Café San Bernardo, Ciudad de Buenos Aires","jueves",22,49.5,-34.5978666,-58.4411558,2021-03-26
"78","Café San Bernardo, Ciudad de Buenos Aires","jueves",23,48,-34.5978666,-58.4411558,2021-03-26
"79","Café San Bernardo, Ciudad de Buenos Aires","viernes",0,41.25,-34.5978666,-58.4411558,2021-03-26
"80","Café San Bernardo, Ciudad de Buenos Aires","viernes",1,30,-34.5978666,-58.4411558,2021-03-26
"81","Café San Bernardo, Ciudad de Buenos Aires","viernes",6,0,-34.5978666,-58.4411558,2021-03-26
"82","Café San Bernardo, Ciudad de Buenos Aires","viernes",7,0,-34.5978666,-58.4411558,2021-03-26
"83","Café San Bernardo, Ciudad de Buenos Aires","viernes",8,9.75,-34.5978666,-58.4411558,2021-03-26
"84","Café San Bernardo, Ciudad de Buenos Aires","viernes",9,11.25,-34.5978666,-58.4411558,2021-03-26
