"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Camila - Rotisería y Fábrica de Pastas, Ciudad de Buenos Aires","lunes",6,0,-34.603179,-58.4156535,2021-03-28
"2","Camila - Rotisería y Fábrica de Pastas, Ciudad de Buenos Aires","lunes",7,0,-34.603179,-58.4156535,2021-03-28
"3","Camila - Rotisería y Fábrica de Pastas, Ciudad de Buenos Aires","lunes",8,0,-34.603179,-58.4156535,2021-03-28
"4","Camila - Rotisería y Fábrica de Pastas, Ciudad de Buenos Aires","lunes",9,2.25,-34.603179,-58.4156535,2021-03-28
"5","Camila - Rotisería y Fábrica de Pastas, Ciudad de Buenos Aires","lunes",10,5.25,-34.603179,-58.4156535,2021-03-28
"6","Camila - Rotisería y Fábrica de Pastas, Ciudad de Buenos Aires","lunes",11,12,-34.603179,-58.4156535,2021-03-28
"7","Camila - Rotisería y Fábrica de Pastas, Ciudad de Buenos Aires","lunes",12,24.75,-34.603179,-58.4156535,2021-03-28
"8","Camila - Rotisería y Fábrica de Pastas, Ciudad de Buenos Aires","lunes",13,36,-34.603179,-58.4156535,2021-03-28
"9","Camila - Rotisería y Fábrica de Pastas, Ciudad de Buenos Aires","lunes",14,36,-34.603179,-58.4156535,2021-03-28
"10","Camila - Rotisería y Fábrica de Pastas, Ciudad de Buenos Aires","lunes",15,27,-34.603179,-58.4156535,2021-03-28
"11","Camila - Rotisería y Fábrica de Pastas, Ciudad de Buenos Aires","lunes",16,19.5,-34.603179,-58.4156535,2021-03-28
"12","Camila - Rotisería y Fábrica de Pastas, Ciudad de Buenos Aires","lunes",17,15.75,-34.603179,-58.4156535,2021-03-28
"13","Camila - Rotisería y Fábrica de Pastas, Ciudad de Buenos Aires","lunes",18,15,-34.603179,-58.4156535,2021-03-28
"14","Camila - Rotisería y Fábrica de Pastas, Ciudad de Buenos Aires","lunes",19,16.5,-34.603179,-58.4156535,2021-03-28
