"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Campo Porteño 8, Ciudad de Buenos Aires","lunes",6,0,-34.5889028,-58.3926274,2021-03-30
"2","Campo Porteño 8, Ciudad de Buenos Aires","lunes",7,0,-34.5889028,-58.3926274,2021-03-30
"3","Campo Porteño 8, Ciudad de Buenos Aires","lunes",8,0,-34.5889028,-58.3926274,2021-03-30
"4","Campo Porteño 8, Ciudad de Buenos Aires","lunes",9,3.75,-34.5889028,-58.3926274,2021-03-30
"5","Campo Porteño 8, Ciudad de Buenos Aires","lunes",10,3.75,-34.5889028,-58.3926274,2021-03-30
"6","Campo Porteño 8, Ciudad de Buenos Aires","lunes",11,3.75,-34.5889028,-58.3926274,2021-03-30
"7","Campo Porteño 8, Ciudad de Buenos Aires","lunes",12,3.75,-34.5889028,-58.3926274,2021-03-30
"8","Campo Porteño 8, Ciudad de Buenos Aires","lunes",13,3.75,-34.5889028,-58.3926274,2021-03-30
"9","Campo Porteño 8, Ciudad de Buenos Aires","lunes",14,5.25,-34.5889028,-58.3926274,2021-03-30
"10","Campo Porteño 8, Ciudad de Buenos Aires","lunes",15,9,-34.5889028,-58.3926274,2021-03-30
"11","Campo Porteño 8, Ciudad de Buenos Aires","lunes",16,18,-34.5889028,-58.3926274,2021-03-30
"12","Campo Porteño 8, Ciudad de Buenos Aires","lunes",17,30,-34.5889028,-58.3926274,2021-03-30
"13","Campo Porteño 8, Ciudad de Buenos Aires","lunes",18,39.75,-34.5889028,-58.3926274,2021-03-30
"14","Campo Porteño 8, Ciudad de Buenos Aires","lunes",19,39,-34.5889028,-58.3926274,2021-03-30
"15","Campo Porteño 8, Ciudad de Buenos Aires","lunes",20,32.25,-34.5889028,-58.3926274,2021-03-30
"16","Campo Porteño 8, Ciudad de Buenos Aires","lunes",21,28.5,-34.5889028,-58.3926274,2021-03-30
"17","Campo Porteño 8, Ciudad de Buenos Aires","lunes",22,27.75,-34.5889028,-58.3926274,2021-03-30
"18","Campo Porteño 8, Ciudad de Buenos Aires","lunes",23,27,-34.5889028,-58.3926274,2021-03-30
"19","Campo Porteño 8, Ciudad de Buenos Aires","martes",6,0,-34.5889028,-58.3926274,2021-03-30
"20","Campo Porteño 8, Ciudad de Buenos Aires","martes",7,0,-34.5889028,-58.3926274,2021-03-30
"21","Campo Porteño 8, Ciudad de Buenos Aires","martes",8,0,-34.5889028,-58.3926274,2021-03-30
"22","Campo Porteño 8, Ciudad de Buenos Aires","martes",9,10.5,-34.5889028,-58.3926274,2021-03-30
"23","Campo Porteño 8, Ciudad de Buenos Aires","martes",10,14.25,-34.5889028,-58.3926274,2021-03-30
"24","Campo Porteño 8, Ciudad de Buenos Aires","martes",11,16.5,-34.5889028,-58.3926274,2021-03-30
"25","Campo Porteño 8, Ciudad de Buenos Aires","martes",12,19.5,-34.5889028,-58.3926274,2021-03-30
