"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Campobravo, Ciudad de Buenos Aires","martes",6,0,-34.5722406,-58.4311933,2021-03-26
"2","Campobravo, Ciudad de Buenos Aires","martes",7,0,-34.5722406,-58.4311933,2021-03-26
"3","Campobravo, Ciudad de Buenos Aires","martes",8,0,-34.5722406,-58.4311933,2021-03-26
"4","Campobravo, Ciudad de Buenos Aires","martes",9,0,-34.5722406,-58.4311933,2021-03-26
"5","Campobravo, Ciudad de Buenos Aires","martes",10,0,-34.5722406,-58.4311933,2021-03-26
"6","Campobravo, Ciudad de Buenos Aires","martes",11,3.75,-34.5722406,-58.4311933,2021-03-26
"7","Campobravo, Ciudad de Buenos Aires","martes",12,8.25,-34.5722406,-58.4311933,2021-03-26
"8","Campobravo, Ciudad de Buenos Aires","martes",13,11.25,-34.5722406,-58.4311933,2021-03-26
"9","Campobravo, Ciudad de Buenos Aires","martes",14,12,-34.5722406,-58.4311933,2021-03-26
"10","Campobravo, Ciudad de Buenos Aires","martes",15,9,-34.5722406,-58.4311933,2021-03-26
"11","Campobravo, Ciudad de Buenos Aires","martes",16,5.25,-34.5722406,-58.4311933,2021-03-26
"12","Campobravo, Ciudad de Buenos Aires","martes",17,2.25,-34.5722406,-58.4311933,2021-03-26
"13","Campobravo, Ciudad de Buenos Aires","martes",18,2.25,-34.5722406,-58.4311933,2021-03-26
"14","Campobravo, Ciudad de Buenos Aires","martes",19,7.5,-34.5722406,-58.4311933,2021-03-26
"15","Campobravo, Ciudad de Buenos Aires","martes",20,16.5,-34.5722406,-58.4311933,2021-03-26
"16","Campobravo, Ciudad de Buenos Aires","martes",21,24,-34.5722406,-58.4311933,2021-03-26
"17","Campobravo, Ciudad de Buenos Aires","martes",22,24.75,-34.5722406,-58.4311933,2021-03-26
"18","Campobravo, Ciudad de Buenos Aires","martes",23,18,-34.5722406,-58.4311933,2021-03-26
"19","Campobravo, Ciudad de Buenos Aires","miercoles",6,0,-34.5722406,-58.4311933,2021-03-26
"20","Campobravo, Ciudad de Buenos Aires","miercoles",7,0,-34.5722406,-58.4311933,2021-03-26
"21","Campobravo, Ciudad de Buenos Aires","miercoles",8,0,-34.5722406,-58.4311933,2021-03-26
"22","Campobravo, Ciudad de Buenos Aires","miercoles",9,0,-34.5722406,-58.4311933,2021-03-26
"23","Campobravo, Ciudad de Buenos Aires","miercoles",10,0,-34.5722406,-58.4311933,2021-03-26
"24","Campobravo, Ciudad de Buenos Aires","miercoles",11,6,-34.5722406,-58.4311933,2021-03-26
"25","Campobravo, Ciudad de Buenos Aires","miercoles",12,12,-34.5722406,-58.4311933,2021-03-26
"26","Campobravo, Ciudad de Buenos Aires","miercoles",13,16.5,-34.5722406,-58.4311933,2021-03-26
"27","Campobravo, Ciudad de Buenos Aires","miercoles",14,17.25,-34.5722406,-58.4311933,2021-03-26
"28","Campobravo, Ciudad de Buenos Aires","miercoles",15,12,-34.5722406,-58.4311933,2021-03-26
"29","Campobravo, Ciudad de Buenos Aires","miercoles",16,6.75,-34.5722406,-58.4311933,2021-03-26
"30","Campobravo, Ciudad de Buenos Aires","miercoles",17,3,-34.5722406,-58.4311933,2021-03-26
"31","Campobravo, Ciudad de Buenos Aires","miercoles",18,3,-34.5722406,-58.4311933,2021-03-26
"32","Campobravo, Ciudad de Buenos Aires","miercoles",19,8.25,-34.5722406,-58.4311933,2021-03-26
"33","Campobravo, Ciudad de Buenos Aires","miercoles",20,22.5,-34.5722406,-58.4311933,2021-03-26
"34","Campobravo, Ciudad de Buenos Aires","miercoles",21,38.25,-34.5722406,-58.4311933,2021-03-26
"35","Campobravo, Ciudad de Buenos Aires","miercoles",22,42.75,-34.5722406,-58.4311933,2021-03-26
"36","Campobravo, Ciudad de Buenos Aires","miercoles",23,30,-34.5722406,-58.4311933,2021-03-26
"37","Campobravo, Ciudad de Buenos Aires","jueves",6,0,-34.5722406,-58.4311933,2021-03-26
"38","Campobravo, Ciudad de Buenos Aires","jueves",7,0,-34.5722406,-58.4311933,2021-03-26
"39","Campobravo, Ciudad de Buenos Aires","jueves",8,0,-34.5722406,-58.4311933,2021-03-26
"40","Campobravo, Ciudad de Buenos Aires","jueves",9,0,-34.5722406,-58.4311933,2021-03-26
"41","Campobravo, Ciudad de Buenos Aires","jueves",10,0,-34.5722406,-58.4311933,2021-03-26
"42","Campobravo, Ciudad de Buenos Aires","jueves",11,6,-34.5722406,-58.4311933,2021-03-26
"43","Campobravo, Ciudad de Buenos Aires","jueves",12,9,-34.5722406,-58.4311933,2021-03-26
"44","Campobravo, Ciudad de Buenos Aires","jueves",13,10.5,-34.5722406,-58.4311933,2021-03-26
"45","Campobravo, Ciudad de Buenos Aires","jueves",14,11.25,-34.5722406,-58.4311933,2021-03-26
"46","Campobravo, Ciudad de Buenos Aires","jueves",15,9,-34.5722406,-58.4311933,2021-03-26
"47","Campobravo, Ciudad de Buenos Aires","jueves",16,6.75,-34.5722406,-58.4311933,2021-03-26
"48","Campobravo, Ciudad de Buenos Aires","jueves",17,5.25,-34.5722406,-58.4311933,2021-03-26
"49","Campobravo, Ciudad de Buenos Aires","jueves",18,6,-34.5722406,-58.4311933,2021-03-26
"50","Campobravo, Ciudad de Buenos Aires","jueves",19,12.75,-34.5722406,-58.4311933,2021-03-26
"51","Campobravo, Ciudad de Buenos Aires","jueves",20,26.25,-34.5722406,-58.4311933,2021-03-26
"52","Campobravo, Ciudad de Buenos Aires","jueves",21,39,-34.5722406,-58.4311933,2021-03-26
"53","Campobravo, Ciudad de Buenos Aires","jueves",22,43.5,-34.5722406,-58.4311933,2021-03-26
"54","Campobravo, Ciudad de Buenos Aires","jueves",23,34.5,-34.5722406,-58.4311933,2021-03-26
"55","Campobravo, Ciudad de Buenos Aires","viernes",6,0,-34.5722406,-58.4311933,2021-03-26
"56","Campobravo, Ciudad de Buenos Aires","viernes",7,0,-34.5722406,-58.4311933,2021-03-26
"57","Campobravo, Ciudad de Buenos Aires","viernes",8,0,-34.5722406,-58.4311933,2021-03-26
"58","Campobravo, Ciudad de Buenos Aires","viernes",9,0,-34.5722406,-58.4311933,2021-03-26
"59","Campobravo, Ciudad de Buenos Aires","viernes",10,0,-34.5722406,-58.4311933,2021-03-26
"60","Campobravo, Ciudad de Buenos Aires","viernes",11,9,-34.5722406,-58.4311933,2021-03-26
"61","Campobravo, Ciudad de Buenos Aires","viernes",12,11.25,-34.5722406,-58.4311933,2021-03-26
"62","Campobravo, Ciudad de Buenos Aires","viernes",13,12,-34.5722406,-58.4311933,2021-03-26
"63","Campobravo, Ciudad de Buenos Aires","viernes",14,12.75,-34.5722406,-58.4311933,2021-03-26
"64","Campobravo, Ciudad de Buenos Aires","viernes",15,11.25,-34.5722406,-58.4311933,2021-03-26
"65","Campobravo, Ciudad de Buenos Aires","viernes",16,9,-34.5722406,-58.4311933,2021-03-26
"66","Campobravo, Ciudad de Buenos Aires","viernes",17,6.75,-34.5722406,-58.4311933,2021-03-26
"67","Campobravo, Ciudad de Buenos Aires","viernes",18,5.25,-34.5722406,-58.4311933,2021-03-26
"68","Campobravo, Ciudad de Buenos Aires","viernes",19,9.75,-34.5722406,-58.4311933,2021-03-26
"69","Campobravo, Ciudad de Buenos Aires","viernes",20,27.75,-34.5722406,-58.4311933,2021-03-26
"70","Campobravo, Ciudad de Buenos Aires","viernes",21,55.5,-34.5722406,-58.4311933,2021-03-26
"71","Campobravo, Ciudad de Buenos Aires","viernes",22,69.75,-34.5722406,-58.4311933,2021-03-26
"72","Campobravo, Ciudad de Buenos Aires","viernes",23,54.75,-34.5722406,-58.4311933,2021-03-26
"73","Campobravo, Ciudad de Buenos Aires","sabado",6,0,-34.5722406,-58.4311933,2021-03-26
"74","Campobravo, Ciudad de Buenos Aires","sabado",7,0,-34.5722406,-58.4311933,2021-03-26
"75","Campobravo, Ciudad de Buenos Aires","sabado",8,0,-34.5722406,-58.4311933,2021-03-26
"76","Campobravo, Ciudad de Buenos Aires","sabado",9,0,-34.5722406,-58.4311933,2021-03-26
"77","Campobravo, Ciudad de Buenos Aires","sabado",10,0,-34.5722406,-58.4311933,2021-03-26
"78","Campobravo, Ciudad de Buenos Aires","sabado",11,7.5,-34.5722406,-58.4311933,2021-03-26
"79","Campobravo, Ciudad de Buenos Aires","sabado",12,16.5,-34.5722406,-58.4311933,2021-03-26
"80","Campobravo, Ciudad de Buenos Aires","sabado",13,29.25,-34.5722406,-58.4311933,2021-03-26
"81","Campobravo, Ciudad de Buenos Aires","sabado",14,35.25,-34.5722406,-58.4311933,2021-03-26
"82","Campobravo, Ciudad de Buenos Aires","sabado",15,29.25,-34.5722406,-58.4311933,2021-03-26
"83","Campobravo, Ciudad de Buenos Aires","sabado",16,15.75,-34.5722406,-58.4311933,2021-03-26
"84","Campobravo, Ciudad de Buenos Aires","sabado",17,4.5,-34.5722406,-58.4311933,2021-03-26
"85","Campobravo, Ciudad de Buenos Aires","sabado",18,1.5,-34.5722406,-58.4311933,2021-03-26
"86","Campobravo, Ciudad de Buenos Aires","sabado",19,9,-34.5722406,-58.4311933,2021-03-26
"87","Campobravo, Ciudad de Buenos Aires","sabado",20,30,-34.5722406,-58.4311933,2021-03-26
"88","Campobravo, Ciudad de Buenos Aires","sabado",21,60,-34.5722406,-58.4311933,2021-03-26
"89","Campobravo, Ciudad de Buenos Aires","sabado",22,75,-34.5722406,-58.4311933,2021-03-26
"90","Campobravo, Ciudad de Buenos Aires","sabado",23,0,-34.5722406,-58.4311933,2021-03-26
"91","Campobravo, Ciudad de Buenos Aires","domingo",6,0,-34.5722406,-58.4311933,2021-03-26
"92","Campobravo, Ciudad de Buenos Aires","domingo",7,0,-34.5722406,-58.4311933,2021-03-26
"93","Campobravo, Ciudad de Buenos Aires","domingo",8,0,-34.5722406,-58.4311933,2021-03-26
"94","Campobravo, Ciudad de Buenos Aires","domingo",9,0,-34.5722406,-58.4311933,2021-03-26
"95","Campobravo, Ciudad de Buenos Aires","domingo",10,0,-34.5722406,-58.4311933,2021-03-26
"96","Campobravo, Ciudad de Buenos Aires","domingo",11,12.75,-34.5722406,-58.4311933,2021-03-26
"97","Campobravo, Ciudad de Buenos Aires","domingo",12,27,-34.5722406,-58.4311933,2021-03-26
"98","Campobravo, Ciudad de Buenos Aires","domingo",13,43.5,-34.5722406,-58.4311933,2021-03-26
"99","Campobravo, Ciudad de Buenos Aires","domingo",14,48.75,-34.5722406,-58.4311933,2021-03-26
"100","Campobravo, Ciudad de Buenos Aires","domingo",15,38.25,-34.5722406,-58.4311933,2021-03-26
"101","Campobravo, Ciudad de Buenos Aires","domingo",16,19.5,-34.5722406,-58.4311933,2021-03-26
"102","Campobravo, Ciudad de Buenos Aires","domingo",17,6,-34.5722406,-58.4311933,2021-03-26
"103","Campobravo, Ciudad de Buenos Aires","domingo",18,1.5,-34.5722406,-58.4311933,2021-03-26
"104","Campobravo, Ciudad de Buenos Aires","domingo",19,4.5,-34.5722406,-58.4311933,2021-03-26
"105","Campobravo, Ciudad de Buenos Aires","domingo",20,15,-34.5722406,-58.4311933,2021-03-26
"106","Campobravo, Ciudad de Buenos Aires","domingo",21,26.25,-34.5722406,-58.4311933,2021-03-26
"107","Campobravo, Ciudad de Buenos Aires","domingo",22,27.75,-34.5722406,-58.4311933,2021-03-26
"108","Campobravo, Ciudad de Buenos Aires","domingo",23,0,-34.5722406,-58.4311933,2021-03-26
