"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","lunes",6,0,-34.5727641,-58.430235,2021-03-28
"2","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","lunes",7,0,-34.5727641,-58.430235,2021-03-28
"3","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","lunes",8,0,-34.5727641,-58.430235,2021-03-28
"4","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","lunes",9,0,-34.5727641,-58.430235,2021-03-28
"5","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","lunes",10,0,-34.5727641,-58.430235,2021-03-28
"6","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","lunes",11,0,-34.5727641,-58.430235,2021-03-28
"7","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","lunes",12,6.75,-34.5727641,-58.430235,2021-03-28
"8","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","lunes",13,9.75,-34.5727641,-58.430235,2021-03-28
"9","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","lunes",14,10.5,-34.5727641,-58.430235,2021-03-28
"10","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","lunes",15,8.25,-34.5727641,-58.430235,2021-03-28
"11","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","lunes",16,0,-34.5727641,-58.430235,2021-03-28
"12","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","lunes",17,0,-34.5727641,-58.430235,2021-03-28
"13","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","lunes",18,0,-34.5727641,-58.430235,2021-03-28
"14","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","lunes",19,0,-34.5727641,-58.430235,2021-03-28
"15","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","lunes",20,20.25,-34.5727641,-58.430235,2021-03-28
"16","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","lunes",21,35.25,-34.5727641,-58.430235,2021-03-28
"17","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","lunes",22,39,-34.5727641,-58.430235,2021-03-28
"18","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","lunes",23,27.75,-34.5727641,-58.430235,2021-03-28
"19","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","martes",0,12,-34.5727641,-58.430235,2021-03-28
"20","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","martes",6,0,-34.5727641,-58.430235,2021-03-28
"21","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","martes",7,0,-34.5727641,-58.430235,2021-03-28
"22","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","martes",8,0,-34.5727641,-58.430235,2021-03-28
"23","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","martes",9,0,-34.5727641,-58.430235,2021-03-28
"24","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","martes",10,0,-34.5727641,-58.430235,2021-03-28
"25","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","martes",11,0,-34.5727641,-58.430235,2021-03-28
"26","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","martes",12,10.5,-34.5727641,-58.430235,2021-03-28
"27","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","martes",13,14.25,-34.5727641,-58.430235,2021-03-28
"28","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","martes",14,15,-34.5727641,-58.430235,2021-03-28
"29","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","martes",15,11.25,-34.5727641,-58.430235,2021-03-28
"30","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","martes",16,0,-34.5727641,-58.430235,2021-03-28
"31","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","martes",17,0,-34.5727641,-58.430235,2021-03-28
"32","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","martes",18,0,-34.5727641,-58.430235,2021-03-28
"33","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","martes",19,0,-34.5727641,-58.430235,2021-03-28
"34","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","martes",20,17.25,-34.5727641,-58.430235,2021-03-28
"35","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","martes",21,45,-34.5727641,-58.430235,2021-03-28
"36","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","martes",22,49.5,-34.5727641,-58.430235,2021-03-28
"37","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","martes",23,38.25,-34.5727641,-58.430235,2021-03-28
"38","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","miercoles",0,25.5,-34.5727641,-58.430235,2021-03-28
"39","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","miercoles",6,0,-34.5727641,-58.430235,2021-03-28
"40","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","miercoles",7,0,-34.5727641,-58.430235,2021-03-28
"41","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","miercoles",8,0,-34.5727641,-58.430235,2021-03-28
"42","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","miercoles",9,0,-34.5727641,-58.430235,2021-03-28
"43","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","miercoles",10,0,-34.5727641,-58.430235,2021-03-28
"44","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","miercoles",11,0,-34.5727641,-58.430235,2021-03-28
"45","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","miercoles",12,7.5,-34.5727641,-58.430235,2021-03-28
"46","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","miercoles",13,10.5,-34.5727641,-58.430235,2021-03-28
"47","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","miercoles",14,12,-34.5727641,-58.430235,2021-03-28
"48","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","miercoles",15,9.75,-34.5727641,-58.430235,2021-03-28
"49","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","miercoles",16,0,-34.5727641,-58.430235,2021-03-28
"50","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","miercoles",17,0,-34.5727641,-58.430235,2021-03-28
"51","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","miercoles",18,0,-34.5727641,-58.430235,2021-03-28
"52","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","miercoles",19,0,-34.5727641,-58.430235,2021-03-28
"53","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","miercoles",20,23.25,-34.5727641,-58.430235,2021-03-28
"54","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","miercoles",21,37.5,-34.5727641,-58.430235,2021-03-28
"55","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","miercoles",22,31.5,-34.5727641,-58.430235,2021-03-28
"56","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","miercoles",23,23.25,-34.5727641,-58.430235,2021-03-28
"57","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","jueves",0,15.75,-34.5727641,-58.430235,2021-03-28
"58","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","jueves",6,0,-34.5727641,-58.430235,2021-03-28
"59","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","jueves",7,0,-34.5727641,-58.430235,2021-03-28
"60","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","jueves",8,0,-34.5727641,-58.430235,2021-03-28
"61","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","jueves",9,0,-34.5727641,-58.430235,2021-03-28
"62","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","jueves",10,0,-34.5727641,-58.430235,2021-03-28
"63","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","jueves",11,0,-34.5727641,-58.430235,2021-03-28
"64","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","jueves",12,12,-34.5727641,-58.430235,2021-03-28
"65","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","jueves",13,13.5,-34.5727641,-58.430235,2021-03-28
"66","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","jueves",14,11.25,-34.5727641,-58.430235,2021-03-28
"67","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","jueves",15,5.25,-34.5727641,-58.430235,2021-03-28
"68","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","jueves",16,0,-34.5727641,-58.430235,2021-03-28
"69","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","jueves",17,0,-34.5727641,-58.430235,2021-03-28
"70","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","jueves",18,0,-34.5727641,-58.430235,2021-03-28
"71","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","jueves",19,0,-34.5727641,-58.430235,2021-03-28
"72","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","jueves",20,24.75,-34.5727641,-58.430235,2021-03-28
"73","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","jueves",21,36,-34.5727641,-58.430235,2021-03-28
"74","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","jueves",22,38.25,-34.5727641,-58.430235,2021-03-28
"75","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","jueves",23,30.75,-34.5727641,-58.430235,2021-03-28
"76","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","viernes",0,18,-34.5727641,-58.430235,2021-03-28
"77","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","viernes",6,0,-34.5727641,-58.430235,2021-03-28
"78","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","viernes",7,0,-34.5727641,-58.430235,2021-03-28
"79","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","viernes",8,0,-34.5727641,-58.430235,2021-03-28
"80","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","viernes",9,0,-34.5727641,-58.430235,2021-03-28
"81","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","viernes",10,0,-34.5727641,-58.430235,2021-03-28
"82","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","viernes",11,0,-34.5727641,-58.430235,2021-03-28
"83","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","viernes",12,10.5,-34.5727641,-58.430235,2021-03-28
"84","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","viernes",13,15.75,-34.5727641,-58.430235,2021-03-28
"85","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","viernes",14,15.75,-34.5727641,-58.430235,2021-03-28
"86","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","viernes",15,12.75,-34.5727641,-58.430235,2021-03-28
"87","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","viernes",16,0,-34.5727641,-58.430235,2021-03-28
"88","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","viernes",17,0,-34.5727641,-58.430235,2021-03-28
"89","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","viernes",18,0,-34.5727641,-58.430235,2021-03-28
"90","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","viernes",19,0,-34.5727641,-58.430235,2021-03-28
"91","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","viernes",20,25.5,-34.5727641,-58.430235,2021-03-28
"92","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","viernes",21,51.75,-34.5727641,-58.430235,2021-03-28
"93","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","viernes",22,66.75,-34.5727641,-58.430235,2021-03-28
"94","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","viernes",23,55.5,-34.5727641,-58.430235,2021-03-28
"95","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","sabado",0,30,-34.5727641,-58.430235,2021-03-28
"96","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","sabado",6,0,-34.5727641,-58.430235,2021-03-28
"97","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","sabado",7,0,-34.5727641,-58.430235,2021-03-28
"98","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","sabado",8,0,-34.5727641,-58.430235,2021-03-28
"99","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","sabado",9,0,-34.5727641,-58.430235,2021-03-28
"100","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","sabado",10,0,-34.5727641,-58.430235,2021-03-28
"101","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","sabado",11,0,-34.5727641,-58.430235,2021-03-28
"102","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","sabado",12,9,-34.5727641,-58.430235,2021-03-28
"103","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","sabado",13,19.5,-34.5727641,-58.430235,2021-03-28
"104","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","sabado",14,25.5,-34.5727641,-58.430235,2021-03-28
"105","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","sabado",15,20.25,-34.5727641,-58.430235,2021-03-28
"106","Cantina Italiana El Estanciero, Ciudad de Buenos Aires","sabado",16,0,-34.5727641,-58.430235,2021-03-28
