"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Capriatti, Ciudad de Buenos Aires","lunes",6,0,-34.6040177,-58.3852285,2021-03-26
"2","Capriatti, Ciudad de Buenos Aires","lunes",7,9,-34.6040177,-58.3852285,2021-03-26
"3","Capriatti, Ciudad de Buenos Aires","lunes",8,13.5,-34.6040177,-58.3852285,2021-03-26
"4","Capriatti, Ciudad de Buenos Aires","lunes",9,18.75,-34.6040177,-58.3852285,2021-03-26
"5","Capriatti, Ciudad de Buenos Aires","lunes",10,23.25,-34.6040177,-58.3852285,2021-03-26
"6","Capriatti, Ciudad de Buenos Aires","lunes",11,26.25,-34.6040177,-58.3852285,2021-03-26
"7","Capriatti, Ciudad de Buenos Aires","lunes",12,27,-34.6040177,-58.3852285,2021-03-26
"8","Capriatti, Ciudad de Buenos Aires","lunes",13,25.5,-34.6040177,-58.3852285,2021-03-26
"9","Capriatti, Ciudad de Buenos Aires","lunes",14,24,-34.6040177,-58.3852285,2021-03-26
"10","Capriatti, Ciudad de Buenos Aires","lunes",15,23.25,-34.6040177,-58.3852285,2021-03-26
"11","Capriatti, Ciudad de Buenos Aires","lunes",16,24,-34.6040177,-58.3852285,2021-03-26
"12","Capriatti, Ciudad de Buenos Aires","lunes",17,22.5,-34.6040177,-58.3852285,2021-03-26
"13","Capriatti, Ciudad de Buenos Aires","lunes",18,18.75,-34.6040177,-58.3852285,2021-03-26
"14","Capriatti, Ciudad de Buenos Aires","lunes",19,14.25,-34.6040177,-58.3852285,2021-03-26
"15","Capriatti, Ciudad de Buenos Aires","lunes",20,13.5,-34.6040177,-58.3852285,2021-03-26
"16","Capriatti, Ciudad de Buenos Aires","lunes",21,18,-34.6040177,-58.3852285,2021-03-26
"17","Capriatti, Ciudad de Buenos Aires","lunes",22,21,-34.6040177,-58.3852285,2021-03-26
"18","Capriatti, Ciudad de Buenos Aires","lunes",23,18,-34.6040177,-58.3852285,2021-03-26
"19","Capriatti, Ciudad de Buenos Aires","martes",6,0,-34.6040177,-58.3852285,2021-03-26
"20","Capriatti, Ciudad de Buenos Aires","martes",7,8.25,-34.6040177,-58.3852285,2021-03-26
"21","Capriatti, Ciudad de Buenos Aires","martes",8,11.25,-34.6040177,-58.3852285,2021-03-26
"22","Capriatti, Ciudad de Buenos Aires","martes",9,15,-34.6040177,-58.3852285,2021-03-26
"23","Capriatti, Ciudad de Buenos Aires","martes",10,18.75,-34.6040177,-58.3852285,2021-03-26
"24","Capriatti, Ciudad de Buenos Aires","martes",11,21.75,-34.6040177,-58.3852285,2021-03-26
"25","Capriatti, Ciudad de Buenos Aires","martes",12,24.75,-34.6040177,-58.3852285,2021-03-26
"26","Capriatti, Ciudad de Buenos Aires","martes",13,25.5,-34.6040177,-58.3852285,2021-03-26
"27","Capriatti, Ciudad de Buenos Aires","martes",14,24.75,-34.6040177,-58.3852285,2021-03-26
"28","Capriatti, Ciudad de Buenos Aires","martes",15,22.5,-34.6040177,-58.3852285,2021-03-26
"29","Capriatti, Ciudad de Buenos Aires","martes",16,19.5,-34.6040177,-58.3852285,2021-03-26
"30","Capriatti, Ciudad de Buenos Aires","martes",17,16.5,-34.6040177,-58.3852285,2021-03-26
"31","Capriatti, Ciudad de Buenos Aires","martes",18,15,-34.6040177,-58.3852285,2021-03-26
"32","Capriatti, Ciudad de Buenos Aires","martes",19,16.5,-34.6040177,-58.3852285,2021-03-26
"33","Capriatti, Ciudad de Buenos Aires","martes",20,21,-34.6040177,-58.3852285,2021-03-26
"34","Capriatti, Ciudad de Buenos Aires","martes",21,23.25,-34.6040177,-58.3852285,2021-03-26
"35","Capriatti, Ciudad de Buenos Aires","martes",22,21,-34.6040177,-58.3852285,2021-03-26
"36","Capriatti, Ciudad de Buenos Aires","martes",23,14.25,-34.6040177,-58.3852285,2021-03-26
"37","Capriatti, Ciudad de Buenos Aires","miercoles",6,0,-34.6040177,-58.3852285,2021-03-26
