"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Casa Munay, Ciudad de Buenos Aires","lunes",6,0,-34.5819368,-58.4413962,2021-03-26
"2","Casa Munay, Ciudad de Buenos Aires","lunes",7,0,-34.5819368,-58.4413962,2021-03-26
"3","Casa Munay, Ciudad de Buenos Aires","lunes",8,0,-34.5819368,-58.4413962,2021-03-26
"4","Casa Munay, Ciudad de Buenos Aires","lunes",9,1.5,-34.5819368,-58.4413962,2021-03-26
"5","Casa Munay, Ciudad de Buenos Aires","lunes",10,4.5,-34.5819368,-58.4413962,2021-03-26
"6","Casa Munay, Ciudad de Buenos Aires","lunes",11,9,-34.5819368,-58.4413962,2021-03-26
"7","Casa Munay, Ciudad de Buenos Aires","lunes",12,15.75,-34.5819368,-58.4413962,2021-03-26
"8","Casa Munay, Ciudad de Buenos Aires","lunes",13,22.5,-34.5819368,-58.4413962,2021-03-26
"9","Casa Munay, Ciudad de Buenos Aires","lunes",14,24,-34.5819368,-58.4413962,2021-03-26
"10","Casa Munay, Ciudad de Buenos Aires","lunes",15,21.75,-34.5819368,-58.4413962,2021-03-26
"11","Casa Munay, Ciudad de Buenos Aires","lunes",16,17.25,-34.5819368,-58.4413962,2021-03-26
"12","Casa Munay, Ciudad de Buenos Aires","lunes",17,11.25,-34.5819368,-58.4413962,2021-03-26
"13","Casa Munay, Ciudad de Buenos Aires","lunes",18,11.25,-34.5819368,-58.4413962,2021-03-26
"14","Casa Munay, Ciudad de Buenos Aires","lunes",19,18,-34.5819368,-58.4413962,2021-03-26
"15","Casa Munay, Ciudad de Buenos Aires","lunes",20,32.25,-34.5819368,-58.4413962,2021-03-26
"16","Casa Munay, Ciudad de Buenos Aires","lunes",21,42.75,-34.5819368,-58.4413962,2021-03-26
"17","Casa Munay, Ciudad de Buenos Aires","lunes",22,35.25,-34.5819368,-58.4413962,2021-03-26
"18","Casa Munay, Ciudad de Buenos Aires","lunes",23,0,-34.5819368,-58.4413962,2021-03-26
"19","Casa Munay, Ciudad de Buenos Aires","miercoles",6,0,-34.5819368,-58.4413962,2021-03-26
"20","Casa Munay, Ciudad de Buenos Aires","miercoles",7,0,-34.5819368,-58.4413962,2021-03-26
"21","Casa Munay, Ciudad de Buenos Aires","miercoles",8,0,-34.5819368,-58.4413962,2021-03-26
"22","Casa Munay, Ciudad de Buenos Aires","miercoles",9,0.75,-34.5819368,-58.4413962,2021-03-26
"23","Casa Munay, Ciudad de Buenos Aires","miercoles",10,3,-34.5819368,-58.4413962,2021-03-26
"24","Casa Munay, Ciudad de Buenos Aires","miercoles",11,7.5,-34.5819368,-58.4413962,2021-03-26
"25","Casa Munay, Ciudad de Buenos Aires","miercoles",12,13.5,-34.5819368,-58.4413962,2021-03-26
"26","Casa Munay, Ciudad de Buenos Aires","miercoles",13,17.25,-34.5819368,-58.4413962,2021-03-26
