"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Celta Bar, Ciudad de Buenos Aires","lunes",6,0,-34.6056563,-58.3909154,2021-03-26
"2","Celta Bar, Ciudad de Buenos Aires","lunes",7,0,-34.6056563,-58.3909154,2021-03-26
"3","Celta Bar, Ciudad de Buenos Aires","lunes",8,0.75,-34.6056563,-58.3909154,2021-03-26
"4","Celta Bar, Ciudad de Buenos Aires","lunes",9,0.75,-34.6056563,-58.3909154,2021-03-26
"5","Celta Bar, Ciudad de Buenos Aires","lunes",10,3.75,-34.6056563,-58.3909154,2021-03-26
"6","Celta Bar, Ciudad de Buenos Aires","lunes",11,6.75,-34.6056563,-58.3909154,2021-03-26
"7","Celta Bar, Ciudad de Buenos Aires","lunes",12,9.75,-34.6056563,-58.3909154,2021-03-26
"8","Celta Bar, Ciudad de Buenos Aires","lunes",13,12,-34.6056563,-58.3909154,2021-03-26
"9","Celta Bar, Ciudad de Buenos Aires","lunes",14,13.5,-34.6056563,-58.3909154,2021-03-26
"10","Celta Bar, Ciudad de Buenos Aires","lunes",15,15,-34.6056563,-58.3909154,2021-03-26
"11","Celta Bar, Ciudad de Buenos Aires","lunes",16,16.5,-34.6056563,-58.3909154,2021-03-26
"12","Celta Bar, Ciudad de Buenos Aires","lunes",17,18,-34.6056563,-58.3909154,2021-03-26
"13","Celta Bar, Ciudad de Buenos Aires","lunes",18,21.75,-34.6056563,-58.3909154,2021-03-26
"14","Celta Bar, Ciudad de Buenos Aires","lunes",19,27.75,-34.6056563,-58.3909154,2021-03-26
"15","Celta Bar, Ciudad de Buenos Aires","lunes",20,32.25,-34.6056563,-58.3909154,2021-03-26
"16","Celta Bar, Ciudad de Buenos Aires","lunes",21,32.25,-34.6056563,-58.3909154,2021-03-26
"17","Celta Bar, Ciudad de Buenos Aires","lunes",22,25.5,-34.6056563,-58.3909154,2021-03-26
"18","Celta Bar, Ciudad de Buenos Aires","lunes",23,15.75,-34.6056563,-58.3909154,2021-03-26
"19","Celta Bar, Ciudad de Buenos Aires","martes",6,0,-34.6056563,-58.3909154,2021-03-26
"20","Celta Bar, Ciudad de Buenos Aires","martes",7,0,-34.6056563,-58.3909154,2021-03-26
"21","Celta Bar, Ciudad de Buenos Aires","martes",8,0,-34.6056563,-58.3909154,2021-03-26
"22","Celta Bar, Ciudad de Buenos Aires","martes",9,4.5,-34.6056563,-58.3909154,2021-03-26
