"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Cerveza Hormiga Negra Caballito, Ciudad de Buenos Aires","lunes",6,0,-34.6286418,-58.4390801,2021-03-27
"2","Cerveza Hormiga Negra Caballito, Ciudad de Buenos Aires","lunes",7,0,-34.6286418,-58.4390801,2021-03-27
"3","Cerveza Hormiga Negra Caballito, Ciudad de Buenos Aires","lunes",8,0,-34.6286418,-58.4390801,2021-03-27
"4","Cerveza Hormiga Negra Caballito, Ciudad de Buenos Aires","lunes",9,0,-34.6286418,-58.4390801,2021-03-27
"5","Cerveza Hormiga Negra Caballito, Ciudad de Buenos Aires","lunes",10,0,-34.6286418,-58.4390801,2021-03-27
"6","Cerveza Hormiga Negra Caballito, Ciudad de Buenos Aires","lunes",11,0,-34.6286418,-58.4390801,2021-03-27
"7","Cerveza Hormiga Negra Caballito, Ciudad de Buenos Aires","lunes",12,0,-34.6286418,-58.4390801,2021-03-27
"8","Cerveza Hormiga Negra Caballito, Ciudad de Buenos Aires","lunes",13,0,-34.6286418,-58.4390801,2021-03-27
"9","Cerveza Hormiga Negra Caballito, Ciudad de Buenos Aires","lunes",14,0,-34.6286418,-58.4390801,2021-03-27
"10","Cerveza Hormiga Negra Caballito, Ciudad de Buenos Aires","lunes",15,0,-34.6286418,-58.4390801,2021-03-27
"11","Cerveza Hormiga Negra Caballito, Ciudad de Buenos Aires","lunes",16,0,-34.6286418,-58.4390801,2021-03-27
"12","Cerveza Hormiga Negra Caballito, Ciudad de Buenos Aires","lunes",17,7.5,-34.6286418,-58.4390801,2021-03-27
"13","Cerveza Hormiga Negra Caballito, Ciudad de Buenos Aires","lunes",18,12.75,-34.6286418,-58.4390801,2021-03-27
"14","Cerveza Hormiga Negra Caballito, Ciudad de Buenos Aires","lunes",19,18,-34.6286418,-58.4390801,2021-03-27
"15","Cerveza Hormiga Negra Caballito, Ciudad de Buenos Aires","lunes",20,24.75,-34.6286418,-58.4390801,2021-03-27
"16","Cerveza Hormiga Negra Caballito, Ciudad de Buenos Aires","lunes",21,33,-34.6286418,-58.4390801,2021-03-27
"17","Cerveza Hormiga Negra Caballito, Ciudad de Buenos Aires","lunes",22,39,-34.6286418,-58.4390801,2021-03-27
"18","Cerveza Hormiga Negra Caballito, Ciudad de Buenos Aires","lunes",23,36,-34.6286418,-58.4390801,2021-03-27
"19","Cerveza Hormiga Negra Caballito, Ciudad de Buenos Aires","martes",0,25.5,-34.6286418,-58.4390801,2021-03-27
"20","Cerveza Hormiga Negra Caballito, Ciudad de Buenos Aires","martes",6,0,-34.6286418,-58.4390801,2021-03-27
"21","Cerveza Hormiga Negra Caballito, Ciudad de Buenos Aires","martes",7,0,-34.6286418,-58.4390801,2021-03-27
"22","Cerveza Hormiga Negra Caballito, Ciudad de Buenos Aires","martes",8,0,-34.6286418,-58.4390801,2021-03-27
"23","Cerveza Hormiga Negra Caballito, Ciudad de Buenos Aires","martes",9,0,-34.6286418,-58.4390801,2021-03-27
"24","Cerveza Hormiga Negra Caballito, Ciudad de Buenos Aires","martes",10,0,-34.6286418,-58.4390801,2021-03-27
"25","Cerveza Hormiga Negra Caballito, Ciudad de Buenos Aires","martes",11,0,-34.6286418,-58.4390801,2021-03-27
"26","Cerveza Hormiga Negra Caballito, Ciudad de Buenos Aires","martes",12,0,-34.6286418,-58.4390801,2021-03-27
"27","Cerveza Hormiga Negra Caballito, Ciudad de Buenos Aires","martes",13,0,-34.6286418,-58.4390801,2021-03-27
