"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Churreria Del Bajo, Ciudad de Buenos Aires","lunes",6,0,-34.5571894,-58.4488088,2021-03-28
"2","Churreria Del Bajo, Ciudad de Buenos Aires","lunes",7,0,-34.5571894,-58.4488088,2021-03-28
"3","Churreria Del Bajo, Ciudad de Buenos Aires","lunes",8,0,-34.5571894,-58.4488088,2021-03-28
"4","Churreria Del Bajo, Ciudad de Buenos Aires","lunes",9,0.75,-34.5571894,-58.4488088,2021-03-28
"5","Churreria Del Bajo, Ciudad de Buenos Aires","lunes",10,9,-34.5571894,-58.4488088,2021-03-28
"6","Churreria Del Bajo, Ciudad de Buenos Aires","lunes",11,27,-34.5571894,-58.4488088,2021-03-28
"7","Churreria Del Bajo, Ciudad de Buenos Aires","lunes",12,46.5,-34.5571894,-58.4488088,2021-03-28
"8","Churreria Del Bajo, Ciudad de Buenos Aires","lunes",13,56.25,-34.5571894,-58.4488088,2021-03-28
"9","Churreria Del Bajo, Ciudad de Buenos Aires","lunes",14,51.75,-34.5571894,-58.4488088,2021-03-28
"10","Churreria Del Bajo, Ciudad de Buenos Aires","lunes",15,41.25,-34.5571894,-58.4488088,2021-03-28
"11","Churreria Del Bajo, Ciudad de Buenos Aires","lunes",16,44.25,-34.5571894,-58.4488088,2021-03-28
"12","Churreria Del Bajo, Ciudad de Buenos Aires","lunes",17,51,-34.5571894,-58.4488088,2021-03-28
"13","Churreria Del Bajo, Ciudad de Buenos Aires","lunes",18,28.5,-34.5571894,-58.4488088,2021-03-28
"14","Churreria Del Bajo, Ciudad de Buenos Aires","lunes",19,0,-34.5571894,-58.4488088,2021-03-28
"15","Churreria Del Bajo, Ciudad de Buenos Aires","lunes",20,0,-34.5571894,-58.4488088,2021-03-28
"16","Churreria Del Bajo, Ciudad de Buenos Aires","lunes",21,0,-34.5571894,-58.4488088,2021-03-28
